Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Galena_Park_ISD_Grade 3 Reading,Galena_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,0.76,0.76,0.76,0.70,0.77,0.69,*,1.00,-,1.00,0.40,0.78,0.66,0.75,0.77
Galena_Park_ISD_Grade 3 Reading,Galena_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,0.77,0.77,0.75,0.75,0.75,0.73,0.80,0.80,-,0.75,0.41,0.76,0.71,0.74,0.77
Galena_Park_ISD_Grade 3 Reading,Galena_Park_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.45,0.46,0.41,0.36,0.42,0.44,*,0.63,-,0.55,0.22,0.43,0.34,0.39,0.43
Galena_Park_ISD_Grade 3 Reading,Galena_Park_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,0.43,0.44,0.37,0.34,0.37,0.39,0.40,0.60,-,0.33,0.18,0.39,0.31,0.36,0.41
Galena_Park_ISD_Grade 3 Reading,Galena_Park_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.27,0.28,0.22,0.18,0.22,0.31,*,0.25,-,0.27,0.05,0.24,0.17,0.21,0.22
Galena_Park_ISD_Grade 3 Reading,Galena_Park_ISD,Grade 3 Reading,At Masters Grade Level,2018,0.25,0.25,0.17,0.16,0.17,0.22,0.00,0.60,-,0.08,0.05,0.17,0.15,0.15,0.18
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.79,0.79,0.80,0.70,0.82,0.83,*,1.00,-,0.91,0.48,0.82,0.72,0.79,0.83
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,0.78,0.79,0.79,0.74,0.80,0.81,0.80,0.80,-,0.75,0.46,0.81,0.74,0.78,0.83
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.49,0.49,0.46,0.30,0.48,0.46,*,0.75,-,0.55,0.25,0.48,0.36,0.44,0.49
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,0.47,0.48,0.46,0.39,0.47,0.48,0.20,0.80,-,0.42,0.20,0.49,0.37,0.45,0.50
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.25,0.25,0.20,0.12,0.21,0.22,*,0.38,-,0.27,0.04,0.22,0.15,0.19,0.22
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,0.23,0.24,0.20,0.16,0.21,0.16,0.20,0.80,-,0.08,0.08,0.21,0.16,0.20,0.23
Galena_Park_ISD_Grade 4 Reading,Galena_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.75,0.75,0.72,0.68,0.72,0.80,0.60,0.83,*,0.64,0.34,0.73,0.66,0.71,0.71
Galena_Park_ISD_Grade 4 Reading,Galena_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,0.73,0.73,0.67,0.64,0.67,0.70,*,1.00,*,0.78,0.32,0.69,0.62,0.66,0.66
Galena_Park_ISD_Grade 4 Reading,Galena_Park_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,0.44,0.45,0.36,0.30,0.37,0.42,0.20,0.67,*,0.18,0.13,0.38,0.30,0.35,0.36
Galena_Park_ISD_Grade 4 Reading,Galena_Park_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,0.46,0.46,0.35,0.29,0.35,0.42,*,0.73,*,0.33,0.21,0.37,0.31,0.33,0.35
Galena_Park_ISD_Grade 4 Reading,Galena_Park_ISD,Grade 4 Reading,At Masters Grade Level,2019,0.22,0.23,0.15,0.12,0.15,0.17,0.20,0.50,*,0.18,0.03,0.16,0.13,0.14,0.16
Galena_Park_ISD_Grade 4 Reading,Galena_Park_ISD,Grade 4 Reading,At Masters Grade Level,2018,0.24,0.25,0.16,0.17,0.15,0.21,*,0.45,*,0.00,0.04,0.17,0.14,0.15,0.15
Galena_Park_ISD_Grade 4 Mathematics,Galena_Park_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,0.75,0.76,0.78,0.73,0.78,0.81,0.80,1.00,*,0.64,0.39,0.79,0.73,0.77,0.78
Galena_Park_ISD_Grade 4 Mathematics,Galena_Park_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,0.78,0.80,0.83,0.80,0.84,0.79,*,1.00,*,1.00,0.40,0.84,0.79,0.82,0.85
Galena_Park_ISD_Grade 4 Mathematics,Galena_Park_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,0.48,0.49,0.47,0.39,0.48,0.55,0.40,0.67,*,0.27,0.15,0.49,0.39,0.45,0.48
Galena_Park_ISD_Grade 4 Mathematics,Galena_Park_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,0.49,0.51,0.49,0.43,0.50,0.50,*,0.91,*,0.40,0.22,0.51,0.44,0.48,0.51
Galena_Park_ISD_Grade 4 Mathematics,Galena_Park_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,0.28,0.30,0.26,0.17,0.27,0.34,0.20,0.67,*,0.18,0.06,0.28,0.19,0.25,0.28
Galena_Park_ISD_Grade 4 Mathematics,Galena_Park_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,0.27,0.29,0.25,0.22,0.25,0.30,*,0.45,*,0.30,0.06,0.25,0.24,0.23,0.24
