Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,0.76,0.76,0.72,0.66,0.70,0.80,*,0.88,*,0.76,0.39,0.72,0.68,0.68,0.69
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,0.77,0.77,0.73,0.66,0.72,0.80,0.57,0.95,-,0.86,0.41,0.74,0.68,0.70,0.71
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.45,0.46,0.37,0.27,0.35,0.45,*,0.75,*,0.53,0.17,0.37,0.38,0.33,0.33
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,0.43,0.44,0.35,0.32,0.32,0.44,0.29,0.67,-,0.41,0.25,0.35,0.32,0.31,0.30
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.27,0.28,0.21,0.14,0.19,0.27,*,0.50,*,0.32,0.02,0.21,0.21,0.17,0.16
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Masters Grade Level,2018,0.25,0.25,0.17,0.14,0.15,0.24,0.14,0.48,-,0.17,0.06,0.18,0.12,0.14,0.12
Goose_Creek_ISD_Grade 3 Mathematics,Goose_Creek_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.79,0.79,0.75,0.62,0.74,0.82,*,0.92,*,0.82,0.44,0.75,0.72,0.72,0.73
Goose_Creek_ISD_Grade 3 Mathematics,Goose_Creek_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,0.78,0.79,0.73,0.64,0.74,0.77,0.57,0.90,-,0.73,0.40,0.74,0.66,0.71,0.75
Goose_Creek_ISD_Grade 3 Mathematics,Goose_Creek_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.49,0.49,0.41,0.28,0.41,0.48,*,0.71,*,0.61,0.21,0.42,0.36,0.37,0.40
Goose_Creek_ISD_Grade 3 Mathematics,Goose_Creek_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,0.47,0.48,0.39,0.28,0.39,0.45,0.14,0.71,-,0.40,0.22,0.40,0.31,0.36,0.42
Goose_Creek_ISD_Grade 3 Mathematics,Goose_Creek_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.25,0.25,0.19,0.11,0.19,0.23,*,0.54,*,0.24,0.07,0.20,0.14,0.17,0.20
Goose_Creek_ISD_Grade 3 Mathematics,Goose_Creek_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,0.23,0.24,0.15,0.09,0.16,0.18,0.14,0.48,-,0.10,0.06,0.16,0.10,0.14,0.17
