Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,0.76,0.76,0.66,0.57,0.69,0.70,*,*,-,0.54,0.30,0.67,0.65,0.66,0.69
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,0.77,0.77,0.71,0.61,0.72,0.77,*,1.00,-,0.75,0.44,0.72,0.66,0.70,0.69
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.45,0.46,0.33,0.24,0.35,0.42,*,*,-,0.15,0.16,0.33,0.33,0.31,0.34
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,0.43,0.44,0.33,0.26,0.33,0.39,*,0.80,-,0.13,0.23,0.34,0.29,0.31,0.29
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.27,0.28,0.18,0.13,0.20,0.21,*,*,-,0.15,0.00,0.20,0.15,0.17,0.18
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Masters Grade Level,2018,0.25,0.25,0.17,0.11,0.18,0.23,*,0.80,-,0.00,0.03,0.19,0.14,0.16,0.17
Sheldon_ISD_Grade 3 Mathematics,Sheldon_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.79,0.79,0.76,0.66,0.79,0.73,*,*,-,0.77,0.39,0.77,0.73,0.76,0.79
Sheldon_ISD_Grade 3 Mathematics,Sheldon_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,0.78,0.79,0.71,0.55,0.75,0.67,*,1.00,-,0.88,0.41,0.74,0.64,0.70,0.75
Sheldon_ISD_Grade 3 Mathematics,Sheldon_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.49,0.49,0.38,0.24,0.41,0.58,*,*,-,0.15,0.18,0.40,0.34,0.36,0.42
Sheldon_ISD_Grade 3 Mathematics,Sheldon_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,0.47,0.48,0.38,0.23,0.41,0.42,*,0.80,-,0.63,0.26,0.41,0.31,0.38,0.37
Sheldon_ISD_Grade 3 Mathematics,Sheldon_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.25,0.25,0.18,0.09,0.19,0.33,*,*,-,0.08,0.03,0.19,0.15,0.17,0.20
Sheldon_ISD_Grade 3 Mathematics,Sheldon_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,0.23,0.24,0.17,0.06,0.19,0.19,*,0.80,-,0.00,0.10,0.18,0.14,0.16,0.18
Sheldon_ISD_Grade 4 Reading,Sheldon_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.75,0.75,0.65,0.55,0.68,0.63,*,1.00,-,0.63,0.27,0.70,0.55,0.65,0.65
