"
2018-19 District STAAR Performance",,,,,,,,,,,,,,,,,
District Name: HOUSTON ISD (101912),,,,,,,,,,,,,,,,,
County Name: HARRIS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EL
(Current
& 
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
"
    Grade 3 Reading
     At Meets Grade Level or Above,2019,48%,49%,45%,30%,45%,70%,25%,84%,*,70%,27%,43%,47%,39%,40%,46%
,2018,49%,51%,48%,34%,47%,71%,52%,86%,43%,65%,27%,43%,50%,40%,43%,49%
     At Masters Grade Level,2019,28%,30%,27%,15%,26%,52%,21%,71%,*,50%,12%,26%,29%,23%,22%,27%
,2018,27%,29%,27%,16%,25%,52%,30%,71%,0%,47%,11%,27%,30%,21%,23%,27%
"   Grade 4 Writing
     At Approaches Grade Level or Above             ",2019,67%,67%,62%,50%,61%,83%,54%,89%,*,79%,30%,47%,63%,56%,57%,61%
,2018,63%,63%,57%,46%,55%,82%,55%,89%,71%,81%,28%,50%,59%,50%,52%,55%
     At Meets Grade Level or Above,2019,35%,35%,32%,22%,29%,60%,25%,70%,*,57%,20%,19%,33%,27%,26%,29%
,2018,39%,40%,36%,26%,33%,66%,41%,76%,14%,61%,22%,29%,38%,29%,30%,33%
     At Masters Grade Level,2019,11%,11%,10%,5%,8%,26%,4%,39%,*,28%,8%,6%,11%,8%,7%,9%
,2018,11%,11%,11%,5%,9%,29%,9%,43%,0%,30%,9%,12%,12%,8%,7%,10%
"
   Grade 5 Reading^
     At Approaches Grade Level or Above",2019,86%,86%,81%,76%,80%,95%,82%,96%,*,94%,46%,78%,82%,79%,78%,78%
,2018,84%,83%,77%,72%,76%,95%,81%,95%,70%,91%,48%,76%,78%,73%,74%,74%
     At Meets Grade Level or Above,2019,54%,54%,47%,40%,43%,80%,36%,86%,*,76%,25%,39%,48%,44%,41%,39%
,2018,54%,54%,47%,39%,44%,80%,56%,85%,70%,76%,30%,43%,49%,42%,41%,42%
     At Masters Grade Level,2019,29%,30%,26%,19%,21%,59%,9%,66%,*,60%,9%,24%,27%,23%,19%,18%
,2018,26%,27%,23%,16%,18%,55%,15%,64%,50%,53%,9%,23%,24%,19%,16%,17%
"   Grade 5 Mathematics^
     At Approaches Grade Level or Above",2019,90%,89%,86%,78%,86%,94%,82%,97%,*,93%,59%,82%,87%,81%,84%,87%
,2018,91%,90%,86%,78%,87%,94%,96%,97%,90%,92%,59%,81%,87%,81%,84%,87%
     At Meets Grade Level or Above,2019,58%,59%,55%,40%,55%,77%,59%,90%,*,72%,28%,50%,58%,45%,50%,56%
,2018,58%,58%,53%,39%,53%,75%,41%,90%,60%,75%,32%,49%,56%,42%,48%,54%
     At Masters Grade Level,2019,36%,38%,36%,21%,34%,62%,27%,80%,*,56%,13%,39%,38%,26%,30%,35%
,2018,30%,31%,29%,17%,27%,54%,26%,77%,40%,52%,13%,25%,31%,21%,23%,28%
"   Grade 5 Science
     At Approaches Grade Level or Above",2019,75%,75%,68%,59%,67%,88%,73%,92%,*,85%,35%,66%,70%,63%,64%,65%
,2018,76%,76%,69%,60%,69%,89%,63%,91%,75%,84%,42%,74%,71%,63%,65%,67%
     At Meets Grade Level or Above,2019,49%,50%,42%,29%,40%,70%,27%,78%,*,62%,23%,39%,44%,35%,36%,37%
,2018,41%,42%,36%,25%,33%,64%,33%,76%,58%,63%,24%,37%,37%,29%,30%,32%
     At Masters Grade Level,2019,24%,25%,19%,10%,17%,44%,9%,54%,*,42%,9%,19%,21%,15%,14%,16%
,2018,17%,18%,15%,8%,12%,38%,7%,52%,42%,38%,8%,16%,16%,12%,11%,12%
"
   Grade 6 Reading
     At Approaches Grade Level or Above",2019,68%,69%,63%,55%,60%,88%,67%,91%,82%,78%,30%,55%,64%,58%,57%,55%
,2018,69%,71%,64%,56%,62%,88%,64%,90%,73%,86%,35%,53%,66%,59%,59%,59%
