Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Aristoi_Classical_Grade 5 Mathematics+_At Meets Grade Level or Above,Aristoi_Classical,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,0.001,0.58,0.01,0.59,-0.17,0.38,-0.06,0.38,-0.25,0.2,-0.24,0.42,-0.19,0.17,-0.03,0.4
Aristoi_Classical_Grade 5 Mathematics+_At Masters Grade Level,Aristoi_Classical,Grade 5 Mathematics+,At Masters Grade Level,2019,0.06,0.36,0.07,0.38,-0.06,0.26,0.14,0.25,0.06,0.15,-0.2,0.3,0.02,0.11,0.06,0.2
Aristoi_Classical_Grade 5 Reading+_At Approaches Grade Level or Above,Aristoi_Classical,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.02,0.86,0.03,0.86,-0.06,0.89,0.11,1,-0.1,0.9,-0.06,0.87,-0.15,0.67,0.001,1
Aristoi_Classical_Grade 5 Reading+_At Meets Grade Level or Above,Aristoi_Classical,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.001,0.54,0,0.54,-0.12,0.6,0.19,0.75,-0.33,0.4,-0.14,0.66,-0.42,0.22,-0.51,0.2
Aristoi_Classical_Grade 5 Science_At Approaches Grade Level or Above,Aristoi_Classical,Grade 5 Science,At Approaches Grade Level or Above,2019,-0.01,0.75,-0.01,0.75,0.08,0.73,0.07,0.63,0.05,0.6,0.02,0.79,-0.21,0.47,0.37,0.8
Aristoi_Classical_Grade 6 Mathematics_At Approaches Grade Level or Above,Aristoi_Classical,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,0.04,0.81,0.03,0.81,0.12,0.94,0.56,0.89,0.12,0.96,0.08,0.95,0.05,0.86,0.22,1
Aristoi_Classical_Grade 6 Mathematics_At Meets Grade Level or Above,Aristoi_Classical,Grade 6 Mathematics,At Meets Grade Level or Above,2019,0.03,0.47,0.02,0.48,0.19,0.66,0.61,0.78,0.14,0.62,0.18,0.67,-0.04,0.48,0.29,0.4
Aristoi_Classical_Grade 6 Reading_At Approaches Grade Level or Above,Aristoi_Classical,Grade 6 Reading,At Approaches Grade Level or Above,2019,-0.01,0.68,-0.02,0.69,0.01,0.83,0.09,0.89,-0.03,0.81,0.06,0.86,-0.1,0.76,-0.15,0.6
Aristoi_Classical_Grade 6 Reading_At Meets Grade Level or Above,Aristoi_Classical,Grade 6 Reading,At Meets Grade Level or Above,2019,-0.02,0.37,-0.03,0.38,0.1,0.52,0.47,0.67,0.03,0.42,0.13,0.6,0.05,0.48,-0.05,0.2
Aristoi_Classical_Grade 7 Mathematics_At Approaches Grade Level or Above,Aristoi_Classical,Grade 7 Mathematics,At Approaches Grade Level or Above,2019,0.03,0.75,0.02,0.77,-0.07,0.79,-0.6,0.4,-0.15,0.74,0.06,0.9,0.11,0.82,0.04,0.71
Aristoi_Classical_Grade 7 Reading_At Approaches Grade Level or Above,Aristoi_Classical,Grade 7 Reading,At Approaches Grade Level or Above,2019,0.02,0.76,0.01,0.77,-0.06,0.8,-0.6,0.4,0.07,0.88,-0.08,0.8,0.001,0.71,0.33,1
Aristoi_Classical_Grade 7 Reading_At Meets Grade Level or Above,Aristoi_Classical,Grade 7 Reading,At Meets Grade Level or Above,2019,0.01,0.49,0.01,0.51,-0.02,0.55,-0.8,0.2,0.04,0.56,0.04,0.6,0.001,0.41,0.1,0.43
Channelview_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Channelview_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.01,0.79,0,0.79,-0.01,0.82,-0.07,0.65,0.001,0.84,-0.04,0.8,-0.01,0.82,-0.01,0.85
Channelview_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Channelview_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.02,0.49,0.01,0.49,-0.02,0.5,-0.01,0.37,-0.01,0.52,-0.16,0.47,-0.03,0.48,-0.08,0.49
Channelview_ISD_Grade 3 Mathematics_At Masters Grade Level,Channelview_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.02,0.25,0.01,0.25,0.01,0.23,-0.01,0.12,0.01,0.24,-0.07,0.22,0.001,0.21,-0.03,0.24
Channelview_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Channelview_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,-0.01,0.76,-0.01,0.76,-0.04,0.74,-0.11,0.63,-0.02,0.76,-0.14,0.74,-0.05,0.73,-0.04,0.74
Channelview_ISD_Grade 3 Reading_At Meets Grade Level or Above,Channelview_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.02,0.45,0.02,0.46,0.04,0.42,0.05,0.31,0.05,0.43,-0.05,0.41,0.02,0.4,0.05,0.42
Channelview_ISD_Grade 3 Reading_At Masters Grade Level,Channelview_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.02,0.27,0.03,0.28,0.06,0.23,0.07,0.22,0.07,0.24,-0.02,0.15,0.07,0.23,0.03,0.2
Channelview_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Channelview_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,-0.03,0.75,-0.04,0.76,0.01,0.82,0.13,0.73,0.001,0.83,-0.07,0.78,0.02,0.81,0.01,0.86
Channelview_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Channelview_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,-0.01,0.48,-0.02,0.49,0.04,0.52,-0.04,0.29,0.04,0.54,0.04,0.57,0.06,0.51,0.07,0.59
Channelview_ISD_Grade 4 Mathematics_At Masters Grade Level,Channelview_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,0.01,0.28,0.01,0.3,0.04,0.3,-0.08,0.14,0.08,0.33,-0.12,0.2,0.06,0.3,0.1,0.38
Channelview_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Channelview_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.02,0.75,0.02,0.75,0.07,0.73,0.001,0.62,0.08,0.74,0.01,0.74,0.09,0.72,0.09,0.75
Channelview_ISD_Grade 4 Reading_At Meets Grade Level or Above,Channelview_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,-0.02,0.44,-0.01,0.45,-0.04,0.33,-0.07,0.25,-0.03,0.34,-0.01,0.37,-0.03,0.32,-0.02,0.34
Channelview_ISD_Grade 4 Reading_At Masters Grade Level,Channelview_ISD,Grade 4 Reading,At Masters Grade Level,2019,-0.02,0.22,-0.02,0.23,-0.01,0.13,0.01,0.06,-0.02,0.13,0.001,0.17,0.001,0.13,-0.01,0.14
Channelview_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Channelview_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,-0.01,0.9,-0.01,0.89,-0.02,0.91,-0.03,0.84,-0.03,0.91,0.001,0.94,-0.04,0.89,-0.03,0.92
Channelview_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Channelview_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,0.001,0.58,0.01,0.59,-0.05,0.56,0.13,0.48,-0.06,0.57,-0.08,0.57,-0.06,0.54,-0.07,0.58
Channelview_ISD_Grade 5 Mathematics+_At Masters Grade Level,Channelview_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,0.06,0.36,0.07,0.38,0.05,0.35,0.04,0.2,0.04,0.35,0.1,0.41,0.04,0.33,0.04,0.38
Channelview_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Channelview_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.02,0.86,0.03,0.86,0.03,0.84,0.14,0.84,0.001,0.83,0.03,0.92,0.02,0.82,0.02,0.82
Channelview_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Channelview_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.001,0.54,0,0.54,-0.02,0.43,0.04,0.39,-0.02,0.43,-0.14,0.51,-0.02,0.4,0.04,0.45
Channelview_ISD_Grade 5 Reading+_At Masters Grade Level,Channelview_ISD,Grade 5 Reading+,At Masters Grade Level,2019,0.03,0.29,0.03,0.3,0.01,0.19,0.03,0.18,-0.01,0.18,0.04,0.24,0.01,0.17,0.03,0.2
Channelview_ISD_Grade 5 Science_At Approaches Grade Level or Above,Channelview_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,-0.01,0.75,-0.01,0.75,-0.01,0.72,0.07,0.7,-0.03,0.71,0.1,0.84,-0.04,0.68,-0.05,0.69
Channelview_ISD_Grade 5 Science_At Meets Grade Level or Above,Channelview_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,0.08,0.49,0.08,0.5,0.1,0.43,0.09,0.37,0.08,0.42,0.16,0.57,0.09,0.4,0.07,0.41
Channelview_ISD_Grade 5 Science_At Masters Grade Level,Channelview_ISD,Grade 5 Science,At Masters Grade Level,2019,0.07,0.24,0.07,0.25,0.07,0.18,0.07,0.11,0.06,0.18,0.05,0.24,0.06,0.16,0.06,0.18
Channelview_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above,Channelview_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,0.04,0.81,0.03,0.81,0.07,0.86,-0.04,0.74,0.08,0.87,0.2,0.92,0.07,0.85,0.07,0.84
Channelview_ISD_Grade 6 Mathematics_At Meets Grade Level or Above,Channelview_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2019,0.03,0.47,0.02,0.48,0.11,0.49,-0.04,0.27,0.1,0.5,0.28,0.59,0.1,0.47,0.12,0.48
Channelview_ISD_Grade 6 Mathematics_At Masters Grade Level,Channelview_ISD,Grade 6 Mathematics,At Masters Grade Level,2019,0.03,0.21,0.02,0.22,0.04,0.14,-0.06,0.03,0.04,0.14,0.16,0.24,0.03,0.12,0.06,0.13
Channelview_ISD_Grade 6 Reading_At Approaches Grade Level or Above,Channelview_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2019,-0.01,0.68,-0.02,0.69,0.02,0.62,-0.05,0.49,0.01,0.62,0.26,0.8,0.001,0.59,-0.03,0.53
Channelview_ISD_Grade 6 Reading_At Meets Grade Level or Above,Channelview_ISD,Grade 6 Reading,At Meets Grade Level or Above,2019,-0.02,0.37,-0.03,0.38,0.001,0.26,0.001,0.22,-0.01,0.25,0.1,0.41,-0.03,0.23,-0.03,0.18
Channelview_ISD_Grade 6 Reading_At Masters Grade Level,Channelview_ISD,Grade 6 Reading,At Masters Grade Level,2019,-0.01,0.18,-0.01,0.19,0.01,0.1,-0.02,0.05,0.001,0.09,0.07,0.16,0.001,0.09,0.01,0.07
Channelview_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above,Channelview_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2019,0.03,0.75,0.02,0.77,-0.06,0.57,0.17,0.68,-0.1,0.55,0.01,0.58,-0.07,0.55,-0.1,0.55
Channelview_ISD_Grade 7 Mathematics_At Meets Grade Level or Above,Channelview_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2019,0.03,0.43,0.03,0.46,-0.03,0.17,0.03,0.15,-0.06,0.16,0.16,0.27,-0.04,0.15,-0.01,0.14
Channelview_ISD_Grade 7 Reading_At Approaches Grade Level or Above,Channelview_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2019,0.02,0.76,0.01,0.77,0.08,0.74,0.07,0.71,0.07,0.74,0.03,0.65,0.06,0.72,0.12,0.71
Channelview_ISD_Grade 7 Reading_At Meets Grade Level or Above,Channelview_ISD,Grade 7 Reading,At Meets Grade Level or Above,2019,0.01,0.49,0.01,0.51,0.09,0.39,-0.03,0.3,0.1,0.4,0.17,0.41,0.06,0.36,0.14,0.36
Channelview_ISD_Grade 7 Reading_At Masters Grade Level,Channelview_ISD,Grade 7 Reading,At Masters Grade Level,2019,0.001,0.29,0.01,0.31,0.04,0.19,-0.02,0.15,0.05,0.19,0.03,0.22,0.02,0.17,0.08,0.17
Crosby_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Crosby_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.01,0.79,0,0.79,0.02,0.78,0.15,0.76,0.02,0.78,-0.01,0.8,0.06,0.76,-0.02,0.76
Crosby_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Crosby_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.02,0.49,0.01,0.49,0.08,0.43,0.08,0.28,0.07,0.39,0.1,0.52,0.09,0.37,0.06,0.41
Crosby_ISD_Grade 3 Mathematics_At Masters Grade Level,Crosby_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.02,0.25,0.01,0.25,0.05,0.17,-0.06,0.02,0.07,0.17,0.05,0.21,0.04,0.12,0.05,0.16
Crosby_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Crosby_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,-0.01,0.76,-0.01,0.76,0.02,0.76,0.03,0.62,0.001,0.73,0.03,0.81,0.03,0.69,-0.04,0.69
Crosby_ISD_Grade 3 Reading_At Meets Grade Level or Above,Crosby_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.02,0.45,0.02,0.46,0.04,0.38,0.06,0.21,0.07,0.35,0.02,0.46,0.05,0.28,0.02,0.3
Crosby_ISD_Grade 3 Reading_At Masters Grade Level,Crosby_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.02,0.27,0.03,0.28,0.06,0.22,0.01,0.09,0.11,0.21,0.06,0.28,0.05,0.15,0.06,0.16
Crosby_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Crosby_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,-0.03,0.75,-0.04,0.76,-0.15,0.62,-0.26,0.44,-0.12,0.67,-0.15,0.65,-0.15,0.59,-0.06,0.71
Crosby_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Crosby_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,-0.01,0.48,-0.02,0.49,-0.17,0.27,-0.24,0.13,-0.12,0.29,-0.17,0.31,-0.16,0.23,-0.03,0.31
Crosby_ISD_Grade 4 Mathematics_At Masters Grade Level,Crosby_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,0.01,0.28,0.01,0.3,-0.09,0.14,-0.12,0.06,-0.09,0.11,-0.07,0.18,-0.09,0.1,-0.08,0.09
Crosby_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Crosby_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.02,0.75,0.02,0.75,0.001,0.72,-0.11,0.53,0.09,0.75,-0.04,0.75,-0.01,0.65,0.08,0.71
Crosby_ISD_Grade 4 Reading_At Meets Grade Level or Above,Crosby_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,-0.02,0.44,-0.01,0.45,-0.03,0.38,-0.18,0.19,0.03,0.38,-0.01,0.45,-0.05,0.29,0.04,0.31
Crosby_ISD_Grade 4 Reading_At Masters Grade Level,Crosby_ISD,Grade 4 Reading,At Masters Grade Level,2019,-0.02,0.22,-0.02,0.23,-0.03,0.15,-0.04,0.09,0.001,0.13,-0.06,0.19,-0.05,0.1,0.07,0.15
Crosby_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Crosby_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,-0.01,0.9,-0.01,0.89,0.01,0.95,0.05,0.95,0.001,0.95,-0.01,0.95,0.01,0.95,0.001,0.99
Crosby_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Crosby_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,0.001,0.58,0.01,0.59,-0.02,0.58,0.03,0.51,-0.05,0.6,-0.02,0.59,-0.01,0.54,-0.14,0.6
Crosby_ISD_Grade 5 Mathematics+_At Masters Grade Level,Crosby_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,0.06,0.36,0.07,0.38,0.04,0.33,0.09,0.3,0.06,0.32,0.01,0.35,0.1,0.32,0.05,0.34
Crosby_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Crosby_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.02,0.86,0.03,0.86,-0.01,0.86,-0.06,0.79,-0.04,0.83,0.03,0.9,-0.02,0.82,-0.06,0.83
Crosby_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Crosby_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.001,0.54,0,0.54,-0.01,0.49,-0.04,0.45,0.02,0.47,-0.05,0.51,0.02,0.46,-0.03,0.44
Crosby_ISD_Grade 5 Reading+_At Masters Grade Level,Crosby_ISD,Grade 5 Reading+,At Masters Grade Level,2019,0.03,0.29,0.03,0.3,0.03,0.25,-0.01,0.19,0.09,0.23,-0.01,0.28,0.05,0.22,0.03,0.17
Crosby_ISD_Grade 5 Science_At Approaches Grade Level or Above,Crosby_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,-0.01,0.75,-0.01,0.75,-0.02,0.8,0.04,0.7,-0.04,0.79,-0.03,0.84,-0.01,0.76,-0.09,0.78
Crosby_ISD_Grade 5 Science_At Meets Grade Level or Above,Crosby_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,0.08,0.49,0.08,0.5,0.07,0.51,0.12,0.4,0.09,0.48,0.04,0.57,0.1,0.45,0.03,0.45
Crosby_ISD_Grade 5 Science_At Masters Grade Level,Crosby_ISD,Grade 5 Science,At Masters Grade Level,2019,0.07,0.24,0.07,0.25,0.08,0.23,0.02,0.14,0.13,0.22,0.04,0.26,0.08,0.17,0.1,0.18
Crosby_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above,Crosby_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,0.04,0.81,0.03,0.81,0.05,0.9,0.16,0.88,0.06,0.92,0.01,0.89,0.09,0.89,0.06,0.9
Crosby_ISD_Grade 6 Mathematics_At Meets Grade Level or Above,Crosby_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2019,0.03,0.47,0.02,0.48,0.05,0.57,0.14,0.52,0.06,0.55,-0.01,0.59,0.08,0.52,0.02,0.49
Crosby_ISD_Grade 6 Mathematics_At Masters Grade Level,Crosby_ISD,Grade 6 Mathematics,At Masters Grade Level,2019,0.03,0.21,0.02,0.22,0.05,0.26,0.06,0.25,0.05,0.23,0.05,0.3,0.05,0.19,0.03,0.17
Crosby_ISD_Grade 6 Reading_At Approaches Grade Level or Above,Crosby_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2019,-0.01,0.68,-0.02,0.69,0.06,0.72,0.05,0.67,0.1,0.72,0.02,0.74,0.09,0.69,0.08,0.62
Crosby_ISD_Grade 6 Reading_At Meets Grade Level or Above,Crosby_ISD,Grade 6 Reading,At Meets Grade Level or Above,2019,-0.02,0.37,-0.03,0.38,0.06,0.36,0.09,0.35,0.05,0.31,0.07,0.43,0.05,0.28,0.05,0.23
Crosby_ISD_Grade 6 Reading_At Masters Grade Level,Crosby_ISD,Grade 6 Reading,At Masters Grade Level,2019,-0.01,0.18,-0.01,0.19,-0.01,0.14,0.02,0.15,0.001,0.12,-0.03,0.17,-0.01,0.09,0.01,0.07
Crosby_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above,Crosby_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2019,0.03,0.75,0.02,0.77,-0.03,0.8,0.01,0.7,-0.08,0.76,0.01,0.88,-0.05,0.73,-0.12,0.67
Crosby_ISD_Grade 7 Mathematics_At Meets Grade Level or Above,Crosby_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2019,0.03,0.43,0.03,0.46,-0.07,0.47,-0.01,0.42,-0.11,0.42,-0.01,0.57,-0.11,0.37,-0.19,0.29
Crosby_ISD_Grade 7 Mathematics_At Masters Grade Level,Crosby_ISD,Grade 7 Mathematics,At Masters Grade Level,2019,-0.01,0.17,-0.02,0.18,-0.09,0.2,-0.04,0.17,-0.1,0.17,-0.07,0.25,-0.08,0.14,-0.12,0.11
Crosby_ISD_Grade 7 Reading_At Approaches Grade Level or Above,Crosby_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2019,0.02,0.76,0.01,0.77,-0.05,0.69,-0.08,0.58,0.03,0.7,-0.07,0.74,-0.05,0.62,-0.04,0.55
Crosby_ISD_Grade 7 Reading_At Meets Grade Level or Above,Crosby_ISD,Grade 7 Reading,At Meets Grade Level or Above,2019,0.01,0.49,0.01,0.51,-0.01,0.43,-0.04,0.36,-0.01,0.4,0.04,0.51,-0.03,0.33,-0.07,0.23
Crosby_ISD_Grade 7 Reading_At Masters Grade Level,Crosby_ISD,Grade 7 Reading,At Masters Grade Level,2019,0.001,0.29,0.01,0.31,0.01,0.23,-0.01,0.21,-0.03,0.17,0.05,0.29,-0.01,0.14,-0.05,0.05
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.01,0.79,0,0.79,0.01,0.82,0.01,0.71,0.01,0.78,0.001,0.9,0.01,0.75,0.01,0.8
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.02,0.49,0.01,0.49,-0.01,0.49,-0.01,0.34,-0.01,0.4,0.001,0.65,-0.01,0.37,-0.03,0.43
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Masters Grade Level,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.02,0.25,0.01,0.25,-0.02,0.23,-0.02,0.12,-0.02,0.15,0.01,0.37,-0.02,0.14,-0.03,0.19
Cypress_Fairbanks_ISD_Grade 3 Reading_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,-0.01,0.76,-0.01,0.76,-0.02,0.79,-0.01,0.71,-0.02,0.75,-0.04,0.87,-0.02,0.72,-0.01,0.76
Cypress_Fairbanks_ISD_Grade 3 Reading_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.02,0.45,0.02,0.46,0.001,0.48,0.02,0.38,0.01,0.4,-0.04,0.61,0.01,0.37,0.04,0.42
Cypress_Fairbanks_ISD_Grade 3 Reading_At Masters Grade Level,Cypress_Fairbanks_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.02,0.27,0.03,0.28,0.01,0.3,0.04,0.22,0.03,0.23,-0.02,0.42,0.03,0.21,0.04,0.24
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,-0.03,0.75,-0.04,0.76,-0.04,0.77,-0.09,0.63,-0.03,0.74,-0.01,0.89,-0.05,0.69,-0.03,0.76
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,-0.01,0.48,-0.02,0.49,-0.02,0.51,-0.05,0.34,-0.01,0.43,-0.03,0.67,-0.02,0.39,0.001,0.47
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Masters Grade Level,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,0.01,0.28,0.01,0.3,0.001,0.31,0.001,0.17,-0.01,0.22,0.01,0.46,0.001,0.2,0.001,0.27
Cypress_Fairbanks_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.02,0.75,0.02,0.75,0.001,0.79,-0.02,0.68,0.01,0.75,-0.01,0.89,0.01,0.72,0.04,0.77
Cypress_Fairbanks_ISD_Grade 4 Reading_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,-0.02,0.44,-0.01,0.45,-0.05,0.48,-0.06,0.35,-0.05,0.4,-0.04,0.65,-0.05,0.37,-0.03,0.41
Cypress_Fairbanks_ISD_Grade 4 Reading_At Masters Grade Level,Cypress_Fairbanks_ISD,Grade 4 Reading,At Masters Grade Level,2019,-0.02,0.22,-0.02,0.23,-0.05,0.24,-0.06,0.14,-0.05,0.17,-0.05,0.36,-0.05,0.15,-0.04,0.19
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,-0.01,0.9,-0.01,0.89,-0.01,0.92,-0.01,0.86,0.001,0.92,-0.01,0.96,-0.01,0.89,-0.01,0.92
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,0.001,0.58,0.01,0.59,0.001,0.62,0.03,0.5,0.01,0.56,-0.04,0.75,0.01,0.52,0.001,0.59
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Masters Grade Level,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,0.06,0.36,0.07,0.38,0.06,0.41,0.06,0.26,0.06,0.33,0.05,0.55,0.05,0.29,0.05,0.38
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.02,0.86,0.03,0.86,0.02,0.9,0.03,0.85,0.02,0.88,0.01,0.96,0.03,0.86,0.02,0.88
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.001,0.54,0,0.54,0.001,0.61,0.02,0.52,0.001,0.54,-0.01,0.77,0.001,0.5,-0.01,0.53
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Masters Grade Level,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Masters Grade Level,2019,0.03,0.29,0.03,0.3,0.03,0.36,0.06,0.27,0.03,0.28,0.001,0.5,0.03,0.25,0.02,0.29
Cypress_Fairbanks_ISD_Grade 5 Science_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,-0.01,0.75,-0.01,0.75,0.001,0.86,0.001,0.77,0.01,0.85,-0.01,0.94,0.01,0.81,0.01,0.85
Cypress_Fairbanks_ISD_Grade 5 Science_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,0.08,0.49,0.08,0.5,0.13,0.65,0.12,0.49,0.15,0.59,0.09,0.8,0.14,0.53,0.14,0.6
Cypress_Fairbanks_ISD_Grade 5 Science_At Masters Grade Level,Cypress_Fairbanks_ISD,Grade 5 Science,At Masters Grade Level,2019,0.07,0.24,0.07,0.25,0.15,0.38,0.12,0.24,0.13,0.29,0.17,0.55,0.11,0.25,0.13,0.32
Cypress_Fairbanks_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above,Cypress_Fairbanks_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,0.04,0.81,0.03,0.81,0.02,0.85,0.001,0.75,0.04,0.82,0.01,0.94,0.03,0.78,0.02,0.77
Cypress_Fairbanks_ISD_Grade 6 Mathematics_At Meets Grade Level or Above,Cypress_Fairbanks_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2019,0.03,0.47,0.02,0.48,0.001,0.55,0.001,0.39,0.03,0.46,-0.01,0.73,0.001,0.41,-0.02,0.39
