Ethnic Distribution,District Student Count,District Percentage of Total Students,State Student Count,State Percentage of Total Students
African American,"43,116",22.20%,"694,302",12.80%
     Hispanic,"120,330",61.80%,"2,860,754",52.70%
     White,"18,840",9.70%,"1,427,241",26.30%
     American Indian,367,0.20%,"18,028",0.30%
     Asian,"8,693",4.50%,"261,788",4.80%
     Pacific Islander,167,0.10%,"8,477",0.20%
     Two or More Races,"3,094",1.60%,"156,780",2.90%
