Student Information,District Non SPED Student Count,District Non SPED Percentage of Total Students,State SPED Student Count,State SPED Percentage of Total Students
Kindergarten,1.10%,1.90%,4.10%,5.20%
     Grade 1,6.90%,2.90%,7.10%,4.20%
     Grade 2,4.90%,1.70%,5.10%,2.20%
     Grade 3,2.60%,1.00%,2.70%,1.00%
     Grade 4,2.00%,0.70%,1.30%,0.70%
     Grade 5,1.30%,0.50%,1.10%,0.70%
     Grade 6,2.40%,0.60%,1.30%,0.60%
     Grade 7,2.10%,0.70%,1.50%,0.70%
     Grade 8,1.50%,0.60%,1.60%,0.80%
     Grade 9,24.40%,10.50%,31.40%,14.10%
