Class Size Information,District Average,State Average,State Student Count,State Percentage of Total Students
Kindergarten,19.2,18.9,,
     Grade 1,18.9,18.8,,
     Grade 2,18.3,18.7,,
     Grade 3,18.3,18.9,,
     Grade 4,18.4,19.2,,
     Grade 5,19.3,21.2,,
     Grade 6,22.1,20.4,,
English/Language Arts,19.6,16.6,,
     Foreign Languages,22.1,18.9,,
     Mathematics,21.7,17.8,,
     Science,22.3,18.9,,
     Social Studies,23,19.3,,
