Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,0.76,0.76,0.88,0.79,0.85,0.90,0.60,0.89,*,0.88,0.54,0.89,0.86,0.81,0.83
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,0.77,0.77,0.92,0.91,0.90,0.93,*,0.94,*,0.96,0.63,0.93,0.88,0.85,0.89
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.45,0.46,0.62,0.47,0.55,0.65,0.40,0.69,*,0.61,0.28,0.63,0.58,0.46,0.56
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,0.43,0.44,0.64,0.49,0.60,0.65,*,0.76,*,0.67,0.30,0.66,0.57,0.47,0.61
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.27,0.28,0.42,0.30,0.38,0.44,0.00,0.47,*,0.44,0.10,0.43,0.39,0.27,0.40
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Masters Grade Level,2018,0.25,0.25,0.42,0.33,0.38,0.42,*,0.52,*,0.50,0.10,0.42,0.39,0.24,0.38
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.79,0.79,0.90,0.77,0.87,0.93,0.80,0.95,*,0.88,0.57,0.91,0.88,0.82,0.89
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,0.78,0.79,0.91,0.88,0.89,0.92,*,0.98,*,0.88,0.57,0.93,0.87,0.82,0.89
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.49,0.49,0.66,0.49,0.57,0.68,0.40,0.82,*,0.74,0.41,0.68,0.60,0.50,0.61
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,0.47,0.48,0.69,0.52,0.62,0.72,*,0.85,*,0.72,0.31,0.72,0.61,0.48,0.60
