Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,0.76,0.76,0.72,0.60,0.71,0.90,0.80,0.93,0.78,0.86,0.42,0.73,0.67,0.67,0.72
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,0.77,0.77,0.71,0.60,0.71,0.90,0.76,0.92,*,0.86,0.43,0.72,0.67,0.67,0.71
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,0.45,0.46,0.42,0.29,0.39,0.69,0.55,0.80,0.56,0.70,0.26,0.43,0.36,0.35,0.40
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,0.43,0.44,0.39,0.27,0.37,0.67,0.38,0.76,*,0.66,0.28,0.40,0.35,0.33,0.38
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Masters Grade Level,2019,0.27,0.28,0.26,0.16,0.22,0.54,0.45,0.65,0.56,0.50,0.09,0.26,0.22,0.19,0.23
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Masters Grade Level,2018,0.25,0.25,0.22,0.14,0.19,0.47,0.14,0.54,*,0.50,0.10,0.22,0.19,0.17,0.19
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,0.79,0.79,0.76,0.63,0.77,0.91,0.70,0.95,0.78,0.90,0.44,0.77,0.69,0.72,0.78
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,0.78,0.79,0.74,0.63,0.75,0.90,0.76,0.94,*,0.86,0.48,0.76,0.68,0.71,0.77
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,0.49,0.49,0.46,0.31,0.45,0.72,0.55,0.85,0.78,0.71,0.28,0.48,0.38,0.40,0.46
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,0.47,0.48,0.44,0.29,0.43,0.71,0.38,0.83,*,0.67,0.30,0.46,0.37,0.39,0.45
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,0.25,0.25,0.24,0.13,0.21,0.47,0.40,0.66,0.78,0.50,0.11,0.25,0.19,0.18,0.22
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,0.23,0.24,0.22,0.12,0.21,0.43,0.14,0.62,*,0.44,0.11,0.24,0.17,0.18,0.22
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,0.75,0.75,0.69,0.59,0.68,0.89,0.75,0.90,*,0.84,0.37,0.70,0.65,0.64,0.66
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,0.73,0.73,0.65,0.55,0.63,0.89,0.65,0.91,0.83,0.86,0.37,0.66,0.60,0.60,0.61
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,0.44,0.45,0.39,0.29,0.36,0.68,0.25,0.75,*,0.68,0.24,0.40,0.35,0.32,0.34
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,0.46,0.46,0.39,0.30,0.35,0.74,0.35,0.77,0.00,0.67,0.28,0.41,0.35,0.33,0.33
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Masters Grade Level,2019,0.22,0.23,0.20,0.12,0.17,0.47,0.04,0.53,*,0.45,0.07,0.21,0.18,0.14,0.16
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Masters Grade Level,2018,0.24,0.25,0.21,0.14,0.17,0.50,0.13,0.57,0.00,0.47,0.10,0.22,0.18,0.15,0.16
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,0.75,0.76,0.72,0.59,0.73,0.88,0.71,0.93,*,0.89,0.42,0.74,0.67,0.69,0.74
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,0.78,0.80,0.76,0.64,0.76,0.89,0.78,0.95,0.71,0.88,0.41,0.77,0.69,0.73,0.77
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,0.48,0.49,0.45,0.30,0.45,0.70,0.25,0.84,*,0.70,0.27,0.47,0.39,0.40,0.46
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,0.49,0.51,0.48,0.34,0.47,0.71,0.52,0.86,0.43,0.65,0.27,0.50,0.40,0.43,0.49
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,0.28,0.30,0.27,0.15,0.26,0.52,0.21,0.71,*,0.50,0.12,0.29,0.23,0.22,0.27
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,0.27,0.29,0.27,0.16,0.25,0.52,0.30,0.71,0.00,0.47,0.11,0.30,0.21,0.23,0.27
Houston_ISD_Grade 5 Reading+,Houston_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,0.86,0.86,0.81,0.76,0.80,0.95,0.82,0.96,*,0.94,0.46,0.82,0.79,0.78,0.78
Houston_ISD_Grade 5 Reading+,Houston_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,0.84,0.83,0.77,0.72,0.76,0.95,0.81,0.95,0.70,0.91,0.48,0.78,0.73,0.74,0.74
Houston_ISD_Grade 5 Reading+,Houston_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,0.54,0.54,0.47,0.40,0.43,0.80,0.36,0.86,*,0.76,0.25,0.48,0.44,0.41,0.39
Houston_ISD_Grade 5 Reading+,Houston_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,0.54,0.54,0.47,0.39,0.44,0.80,0.56,0.85,0.70,0.76,0.30,0.49,0.42,0.41,0.42
