Primary_Key,School_Name,Unnamed: 2,Unnamed: 3,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
ARISTOI_Classical_Grade 5 Science,ARISTOI_Classical,Grade 5 Science,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,73%,na,63%,na,60%,na,79%,na,47%,na,80%
ARISTOI_Classical_Grade 5 Science,ARISTOI_Classical,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,31%,-18%,32%,1%,38%,14%,27%,17%,32%,-5%,45%,11%,29%,#VALUE!,*
ARISTOI_Classical_Grade 5 Science,ARISTOI_Classical,Grade 5 Science,At Meets Grade Level or Above,2019,na,49%,na,50%,na,37%,na,13%,na,15%,na,50%,na,18%,na,0%
ARISTOI_Classical_Grade 5 Science,ARISTOI_Classical,Grade 5 Science,At Masters Grade Level,2021,-0.11,13%,-11%,14%,1%,16%,13%,13%,9%,14%,-6%,17%,1%,7%,#VALUE!,*
ARISTOI_Classical_Grade 5 Science,ARISTOI_Classical,Grade 5 Science,At Masters Grade Level,2019,na,24%,na,25%,na,15%,na,0%,na,5%,na,23%,na,6%,na,0%
YES_Prep_Grade 6 Reading,YES_Prep,Grade 6 Reading,At Approaches Grade Level or Above,2021,-0.06,62%,-5%,64%,-9%,53%,-4%,51%,-9%,53%,-25%,50%,-9%,52%,-4%,49%
YES_Prep_Grade 6 Reading,YES_Prep,Grade 6 Reading,At Approaches Grade Level or Above,2019,na,68%,na,69%,na,62%,na,55%,na,62%,na,75%,na,61%,na,53%
YES_Prep_Grade 6 Reading,YES_Prep,Grade 6 Reading,At Meets Grade Level or Above,2021,-0.05,32%,-4%,34%,-6%,21%,-3%,18%,-6%,21%,-11%,28%,-6%,20%,-2%,17%
YES_Prep_Grade 6 Reading,YES_Prep,Grade 6 Reading,At Meets Grade Level or Above,2019,na,37%,na,38%,na,27%,na,21%,na,27%,na,39%,na,26%,na,19%
YES_Prep_Grade 6 Reading,YES_Prep,Grade 6 Reading,At Masters Grade Level,2021,-0.03,15%,-3%,16%,-3%,7%,-5%,4%,-2%,8%,-5%,6%,-2%,7%,-1%,5%
YES_Prep_Grade 6 Reading,YES_Prep,Grade 6 Reading,At Masters Grade Level,2019,na,18%,na,19%,na,10%,na,9%,na,10%,na,11%,na,9%,na,6%
YES_Prep_Grade 6 Mathematics,YES_Prep,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,-0.13,68%,-13%,68%,-23%,61%,-19%,53%,-24%,62%,-39%,47%,-24%,60%,-24%,60%
YES_Prep_Grade 6 Mathematics,YES_Prep,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,na,81%,na,81%,na,84%,na,72%,na,86%,na,86%,na,84%,na,84%
YES_Prep_Grade 6 Mathematics,YES_Prep,Grade 6 Mathematics,At Meets Grade Level or Above,2021,-0.11,36%,-11%,37%,-21%,26%,-17%,17%,-21%,27%,-33%,24%,-21%,25%,-18%,25%
YES_Prep_Grade 6 Mathematics,YES_Prep,Grade 6 Mathematics,At Meets Grade Level or Above,2019,na,47%,na,48%,na,47%,na,34%,na,48%,na,57%,na,46%,na,43%
YES_Prep_Grade 6 Mathematics,YES_Prep,Grade 6 Mathematics,At Masters Grade Level,2021,-0.06,15%,-5%,17%,-9%,9%,-11%,2%,-10%,9%,-15%,6%,-9%,8%,-8%,7%
YES_Prep_Grade 6 Mathematics,YES_Prep,Grade 6 Mathematics,At Masters Grade Level,2019,na,21%,na,22%,na,18%,na,13%,na,19%,na,21%,na,17%,na,15%
YES_Prep_Grade 7 Reading,YES_Prep,Grade 7 Reading,At Approaches Grade Level or Above,2021,-0.07,69%,-6%,71%,-10%,63%,-8%,58%,-10%,64%,-16%,62%,-10%,63%,-11%,57%
YES_Prep_Grade 7 Reading,YES_Prep,Grade 7 Reading,At Approaches Grade Level or Above,2019,na,76%,na,77%,na,73%,na,66%,na,74%,na,78%,na,73%,na,68%
YES_Prep_Grade 7 Reading,YES_Prep,Grade 7 Reading,At Meets Grade Level or Above,2021,-0.04,45%,-4%,47%,-7%,35%,-1%,34%,-8%,35%,-10%,31%,-7%,34%,-9%,28%
YES_Prep_Grade 7 Reading,YES_Prep,Grade 7 Reading,At Meets Grade Level or Above,2019,na,49%,na,51%,na,42%,na,35%,na,43%,na,41%,na,41%,na,37%
YES_Prep_Grade 7 Reading,YES_Prep,Grade 7 Reading,At Masters Grade Level,2021,-0.04,25%,-4%,27%,-6%,16%,3%,17%,-7%,16%,1%,23%,-6%,15%,-8%,10%
YES_Prep_Grade 7 Reading,YES_Prep,Grade 7 Reading,At Masters Grade Level,2019,na,29%,na,31%,na,22%,na,14%,na,23%,na,22%,na,21%,na,18%
YES_Prep_Grade 7 Mathematics,YES_Prep,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,-0.2,55%,-20%,57%,-28%,54%,-34%,41%,-27%,55%,-23%,62%,-28%,54%,-31%,49%
YES_Prep_Grade 7 Mathematics,YES_Prep,Grade 7 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,77%,na,82%,na,75%,na,82%,na,85%,na,82%,na,80%
YES_Prep_Grade 7 Mathematics,YES_Prep,Grade 7 Mathematics,At Meets Grade Level or Above,2021,-0.16,27%,-17%,29%,-23%,25%,-20%,15%,-25%,25%,-28%,27%,-24%,24%,-27%,19%
YES_Prep_Grade 7 Mathematics,YES_Prep,Grade 7 Mathematics,At Meets Grade Level or Above,2019,na,43%,na,46%,na,48%,na,35%,na,50%,na,55%,na,48%,na,46%
YES_Prep_Grade 7 Mathematics,YES_Prep,Grade 7 Mathematics,At Masters Grade Level,2021,-0.05,12%,-5%,13%,-10%,10%,-7%,3%,-11%,10%,0%,23%,-10%,9%,-10%,7%
YES_Prep_Grade 7 Mathematics,YES_Prep,Grade 7 Mathematics,At Masters Grade Level,2019,na,17%,na,18%,na,20%,na,10%,na,21%,na,23%,na,19%,na,17%
YES_Prep_Grade 7 Writing,YES_Prep,Grade 7 Writing,At Approaches Grade Level or Above,2021,-0.07,63%,-9%,63%,-15%,56%,-14%,54%,-15%,56%,-4%,69%,-14%,56%,-18%,47%
YES_Prep_Grade 7 Writing,YES_Prep,Grade 7 Writing,At Approaches Grade Level or Above,2019,na,70%,na,72%,na,71%,na,68%,na,71%,na,73%,na,70%,na,65%
YES_Prep_Grade 7 Writing,YES_Prep,Grade 7 Writing,At Meets Grade Level or Above,2021,-0.09,33%,-9%,34%,-16%,25%,-6%,24%,-18%,24%,-6%,31%,-17%,24%,-20%,15%
YES_Prep_Grade 7 Writing,YES_Prep,Grade 7 Writing,At Meets Grade Level or Above,2019,na,42%,na,43%,na,41%,na,30%,na,42%,na,37%,na,41%,na,35%
YES_Prep_Grade 7 Writing,YES_Prep,Grade 7 Writing,At Masters Grade Level,2021,-0.08,10%,-9%,10%,-10%,5%,-7%,4%,-11%,5%,-12%,8%,-10%,5%,-8%,3%
YES_Prep_Grade 7 Writing,YES_Prep,Grade 7 Writing,At Masters Grade Level,2019,na,18%,na,19%,na,15%,na,11%,na,16%,na,20%,na,15%,na,11%
YES_Prep_Grade 8 Reading+,YES_Prep,Grade 8 Reading+,At Approaches Grade Level or Above,2021,-0.13,73%,-12%,74%,-16%,71%,-17%,62%,-17%,71%,4%,81%,-17%,70%,-14%,66%
YES_Prep_Grade 8 Reading+,YES_Prep,Grade 8 Reading+,At Approaches Grade Level or Above,2019,na,86%,na,86%,na,87%,na,79%,na,88%,na,77%,na,87%,na,80%
YES_Prep_Grade 8 Reading+,YES_Prep,Grade 8 Reading+,At Meets Grade Level or Above,2021,-0.09,46%,-8%,48%,-14%,37%,-8%,27%,-15%,38%,17%,52%,-16%,36%,-7%,30%
YES_Prep_Grade 8 Reading+,YES_Prep,Grade 8 Reading+,At Meets Grade Level or Above,2019,na,55%,na,56%,na,51%,na,35%,na,53%,na,35%,na,52%,na,37%
YES_Prep_Grade 8 Reading+,YES_Prep,Grade 8 Reading+,At Masters Grade Level,2021,-0.07,21%,-8%,22%,-10%,12%,-7%,7%,-10%,13%,9%,24%,-10%,12%,-5%,8%
YES_Prep_Grade 8 Reading+,YES_Prep,Grade 8 Reading+,At Masters Grade Level,2019,na,28%,na,30%,na,22%,na,14%,na,23%,na,15%,na,22%,na,13%
YES_Prep_Grade 8 Mathematics+,YES_Prep,Grade 8 Mathematics+,At Approaches Grade Level or Above,2021,-0.26,62%,-26%,62%,-37%,56%,-50%,39%,-37%,57%,-23%,62%,-39%,55%,-39%,52%
YES_Prep_Grade 8 Mathematics+,YES_Prep,Grade 8 Mathematics+,At Approaches Grade Level or Above,2019,na,88%,na,88%,na,93%,na,89%,na,94%,na,85%,na,94%,na,91%
YES_Prep_Grade 8 Mathematics+,YES_Prep,Grade 8 Mathematics+,At Meets Grade Level or Above,2021,-0.21,36%,-21%,37%,-41%,28%,-38%,18%,-42%,29%,-40%,29%,-41%,28%,-37%,23%
YES_Prep_Grade 8 Mathematics+,YES_Prep,Grade 8 Mathematics+,At Meets Grade Level or Above,2019,na,57%,na,58%,na,69%,na,56%,na,71%,na,69%,na,69%,na,60%
YES_Prep_Grade 8 Mathematics+,YES_Prep,Grade 8 Mathematics+,At Masters Grade Level,2021,-0.06,11%,-7%,11%,-20%,8%,-13%,4%,-21%,8%,-17%,10%,-19%,8%,-15%,5%
YES_Prep_Grade 8 Mathematics+,YES_Prep,Grade 8 Mathematics+,At Masters Grade Level,2019,na,17%,na,18%,na,28%,na,17%,na,29%,na,27%,na,27%,na,20%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-14%,54%,-15%,58%,-12%,48%,-13%,62%,-13%,53%,-9%,50%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,68%,na,73%,na,60%,na,75%,na,66%,na,59%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-16%,22%,-15%,23%,-15%,15%,-27%,23%,-14%,21%,-8%,23%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,38%,na,38%,na,30%,na,50%,na,35%,na,31%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-15%,8%,-17%,8%,-13%,5%,-9%,8%,-15%,7%,-12%,9%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,23%,na,25%,na,18%,na,17%,na,22%,na,21%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-34%,38%,-30%,46%,-43%,22%,-37%,46%,-35%,36%,-33%,34%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,72%,na,76%,na,65%,na,83%,na,71%,na,67%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-23%,12%,-24%,14%,-21%,3%,-27%,31%,-22%,10%,-20%,11%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,35%,na,38%,na,24%,na,58%,na,32%,na,31%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-8%,5%,-11%,4%,-7%,2%,7%,15%,-8%,3%,-5%,7%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,13%,na,15%,na,9%,na,8%,na,11%,na,12%
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-9%,57%,-4%,62%,-14%,50%,-32%,50%,-10%,55%,-12%,54%
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,66%,na,66%,na,64%,na,82%,na,65%,na,66%
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-9%,30%,6%,43%,-19%,17%,-3%,33%,-8%,27%,-15%,20%
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,39%,na,37%,na,36%,na,36%,na,35%,na,35%
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-5%,13%,0%,23%,-9%,3%,-1%,17%,-2%,13%,-2%,9%
Harmony_Schools_Grade 4 Reading,Harmony_Schools,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,18%,na,23%,na,12%,na,18%,na,15%,na,11%
Harmony_Schools_Grade 4 Mathematics,Harmony_Schools,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,-33%,50%,-27%,55%,-44%,40%,-15%,67%,-35%,47%,-34%,48%
Harmony_Schools_Grade 4 Mathematics,Harmony_Schools,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,83%,na,82%,na,84%,na,82%,na,82%,na,82%
Harmony_Schools_Grade 4 Mathematics,Harmony_Schools,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,36%,-12%,37%,-24%,25%,-17%,28%,-35%,15%,22%,67%,-23%,22%,-16%,26%
Harmony_Schools_Grade 4 Mathematics,Harmony_Schools,Grade 4 Mathematics,At Meets Grade Level or Above,2019,na,48%,na,49%,na,49%,na,45%,na,50%,na,45%,na,45%,na,42%
Harmony_Schools_Grade 4 Mathematics,Harmony_Schools,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,21%,-8%,22%,-16%,11%,-9%,14%,-23%,6%,8%,17%,-15%,10%,-8%,11%
Harmony_Schools_Grade 4 Mathematics,Harmony_Schools,Grade 4 Mathematics,At Masters Grade Level,2019,na,28%,na,30%,na,27%,na,23%,na,29%,na,9%,na,25%,na,19%
Harmony_Schools_Grade 5 Reading+,Harmony_Schools,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,73%,-13%,73%,-21%,67%,-15%,75%,-26%,57%,-20%,80%,-22%,65%,-25%,60%
Harmony_Schools_Grade 5 Reading+,Harmony_Schools,Grade 5 Reading+,At Approaches Grade Level or Above,2019,na,86%,na,86%,na,88%,na,90%,na,83%,na,100%,na,87%,na,85%
Harmony_Schools_Grade 5 Reading+,Harmony_Schools,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,46%,-7%,47%,-18%,36%,-30%,40%,-7%,32%,-70%,10%,-16%,35%,-14%,31%
Harmony_Schools_Grade 5 Reading+,Harmony_Schools,Grade 5 Reading+,At Meets Grade Level or Above,2019,na,54%,na,54%,na,54%,na,70%,na,39%,na,80%,na,51%,na,45%
Harmony_Schools_Grade 5 Reading+,Harmony_Schools,Grade 5 Reading+,At Masters Grade Level,2021,0.01,30%,1%,31%,-12%,19%,-17%,24%,-7%,12%,-40%,10%,-10%,19%,-13%,13%
Harmony_Schools_Grade 5 Reading+,Harmony_Schools,Grade 5 Reading+,At Masters Grade Level,2019,na,29%,na,30%,na,31%,na,41%,na,19%,na,50%,na,29%,na,26%
Harmony_Schools_Grade 5 Mathematics+,Harmony_Schools,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.2,70%,-19%,70%,-27%,62%,-32%,60%,-25%,60%,-30%,70%,-27%,61%,-26%,62%
Harmony_Schools_Grade 5 Mathematics+,Harmony_Schools,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,na,90%,na,89%,na,89%,na,92%,na,85%,na,100%,na,88%,na,88%
Harmony_Schools_Grade 5 Mathematics+,Harmony_Schools,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,44%,-14%,45%,-32%,30%,-49%,25%,-20%,29%,-60%,20%,-31%,28%,-30%,26%
Harmony_Schools_Grade 5 Mathematics+,Harmony_Schools,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,na,58%,na,59%,na,62%,na,74%,na,49%,na,80%,na,59%,na,56%
Harmony_Schools_Grade 5 Mathematics+,Harmony_Schools,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,25%,-12%,26%,-26%,12%,-38%,10%,-15%,11%,-40%,10%,-25%,12%,-21%,10%
Harmony_Schools_Grade 5 Mathematics+,Harmony_Schools,Grade 5 Mathematics+,At Masters Grade Level,2019,na,36%,na,38%,na,38%,na,48%,na,26%,na,50%,na,37%,na,31%
Harmony_Schools_Grade 5 Science,Harmony_Schools,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,62%,-13%,62%,-19%,48%,-27%,48%,-18%,42%,-40%,40%,-20%,45%,-19%,41%
Harmony_Schools_Grade 5 Science,Harmony_Schools,Grade 5 Science,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,67%,na,75%,na,60%,na,80%,na,65%,na,60%
Harmony_Schools_Grade 5 Science,Harmony_Schools,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,31%,-18%,32%,-23%,14%,-30%,14%,-17%,10%,-50%,0%,-20%,12%,-17%,10%
Harmony_Schools_Grade 5 Science,Harmony_Schools,Grade 5 Science,At Meets Grade Level or Above,2019,na,49%,na,50%,na,37%,na,44%,na,27%,na,50%,na,32%,na,27%
Harmony_Schools_Grade 5 Science,Harmony_Schools,Grade 5 Science,At Masters Grade Level,2021,-0.11,13%,-11%,14%,-11%,4%,-19%,2%,-5%,3%,-20%,0%,-10%,3%,-7%,4%
Harmony_Schools_Grade 5 Science,Harmony_Schools,Grade 5 Science,At Masters Grade Level,2019,na,24%,na,25%,na,15%,na,21%,na,8%,na,20%,na,13%,na,11%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-15%,63%,-18%,63%,-16%,54%,-12%,76%,-17%,55%,-12%,59%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,78%,na,81%,na,70%,na,88%,na,72%,na,71%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-25%,31%,-21%,30%,-26%,22%,-29%,47%,-24%,23%,-17%,31%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,56%,na,51%,na,48%,na,76%,na,47%,na,48%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-23%,14%,-24%,12%,-20%,9%,-31%,21%,-18%,11%,-15%,15%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,37%,na,36%,na,29%,na,52%,na,29%,na,30%
