Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Humble_ISD_Grade 3 Reading,Humble_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-9%,69%,-10%,56%,-12%,62%,-4%,83%,-13%,54%,-15%,57%
Humble_ISD_Grade 3 Reading,Humble_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,78%,na,66%,na,74%,na,87%,na,67%,na,72%
Humble_ISD_Grade 3 Reading,Humble_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-7%,39%,-10%,24%,-8%,30%,-4%,55%,-8%,22%,-11%,25%
Humble_ISD_Grade 3 Reading,Humble_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,46%,na,34%,na,38%,na,59%,na,30%,na,36%
Humble_ISD_Grade 3 Reading,Humble_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-9%,19%,-10%,8%,-6%,14%,-8%,30%,-7%,9%,-5%,13%
Humble_ISD_Grade 3 Reading,Humble_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,28%,na,18%,na,20%,na,38%,na,16%,na,18%
Humble_ISD_Grade 3 Mathematics,Humble_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-15%,62%,-19%,44%,-18%,56%,-9%,78%,-20%,46%,-22%,52%
Humble_ISD_Grade 3 Mathematics,Humble_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,77%,na,63%,na,74%,na,87%,na,66%,na,74%
Humble_ISD_Grade 3 Mathematics,Humble_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-15%,30%,-14%,16%,-14%,23%,-12%,45%,-15%,16%,-17%,20%
Humble_ISD_Grade 3 Mathematics,Humble_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,45%,na,30%,na,37%,na,57%,na,31%,na,37%
