Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-21%,59%,-24%,49%,-21%,59%,-17%,66%,-22%,57%,-24%,58%
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,80%,na,73%,na,80%,na,83%,na,79%,na,82%
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-15%,27%,-14%,17%,-15%,27%,-12%,33%,-15%,25%,-18%,28%
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,42%,na,31%,na,42%,na,45%,na,40%,na,46%
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-11%,12%,-8%,6%,-11%,12%,-5%,18%,-11%,11%,-10%,15%
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,23%,na,14%,na,23%,na,23%,na,22%,na,25%
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-27%,51%,-38%,29%,-27%,51%,-25%,58%,-29%,48%,-27%,55%
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,78%,na,67%,na,78%,na,83%,na,77%,na,82%
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-23%,18%,-19%,9%,-22%,18%,-35%,21%,-23%,16%,-24%,21%
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,41%,na,28%,na,40%,na,56%,na,39%,na,45%
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-11%,6%,-7%,4%,-11%,5%,-18%,8%,-11%,5%,-13%,7%
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,17%,na,11%,na,16%,na,26%,na,16%,na,20%
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-23%,54%,-27%,43%,-24%,53%,-15%,67%,-24%,52%,-25%,50%
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,77%,na,70%,na,77%,na,82%,na,76%,na,75%
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-16%,25%,-14%,21%,-17%,23%,-13%,39%,-16%,23%,-18%,20%
