Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
CROSBY_ISD_Grade 3 Reading,CROSBY_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-5%,71%,-11%,51%,-4%,69%,-1%,80%,-7%,62%,-14%,55%
CROSBY_ISD_Grade 3 Reading,CROSBY_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,76%,na,62%,na,73%,na,81%,na,69%,na,69%
CROSBY_ISD_Grade 3 Reading,CROSBY_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-1%,37%,8%,29%,-2%,33%,-2%,44%,-1%,27%,-10%,20%
CROSBY_ISD_Grade 3 Reading,CROSBY_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,38%,na,21%,na,35%,na,46%,na,28%,na,30%
CROSBY_ISD_Grade 3 Reading,CROSBY_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-3%,19%,5%,14%,-4%,17%,-6%,22%,-3%,12%,-8%,8%
CROSBY_ISD_Grade 3 Reading,CROSBY_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,22%,na,9%,na,21%,na,28%,na,15%,na,16%
CROSBY_ISD_Grade 3 Mathematics,CROSBY_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-11%,67%,-35%,41%,-9%,69%,-8%,72%,-17%,59%,-10%,66%
CROSBY_ISD_Grade 3 Mathematics,CROSBY_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,78%,na,76%,na,78%,na,80%,na,76%,na,76%
CROSBY_ISD_Grade 3 Mathematics,CROSBY_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-9%,34%,-8%,20%,-7%,32%,-10%,42%,-12%,25%,-15%,26%
CROSBY_ISD_Grade 3 Mathematics,CROSBY_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,43%,na,28%,na,39%,na,52%,na,37%,na,41%
CROSBY_ISD_Grade 3 Mathematics,CROSBY_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-2%,15%,8%,10%,-2%,15%,-6%,15%,-2%,10%,-4%,12%
CROSBY_ISD_Grade 3 Mathematics,CROSBY_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,17%,na,2%,na,17%,na,21%,na,12%,na,16%
CROSBY_ISD_Grade 4 Reading,CROSBY_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-1%,71%,-4%,49%,-4%,71%,3%,78%,1%,66%,-2%,69%
CROSBY_ISD_Grade 4 Reading,CROSBY_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,72%,na,53%,na,75%,na,75%,na,65%,na,71%
CROSBY_ISD_Grade 4 Reading,CROSBY_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,1%,39%,3%,22%,0%,38%,-1%,44%,5%,34%,5%,36%
CROSBY_ISD_Grade 4 Reading,CROSBY_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,38%,na,19%,na,38%,na,45%,na,29%,na,31%
