Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Beta_Academy_Grade 3 Reading,Beta_Academy,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-13%,82%,-38%,62%,-14%,84%,#VALUE!,*,-0.14,79%,-21%,69%
Beta_Academy_Grade 3 Reading,Beta_Academy,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,95%,na,100%,na,98%,na,*,na,93%,na,90%
Beta_Academy_Grade 3 Reading,Beta_Academy,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-19%,46%,-48%,15%,-20%,50%,#VALUE!,*,-0.29,39%,-31%,41%
Beta_Academy_Grade 3 Reading,Beta_Academy,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,65%,na,63%,na,70%,na,*,na,68%,na,72%
Beta_Academy_Grade 3 Reading,Beta_Academy,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-21%,20%,-42%,8%,-21%,22%,#VALUE!,*,-0.22,17%,-16%,15%
Beta_Academy_Grade 3 Reading,Beta_Academy,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,41%,na,50%,na,43%,na,*,na,39%,na,31%
Beta_Academy_Grade 3 Mathematics,Beta_Academy,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-23%,62%,-62%,38%,-20%,64%,#VALUE!,*,-0.28,58%,-20%,56%
Beta_Academy_Grade 3 Mathematics,Beta_Academy,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,85%,na,100%,na,84%,na,*,na,86%,na,76%
Beta_Academy_Grade 3 Mathematics,Beta_Academy,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-36%,19%,-63%,0%,-35%,21%,#VALUE!,*,-0.38,16%,-27%,21%
Beta_Academy_Grade 3 Mathematics,Beta_Academy,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,55%,na,63%,na,56%,na,*,na,54%,na,48%
Beta_Academy_Grade 3 Mathematics,Beta_Academy,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-22%,5%,-13%,0%,-24%,6%,#VALUE!,*,-0.17,4%,-23%,5%
Beta_Academy_Grade 3 Mathematics,Beta_Academy,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,27%,na,13%,na,30%,na,*,na,21%,na,28%
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-18%,77%,#VALUE!,71%,-17%,77%,-17%,83%,-0.19,74%,-9%,83%
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,95%,na,*,na,94%,na,100%,na,93%,na,92%
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-23%,38%,#VALUE!,43%,-26%,35%,27%,67%,-0.28,33%,-25%,35%
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,61%,na,*,na,61%,na,40%,na,61%,na,60%
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-15%,9%,#VALUE!,7%,-16%,8%,-23%,17%,-0.1,13%,-21%,3%
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,24%,na,*,na,24%,na,40%,na,23%,na,24%
Beta_Academy_Grade 4 Mathematics,Beta_Academy,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,-22%,55%,#VALUE!,36%,-19%,56%,-33%,67%,-0.21,56%,-12%,60%
Beta_Academy_Grade 4 Mathematics,Beta_Academy,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,77%,na,*,na,75%,na,100%,na,77%,na,72%
Beta_Academy_Grade 4 Mathematics,Beta_Academy,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,36%,-12%,37%,-4%,24%,#VALUE!,21%,-5%,23%,-3%,17%,0,26%,4%,28%
Beta_Academy_Grade 4 Mathematics,Beta_Academy,Grade 4 Mathematics,At Meets Grade Level or Above,2019,na,48%,na,49%,na,28%,na,*,na,28%,na,20%,na,26%,na,24%
Beta_Academy_Grade 4 Mathematics,Beta_Academy,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,21%,-8%,22%,-5%,7%,#VALUE!,7%,-9%,4%,17%,17%,-0.04,7%,-6%,10%
Beta_Academy_Grade 4 Mathematics,Beta_Academy,Grade 4 Mathematics,At Masters Grade Level,2019,na,28%,na,30%,na,12%,na,*,na,13%,na,0%,na,11%,na,16%
