Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Houston_ISD_Grade 4 Mathematics_At Meets Grade Level or Above,Houston_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,0.36,-0.12,0.37,-0.17,0.28,-0.13,0.17,-0.23,0.22,-0.09,0.61,-0.20,0.20,-0.24,0.22
Houston_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,0.59,-0.16,0.60,-0.23,0.49,-0.24,0.35,-0.28,0.45,-0.09,0.79,-0.28,0.41,-0.29,0.45
Houston_ISD_Grade 4 Reading_At Masters Grade Level,Houston_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,0.17,-0.05,0.18,-0.05,0.15,-0.03,0.09,-0.07,0.10,-0.03,0.44,-0.05,0.09,-0.06,0.10
Houston_ISD_Grade 4 Reading_At Meets Grade Level or Above,Houston_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,0.36,-0.08,0.37,-0.08,0.31,-0.06,0.23,-0.11,0.25,-0.02,0.66,-0.09,0.23,-0.10,0.24
Houston_ISD_Grade 4 Reading_At Approaches Grade Level or Above,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,0.63,-0.12,0.63,-0.13,0.56,-0.11,0.48,-0.17,0.51,-0.05,0.84,-0.15,0.49,-0.17,0.49
Houston_ISD_Grade 5 Mathematics+_At Masters Grade Level,Houston_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,0.25,-0.12,0.26,-0.16,0.20,-0.12,0.09,-0.19,0.15,-0.12,0.50,-0.17,0.13,-0.19,0.16
Houston_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above,Houston_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,0.44,-0.14,0.45,-0.20,0.35,-0.18,0.22,-0.24,0.31,-0.09,0.68,-0.22,0.28,-0.25,0.31
Houston_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above,Houston_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.20,0.70,-0.19,0.70,-0.26,0.60,-0.31,0.47,-0.29,0.57,-0.08,0.86,-0.30,0.54,-0.29,0.58
Houston_ISD_Grade 5 Reading+_At Masters Grade Level,Houston_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,0.30,0.01,0.31,0.00,0.26,-0.01,0.18,-0.01,0.20,0.04,0.63,-0.01,0.18,0.01,0.19
Houston_ISD_Grade 5 Reading+_At Meets Grade Level or Above,Houston_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,0.46,-0.07,0.47,-0.06,0.41,-0.09,0.31,-0.07,0.36,-0.04,0.76,-0.08,0.33,-0.04,0.35
Houston_ISD_Grade 5 Reading+_At Approaches Grade Level or Above,Houston_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,0.73,-0.13,0.73,-0.15,0.66,-0.20,0.56,-0.16,0.64,-0.05,0.90,-0.17,0.61,-0.16,0.62
Houston_ISD_Grade 5 Science_At Masters Grade Level,Houston_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,0.13,-0.11,0.14,-0.09,0.10,-0.06,0.04,-0.11,0.06,-0.10,0.34,-0.10,0.04,-0.11,0.05
Houston_ISD_Grade 5 Science_At Meets Grade Level or Above,Houston_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,0.31,-0.18,0.32,-0.19,0.23,-0.14,0.15,-0.23,0.17,-0.12,0.58,-0.21,0.15,-0.22,0.15
