Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-24%,42%,-22%,39%,-25%,42%,-27%,43%,-24%,41%,-27%,40%
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,66%,na,61%,na,67%,na,70%,na,65%,na,67%
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-16%,14%,-12%,14%,-17%,13%,-11%,17%,-15%,13%,-18%,12%
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,30%,na,26%,na,30%,na,28%,na,28%,na,30%
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-11%,4%,-9%,4%,-12%,4%,-18%,3%,-12%,3%,-12%,4%
Aldine_ISD_Grade 3 Reading,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,15%,na,13%,na,16%,na,21%,na,15%,na,16%
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-37%,37%,-38%,26%,-37%,40%,-47%,24%,-37%,36%,-39%,39%
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,74%,na,64%,na,77%,na,71%,na,73%,na,78%
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-28%,11%,-20%,7%,-30%,12%,-33%,8%,-27%,11%,-31%,12%
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,39%,na,27%,na,42%,na,41%,na,38%,na,43%
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-12%,4%,-7%,1%,-14%,4%,-12%,5%,-13%,3%,-16%,4%
Aldine_ISD_Grade 3 Mathematics,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,16%,na,8%,na,18%,na,17%,na,16%,na,20%
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-28%,39%,-22%,34%,-30%,39%,-10%,53%,-28%,38%,-30%,38%
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,67%,na,56%,na,69%,na,63%,na,66%,na,68%
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-17%,14%,-9%,13%,-18%,14%,-5%,29%,-17%,13%,-16%,13%
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,31%,na,22%,na,32%,na,34%,na,30%,na,29%
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-7%,4%,-5%,3%,-8%,4%,-5%,8%,-7%,4%,-6%,4%
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,11%,na,8%,na,12%,na,13%,na,11%,na,10%
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,-35%,37%,-32%,24%,-36%,40%,-18%,48%,-35%,36%,-37%,40%
Aldine_ISD_Grade 4 Mathematics,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,72%,na,56%,na,76%,na,66%,na,71%,na,77%
