Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2019,81%,81%,81%,76%,82%,90%,-,96%,-,*,33%,60%,81%,82%,81%,84%
,2018,77%,78%,81%,78%,80%,75%,-,100%,-,86%,42%,*,83%,79%,79%,80%
At Meets Grade Level or Above,2019,47%,48%,43%,41%,40%,50%,-,63%,-,*,11%,0%,44%,42%,41%,40%
,2018,44%,46%,46%,36%,43%,42%,-,88%,-,86%,28%,*,52%,42%,43%,42%
At Masters Grade Level,2019,21%,22%,17%,17%,13%,40%,-,30%,-,*,3%,0%,16%,17%,16%,13%
,2018,18%,20%,17%,14%,13%,17%,-,52%,-,43%,14%,*,22%,15%,15%,14%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,80%,83%,76%,90%,-,93%,-,83%,39%,*,86%,76%,78%,71%
,2018,74%,76%,83%,81%,85%,*,-,88%,-,40%,58%,67%,85%,82%,82%,79%
At Meets Grade Level or Above,2019,49%,51%,52%,52%,47%,60%,-,83%,-,67%,18%,*,56%,50%,51%,43%
,2018,48%,50%,52%,53%,46%,*,-,76%,-,40%,32%,17%,55%,50%,49%,44%
At Masters Grade Level,2019,29%,31%,30%,27%,25%,40%,-,57%,-,50%,8%,*,33%,27%,28%,22%
,2018,29%,30%,27%,30%,22%,*,-,45%,-,40%,5%,0%,34%,22%,25%,18%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,83%,82%,81%,100%,-,97%,-,83%,47%,*,85%,82%,82%,79%
,2018,72%,75%,82%,79%,82%,*,-,89%,-,80%,54%,83%,85%,79%,80%,79%
At Meets Grade Level or Above,2019,43%,46%,48%,43%,43%,60%,-,83%,-,83%,18%,*,49%,47%,46%,36%
,2018,40%,43%,53%,49%,51%,*,-,73%,-,40%,18%,50%,55%,52%,49%,50%
At Masters Grade Level,2019,17%,18%,19%,16%,15%,40%,-,43%,-,50%,11%,*,23%,17%,17%,12%
,2018,18%,20%,27%,24%,20%,*,-,59%,-,40%,11%,17%,31%,23%,23%,21%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,76%,77%,72%,80%,-,93%,-,83%,39%,*,78%,75%,74%,69%
,2018,69%,69%,72%,74%,68%,*,-,81%,-,*,30%,40%,77%,68%,69%,62%
At Meets Grade Level or Above,2019,42%,43%,43%,40%,38%,60%,-,83%,-,67%,11%,*,46%,41%,42%,36%
,2018,43%,44%,43%,47%,37%,*,-,56%,-,*,19%,20%,49%,38%,39%,31%
At Masters Grade Level,2019,18%,19%,18%,17%,14%,10%,-,53%,-,33%,11%,*,22%,16%,18%,10%
,2018,15%,16%,10%,8%,7%,*,-,28%,-,*,4%,0%,10%,10%,7%,8%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,93%,92%,93%,89%,*,92%,-,*,60%,*,95%,90%,92%,89%
,2018,86%,86%,92%,92%,91%,83%,-,100%,-,*,59%,*,92%,92%,91%,86%
At Meets Grade Level or Above,2019,55%,56%,62%,61%,61%,56%,*,69%,-,*,32%,*,67%,56%,60%,53%
,2018,49%,51%,54%,55%,51%,33%,-,69%,-,*,27%,*,54%,54%,50%,36%
At Masters Grade Level,2019,28%,30%,29%,33%,22%,22%,*,54%,-,*,12%,*,36%,22%,27%,18%
,2018,27%,28%,30%,26%,26%,33%,-,49%,-,*,9%,*,33%,27%,26%,18%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,94%,94%,94%,88%,*,88%,-,*,72%,*,92%,95%,93%,91%
,2018,86%,87%,96%,94%,96%,80%,-,100%,-,-,71%,*,96%,96%,96%,94%
At Meets Grade Level or Above,2019,57%,58%,66%,61%,67%,75%,*,71%,-,*,40%,*,61%,71%,67%,66%
,2018,51%,52%,66%,60%,65%,80%,-,85%,-,-,48%,*,61%,70%,65%,61%
At Masters Grade Level,2019,17%,18%,23%,19%,25%,13%,*,29%,-,*,8%,*,21%,26%,21%,23%
,2018,15%,16%,29%,19%,31%,20%,-,48%,-,-,24%,*,30%,28%,25%,24%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,80%,82%,78%,78%,-,85%,-,*,36%,*,84%,76%,79%,72%
,2018,76%,77%,79%,79%,76%,83%,-,89%,-,*,45%,*,76%,81%,76%,65%
At Meets Grade Level or Above,2019,51%,52%,34%,32%,29%,56%,-,58%,-,*,24%,*,39%,28%,31%,27%
,2018,52%,53%,48%,41%,45%,50%,-,76%,-,*,32%,*,46%,50%,43%,29%
At Masters Grade Level,2019,25%,27%,14%,13%,10%,33%,-,35%,-,*,8%,*,15%,13%,13%,7%
,2018,28%,29%,20%,12%,19%,33%,-,40%,-,*,14%,*,20%,20%,17%,14%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,80%,82%,77%,89%,-,88%,-,*,48%,*,82%,79%,79%,74%
,2018,65%,66%,73%,71%,69%,83%,-,89%,-,*,45%,*,73%,72%,70%,59%
At Meets Grade Level or Above,2019,37%,38%,45%,52%,33%,44%,-,76%,-,*,20%,*,46%,44%,43%,30%
,2018,36%,37%,38%,32%,34%,33%,-,71%,-,*,32%,*,39%,38%,33%,25%
At Masters Grade Level,2019,21%,23%,25%,25%,18%,22%,-,60%,-,*,8%,*,25%,24%,21%,18%
,2018,21%,22%,22%,13%,21%,17%,-,47%,-,*,23%,*,24%,21%,19%,13%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,76%,76%,74%,86%,*,84%,-,-,29%,*,79%,72%,76%,64%
,2018,65%,65%,72%,73%,70%,73%,*,86%,*,*,38%,57%,80%,61%,72%,57%
At Meets Grade Level or Above,2019,50%,50%,61%,61%,57%,81%,*,75%,-,-,20%,*,65%,55%,60%,48%
,2018,44%,45%,50%,51%,46%,45%,*,75%,*,*,23%,29%,58%,38%,50%,28%
At Masters Grade Level,2019,11%,11%,13%,9%,11%,14%,*,25%,-,-,7%,*,15%,9%,11%,6%
,2018,7%,8%,5%,4%,4%,2%,*,14%,*,*,8%,0%,6%,2%,4%,2%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,78%,82%,77%,53%,*,88%,*,*,35%,*,85%,67%,78%,64%
,2018,67%,67%,76%,74%,75%,78%,-,84%,*,*,28%,*,84%,56%,75%,63%
At Meets Grade Level or Above,2019,49%,50%,61%,73%,56%,47%,*,74%,*,*,26%,*,67%,49%,61%,39%
,2018,48%,48%,52%,56%,47%,56%,-,68%,*,*,10%,*,61%,27%,49%,30%
At Masters Grade Level,2019,8%,9%,6%,3%,7%,0%,*,9%,*,*,6%,*,8%,3%,6%,4%
,2018,8%,9%,9%,11%,5%,7%,-,32%,*,*,3%,*,11%,3%,7%,2%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,94%,90%,94%,100%,-,97%,*,*,63%,*,98%,88%,93%,93%
,2018,83%,83%,93%,90%,94%,95%,*,91%,*,*,60%,*,98%,86%,92%,88%
At Meets Grade Level or Above,2019,61%,61%,78%,75%,76%,87%,-,94%,*,*,40%,*,84%,70%,78%,74%
,2018,55%,55%,74%,73%,73%,69%,*,82%,*,*,31%,*,83%,61%,74%,59%
At Masters Grade Level,2019,37%,38%,48%,43%,45%,33%,-,82%,*,*,23%,*,57%,37%,47%,50%
,2018,32%,34%,45%,43%,41%,38%,*,70%,*,*,9%,*,53%,34%,45%,27%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,91%,87%,91%,100%,*,95%,-,-,62%,*,92%,89%,90%,88%
,2018,87%,86%,91%,88%,91%,88%,*,95%,*,*,68%,*,94%,86%,92%,87%
At Meets Grade Level or Above,2019,62%,63%,69%,67%,64%,89%,*,90%,-,-,31%,*,75%,61%,68%,61%
,2018,59%,60%,59%,59%,56%,55%,*,75%,*,*,24%,*,69%,47%,59%,40%
At Masters Grade Level,2019,25%,28%,27%,26%,22%,26%,*,50%,-,-,10%,*,30%,22%,24%,10%
,2018,24%,26%,15%,15%,13%,10%,*,28%,*,*,3%,*,18%,11%,15%,8%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,95%,96%,93%,95%,-,100%,-,*,67%,-,97%,84%,94%,84%
,2018,92%,91%,95%,97%,96%,100%,-,90%,-,*,68%,*,96%,95%,95%,86%
At Meets Grade Level or Above,2019,73%,75%,78%,81%,76%,89%,-,78%,-,*,25%,-,81%,66%,77%,57%
,2018,70%,71%,82%,80%,81%,83%,-,87%,-,*,53%,*,84%,77%,82%,63%
At Masters Grade Level,2019,45%,49%,44%,55%,37%,58%,-,56%,-,*,8%,-,46%,36%,43%,24%
,2018,40%,43%,42%,34%,41%,50%,-,53%,-,*,5%,*,49%,26%,38%,12%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,81%,81%,78%,86%,63%,91%,*,85%,43%,86%,83%,78%,79%,75%
,2018,77%,77%,80%,80%,78%,83%,71%,91%,*,85%,46%,72%,83%,77%,79%,73%
At Meets Grade Level or Above,2019,50%,51%,52%,52%,47%,62%,63%,74%,*,73%,21%,43%,55%,47%,50%,42%
,2018,48%,49%,50%,50%,46%,54%,57%,71%,*,63%,25%,31%,55%,45%,47%,39%
At Masters Grade Level,2019,24%,25%,22%,23%,18%,25%,38%,43%,*,46%,8%,16%,25%,19%,21%,16%
,2018,22%,23%,21%,20%,17%,20%,14%,41%,*,38%,10%,7%,23%,17%,19%,14%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,77%,79%,74%,81%,*,89%,*,87%,38%,86%,80%,74%,76%,69%
,2018,74%,74%,77%,79%,74%,77%,*,90%,*,82%,42%,73%,81%,72%,76%,69%
At Meets Grade Level or Above,2019,48%,49%,51%,54%,47%,58%,*,68%,*,80%,21%,29%,55%,47%,50%,40%
,2018,46%,47%,47%,50%,42%,49%,*,67%,*,55%,24%,23%,52%,40%,44%,34%
At Masters Grade Level,2019,21%,22%,19%,22%,15%,19%,*,35%,*,53%,7%,5%,21%,16%,18%,14%
,2018,19%,20%,17%,20%,13%,12%,*,36%,*,23%,9%,4%,19%,14%,16%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,85%,84%,84%,92%,*,94%,*,85%,47%,89%,86%,84%,85%,83%
,2018,81%,82%,86%,83%,85%,89%,*,95%,*,83%,53%,85%,87%,84%,84%,83%
At Meets Grade Level or Above,2019,52%,53%,55%,53%,51%,66%,*,78%,*,69%,23%,53%,56%,53%,53%,49%
,2018,50%,51%,56%,52%,54%,62%,*,79%,*,61%,27%,45%,59%,53%,54%,49%
At Masters Grade Level,2019,26%,28%,26%,24%,23%,28%,*,49%,*,46%,11%,32%,30%,22%,24%,22%
,2018,24%,25%,28%,25%,24%,36%,*,54%,*,44%,12%,20%,32%,23%,26%,20%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,70%,71%,66%,71%,*,93%,-,75%,35%,60%,69%,71%,69%,65%
,2018,66%,66%,67%,72%,61%,80%,-,82%,-,*,23%,50%,72%,63%,65%,59%
At Meets Grade Level or Above,2019,38%,39%,36%,37%,30%,38%,*,80%,-,50%,11%,60%,37%,35%,34%,28%
,2018,41%,42%,41%,48%,31%,40%,-,62%,-,*,13%,33%,46%,36%,37%,31%
At Masters Grade Level,2019,14%,15%,13%,13%,10%,5%,*,44%,-,25%,8%,0%,13%,13%,12%,7%
