Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUFFMAN ISD (101925) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,77%,78%,68%,57%,63%,70%,-,*,-,*,27%,*,69%,64%,60%,59%
At Meets Grade Level or Above,2019,47%,48%,32%,*,25%,34%,-,*,-,33%,5%,*,28%,39%,22%,44%
,2018,44%,46%,27%,57%,17%,29%,-,*,-,*,18%,*,30%,19%,18%,21%
At Masters Grade Level,2019,21%,22%,8%,*,3%,9%,-,*,-,0%,5%,*,8%,8%,6%,6%
,2018,18%,20%,6%,29%,5%,6%,-,*,-,*,9%,*,6%,6%,3%,9%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,74%,83%,67%,75%,*,*,-,*,23%,*,74%,74%,69%,59%
,2018,74%,76%,65%,67%,59%,67%,-,-,-,*,25%,*,65%,65%,53%,55%
At Meets Grade Level or Above,2019,49%,51%,42%,67%,34%,45%,*,*,-,*,18%,*,43%,42%,31%,37%
,2018,48%,50%,40%,44%,29%,44%,-,-,-,*,11%,*,42%,35%,27%,20%
At Masters Grade Level,2019,29%,31%,21%,50%,14%,23%,*,*,-,*,5%,*,21%,25%,17%,15%
,2018,29%,30%,21%,44%,11%,23%,-,-,-,*,4%,*,24%,11%,9%,5%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,68%,67%,59%,70%,*,*,-,*,27%,*,70%,61%,58%,48%
,2018,72%,75%,64%,78%,58%,65%,-,-,-,*,28%,*,67%,57%,49%,50%
At Meets Grade Level or Above,2019,43%,46%,30%,33%,21%,32%,*,*,-,*,18%,*,31%,26%,19%,19%
,2018,40%,43%,31%,22%,27%,33%,-,-,-,*,7%,*,33%,26%,19%,20%
At Masters Grade Level,2019,17%,18%,7%,17%,5%,7%,*,*,-,*,5%,*,8%,5%,5%,4%
,2018,18%,20%,11%,0%,7%,13%,-,-,-,*,7%,*,13%,4%,7%,5%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,54%,67%,48%,55%,*,*,-,*,14%,*,55%,52%,43%,48%
,2018,69%,69%,57%,67%,55%,58%,-,-,-,*,14%,*,61%,47%,47%,45%
At Meets Grade Level or Above,2019,42%,43%,24%,50%,14%,26%,*,*,-,*,14%,*,23%,25%,18%,11%
,2018,43%,44%,31%,44%,27%,33%,-,-,-,*,10%,*,32%,31%,22%,20%
At Masters Grade Level,2019,18%,19%,8%,0%,7%,8%,*,*,-,*,0%,*,7%,9%,2%,0%
,2018,15%,16%,4%,0%,6%,4%,-,-,-,*,0%,*,5%,3%,2%,0%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,87%,91%,80%,90%,-,*,-,80%,59%,*,87%,85%,76%,67%
,2018,86%,86%,81%,*,73%,84%,*,*,-,100%,24%,83%,80%,82%,69%,53%
At Meets Grade Level or Above,2019,55%,56%,52%,64%,38%,57%,-,*,-,20%,19%,*,54%,48%,36%,22%
,2018,49%,51%,38%,*,28%,43%,*,*,-,17%,10%,17%,40%,35%,27%,26%
At Masters Grade Level,2019,28%,30%,24%,27%,13%,29%,-,*,-,0%,7%,*,24%,24%,15%,6%
,2018,27%,28%,18%,*,13%,19%,*,*,-,0%,5%,17%,20%,13%,10%,0%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,81%,89%,81%,81%,-,*,-,60%,56%,*,84%,74%,65%,75%
,2018,86%,87%,80%,*,80%,79%,-,*,-,80%,32%,*,82%,75%,72%,83%
At Meets Grade Level or Above,2019,57%,58%,42%,56%,35%,43%,-,*,-,20%,19%,*,44%,36%,28%,50%
,2018,51%,52%,32%,*,29%,34%,-,*,-,40%,14%,*,33%,30%,22%,22%
At Masters Grade Level,2019,17%,18%,7%,22%,6%,6%,-,*,-,0%,11%,*,6%,8%,7%,6%
,2018,15%,16%,3%,*,6%,2%,-,*,-,0%,5%,*,3%,4%,4%,6%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,83%,91%,74%,85%,-,*,-,80%,41%,*,86%,76%,69%,67%
,2018,76%,77%,76%,*,66%,80%,*,*,-,67%,19%,83%,78%,71%,64%,58%
At Meets Grade Level or Above,2019,51%,52%,58%,45%,42%,65%,-,*,-,40%,22%,*,60%,54%,43%,39%
,2018,52%,53%,56%,*,42%,61%,*,*,-,50%,10%,83%,58%,49%,42%,37%
At Masters Grade Level,2019,25%,27%,33%,36%,25%,35%,-,*,-,20%,11%,*,36%,24%,18%,11%
,2018,28%,29%,30%,*,22%,33%,*,*,-,0%,5%,50%,32%,24%,22%,11%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,70%,73%,72%,69%,-,*,-,40%,41%,*,72%,66%,60%,61%
,2018,65%,66%,65%,*,57%,67%,*,*,-,83%,14%,83%,69%,55%,48%,47%
At Meets Grade Level or Above,2019,37%,38%,39%,27%,35%,42%,-,*,-,0%,11%,*,43%,28%,30%,28%
,2018,36%,37%,27%,*,18%,30%,*,*,-,0%,10%,33%,29%,22%,18%,5%
At Masters Grade Level,2019,21%,23%,22%,27%,12%,26%,-,*,-,0%,11%,*,24%,16%,16%,6%
,2018,21%,22%,10%,*,10%,10%,*,*,-,0%,5%,17%,10%,11%,8%,0%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,72%,33%,69%,74%,*,*,*,57%,31%,40%,75%,63%,65%,49%
,2018,65%,65%,70%,57%,65%,72%,-,*,-,*,38%,*,73%,64%,62%,27%
At Meets Grade Level or Above,2019,50%,50%,54%,17%,50%,56%,*,*,*,57%,10%,20%,57%,46%,52%,30%
,2018,44%,45%,45%,29%,43%,46%,-,*,-,*,16%,*,47%,39%,33%,8%
At Masters Grade Level,2019,11%,11%,1%,0%,1%,1%,*,*,*,0%,0%,0%,0%,2%,1%,0%
,2018,7%,8%,6%,0%,4%,6%,-,*,-,*,0%,*,7%,5%,4%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,80%,80%,80%,81%,*,*,-,*,46%,*,82%,75%,79%,59%
,2018,67%,67%,80%,75%,62%,86%,-,*,-,83%,41%,-,83%,67%,74%,41%
At Meets Grade Level or Above,2019,49%,50%,61%,40%,52%,65%,*,*,-,*,19%,*,62%,57%,54%,23%
,2018,48%,48%,62%,50%,42%,69%,-,*,-,67%,22%,-,65%,48%,53%,12%
At Masters Grade Level,2019,8%,9%,8%,0%,7%,8%,*,*,-,*,4%,*,9%,6%,7%,0%
,2018,8%,9%,10%,0%,10%,10%,-,*,-,0%,9%,-,10%,9%,7%,6%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,87%,80%,86%,87%,-,*,*,80%,51%,*,88%,83%,79%,73%
,2018,83%,83%,93%,80%,93%,93%,*,-,-,*,67%,100%,95%,89%,93%,100%
At Meets Grade Level or Above,2019,61%,61%,60%,60%,62%,60%,-,*,*,20%,16%,*,63%,51%,46%,32%
,2018,55%,55%,59%,20%,57%,59%,*,-,-,*,24%,50%,59%,59%,53%,45%
At Masters Grade Level,2019,37%,38%,7%,0%,10%,7%,-,*,*,0%,0%,*,7%,8%,7%,5%
,2018,32%,34%,25%,0%,26%,24%,*,-,-,*,0%,0%,26%,24%,20%,10%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,97%,*,96%,97%,*,-,-,*,80%,*,97%,97%,97%,95%
,2018,87%,86%,93%,100%,89%,94%,-,*,-,*,67%,-,95%,87%,86%,64%
At Meets Grade Level or Above,2019,62%,63%,84%,*,76%,86%,*,-,-,*,44%,*,84%,83%,79%,53%
,2018,59%,60%,72%,60%,63%,74%,-,*,-,*,33%,-,75%,60%,61%,36%
At Masters Grade Level,2019,25%,28%,39%,*,38%,40%,*,-,-,*,8%,*,40%,37%,37%,21%
,2018,24%,26%,31%,20%,30%,32%,-,*,-,*,4%,-,33%,26%,26%,7%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,94%,100%,93%,94%,*,*,-,83%,74%,*,96%,82%,92%,80%
,2018,92%,91%,94%,100%,88%,95%,*,*,-,*,63%,*,95%,90%,90%,64%
At Meets Grade Level or Above,2019,73%,75%,75%,75%,64%,79%,*,*,-,83%,48%,*,80%,51%,68%,10%
,2018,70%,71%,73%,88%,66%,74%,*,*,-,*,38%,*,74%,70%,63%,27%
At Masters Grade Level,2019,45%,49%,44%,25%,34%,47%,*,*,-,50%,4%,*,48%,22%,29%,0%
,2018,40%,43%,40%,38%,32%,41%,*,*,-,*,13%,*,42%,33%,23%,9%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,76%,75%,72%,78%,79%,82%,*,67%,45%,72%,78%,71%,67%,62%
,2018,77%,77%,76%,73%,68%,78%,100%,80%,-,79%,40%,72%,77%,71%,65%,57%
At Meets Grade Level or Above,2019,50%,51%,47%,46%,38%,50%,50%,45%,*,37%,21%,36%,49%,41%,34%,27%
,2018,48%,49%,45%,46%,36%,48%,100%,51%,-,44%,21%,32%,47%,40%,34%,24%
At Masters Grade Level,2019,24%,25%,18%,22%,14%,20%,21%,24%,*,14%,7%,12%,19%,15%,12%,8%
,2018,22%,23%,17%,18%,13%,18%,90%,26%,-,13%,7%,11%,18%,14%,11%,7%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,76%,75%,71%,78%,83%,67%,*,66%,38%,74%,78%,72%,68%,61%
,2018,74%,74%,74%,70%,64%,78%,*,69%,-,85%,40%,67%,76%,71%,64%,51%
At Meets Grade Level or Above,2019,48%,49%,47%,45%,38%,50%,50%,33%,*,34%,17%,39%,49%,43%,35%,27%
,2018,46%,47%,45%,48%,36%,48%,*,38%,-,46%,22%,26%,47%,40%,35%,21%
At Masters Grade Level,2019,21%,22%,17%,24%,12%,18%,0%,25%,*,10%,6%,13%,17%,16%,11%,8%
,2018,19%,20%,16%,23%,11%,17%,*,23%,-,12%,8%,10%,17%,13%,10%,7%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,76%,67%,71%,78%,*,90%,*,62%,50%,73%,78%,71%,65%,62%
,2018,81%,82%,78%,76%,73%,80%,*,80%,-,79%,46%,84%,80%,74%,69%,67%
At Meets Grade Level or Above,2019,52%,53%,42%,44%,36%,44%,*,60%,*,31%,21%,36%,44%,38%,30%,31%
,2018,50%,51%,42%,38%,35%,44%,*,50%,-,53%,22%,37%,43%,39%,31%,28%
At Masters Grade Level,2019,26%,28%,14%,23%,12%,14%,*,20%,*,4%,8%,12%,14%,12%,10%,9%
,2018,24%,25%,16%,15%,13%,17%,*,10%,-,16%,8%,8%,17%,14%,12%,9%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,59%,73%,57%,59%,*,*,-,*,29%,67%,61%,54%,51%,54%
,2018,66%,66%,56%,75%,51%,57%,-,*,-,20%,19%,38%,60%,46%,42%,40%
At Meets Grade Level or Above,2019,38%,39%,28%,47%,22%,30%,*,*,-,*,19%,20%,29%,26%,23%,12%
,2018,41%,42%,31%,50%,24%,34%,-,*,-,0%,15%,15%,33%,27%,19%,17%
At Masters Grade Level,2019,14%,15%,8%,13%,6%,8%,*,*,-,*,2%,0%,8%,7%,4%,0%
,2018,13%,13%,6%,8%,5%,6%,-,*,-,0%,2%,0%,7%,4%,3%,2%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,85%,84%,78%,88%,*,80%,-,83%,54%,69%,87%,81%,74%,72%
,2018,80%,80%,84%,67%,77%,86%,*,100%,-,85%,45%,78%,86%,77%,76%,62%
At Meets Grade Level or Above,2019,54%,55%,61%,47%,47%,67%,*,60%,-,58%,28%,38%,64%,55%,44%,35%
,2018,51%,52%,56%,33%,47%,60%,*,60%,-,62%,20%,56%,60%,48%,46%,34%
At Masters Grade Level,2019,25%,27%,29%,21%,23%,31%,*,60%,-,33%,6%,23%,31%,24%,18%,13%
,2018,23%,24%,25%,11%,21%,26%,*,40%,-,15%,3%,33%,27%,19%,18%,9%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,82%,84%,82%,82%,*,*,-,64%,57%,*,85%,72%,73%,68%
,2018,78%,79%,79%,80%,71%,81%,*,*,-,89%,40%,86%,83%,71%,69%,53%
At Meets Grade Level or Above,2019,55%,57%,56%,47%,48%,60%,*,*,-,45%,30%,*,62%,36%,45%,21%
,2018,53%,54%,50%,70%,40%,53%,*,*,-,22%,24%,43%,53%,43%,41%,13%
At Masters Grade Level,2019,33%,36%,33%,26%,22%,37%,*,*,-,27%,7%,*,37%,18%,21%,4%
,2018,31%,32%,25%,30%,20%,26%,*,*,-,11%,9%,29%,27%,21%,16%,3%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,27%,17%,18%,32%,*,-,*,*,19%,*,32%,16%,15%,15%
,2018,34%,34%,26%,50%,22%,27%,-,*,-,*,29%,20%,27%,22%,17%,14%
Reading and Mathematics Including EOC,2019,35%,36%,27%,17%,18%,32%,*,-,*,*,19%,*,32%,16%,15%,15%
,2018,34%,34%,26%,50%,22%,27%,-,*,-,*,29%,20%,27%,22%,17%,14%
Reading Including EOC,2019,45%,45%,40%,17%,29%,45%,*,-,*,*,25%,*,44%,29%,25%,31%
,2018,43%,44%,33%,50%,32%,33%,-,*,-,*,35%,20%,35%,26%,22%,25%
Math Including EOC,2019,49%,48%,34%,17%,22%,39%,*,-,*,*,22%,*,41%,18%,19%,23%
,2018,47%,48%,37%,67%,32%,38%,-,*,-,*,37%,40%,37%,36%,26%,18%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,56%,27%,27%,-,*,-,*,21%,18%,30%,25%,20%,10%
,2018,36%,37%,31%,*,22%,33%,-,*,-,*,13%,33%,33%,24%,18%,11%
Reading and Mathematics Including EOC,2019,35%,36%,28%,56%,27%,27%,-,*,-,*,21%,18%,30%,25%,20%,10%
,2018,36%,37%,31%,*,22%,33%,-,*,-,*,13%,33%,33%,24%,18%,11%
Reading Including EOC,2019,44%,45%,39%,56%,35%,39%,-,*,-,*,23%,45%,40%,37%,30%,23%
,2018,46%,46%,46%,*,35%,51%,-,*,-,*,33%,33%,50%,38%,31%,15%
Math Including EOC,2019,48%,49%,37%,56%,39%,36%,-,*,-,*,31%,18%,38%,36%,33%,23%
,2018,49%,51%,38%,*,28%,42%,-,*,-,*,13%,33%,42%,29%,23%,26%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,44%,*,31%,49%,-,*,-,*,17%,50%,45%,41%,27%,16%
,2018,44%,44%,46%,*,42%,47%,-,*,-,*,36%,*,47%,46%,38%,43%
Reading and Mathematics Including EOC,2019,44%,44%,44%,*,31%,49%,-,*,-,*,17%,50%,45%,41%,27%,16%
,2018,44%,44%,46%,*,42%,47%,-,*,-,*,36%,*,47%,46%,38%,43%
Reading Including EOC,2019,54%,54%,51%,*,39%,57%,-,*,-,*,17%,50%,52%,49%,35%,22%
,2018,54%,54%,58%,*,52%,59%,-,*,-,*,43%,*,57%,60%,50%,43%
Math Including EOC,2019,58%,59%,58%,*,44%,64%,-,*,-,*,33%,50%,60%,55%,43%,41%
,2018,58%,59%,63%,*,59%,65%,-,*,-,*,60%,*,64%,62%,56%,64%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,22%,*,11%,25%,-,*,-,33%,5%,*,18%,31%,12%,19%
,2018,31%,33%,22%,57%,15%,23%,-,*,-,*,17%,*,23%,19%,16%,14%
Reading and Mathematics Including EOC,2019,31%,32%,22%,*,11%,25%,-,*,-,33%,5%,*,18%,31%,12%,19%
,2018,31%,33%,22%,57%,15%,23%,-,*,-,*,17%,*,23%,19%,16%,14%
Reading Including EOC,2019,37%,38%,33%,*,18%,39%,-,*,-,33%,9%,*,32%,37%,20%,25%
,2018,39%,41%,34%,71%,25%,36%,-,*,-,*,22%,*,33%,37%,29%,26%
Math Including EOC,2019,48%,49%,32%,*,25%,34%,-,*,-,33%,5%,*,28%,39%,22%,44%
,2018,45%,47%,27%,57%,17%,29%,-,*,-,*,17%,*,30%,19%,18%,20%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,24%,33%,14%,27%,*,*,-,*,18%,*,25%,23%,11%,11%
,2018,35%,37%,26%,22%,15%,29%,-,-,-,*,7%,*,28%,19%,14%,11%
Reading and Mathematics Including EOC,2019,37%,40%,24%,33%,14%,27%,*,*,-,*,18%,*,25%,23%,11%,11%
,2018,36%,38%,26%,22%,15%,29%,-,-,-,*,7%,*,28%,19%,14%,11%
