Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,70%,59%,73%,78%,*,-,-,80%,31%,80%,72%,66%,69%,72%
,2018,77%,78%,63%,59%,64%,62%,-,*,*,*,49%,75%,65%,59%,62%,61%
At Meets Grade Level or Above,2019,47%,48%,25%,17%,27%,31%,*,-,-,40%,16%,20%,27%,21%,25%,25%
,2018,44%,46%,20%,16%,22%,19%,-,*,*,*,21%,38%,23%,16%,20%,23%
At Masters Grade Level,2019,21%,22%,8%,6%,9%,6%,*,-,-,40%,8%,0%,9%,7%,8%,8%
,2018,18%,20%,5%,4%,5%,4%,-,*,*,*,11%,25%,5%,5%,4%,6%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,69%,67%,70%,50%,-,*,-,80%,36%,40%,71%,64%,67%,65%
,2018,74%,76%,59%,53%,61%,64%,-,*,*,60%,19%,*,63%,53%,59%,60%
At Meets Grade Level or Above,2019,49%,51%,31%,27%,33%,21%,-,*,-,40%,18%,0%,34%,26%,31%,30%
,2018,48%,50%,30%,26%,31%,30%,-,*,*,40%,6%,*,31%,28%,29%,30%
At Masters Grade Level,2019,29%,31%,15%,11%,16%,13%,-,*,-,20%,10%,0%,16%,13%,15%,13%
,2018,29%,30%,13%,9%,14%,21%,-,*,*,20%,2%,*,14%,12%,13%,13%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,65%,56%,68%,50%,-,*,-,40%,34%,40%,66%,61%,64%,65%
,2018,72%,75%,64%,62%,64%,73%,-,*,*,40%,21%,*,66%,60%,64%,63%
At Meets Grade Level or Above,2019,43%,46%,25%,22%,27%,17%,-,*,-,20%,23%,0%,27%,21%,25%,23%
,2018,40%,43%,28%,19%,31%,24%,-,*,*,20%,8%,*,31%,22%,28%,30%
At Masters Grade Level,2019,17%,18%,6%,5%,6%,4%,-,*,-,0%,7%,0%,6%,6%,6%,5%
,2018,18%,20%,9%,7%,9%,6%,-,*,*,20%,4%,*,11%,6%,9%,9%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,57%,58%,57%,46%,-,*,-,60%,18%,20%,58%,54%,57%,55%
,2018,69%,69%,51%,50%,51%,55%,-,*,*,40%,12%,*,51%,52%,50%,50%
