Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING ISD (101919) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,10%,8%,10%,13%,5%,33%,14%,11%,4%,6%,12%,7%,9%,9%
,2018,19%,20%,11%,9%,10%,24%,8%,21%,29%,18%,6%,8%,12%,10%,10%,9%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,68%,60%,71%,81%,68%,91%,57%,75%,36%,64%,71%,62%,68%,68%
,2018,77%,78%,60%,54%,61%,76%,64%,82%,71%,69%,35%,50%,61%,58%,59%,60%
At Meets Grade Level or Above,2019,47%,48%,27%,20%,29%,38%,26%,66%,43%,31%,17%,21%,31%,20%,27%,27%
,2018,44%,46%,24%,18%,24%,41%,21%,52%,43%,31%,19%,19%,27%,18%,21%,24%
At Masters Grade Level,2019,21%,22%,7%,4%,8%,10%,0%,30%,29%,14%,6%,2%,9%,5%,6%,7%
,2018,18%,20%,6%,4%,6%,14%,7%,25%,14%,6%,6%,2%,8%,4%,6%,6%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,65%,58%,67%,81%,73%,87%,67%,79%,31%,49%,67%,61%,65%,62%
,2018,74%,76%,66%,60%,69%,80%,59%,88%,*,71%,37%,36%,69%,61%,65%,66%
At Meets Grade Level or Above,2019,49%,51%,37%,30%,38%,55%,45%,68%,50%,53%,20%,26%,40%,30%,36%,31%
,2018,48%,50%,37%,30%,39%,49%,44%,63%,*,43%,27%,18%,41%,30%,35%,35%
At Masters Grade Level,2019,29%,31%,20%,16%,21%,29%,23%,43%,17%,37%,8%,11%,23%,15%,19%,16%
,2018,29%,30%,19%,15%,19%,30%,22%,42%,*,29%,11%,11%,21%,15%,17%,16%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,61%,53%,64%,76%,77%,87%,50%,74%,33%,54%,64%,57%,61%,60%
,2018,72%,75%,58%,50%,62%,71%,60%,94%,*,61%,31%,55%,63%,50%,57%,60%
At Meets Grade Level or Above,2019,43%,46%,27%,21%,28%,45%,41%,57%,33%,40%,19%,20%,30%,22%,27%,24%
,2018,40%,43%,25%,18%,26%,41%,33%,68%,*,21%,21%,10%,29%,17%,23%,23%
At Masters Grade Level,2019,17%,18%,9%,7%,8%,18%,18%,36%,17%,9%,8%,0%,11%,6%,9%,7%
,2018,18%,20%,9%,5%,9%,16%,20%,35%,*,4%,8%,0%,11%,6%,8%,8%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,57%,51%,58%,75%,73%,78%,67%,73%,22%,44%,58%,55%,56%,53%
,2018,69%,69%,58%,53%,59%,76%,65%,79%,*,53%,32%,23%,62%,53%,57%,55%
At Meets Grade Level or Above,2019,42%,43%,29%,25%,28%,42%,23%,64%,17%,38%,16%,22%,31%,25%,28%,23%
,2018,43%,44%,29%,24%,29%,44%,46%,57%,*,40%,21%,10%,33%,22%,27%,25%
At Masters Grade Level,2019,18%,19%,9%,8%,8%,19%,5%,26%,17%,18%,10%,8%,11%,6%,8%,5%
,2018,15%,16%,6%,5%,6%,10%,4%,16%,*,10%,8%,0%,7%,5%,5%,4%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,74%,68%,77%,84%,68%,84%,50%,83%,39%,61%,77%,68%,74%,69%
,2018,86%,86%,77%,74%,79%,82%,91%,87%,*,83%,44%,65%,80%,71%,76%,76%
At Meets Grade Level or Above,2019,55%,56%,32%,26%,34%,48%,40%,56%,17%,38%,24%,14%,35%,26%,31%,23%
,2018,49%,51%,29%,25%,31%,43%,45%,46%,*,17%,23%,18%,32%,25%,27%,26%
At Masters Grade Level,2019,28%,30%,9%,5%,10%,17%,16%,30%,17%,17%,6%,4%,10%,7%,8%,6%
,2018,27%,28%,11%,8%,12%,19%,9%,26%,*,6%,6%,8%,12%,9%,10%,10%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,77%,71%,81%,86%,71%,92%,83%,88%,43%,72%,80%,70%,77%,75%
,2018,86%,87%,77%,72%,79%,85%,78%,100%,*,88%,46%,63%,81%,70%,76%,79%
At Meets Grade Level or Above,2019,57%,58%,35%,29%,37%,45%,38%,72%,50%,44%,22%,28%,38%,28%,34%,31%
,2018,51%,52%,31%,24%,35%,40%,30%,59%,*,35%,22%,11%,35%,22%,30%,33%
At Masters Grade Level,2019,17%,18%,6%,4%,6%,14%,17%,19%,0%,8%,10%,3%,7%,4%,5%,4%
,2018,15%,16%,6%,3%,7%,8%,4%,23%,*,0%,9%,3%,7%,4%,5%,7%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,67%,60%,70%,81%,62%,94%,86%,74%,35%,55%,71%,59%,66%,59%
,2018,76%,77%,66%,60%,68%,82%,67%,87%,*,76%,35%,55%,70%,58%,66%,64%
At Meets Grade Level or Above,2019,51%,52%,32%,24%,35%,53%,42%,66%,14%,41%,23%,28%,38%,22%,31%,23%
,2018,52%,53%,40%,30%,42%,64%,37%,67%,*,48%,25%,33%,44%,31%,37%,39%
At Masters Grade Level,2019,25%,27%,12%,7%,13%,27%,19%,43%,0%,11%,12%,0%,15%,7%,12%,7%
,2018,28%,29%,17%,11%,18%,35%,26%,43%,*,28%,8%,18%,20%,12%,15%,15%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,47%,40%,49%,59%,38%,78%,50%,63%,30%,46%,51%,38%,45%,35%
,2018,65%,66%,47%,39%,48%,67%,44%,76%,*,64%,29%,44%,50%,40%,44%,42%
At Meets Grade Level or Above,2019,37%,38%,16%,11%,16%,33%,19%,49%,13%,19%,20%,11%,19%,11%,16%,8%
,2018,36%,37%,18%,13%,17%,37%,22%,47%,*,20%,20%,15%,19%,15%,16%,15%
At Masters Grade Level,2019,21%,23%,8%,5%,8%,15%,8%,34%,0%,7%,9%,4%,9%,5%,7%,3%
,2018,21%,22%,7%,4%,7%,14%,15%,30%,*,8%,6%,8%,8%,6%,6%,6%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,53%,48%,57%,64%,59%,73%,71%,55%,19%,49%,57%,46%,53%,39%
,2018,65%,65%,53%,44%,58%,71%,44%,74%,56%,73%,19%,34%,57%,45%,53%,50%
At Meets Grade Level or Above,2019,50%,50%,32%,26%,34%,48%,35%,59%,14%,34%,10%,22%,34%,27%,32%,18%
,2018,44%,45%,30%,22%,33%,49%,32%,57%,56%,51%,11%,17%,33%,25%,29%,25%
At Masters Grade Level,2019,11%,11%,4%,2%,4%,6%,6%,15%,0%,3%,1%,0%,4%,2%,3%,1%
,2018,7%,8%,3%,2%,2%,7%,12%,10%,0%,7%,3%,0%,3%,2%,2%,2%
End of Course English II,,,,,,,,,,,,,,,,,
