Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CROSBY ISD (101906) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2019,81%,81%,90%,88%,92%,89%,*,*,-,89%,61%,100%,92%,87%,89%,90%
,2018,77%,78%,85%,72%,86%,88%,*,*,-,56%,50%,90%,85%,84%,80%,84%
At Meets Grade Level or Above,2019,47%,48%,57%,52%,55%,59%,*,*,-,67%,26%,30%,60%,50%,52%,49%
,2018,44%,46%,52%,38%,49%,60%,*,*,-,11%,16%,60%,53%,51%,44%,47%
At Masters Grade Level,2019,21%,22%,26%,25%,23%,30%,*,*,-,0%,11%,20%,28%,21%,19%,17%
,2018,18%,20%,21%,19%,18%,25%,*,*,-,11%,0%,20%,21%,22%,14%,14%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,69%,58%,70%,74%,*,*,-,38%,18%,88%,70%,68%,62%,55%
,2018,74%,76%,74%,66%,67%,81%,-,*,*,*,36%,44%,77%,67%,67%,59%
At Meets Grade Level or Above,2019,49%,51%,43%,36%,40%,51%,*,*,-,13%,9%,75%,45%,39%,33%,23%
,2018,48%,50%,44%,40%,41%,47%,-,*,*,*,21%,22%,47%,38%,36%,30%
At Masters Grade Level,2019,29%,31%,23%,21%,17%,29%,*,*,-,13%,6%,50%,25%,18%,14%,5%
,2018,29%,30%,22%,22%,20%,24%,-,*,*,*,15%,11%,23%,20%,15%,10%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,80%,70%,76%,88%,*,*,-,75%,47%,88%,80%,80%,73%,67%
,2018,72%,75%,83%,69%,84%,87%,-,*,*,*,61%,67%,84%,82%,78%,79%
At Meets Grade Level or Above,2019,43%,46%,47%,42%,42%,57%,*,*,-,0%,15%,38%,48%,47%,37%,29%
,2018,40%,43%,54%,43%,53%,58%,-,*,*,*,27%,33%,56%,51%,48%,48%
At Masters Grade Level,2019,17%,18%,20%,17%,17%,25%,*,*,-,0%,6%,38%,19%,22%,14%,11%
,2018,18%,20%,29%,21%,27%,32%,-,*,*,*,15%,11%,29%,29%,22%,23%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,62%,58%,60%,67%,*,*,-,13%,12%,88%,63%,60%,53%,49%
,2018,69%,69%,67%,59%,64%,69%,-,*,*,*,26%,44%,69%,63%,58%,54%
At Meets Grade Level or Above,2019,42%,43%,34%,32%,29%,41%,*,*,-,0%,9%,50%,35%,31%,24%,15%
,2018,43%,44%,37%,32%,36%,41%,-,*,*,*,23%,11%,40%,33%,27%,24%
At Masters Grade Level,2019,18%,19%,11%,11%,7%,17%,*,*,-,0%,0%,25%,12%,10%,7%,1%
,2018,15%,16%,10%,5%,8%,13%,-,*,*,*,6%,11%,11%,7%,6%,3%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,87%,78%,87%,89%,-,80%,*,*,46%,75%,89%,82%,82%,80%
,2018,86%,86%,85%,78%,79%,94%,*,*,-,100%,48%,89%,88%,80%,77%,65%
At Meets Grade Level or Above,2019,55%,56%,56%,54%,50%,62%,-,60%,*,*,21%,50%,56%,56%,48%,32%
,2018,49%,51%,42%,26%,40%,49%,*,*,-,80%,12%,22%,43%,40%,34%,20%
At Masters Grade Level,2019,28%,30%,27%,20%,21%,33%,-,40%,*,*,10%,25%,28%,25%,21%,9%
,2018,27%,28%,21%,10%,19%,27%,*,*,-,40%,0%,22%,25%,13%,14%,6%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,94%,89%,95%,96%,-,*,*,*,69%,83%,95%,92%,92%,94%
,2018,86%,87%,97%,95%,97%,97%,*,-,-,100%,82%,100%,97%,96%,95%,97%
At Meets Grade Level or Above,2019,57%,58%,68%,67%,71%,63%,-,*,*,*,33%,67%,68%,66%,67%,62%
,2018,51%,52%,68%,53%,72%,71%,*,-,-,63%,30%,71%,71%,63%,63%,67%
At Masters Grade Level,2019,17%,18%,17%,16%,19%,14%,-,*,*,*,15%,0%,16%,17%,17%,17%
,2018,15%,16%,17%,12%,17%,20%,*,-,-,0%,6%,0%,16%,19%,14%,17%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,82%,78%,82%,84%,-,100%,*,*,51%,75%,81%,84%,77%,72%
,2018,76%,77%,75%,59%,72%,85%,*,*,-,80%,39%,78%,79%,67%,66%,61%
At Meets Grade Level or Above,2019,51%,52%,49%,37%,47%,54%,-,80%,*,*,15%,38%,50%,48%,41%,35%
,2018,52%,53%,48%,32%,40%,63%,*,*,-,50%,15%,44%,53%,39%,36%,23%
At Masters Grade Level,2019,25%,27%,24%,22%,20%,28%,-,40%,*,*,13%,25%,26%,19%,18%,10%
,2018,28%,29%,23%,16%,17%,32%,*,*,-,20%,9%,33%,27%,16%,18%,6%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,69%,58%,67%,74%,-,80%,*,*,33%,63%,69%,68%,61%,54%
,2018,65%,66%,63%,47%,58%,75%,*,*,-,70%,33%,56%,66%,56%,53%,38%
At Meets Grade Level or Above,2019,37%,38%,38%,34%,35%,41%,-,60%,*,*,23%,38%,39%,34%,31%,20%
,2018,36%,37%,34%,29%,32%,38%,*,*,-,40%,12%,22%,38%,25%,26%,12%
At Masters Grade Level,2019,21%,23%,23%,19%,21%,25%,-,40%,*,*,5%,25%,25%,20%,17%,11%
,2018,21%,22%,21%,19%,18%,24%,*,*,-,30%,3%,22%,24%,14%,15%,4%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,70%,59%,69%,77%,*,*,-,91%,27%,64%,74%,61%,64%,53%
,2018,65%,65%,64%,57%,58%,72%,*,*,-,78%,20%,40%,67%,59%,57%,42%
At Meets Grade Level or Above,2019,50%,50%,56%,42%,53%,65%,*,*,-,82%,16%,55%,61%,45%,48%,27%
,2018,44%,45%,44%,31%,38%,53%,*,*,-,67%,8%,20%,46%,41%,35%,18%
At Masters Grade Level,2019,11%,11%,1%,1%,0%,1%,*,*,-,0%,5%,0%,1%,1%,1%,0%
,2018,7%,8%,6%,2%,3%,9%,*,*,-,11%,6%,0%,7%,4%,2%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,67%,60%,61%,75%,*,60%,-,86%,26%,*,70%,59%,58%,37%
