Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,19%,20%,19%,14%,14%,28%,*,32%,-,43%,3%,25%,23%,18%,13%,15%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,86%,86%,84%,88%,-,99%,-,71%,64%,88%,90%,84%,85%,83%
,2018,77%,78%,86%,83%,85%,80%,*,97%,-,86%,45%,86%,86%,86%,81%,85%
At Meets Grade Level or Above,2019,47%,48%,56%,53%,47%,71%,-,88%,-,43%,31%,63%,62%,51%,48%,48%
,2018,44%,46%,54%,52%,43%,62%,*,82%,-,71%,15%,50%,61%,50%,44%,46%
At Masters Grade Level,2019,21%,22%,31%,25%,21%,50%,-,66%,-,29%,15%,13%,37%,27%,22%,22%
,2018,18%,20%,26%,20%,17%,33%,*,56%,-,29%,8%,7%,34%,21%,18%,19%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,85%,81%,82%,98%,*,92%,-,100%,37%,*,89%,81%,80%,76%
,2018,74%,76%,82%,76%,78%,83%,*,96%,-,86%,52%,40%,84%,80%,78%,73%
At Meets Grade Level or Above,2019,49%,51%,61%,53%,55%,81%,*,76%,-,80%,17%,*,67%,56%,53%,48%
,2018,48%,50%,56%,49%,48%,57%,*,85%,-,86%,41%,0%,61%,52%,50%,42%
At Masters Grade Level,2019,29%,31%,35%,26%,26%,65%,*,54%,-,30%,12%,*,39%,31%,26%,23%
,2018,29%,30%,36%,35%,28%,32%,*,67%,-,43%,28%,0%,45%,28%,29%,23%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,85%,74%,84%,94%,*,97%,-,90%,54%,*,90%,81%,80%,81%
,2018,72%,75%,86%,78%,82%,91%,*,99%,-,86%,56%,50%,88%,83%,83%,83%
At Meets Grade Level or Above,2019,43%,46%,55%,45%,46%,85%,*,78%,-,70%,15%,*,64%,48%,47%,41%
,2018,40%,43%,54%,46%,48%,56%,*,79%,-,71%,24%,17%,59%,50%,48%,44%
At Masters Grade Level,2019,17%,18%,27%,20%,19%,44%,*,49%,-,30%,7%,*,33%,22%,20%,16%
,2018,18%,20%,27%,24%,21%,20%,*,63%,-,29%,9%,17%,32%,23%,21%,18%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,79%,74%,76%,94%,*,86%,-,100%,29%,*,84%,76%,74%,71%
,2018,69%,69%,77%,78%,70%,76%,*,96%,-,86%,43%,33%,80%,74%,73%,59%
At Meets Grade Level or Above,2019,42%,43%,52%,48%,46%,75%,*,63%,-,80%,20%,*,62%,45%,45%,37%
,2018,43%,44%,49%,45%,41%,50%,*,76%,-,57%,26%,0%,52%,45%,42%,28%
At Masters Grade Level,2019,18%,19%,25%,18%,16%,46%,*,48%,-,40%,5%,*,33%,18%,17%,14%
,2018,15%,16%,17%,16%,11%,13%,*,46%,-,29%,9%,0%,22%,13%,13%,7%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,91%,90%,89%,93%,*,99%,*,100%,58%,*,93%,90%,89%,86%
,2018,86%,86%,92%,94%,91%,88%,*,96%,-,91%,62%,100%,96%,88%,90%,83%
At Meets Grade Level or Above,2019,55%,56%,65%,66%,57%,81%,*,86%,*,80%,23%,*,72%,58%,59%,51%
,2018,49%,51%,59%,49%,57%,56%,*,76%,-,82%,35%,0%,69%,51%,54%,38%
At Masters Grade Level,2019,28%,30%,39%,37%,30%,40%,*,73%,*,70%,8%,*,47%,31%,32%,24%
,2018,27%,28%,34%,31%,28%,27%,*,59%,-,18%,8%,0%,41%,28%,29%,12%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,95%,95%,94%,100%,*,100%,-,100%,73%,*,97%,94%,94%,96%
,2018,86%,87%,90%,86%,90%,88%,-,100%,-,100%,60%,*,94%,87%,88%,88%
At Meets Grade Level or Above,2019,57%,58%,63%,60%,62%,67%,*,86%,-,67%,31%,*,57%,68%,60%,63%
,2018,51%,52%,43%,41%,41%,38%,-,56%,-,75%,32%,*,51%,39%,39%,32%
At Masters Grade Level,2019,17%,18%,20%,20%,19%,19%,*,36%,-,33%,12%,*,20%,20%,18%,17%
,2018,15%,16%,7%,2%,6%,9%,-,17%,-,38%,12%,*,9%,6%,4%,3%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,81%,79%,78%,92%,*,100%,-,100%,42%,*,80%,81%,77%,76%
,2018,76%,77%,70%,63%,71%,70%,-,82%,-,75%,36%,*,79%,66%,67%,65%
