Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,43%,46%,50%,42%,47%,63%,*,81%,*,63%,22%,67%,52%,42%,44%,41%
At Masters Grade Level,2021,12%,13%,13%,9%,13%,16%,0%,52%,*,11%,4%,0%,14%,8%,10%,8%
,2019,17%,18%,20%,12%,18%,25%,*,65%,*,29%,4%,17%,20%,16%,16%,13%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,55%,46%,54%,65%,*,82%,*,64%,17%,46%,58%,42%,49%,42%
,2019,70%,72%,66%,64%,63%,74%,*,92%,*,78%,23%,60%,68%,59%,61%,53%
At Meets Grade Level or Above,2021,33%,34%,25%,18%,23%,34%,*,73%,*,39%,8%,13%,26%,21%,20%,15%
,2019,42%,43%,36%,31%,33%,45%,*,73%,*,47%,11%,37%,38%,30%,31%,21%
At Masters Grade Level,2021,10%,10%,6%,4%,5%,11%,*,32%,*,14%,3%,0%,7%,4%,4%,2%
,2019,18%,19%,13%,7%,12%,20%,*,27%,*,22%,4%,23%,14%,9%,10%,6%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,68%,54%,68%,74%,80%,91%,*,77%,31%,46%,69%,62%,63%,53%
,2019,86%,86%,85%,79%,86%,88%,*,86%,*,81%,44%,86%,87%,78%,82%,74%
At Meets Grade Level or Above,2021,46%,48%,40%,31%,39%,49%,40%,79%,*,52%,18%,23%,42%,34%,35%,22%
,2019,55%,56%,48%,34%,49%,55%,*,61%,*,67%,17%,57%,51%,39%,43%,30%
At Masters Grade Level,2021,21%,22%,16%,10%,16%,19%,20%,38%,*,16%,3%,4%,18%,9%,14%,6%
,2019,28%,30%,22%,12%,22%,28%,*,44%,*,24%,6%,24%,24%,16%,18%,10%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,73%,63%,75%,75%,50%,81%,*,77%,36%,65%,74%,70%,70%,66%
,2019,88%,88%,90%,85%,91%,91%,*,95%,*,89%,60%,95%,90%,88%,88%,86%
At Meets Grade Level or Above,2021,36%,37%,52%,42%,52%,60%,33%,69%,*,68%,22%,26%,54%,45%,50%,41%
,2019,57%,58%,58%,47%,59%,64%,*,80%,*,63%,26%,63%,60%,51%,54%,46%
At Masters Grade Level,2021,11%,11%,16%,7%,17%,19%,33%,44%,*,9%,4%,9%,16%,15%,15%,10%
,2019,17%,18%,17%,12%,18%,20%,*,35%,*,21%,8%,11%,18%,16%,15%,12%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,68%,56%,68%,77%,50%,86%,*,70%,34%,50%,69%,63%,63%,53%
,2019,81%,81%,80%,73%,81%,83%,*,89%,*,85%,40%,86%,83%,71%,77%,68%
At Meets Grade Level or Above,2021,43%,45%,44%,33%,43%,57%,33%,74%,*,43%,21%,21%,47%,34%,40%,26%
,2019,51%,52%,51%,37%,50%,60%,*,72%,*,70%,18%,48%,54%,40%,45%,35%
At Masters Grade Level,2021,24%,25%,24%,16%,21%,35%,0%,69%,*,27%,7%,8%,25%,18%,19%,10%
,2019,25%,27%,24%,10%,23%,34%,*,50%,*,45%,6%,38%,25%,18%,19%,15%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,52%,46%,50%,64%,40%,80%,*,60%,26%,44%,54%,46%,47%,32%
,2019,69%,70%,65%,60%,62%,74%,*,89%,*,80%,31%,86%,67%,59%,61%,46%
At Meets Grade Level or Above,2021,28%,29%,23%,20%,21%,29%,20%,57%,*,23%,15%,12%,24%,21%,20%,9%
,2019,37%,38%,28%,23%,26%,38%,*,58%,*,25%,14%,38%,30%,24%,23%,17%
At Masters Grade Level,2021,14%,15%,9%,7%,8%,12%,20%,37%,*,7%,4%,4%,10%,7%,7%,3%
,2019,21%,23%,15%,10%,12%,24%,*,36%,*,15%,5%,19%,16%,11%,11%,7%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,60%,55%,57%,74%,83%,85%,*,83%,23%,50%,63%,51%,55%,35%
,2019,68%,67%,64%,59%,62%,73%,75%,85%,*,63%,24%,48%,66%,55%,59%,39%
At Meets Grade Level or Above,2021,50%,51%,43%,34%,40%,58%,50%,77%,*,49%,14%,23%,46%,33%,38%,17%
,2019,50%,50%,42%,34%,40%,60%,25%,65%,*,48%,11%,26%,44%,36%,36%,19%
At Masters Grade Level,2021,12%,14%,8%,5%,6%,13%,17%,31%,*,20%,1%,18%,9%,4%,6%,1%
,2019,11%,11%,8%,5%,6%,13%,0%,40%,*,7%,4%,0%,8%,6%,5%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,64%,54%,63%,71%,40%,84%,*,71%,25%,80%,65%,57%,59%,36%
,2019,68%,69%,62%,52%,61%,72%,63%,72%,*,69%,20%,52%,64%,53%,56%,32%
At Meets Grade Level or Above,2021,57%,58%,47%,37%,47%,56%,40%,72%,*,67%,17%,45%,49%,41%,42%,16%
,2019,49%,50%,40%,30%,39%,52%,38%,50%,*,59%,9%,24%,43%,30%,34%,8%
At Masters Grade Level,2021,11%,12%,5%,2%,5%,8%,0%,16%,*,4%,4%,5%,6%,4%,4%,1%
,2019,8%,9%,6%,2%,5%,11%,13%,13%,*,3%,4%,0%,7%,3%,3%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,76%,74%,75%,81%,*,90%,*,83%,47%,72%,78%,70%,73%,63%
,2019,85%,84%,80%,76%,80%,82%,*,100%,-,83%,50%,70%,82%,75%,77%,73%
At Meets Grade Level or Above,2021,41%,44%,41%,38%,39%,48%,*,83%,*,46%,15%,39%,43%,32%,36%,28%
,2019,61%,61%,55%,48%,54%,63%,*,94%,-,56%,23%,50%,58%,46%,50%,38%
At Masters Grade Level,2021,23%,26%,23%,20%,21%,30%,*,72%,*,26%,2%,17%,25%,16%,19%,14%
,2019,37%,38%,33%,19%,32%,40%,*,81%,-,50%,11%,30%,35%,24%,28%,19%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,83%,83%,82%,88%,80%,100%,*,90%,50%,81%,85%,76%,81%,70%
,2019,88%,88%,87%,85%,86%,92%,*,100%,*,95%,60%,80%,88%,85%,85%,76%
At Meets Grade Level or Above,2021,55%,57%,57%,52%,54%,71%,60%,90%,*,68%,27%,63%,61%,44%,52%,36%
,2019,62%,63%,60%,52%,58%,74%,*,88%,*,67%,22%,47%,63%,50%,54%,32%
At Masters Grade Level,2021,22%,26%,25%,17%,21%,40%,40%,67%,*,32%,7%,25%,26%,17%,20%,9%
,2019,25%,28%,21%,15%,18%,33%,*,48%,*,19%,5%,27%,22%,15%,15%,6%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,87%,84%,86%,93%,80%,97%,-,88%,58%,83%,88%,85%,84%,66%
,2019,93%,93%,91%,89%,90%,93%,100%,98%,*,96%,56%,90%,92%,84%,89%,77%
At Meets Grade Level or Above,2021,69%,70%,67%,58%,65%,81%,60%,90%,-,63%,32%,50%,68%,61%,61%,35%
,2019,73%,75%,73%,64%,71%,84%,100%,95%,*,79%,34%,60%,76%,59%,68%,40%
At Masters Grade Level,2021,43%,45%,40%,26%,37%,60%,60%,79%,-,56%,13%,33%,41%,32%,34%,15%
,2019,45%,49%,44%,34%,41%,63%,33%,56%,*,61%,15%,40%,47%,33%,39%,14%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,100%,100%,100%,100%,-,100%,-,*,-,-,100%,*,100%,-
At Meets Grade Level or Above,2021,69%,75%,86%,83%,83%,89%,-,83%,-,*,-,-,87%,*,77%,-
At Masters Grade Level,2021,14%,18%,12%,0%,8%,5%,-,67%,-,*,-,-,12%,*,6%,-
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,65%,56%,65%,72%,57%,88%,74%,69%,32%,60%,67%,58%,61%,57%
,2019,78%,78%,75%,69%,74%,81%,79%,91%,73%,78%,39%,70%,76%,69%,71%,67%
At Meets Grade Level or Above,2021,41%,43%,38%,29%,37%,47%,33%,73%,43%,42%,17%,27%,40%,31%,33%,28%
,2019,50%,51%,45%,36%,44%,54%,53%,75%,65%,52%,18%,38%,47%,39%,40%,34%
At Masters Grade Level,2021,18%,20%,16%,10%,15%,22%,12%,46%,26%,18%,4%,11%,17%,12%,12%,10%
,2019,24%,25%,19%,12%,18%,26%,26%,49%,30%,24%,5%,17%,20%,15%,16%,14%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,63%,53%,62%,70%,61%,87%,75%,70%,27%,60%,65%,56%,58%,54%
,2019,75%,75%,71%,64%,69%,78%,69%,87%,67%,75%,30%,64%,72%,65%,66%,60%
At Meets Grade Level or Above,2021,45%,46%,38%,28%,37%,47%,33%,71%,42%,46%,15%,25%,39%,31%,33%,26%
,2019,48%,49%,40%,32%,39%,51%,44%,65%,60%,50%,14%,33%,42%,35%,35%,28%
At Masters Grade Level,2021,18%,20%,13%,8%,12%,18%,9%,34%,25%,18%,3%,9%,14%,10%,10%,9%
,2019,21%,22%,15%,10%,14%,21%,19%,39%,40%,18%,4%,14%,16%,12%,12%,10%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,67%,56%,68%,73%,54%,89%,82%,66%,36%,69%,69%,60%,63%,64%
,2019,82%,82%,80%,74%,80%,84%,86%,94%,82%,80%,48%,78%,81%,76%,77%,77%
At Meets Grade Level or Above,2021,37%,39%,38%,28%,37%,45%,28%,73%,36%,39%,17%,35%,40%,30%,33%,33%
,2019,52%,53%,49%,39%,48%,56%,67%,83%,73%,55%,22%,45%,51%,43%,44%,44%
At Masters Grade Level,2021,18%,19%,17%,9%,17%,22%,10%,54%,36%,16%,5%,15%,18%,13%,14%,14%
,2019,26%,28%,23%,14%,23%,28%,33%,67%,36%,28%,7%,18%,24%,19%,20%,21%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,53%,42%,53%,61%,45%,82%,60%,60%,18%,36%,56%,44%,48%,46%
,2019,68%,69%,64%,62%,62%,69%,67%,90%,*,72%,22%,49%,66%,58%,60%,58%
At Meets Grade Level or Above,2021,30%,31%,24%,15%,23%,31%,27%,66%,20%,32%,10%,9%,25%,20%,19%,18%
,2019,38%,39%,32%,29%,30%,37%,44%,75%,*,40%,13%,22%,33%,27%,27%,24%
At Masters Grade Level,2021,9%,9%,6%,4%,5%,10%,9%,20%,20%,9%,3%,2%,6%,4%,3%,3%
,2019,14%,15%,10%,6%,9%,13%,22%,31%,*,18%,5%,13%,10%,8%,7%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,73%,64%,72%,81%,59%,91%,80%,77%,38%,60%,74%,67%,69%,63%
,2019,81%,82%,81%,76%,81%,86%,91%,94%,*,82%,47%,82%,83%,75%,78%,73%
At Meets Grade Level or Above,2021,44%,45%,45%,35%,43%,57%,41%,78%,80%,49%,22%,33%,47%,36%,40%,31%
,2019,54%,55%,54%,44%,53%,67%,55%,80%,*,58%,20%,49%,57%,46%,48%,40%
At Masters Grade Level,2021,20%,22%,20%,13%,18%,32%,12%,63%,20%,27%,6%,14%,22%,15%,16%,10%
,2019,25%,27%,23%,14%,21%,34%,36%,51%,*,32%,5%,28%,24%,18%,17%,16%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,70%,66%,68%,79%,60%,88%,*,70%,41%,52%,71%,63%,65%,45%
,2019,81%,81%,78%,74%,76%,84%,100%,94%,*,90%,43%,87%,80%,70%,74%,57%
At Meets Grade Level or Above,2021,49%,51%,45%,40%,43%,56%,40%,72%,*,37%,23%,19%,46%,38%,39%,19%
,2019,55%,57%,51%,43%,48%,61%,67%,78%,*,56%,23%,45%,53%,39%,45%,25%
At Masters Grade Level,2021,29%,31%,25%,17%,22%,37%,40%,56%,*,24%,8%,10%,26%,18%,20%,8%
,2019,33%,36%,29%,22%,26%,44%,22%,47%,*,42%,9%,26%,31%,21%,24%,10%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,21%,11%,19%,33%,25%,52%,-,22%,14%,23%,21%,19%,16%,20%
,2019,35%,36%,28%,19%,27%,34%,*,71%,*,42%,14%,19%,29%,23%,24%,24%
Reading and Mathematics Including EOC,2021,24%,25%,21%,11%,19%,33%,25%,52%,-,22%,14%,23%,21%,19%,16%,20%
,2019,35%,36%,28%,19%,27%,34%,*,71%,*,42%,14%,19%,29%,23%,24%,24%
Reading Including EOC,2021,38%,39%,34%,25%,32%,47%,38%,62%,-,42%,19%,29%,36%,28%,29%,31%
,2019,45%,45%,37%,27%,35%,45%,*,75%,*,53%,17%,28%,37%,38%,33%,32%
Math Including EOC,2021,31%,31%,28%,15%,28%,41%,25%,52%,-,28%,17%,45%,29%,25%,24%,31%
,2019,49%,48%,41%,28%,41%,48%,*,71%,*,61%,21%,32%,42%,36%,37%,40%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,23%,12%,23%,29%,14%,59%,*,16%,13%,10%,25%,16%,18%,21%
,2019,35%,36%,28%,19%,27%,33%,40%,59%,*,25%,16%,21%,28%,26%,24%,26%
Reading and Mathematics Including EOC,2021,26%,27%,23%,12%,23%,29%,14%,59%,*,16%,13%,10%,25%,16%,18%,21%
,2019,35%,36%,28%,19%,27%,33%,40%,59%,*,25%,16%,21%,28%,26%,24%,26%
Reading Including EOC,2021,36%,37%,34%,22%,33%,42%,29%,61%,*,38%,16%,21%,35%,29%,28%,31%
,2019,44%,45%,37%,32%,36%,45%,40%,64%,*,31%,18%,38%,38%,35%,33%,33%
Math Including EOC,2021,36%,36%,32%,16%,33%,40%,14%,73%,*,24%,17%,28%,35%,23%,28%,31%
,2019,48%,49%,41%,29%,42%,45%,60%,73%,*,41%,20%,36%,41%,40%,37%,42%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,29%,17%,29%,37%,17%,70%,-,33%,15%,22%,30%,27%,25%,28%
,2019,44%,44%,35%,29%,34%,41%,20%,71%,*,36%,13%,31%,36%,32%,30%,34%
Reading and Mathematics Including EOC,2021,34%,35%,29%,17%,29%,37%,17%,70%,-,33%,15%,22%,30%,27%,25%,28%
,2019,44%,44%,35%,29%,34%,41%,20%,71%,*,36%,13%,31%,36%,32%,30%,34%
Reading Including EOC,2021,46%,47%,41%,25%,40%,51%,17%,74%,-,53%,17%,22%,42%,38%,36%,40%
,2019,54%,54%,43%,36%,41%,52%,40%,79%,*,44%,15%,34%,44%,39%,37%,40%
Math Including EOC,2021,44%,45%,42%,29%,42%,46%,33%,83%,-,50%,18%,43%,43%,38%,38%,42%
,2019,58%,59%,51%,42%,51%,57%,60%,86%,*,50%,22%,52%,53%,46%,46%,56%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,20%,14%,19%,25%,0%,56%,*,14%,10%,21%,21%,13%,15%,14%
,2019,31%,32%,26%,20%,24%,34%,*,57%,*,34%,13%,12%,28%,20%,22%,20%
Reading and Mathematics Including EOC,2021,24%,26%,20%,14%,19%,25%,0%,56%,*,14%,10%,21%,21%,13%,15%,14%
,2019,31%,32%,26%,20%,24%,34%,*,57%,*,34%,13%,12%,28%,20%,22%,20%
Reading Including EOC,2021,32%,34%,25%,19%,25%,29%,0%,56%,*,24%,11%,21%,27%,19%,21%,19%
,2019,37%,38%,32%,24%,29%,41%,*,57%,*,46%,15%,18%,33%,26%,27%,23%
Math Including EOC,2021,36%,38%,36%,26%,36%,43%,20%,69%,*,32%,16%,46%,38%,26%,30%,32%
,2019,48%,49%,48%,35%,46%,57%,*,90%,*,54%,19%,38%,50%,39%,43%,43%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,23%,19%,22%,30%,*,71%,*,26%,9%,13%,25%,16%,18%,15%
,2019,36%,39%,34%,27%,32%,44%,*,77%,*,43%,12%,43%,36%,27%,29%,24%
Reading and Mathematics Including EOC,2021,27%,29%,23%,19%,22%,30%,*,71%,*,26%,9%,13%,25%,16%,18%,15%
,2019,37%,40%,34%,27%,32%,44%,*,77%,*,43%,12%,43%,36%,27%,29%,24%
Reading Including EOC,2021,45%,47%,35%,27%,34%,40%,*,81%,*,48%,13%,17%,37%,27%,29%,26%
,2019,49%,51%,42%,34%,40%,53%,*,77%,*,57%,13%,43%,45%,34%,37%,30%
Math Including EOC,2021,32%,34%,32%,24%,31%,38%,60%,74%,*,33%,13%,17%,34%,22%,26%,23%
,2019,48%,50%,50%,42%,47%,63%,*,81%,*,63%,22%,67%,52%,42%,44%,41%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,29%,22%,29%,36%,20%,56%,*,27%,15%,9%,31%,24%,27%,16%
,2019,34%,35%,33%,24%,34%,40%,*,40%,*,53%,14%,37%,36%,27%,29%,20%
Reading and Mathematics Including EOC,2021,33%,34%,36%,26%,35%,43%,20%,76%,*,40%,15%,12%,38%,28%,31%,19%
,2019,47%,48%,42%,27%,43%,49%,*,61%,*,57%,14%,43%,45%,31%,36%,24%
Reading Including EOC,2021,47%,48%,40%,31%,39%,49%,40%,79%,*,52%,18%,23%,42%,34%,35%,22%
,2019,55%,56%,48%,34%,49%,55%,*,61%,*,67%,17%,57%,51%,39%,43%,30%
Math Including EOC,2021,43%,44%,57%,46%,57%,65%,33%,83%,*,70%,22%,32%,60%,47%,53%,43%
