Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ARISTOI CLASSICAL ACADEMY (101803) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2021,68%,68%,81%,83%,71%,85%,-,*,-,-,57%,*,77%,84%,65%,*
,2019,81%,81%,94%,89%,96%,95%,-,*,-,*,*,*,97%,91%,86%,100%
At Meets Grade Level or Above,2021,36%,37%,61%,67%,38%,71%,-,*,-,-,43%,*,54%,66%,35%,*
,2019,47%,48%,66%,78%,62%,67%,-,*,-,*,*,*,74%,59%,48%,40%
At Masters Grade Level,2021,15%,17%,18%,8%,13%,24%,-,*,-,-,14%,*,6%,27%,6%,*
,2019,21%,22%,32%,22%,19%,44%,-,*,-,*,*,*,29%,34%,14%,0%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,88%,*,94%,89%,-,*,-,*,29%,*,88%,87%,88%,*
,2019,76%,77%,80%,40%,88%,80%,*,*,-,*,46%,*,94%,73%,71%,100%
At Meets Grade Level or Above,2021,45%,47%,64%,*,44%,82%,-,*,-,*,29%,*,64%,65%,56%,*
,2019,49%,51%,55%,20%,56%,60%,*,*,-,*,15%,*,58%,53%,41%,43%
At Masters Grade Level,2021,25%,27%,38%,*,28%,45%,-,*,-,*,14%,*,36%,39%,50%,*
,2019,29%,31%,29%,0%,28%,38%,*,*,-,*,8%,*,29%,29%,18%,0%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,73%,*,72%,76%,-,*,-,*,14%,*,76%,71%,69%,*
,2019,75%,77%,79%,40%,74%,90%,*,*,-,*,31%,*,87%,75%,82%,71%
At Meets Grade Level or Above,2021,27%,29%,34%,*,28%,37%,-,*,-,*,0%,*,36%,32%,19%,*
,2019,43%,46%,38%,0%,35%,45%,*,*,-,*,15%,*,37%,39%,18%,0%
At Masters Grade Level,2021,12%,13%,19%,*,22%,16%,-,*,-,*,0%,*,21%,16%,19%,*
,2019,17%,18%,6%,0%,10%,5%,*,*,-,*,0%,*,7%,6%,0%,0%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,76%,60%,83%,74%,-,*,-,*,29%,*,81%,71%,65%,*
,2019,70%,72%,75%,20%,72%,83%,*,*,-,*,31%,*,74%,75%,72%,43%
At Meets Grade Level or Above,2021,33%,34%,44%,20%,39%,53%,-,*,-,*,14%,*,50%,38%,18%,*
,2019,42%,43%,47%,0%,44%,56%,*,*,-,*,8%,*,55%,42%,28%,29%
At Masters Grade Level,2021,10%,10%,8%,20%,11%,5%,-,*,-,*,0%,*,6%,9%,0%,*
,2019,18%,19%,18%,0%,9%,27%,*,*,-,*,8%,*,16%,19%,0%,0%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,94%,100%,95%,91%,-,*,-,*,80%,-,95%,92%,92%,*
,2019,86%,86%,99%,*,100%,100%,-,*,-,*,*,-,100%,98%,100%,83%
At Meets Grade Level or Above,2021,46%,48%,77%,86%,86%,76%,-,*,-,*,40%,-,80%,73%,83%,*
,2019,55%,56%,66%,*,59%,74%,-,*,-,*,*,-,76%,60%,50%,50%
At Masters Grade Level,2021,21%,22%,52%,57%,45%,61%,-,*,-,*,40%,-,55%,46%,42%,*
,2019,28%,30%,31%,*,33%,29%,-,*,-,*,*,-,36%,29%,17%,17%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,78%,100%,71%,74%,-,*,-,*,40%,-,78%,79%,67%,*
,2019,88%,88%,87%,*,90%,80%,-,*,-,*,*,-,87%,86%,90%,83%
At Meets Grade Level or Above,2021,36%,37%,41%,20%,43%,47%,-,*,-,*,20%,-,37%,50%,33%,*
,2019,57%,58%,27%,*,24%,32%,-,*,-,*,*,-,33%,24%,20%,17%
At Masters Grade Level,2021,11%,11%,5%,0%,7%,5%,-,*,-,*,20%,-,0%,14%,0%,*
,2019,17%,18%,8%,*,5%,8%,-,*,-,*,*,-,7%,8%,0%,0%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,89%,100%,91%,85%,-,*,-,*,60%,-,90%,88%,83%,*
,2019,81%,81%,91%,*,93%,91%,-,*,-,*,*,-,96%,89%,83%,83%
At Meets Grade Level or Above,2021,43%,45%,62%,57%,64%,64%,-,*,-,*,20%,-,63%,62%,67%,*
,2019,51%,52%,47%,*,32%,61%,-,*,-,*,*,-,52%,44%,25%,0%
At Masters Grade Level,2021,24%,25%,35%,29%,23%,48%,-,*,-,*,20%,-,38%,31%,25%,*
,2019,25%,27%,11%,*,7%,15%,-,*,-,*,*,-,16%,9%,17%,0%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,67%,71%,55%,73%,-,*,-,*,40%,-,65%,69%,42%,*
,2019,69%,70%,70%,*,64%,73%,-,*,-,*,*,-,60%,76%,58%,17%
At Meets Grade Level or Above,2021,28%,29%,24%,29%,9%,33%,-,*,-,*,20%,-,28%,19%,17%,*
,2019,37%,38%,27%,*,14%,39%,-,*,-,*,*,-,24%,29%,17%,0%
At Masters Grade Level,2021,14%,15%,3%,14%,0%,3%,-,*,-,*,20%,-,3%,4%,0%,*
,2019,21%,23%,9%,*,7%,9%,-,*,-,*,*,-,4%,11%,0%,0%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,87%,*,90%,91%,-,*,-,-,50%,-,84%,91%,64%,*
,2019,68%,67%,79%,*,78%,83%,-,*,-,*,50%,-,72%,86%,63%,*
At Meets Grade Level or Above,2021,50%,51%,68%,*,75%,76%,-,*,-,-,13%,-,62%,78%,45%,*
,2019,50%,50%,68%,*,67%,71%,-,*,-,*,25%,-,60%,77%,50%,*
At Masters Grade Level,2021,12%,14%,18%,*,25%,15%,-,*,-,-,0%,-,14%,26%,9%,*
,2019,11%,11%,19%,*,0%,33%,-,*,-,*,0%,-,12%,27%,13%,*
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,86%,80%,88%,85%,-,-,-,*,67%,-,85%,87%,90%,-
,2019,68%,69%,90%,*,93%,85%,-,*,-,*,*,-,94%,87%,92%,-
At Meets Grade Level or Above,2021,57%,58%,70%,80%,75%,65%,-,-,-,*,50%,-,74%,65%,80%,-
,2019,49%,50%,78%,*,80%,75%,-,*,-,*,*,-,88%,70%,75%,-
At Masters Grade Level,2021,11%,12%,16%,40%,17%,10%,-,-,-,*,17%,-,15%,17%,20%,-
,2019,8%,9%,20%,*,20%,15%,-,*,-,*,*,-,12%,26%,17%,-
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,84%,57%,85%,88%,-,*,-,*,33%,-,82%,87%,58%,*
,2019,85%,84%,85%,*,95%,78%,-,*,-,*,33%,-,79%,92%,90%,*
At Meets Grade Level or Above,2021,41%,44%,55%,43%,50%,58%,-,*,-,*,11%,-,54%,57%,33%,*
,2019,61%,61%,57%,*,53%,59%,-,*,-,*,11%,-,52%,63%,30%,*
At Masters Grade Level,2021,23%,26%,16%,14%,10%,18%,-,*,-,*,0%,-,18%,13%,0%,*
,2019,37%,38%,43%,*,42%,44%,-,*,-,*,11%,-,45%,42%,30%,*
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,93%,*,100%,94%,-,*,-,-,57%,-,91%,96%,67%,*
,2019,88%,88%,84%,*,76%,91%,-,*,-,*,50%,-,80%,90%,63%,*
At Meets Grade Level or Above,2021,55%,57%,64%,*,53%,76%,-,*,-,-,14%,-,52%,83%,33%,*
,2019,62%,63%,51%,*,47%,57%,-,*,-,*,38%,-,44%,60%,63%,*
At Masters Grade Level,2021,22%,26%,13%,*,24%,9%,-,*,-,-,0%,-,12%,13%,0%,*
,2019,25%,28%,20%,*,12%,26%,-,*,-,*,0%,-,20%,20%,13%,*
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,92%,*,94%,95%,-,*,-,*,57%,-,92%,92%,71%,*
,2019,93%,93%,100%,*,100%,100%,-,-,-,*,*,-,100%,100%,100%,-
At Meets Grade Level or Above,2021,69%,70%,77%,*,81%,79%,-,*,-,*,29%,-,73%,85%,57%,*
,2019,73%,75%,100%,*,100%,100%,-,-,-,*,*,-,100%,100%,100%,-
At Masters Grade Level,2021,43%,45%,49%,*,44%,58%,-,*,-,*,0%,-,46%,54%,14%,*
,2019,45%,49%,75%,*,20%,92%,-,-,-,*,*,-,60%,90%,80%,-
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,100%,-,*,*,-,-,-,-,-,-,100%,*,*,-
At Meets Grade Level or Above,2021,69%,75%,100%,-,*,*,-,-,-,-,-,-,100%,*,*,-
At Masters Grade Level,2021,14%,18%,14%,-,*,*,-,-,-,-,-,-,20%,*,*,-
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,82%,73%,81%,83%,*,98%,-,80%,48%,89%,79%,84%,72%,69%
,2019,78%,78%,84%,82%,83%,86%,*,88%,-,83%,48%,80%,86%,83%,78%,75%
At Meets Grade Level or Above,2021,41%,43%,54%,47%,48%,59%,*,63%,-,28%,22%,59%,52%,56%,39%,39%
,2019,50%,51%,51%,53%,44%,55%,*,50%,-,44%,23%,52%,53%,48%,38%,25%
At Masters Grade Level,2021,18%,20%,24%,24%,20%,26%,*,37%,-,4%,7%,22%,22%,28%,15%,17%
,2019,24%,25%,23%,23%,16%,28%,*,24%,-,19%,8%,16%,25%,22%,15%,7%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,85%,76%,87%,86%,*,94%,-,75%,52%,90%,82%,89%,80%,70%
,2019,75%,75%,89%,88%,90%,89%,*,87%,-,82%,59%,78%,91%,86%,83%,87%
At Meets Grade Level or Above,2021,45%,46%,61%,56%,59%,66%,*,59%,-,13%,26%,60%,62%,61%,47%,50%
,2019,48%,49%,60%,61%,55%,63%,*,60%,-,47%,28%,56%,62%,57%,45%,37%
At Masters Grade Level,2021,18%,20%,33%,37%,27%,36%,*,35%,-,0%,10%,30%,31%,35%,25%,30%
,2019,21%,22%,29%,28%,23%,34%,*,33%,-,18%,9%,22%,31%,27%,19%,13%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,80%,73%,76%,82%,*,100%,-,86%,42%,100%,77%,83%,68%,60%
,2019,82%,82%,84%,84%,83%,85%,*,100%,-,80%,36%,78%,86%,82%,80%,83%
At Meets Grade Level or Above,2021,37%,39%,51%,47%,39%,57%,*,73%,-,57%,20%,60%,47%,57%,35%,35%
,2019,52%,53%,46%,49%,38%,49%,*,54%,-,60%,16%,33%,49%,42%,34%,27%
At Masters Grade Level,2021,18%,19%,22%,19%,16%,25%,*,47%,-,14%,8%,20%,18%,28%,11%,10%
,2019,26%,28%,22%,20%,17%,26%,*,31%,-,20%,11%,11%,25%,20%,13%,7%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,74%,67%,78%,73%,-,*,-,*,22%,*,74%,75%,65%,*
,2019,68%,69%,77%,63%,77%,81%,*,100%,-,*,38%,80%,77%,78%,76%,55%
At Meets Grade Level or Above,2021,30%,31%,44%,40%,41%,46%,-,*,-,*,11%,*,44%,43%,24%,*
,2019,38%,39%,48%,50%,47%,50%,*,40%,-,*,17%,80%,51%,44%,37%,27%
At Masters Grade Level,2021,9%,9%,6%,13%,5%,4%,-,*,-,*,0%,*,4%,8%,3%,*
,2019,14%,15%,17%,19%,8%,24%,*,0%,-,*,4%,0%,15%,19%,7%,0%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,85%,65%,84%,89%,-,100%,-,*,67%,*,83%,88%,78%,86%
,2019,81%,82%,82%,67%,78%,85%,-,71%,-,100%,50%,*,83%,81%,62%,75%
At Meets Grade Level or Above,2021,44%,45%,53%,35%,49%,59%,-,60%,-,*,21%,*,47%,62%,44%,14%
,2019,54%,55%,44%,33%,31%,55%,-,29%,-,29%,28%,*,43%,44%,30%,0%
At Masters Grade Level,2021,20%,22%,21%,15%,20%,24%,-,20%,-,*,4%,*,19%,25%,13%,0%
,2019,25%,27%,15%,8%,8%,21%,-,0%,-,14%,6%,*,15%,15%,11%,0%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,76%,67%,71%,81%,-,*,-,*,50%,-,76%,77%,53%,*
,2019,81%,81%,77%,100%,70%,80%,-,*,-,80%,*,-,71%,80%,71%,17%
At Meets Grade Level or Above,2021,49%,51%,44%,33%,39%,50%,-,*,-,*,25%,-,45%,41%,32%,*
,2019,55%,57%,43%,60%,27%,56%,-,*,-,20%,*,-,46%,42%,41%,0%
At Masters Grade Level,2021,29%,31%,20%,11%,18%,23%,-,*,-,*,8%,-,20%,21%,5%,*
,2019,33%,36%,23%,40%,9%,31%,-,*,-,20%,*,-,20%,25%,24%,0%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,38%,45%,24%,42%,*,60%,-,*,15%,-,35%,44%,9%,0%
,2019,35%,36%,31%,29%,14%,38%,-,*,-,*,25%,-,37%,17%,22%,*
Reading and Mathematics Including EOC,2021,24%,25%,38%,45%,24%,42%,*,60%,-,*,15%,-,35%,44%,9%,0%
,2019,35%,36%,31%,29%,14%,38%,-,*,-,*,25%,-,37%,17%,22%,*
Reading Including EOC,2021,38%,39%,55%,73%,48%,55%,*,60%,-,*,15%,-,56%,52%,18%,20%
,2019,45%,45%,55%,53%,50%,56%,-,*,-,*,38%,-,59%,43%,43%,*
Math Including EOC,2021,31%,31%,43%,45%,28%,47%,*,60%,-,*,23%,-,35%,59%,14%,20%
,2019,49%,48%,43%,47%,18%,51%,-,*,-,*,25%,-,48%,30%,39%,*
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,43%,20%,25%,53%,-,*,-,*,0%,*,42%,43%,26%,*
,2019,35%,36%,43%,45%,43%,38%,-,*,-,*,27%,*,50%,32%,34%,*
Reading and Mathematics Including EOC,2021,26%,27%,43%,20%,25%,53%,-,*,-,*,0%,*,42%,43%,26%,*
,2019,35%,36%,43%,45%,43%,38%,-,*,-,*,27%,*,50%,32%,34%,*
Reading Including EOC,2021,36%,37%,47%,30%,30%,56%,-,*,-,*,0%,*,46%,49%,32%,*
,2019,44%,45%,57%,73%,54%,54%,-,*,-,*,27%,*,60%,53%,45%,*
Math Including EOC,2021,36%,36%,54%,40%,36%,62%,-,*,-,*,9%,*,51%,58%,40%,*
,2019,48%,49%,49%,55%,50%,41%,-,*,-,*,27%,*,52%,44%,45%,*
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,51%,40%,41%,56%,-,*,-,-,17%,*,46%,58%,53%,*
,2019,44%,44%,33%,38%,15%,38%,-,*,-,*,13%,*,33%,33%,6%,0%
Reading and Mathematics Including EOC,2021,34%,35%,51%,40%,41%,56%,-,*,-,-,17%,*,46%,58%,53%,*
,2019,44%,44%,33%,38%,15%,38%,-,*,-,*,13%,*,33%,33%,6%,0%
Reading Including EOC,2021,46%,47%,74%,67%,68%,77%,-,*,-,-,50%,*,72%,76%,67%,*
,2019,54%,54%,60%,75%,40%,66%,-,*,-,*,38%,*,64%,55%,22%,20%
Math Including EOC,2021,44%,45%,59%,53%,45%,65%,-,*,-,-,33%,*,54%,67%,67%,*
,2019,58%,59%,38%,38%,20%,42%,-,*,-,*,13%,*,40%,35%,17%,40%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,36%,42%,22%,39%,-,*,-,-,29%,*,32%,39%,18%,*
,2019,31%,32%,45%,56%,38%,51%,-,*,-,*,*,*,45%,45%,38%,20%
Reading and Mathematics Including EOC,2021,24%,26%,36%,42%,22%,39%,-,*,-,-,29%,*,32%,39%,18%,*
,2019,31%,32%,45%,56%,38%,51%,-,*,-,*,*,*,45%,45%,38%,20%
Reading Including EOC,2021,32%,34%,45%,50%,39%,44%,-,*,-,-,29%,*,47%,43%,29%,*
,2019,37%,38%,52%,67%,42%,60%,-,*,-,*,*,*,47%,57%,48%,20%
Math Including EOC,2021,36%,38%,61%,67%,38%,71%,-,*,-,-,43%,*,54%,66%,35%,*
,2019,48%,49%,66%,78%,62%,67%,-,*,-,*,*,*,74%,59%,48%,40%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,33%,*,28%,37%,-,*,-,*,0%,*,33%,32%,19%,*
,2019,36%,39%,31%,0%,29%,40%,*,*,-,*,15%,*,30%,31%,12%,0%
Reading and Mathematics Including EOC,2021,27%,29%,33%,*,28%,37%,-,*,-,*,0%,*,33%,32%,19%,*
,2019,37%,40%,32%,0%,31%,40%,*,*,-,*,15%,*,32%,31%,12%,0%
Reading Including EOC,2021,45%,47%,64%,*,44%,82%,-,*,-,*,29%,*,64%,65%,56%,*
,2019,49%,51%,55%,20%,56%,60%,*,*,-,*,15%,*,58%,53%,41%,43%
Math Including EOC,2021,32%,34%,34%,*,28%,37%,-,*,-,*,0%,*,36%,32%,19%,*
,2019,48%,50%,39%,0%,38%,45%,*,*,-,*,15%,*,39%,39%,18%,0%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,39%,20%,36%,47%,-,*,-,*,20%,-,37%,43%,33%,*
,2019,34%,35%,17%,*,14%,20%,-,*,-,*,*,-,27%,14%,20%,17%
Reading and Mathematics Including EOC,2021,33%,34%,55%,29%,50%,67%,-,*,-,*,20%,-,53%,58%,42%,*
,2019,47%,48%,34%,*,26%,38%,-,*,-,*,*,-,48%,27%,25%,17%
Reading Including EOC,2021,47%,48%,77%,86%,86%,76%,-,*,-,*,40%,-,80%,73%,83%,*
,2019,55%,56%,66%,*,59%,74%,-,*,-,*,*,-,76%,60%,50%,50%
Math Including EOC,2021,43%,44%,60%,43%,59%,65%,-,*,-,*,20%,-,58%,63%,42%,*
,2019,62%,64%,46%,*,41%,50%,-,*,-,*,*,-,60%,38%,33%,17%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,40%,35%,29%,46%,*,64%,-,17%,13%,60%,38%,43%,24%,25%
,2019,36%,37%,34%,37%,27%,39%,*,33%,-,31%,17%,33%,38%,30%,24%,14%
Reading and Mathematics Including EOC,2021,28%,29%,42%,36%,32%,49%,*,64%,-,14%,13%,60%,41%,45%,26%,25%
,2019,38%,39%,36%,40%,29%,40%,*,33%,-,36%,17%,33%,40%,32%,24%,14%
Reading Including EOC,2021,41%,42%,60%,58%,53%,64%,*,64%,-,14%,25%,60%,61%,58%,44%,50%
,2019,47%,48%,57%,62%,51%,62%,*,50%,-,43%,28%,56%,60%,54%,42%,38%
Math Including EOC,2021,37%,38%,52%,49%,39%,58%,*,71%,-,57%,22%,60%,48%,58%,34%,35%
,2019,52%,53%,47%,51%,39%,49%,*,58%,-,57%,17%,33%,51%,42%,35%,28%
