Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ALDINE ISD (101902) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,7%,7%,7%,15%,17%,14%,38%,8%,4%,6%,8%,6%,6%,3%
,2018,19%,20%,11%,9%,11%,19%,0%,36%,*,25%,6%,10%,12%,8%,10%,9%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,71%,63%,73%,76%,67%,89%,75%,69%,34%,59%,74%,63%,70%,65%
,2018,77%,78%,75%,68%,77%,77%,71%,94%,*,76%,41%,55%,77%,69%,74%,77%
At Meets Grade Level or Above,2019,47%,48%,30%,22%,32%,32%,50%,73%,50%,27%,18%,16%,32%,23%,28%,22%
,2018,44%,46%,37%,27%,40%,46%,57%,82%,*,38%,20%,30%,40%,30%,37%,39%
At Masters Grade Level,2019,21%,22%,9%,6%,9%,8%,33%,43%,38%,19%,5%,2%,10%,6%,8%,5%
,2018,18%,20%,12%,7%,12%,12%,14%,40%,*,10%,7%,10%,12%,9%,11%,13%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,68%,64%,69%,81%,83%,97%,67%,56%,25%,44%,71%,60%,67%,51%
,2018,74%,76%,66%,60%,68%,70%,*,85%,63%,70%,33%,42%,70%,56%,66%,64%
At Meets Grade Level or Above,2019,49%,51%,37%,32%,38%,54%,17%,74%,33%,30%,17%,21%,39%,31%,35%,19%
,2018,48%,50%,34%,29%,34%,57%,*,63%,50%,45%,23%,15%,36%,27%,33%,30%
At Masters Grade Level,2019,29%,31%,17%,15%,17%,36%,0%,46%,17%,22%,6%,14%,18%,14%,16%,6%
,2018,29%,30%,16%,12%,16%,33%,*,43%,25%,25%,7%,8%,17%,12%,15%,13%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,68%,60%,71%,76%,100%,98%,67%,46%,30%,45%,71%,62%,67%,59%
,2018,72%,75%,63%,51%,66%,72%,*,83%,43%,65%,33%,51%,67%,53%,62%,66%
At Meets Grade Level or Above,2019,43%,46%,33%,25%,34%,45%,60%,81%,33%,13%,18%,20%,34%,28%,31%,23%
,2018,40%,43%,25%,17%,27%,33%,*,67%,14%,20%,18%,13%,27%,19%,25%,26%
At Masters Grade Level,2019,17%,18%,8%,4%,9%,12%,0%,30%,17%,4%,5%,3%,8%,6%,7%,4%
,2018,18%,20%,6%,3%,7%,8%,*,25%,14%,0%,4%,3%,7%,5%,6%,7%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,58%,51%,60%,68%,50%,89%,67%,37%,20%,27%,61%,50%,57%,38%
,2018,69%,69%,56%,50%,57%,62%,*,91%,50%,57%,24%,35%,60%,45%,56%,53%
At Meets Grade Level or Above,2019,42%,43%,26%,22%,26%,40%,17%,70%,33%,22%,15%,7%,27%,21%,24%,10%
,2018,43%,44%,25%,19%,26%,47%,*,53%,25%,29%,17%,11%,28%,18%,24%,21%
At Masters Grade Level,2019,18%,19%,7%,5%,7%,19%,17%,34%,0%,11%,3%,3%,8%,6%,6%,1%
,2018,15%,16%,5%,3%,5%,7%,*,17%,13%,0%,6%,5%,6%,3%,5%,3%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,80%,74%,82%,87%,*,96%,50%,95%,36%,61%,84%,71%,80%,63%
,2018,86%,86%,79%,76%,80%,85%,60%,93%,78%,84%,42%,68%,83%,68%,79%,74%
At Meets Grade Level or Above,2019,55%,56%,42%,35%,44%,58%,*,72%,25%,73%,20%,12%,45%,34%,41%,16%
,2018,49%,51%,36%,33%,37%,39%,40%,66%,22%,44%,25%,19%,38%,29%,35%,26%
At Masters Grade Level,2019,28%,30%,16%,13%,17%,32%,*,47%,0%,32%,8%,3%,18%,12%,16%,3%
,2018,27%,28%,16%,13%,17%,15%,40%,46%,11%,24%,7%,9%,18%,13%,15%,9%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,85%,76%,87%,85%,*,96%,71%,96%,46%,70%,88%,76%,84%,77%
,2018,86%,87%,83%,72%,86%,80%,40%,93%,100%,81%,43%,67%,86%,73%,83%,83%
At Meets Grade Level or Above,2019,57%,58%,49%,37%,52%,58%,*,83%,57%,61%,22%,24%,53%,39%,48%,34%
,2018,51%,52%,45%,29%,50%,43%,40%,71%,22%,62%,26%,37%,49%,34%,45%,45%
At Masters Grade Level,2019,17%,18%,11%,5%,13%,12%,*,46%,0%,13%,7%,3%,12%,8%,11%,4%
,2018,15%,16%,11%,5%,13%,12%,20%,36%,11%,12%,5%,6%,12%,8%,11%,11%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,69%,59%,71%,79%,*,91%,50%,90%,36%,45%,72%,59%,68%,48%
,2018,76%,77%,62%,54%,64%,62%,50%,82%,89%,63%,28%,46%,66%,49%,62%,55%
At Meets Grade Level or Above,2019,51%,52%,32%,22%,34%,50%,*,65%,13%,57%,19%,16%,35%,24%,31%,14%
,2018,52%,53%,33%,23%,35%,38%,33%,69%,11%,41%,21%,12%,36%,22%,32%,25%
At Masters Grade Level,2019,25%,27%,9%,6%,9%,21%,*,35%,0%,19%,6%,3%,10%,6%,9%,2%
,2018,28%,29%,12%,8%,13%,19%,33%,44%,11%,22%,6%,2%,14%,6%,12%,7%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,55%,48%,56%,73%,*,91%,50%,86%,27%,40%,58%,45%,53%,31%
,2018,65%,66%,52%,51%,52%,50%,50%,84%,56%,67%,26%,38%,56%,43%,52%,43%
At Meets Grade Level or Above,2019,37%,38%,21%,18%,21%,43%,*,50%,13%,45%,19%,6%,22%,16%,20%,7%
,2018,36%,37%,21%,18%,21%,25%,33%,59%,22%,30%,20%,12%,23%,14%,21%,14%
At Masters Grade Level,2019,21%,23%,10%,8%,10%,20%,*,39%,0%,18%,7%,5%,11%,7%,9%,2%
