Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
KLEIN ISD (101915) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,27%,29%,34%,17%,24%,51%,38%,63%,0%,38%,18%,39%,38%,24%,20%,20%
,2019,43%,46%,50%,33%,40%,63%,50%,84%,*,49%,19%,38%,55%,39%,35%,36%
At Masters Grade Level,2021,12%,13%,15%,6%,8%,23%,25%,36%,0%,18%,5%,16%,17%,9%,7%,7%
,2019,17%,18%,20%,9%,12%,27%,10%,56%,*,22%,5%,14%,23%,14%,11%,12%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,68%,56%,60%,82%,75%,87%,43%,74%,26%,70%,71%,62%,55%,48%
,2019,70%,72%,73%,61%,65%,85%,67%,89%,*,82%,26%,65%,76%,65%,61%,59%
At Meets Grade Level or Above,2021,33%,34%,39%,24%,29%,54%,25%,65%,14%,42%,18%,25%,43%,29%,25%,20%
,2019,42%,43%,44%,31%,34%,56%,56%,72%,*,54%,14%,29%,48%,35%,31%,26%
At Masters Grade Level,2021,10%,10%,11%,5%,6%,18%,13%,28%,0%,12%,3%,9%,13%,6%,6%,3%
,2019,18%,19%,19%,12%,12%,25%,0%,46%,*,22%,5%,8%,21%,13%,10%,7%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,80%,68%,75%,89%,80%,90%,*,90%,42%,73%,83%,70%,71%,64%
,2019,86%,86%,88%,82%,84%,94%,88%,97%,*,96%,51%,93%,91%,81%,82%,77%
At Meets Grade Level or Above,2021,46%,48%,55%,39%,48%,68%,60%,74%,*,66%,21%,49%,58%,45%,43%,33%
,2019,55%,56%,60%,44%,50%,72%,65%,81%,*,73%,24%,58%,64%,48%,45%,39%
At Masters Grade Level,2021,21%,22%,27%,14%,21%,38%,30%,47%,*,30%,6%,22%,30%,19%,17%,11%
,2019,28%,30%,33%,19%,24%,44%,41%,51%,*,45%,7%,37%,36%,23%,20%,16%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,66%,54%,60%,79%,67%,87%,*,76%,38%,86%,69%,58%,56%,52%
,2019,88%,88%,91%,85%,90%,95%,100%,98%,*,93%,67%,94%,93%,87%,88%,89%
At Meets Grade Level or Above,2021,36%,37%,36%,21%,27%,52%,33%,72%,*,37%,20%,50%,39%,27%,24%,19%
,2019,57%,58%,56%,47%,50%,65%,69%,83%,*,64%,28%,84%,59%,49%,47%,45%
At Masters Grade Level,2021,11%,11%,10%,4%,5%,15%,22%,45%,*,10%,5%,7%,12%,5%,5%,4%
,2019,17%,18%,14%,7%,10%,18%,8%,42%,*,20%,6%,13%,16%,8%,9%,8%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,77%,62%,69%,90%,82%,93%,*,88%,43%,82%,80%,66%,65%,58%
,2019,81%,81%,84%,76%,79%,91%,88%,95%,*,90%,49%,88%,87%,75%,77%,73%
At Meets Grade Level or Above,2021,43%,45%,54%,34%,42%,72%,82%,77%,*,64%,27%,60%,58%,41%,38%,30%
,2019,51%,52%,56%,40%,47%,69%,47%,77%,*,73%,26%,71%,60%,45%,43%,38%
At Masters Grade Level,2021,24%,25%,30%,13%,20%,48%,36%,53%,*,37%,13%,42%,34%,19%,16%,12%
,2019,25%,27%,29%,14%,20%,42%,24%,53%,*,37%,10%,36%,33%,20%,18%,14%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,65%,52%,55%,81%,80%,84%,*,68%,36%,68%,69%,55%,51%,41%
,2019,69%,70%,72%,61%,64%,83%,82%,90%,*,85%,37%,83%,76%,63%,61%,54%
At Meets Grade Level or Above,2021,28%,29%,35%,20%,24%,52%,40%,56%,*,39%,20%,39%,38%,25%,20%,14%
,2019,37%,38%,41%,27%,31%,52%,47%,65%,*,52%,20%,55%,45%,30%,27%,21%
At Masters Grade Level,2021,14%,15%,16%,7%,10%,27%,10%,32%,*,21%,8%,22%,19%,9%,7%,6%
,2019,21%,23%,23%,13%,16%,33%,6%,43%,*,32%,7%,38%,26%,16%,14%,10%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,70%,59%,62%,85%,69%,89%,*,79%,27%,67%,74%,60%,58%,44%
,2019,68%,67%,68%,57%,61%,82%,67%,84%,*,79%,28%,42%,72%,58%,56%,46%
At Meets Grade Level or Above,2021,50%,51%,53%,40%,43%,72%,38%,80%,*,63%,16%,49%,57%,43%,39%,25%
,2019,50%,50%,52%,37%,43%,70%,52%,75%,*,64%,15%,26%,56%,41%,37%,29%
At Masters Grade Level,2021,12%,14%,14%,6%,8%,21%,8%,39%,*,18%,2%,11%,15%,8%,7%,2%
,2019,11%,11%,13%,5%,7%,22%,10%,32%,*,21%,3%,2%,15%,8%,5%,2%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,72%,63%,64%,84%,67%,88%,*,82%,31%,67%,75%,62%,61%,43%
,2019,68%,69%,69%,60%,61%,82%,69%,85%,80%,81%,23%,58%,73%,59%,57%,41%
At Meets Grade Level or Above,2021,57%,58%,58%,45%,49%,73%,50%,78%,*,73%,21%,60%,61%,47%,44%,23%
,2019,49%,50%,52%,37%,41%,70%,38%,74%,80%,61%,12%,40%,56%,41%,36%,20%
At Masters Grade Level,2021,11%,12%,11%,5%,6%,16%,0%,28%,*,19%,2%,7%,12%,6%,5%,2%
,2019,8%,9%,10%,4%,5%,17%,0%,22%,20%,15%,3%,2%,11%,6%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,78%,66%,73%,88%,86%,94%,*,85%,47%,70%,81%,69%,68%,68%
,2019,85%,84%,84%,77%,79%,90%,93%,97%,*,87%,49%,74%,86%,78%,76%,75%
At Meets Grade Level or Above,2021,41%,44%,43%,25%,33%,61%,14%,73%,*,53%,19%,43%,47%,34%,29%,27%
,2019,61%,61%,60%,43%,53%,70%,67%,89%,*,64%,22%,49%,64%,49%,47%,49%
At Masters Grade Level,2021,23%,26%,22%,10%,14%,34%,0%,50%,*,24%,6%,21%,25%,15%,12%,13%
,2019,37%,38%,38%,21%,29%,48%,53%,75%,*,45%,7%,26%,41%,29%,26%,28%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,83%,74%,78%,92%,85%,95%,*,90%,51%,83%,86%,74%,74%,66%
,2019,88%,88%,87%,82%,82%,95%,72%,96%,*,95%,59%,82%,90%,81%,80%,72%
At Meets Grade Level or Above,2021,55%,57%,59%,43%,47%,78%,46%,85%,*,65%,23%,55%,63%,46%,43%,31%
,2019,62%,63%,64%,48%,54%,81%,56%,83%,*,75%,26%,45%,68%,52%,47%,36%
At Masters Grade Level,2021,22%,26%,29%,13%,18%,44%,23%,61%,*,37%,6%,36%,33%,16%,16%,8%
,2019,25%,28%,29%,14%,20%,43%,22%,50%,*,33%,5%,5%,32%,21%,14%,8%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,90%,84%,87%,96%,100%,97%,*,93%,65%,88%,92%,86%,85%,72%
,2019,93%,93%,94%,90%,92%,97%,100%,97%,*,96%,68%,88%,95%,89%,90%,82%
At Meets Grade Level or Above,2021,69%,70%,76%,62%,69%,88%,100%,89%,*,83%,44%,65%,78%,67%,63%,41%
,2019,73%,75%,80%,71%,73%,90%,90%,88%,*,90%,40%,69%,84%,69%,69%,48%
At Masters Grade Level,2021,43%,45%,55%,38%,45%,74%,75%,71%,*,66%,22%,47%,59%,44%,39%,20%
,2019,45%,49%,56%,43%,45%,70%,90%,72%,*,73%,17%,50%,61%,42%,42%,23%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,98%,96%,94%,99%,*,100%,*,100%,100%,*,98%,91%,95%,100%
At Meets Grade Level or Above,2021,69%,75%,81%,68%,69%,89%,*,87%,*,93%,100%,*,82%,62%,72%,27%
At Masters Grade Level,2021,14%,18%,12%,5%,5%,12%,*,25%,*,16%,40%,*,12%,2%,8%,0%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,74%,62%,67%,85%,76%,89%,73%,79%,41%,73%,77%,65%,63%,61%
,2019,78%,78%,81%,71%,75%,89%,78%,92%,86%,86%,47%,80%,83%,74%,72%,70%
At Meets Grade Level or Above,2021,41%,43%,47%,32%,38%,62%,49%,69%,43%,54%,22%,42%,51%,36%,34%,29%
,2019,50%,51%,54%,39%,44%,67%,53%,76%,55%,62%,24%,49%,57%,44%,40%,38%
At Masters Grade Level,2021,18%,20%,22%,11%,15%,32%,22%,41%,18%,27%,7%,20%,24%,15%,13%,12%
,2019,24%,25%,26%,15%,19%,37%,22%,48%,21%,32%,8%,24%,29%,20%,16%,15%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,74%,63%,67%,85%,73%,88%,69%,80%,38%,71%,77%,65%,63%,59%
,2019,75%,75%,78%,68%,72%,88%,74%,90%,86%,84%,39%,75%,81%,70%,68%,65%
At Meets Grade Level or Above,2021,45%,46%,50%,37%,41%,64%,46%,68%,41%,59%,21%,42%,53%,40%,37%,31%
,2019,48%,49%,52%,38%,42%,67%,52%,73%,50%,61%,21%,42%,56%,43%,38%,34%
At Masters Grade Level,2021,18%,20%,21%,12%,15%,31%,19%,38%,17%,28%,6%,18%,24%,15%,13%,12%
,2019,21%,22%,24%,13%,16%,34%,22%,42%,21%,31%,6%,19%,26%,18%,14%,13%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,73%,59%,68%,85%,77%,90%,82%,78%,45%,75%,77%,64%,63%,66%
,2019,82%,82%,84%,76%,81%,91%,86%,96%,88%,86%,57%,88%,87%,79%,78%,80%
At Meets Grade Level or Above,2021,37%,39%,42%,25%,33%,58%,47%,68%,43%,48%,23%,42%,46%,32%,29%,31%
,2019,52%,53%,55%,40%,47%,66%,57%,82%,63%,60%,28%,56%,58%,46%,43%,46%
At Masters Grade Level,2021,18%,19%,19%,9%,13%,28%,19%,40%,7%,22%,7%,21%,21%,13%,11%,14%
,2019,26%,28%,28%,15%,20%,37%,22%,57%,17%,31%,9%,28%,30%,22%,18%,22%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,65%,53%,56%,77%,60%,85%,50%,71%,28%,67%,68%,58%,52%,50%
,2019,68%,69%,72%,60%,64%,83%,62%,88%,67%,81%,34%,65%,75%,64%,60%,61%
At Meets Grade Level or Above,2021,30%,31%,36%,23%,27%,49%,20%,60%,30%,42%,16%,27%,40%,26%,22%,22%
,2019,38%,39%,42%,30%,32%,54%,52%,66%,17%,50%,19%,29%,45%,35%,29%,28%
At Masters Grade Level,2021,9%,9%,11%,6%,6%,17%,7%,26%,10%,12%,4%,10%,13%,7%,5%,5%
,2019,14%,15%,15%,11%,10%,21%,5%,33%,0%,16%,6%,7%,17%,12%,8%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,78%,66%,71%,90%,82%,91%,78%,85%,46%,79%,81%,69%,67%,62%
,2019,81%,82%,84%,75%,78%,92%,78%,94%,88%,89%,52%,83%,86%,76%,75%,72%
At Meets Grade Level or Above,2021,44%,45%,52%,35%,40%,70%,65%,74%,56%,57%,24%,54%,56%,39%,36%,30%
,2019,54%,55%,58%,41%,49%,74%,46%,79%,63%,68%,26%,57%,63%,47%,43%,39%
At Masters Grade Level,2021,20%,22%,26%,11%,16%,41%,32%,49%,33%,33%,8%,32%,30%,15%,14%,10%
,2019,25%,27%,29%,14%,20%,43%,22%,50%,25%,36%,9%,29%,32%,21%,16%,14%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,78%,68%,71%,88%,89%,91%,86%,81%,49%,74%,80%,69%,67%,54%
,2019,81%,81%,83%,74%,78%,90%,89%,94%,100%,90%,52%,85%,86%,75%,75%,65%
At Meets Grade Level or Above,2021,49%,51%,55%,41%,47%,70%,67%,73%,57%,61%,31%,47%,58%,45%,41%,25%
,2019,55%,57%,60%,47%,52%,71%,63%,77%,71%,70%,30%,60%,65%,48%,47%,32%
At Masters Grade Level,2021,29%,31%,36%,22%,27%,50%,39%,52%,57%,44%,14%,29%,39%,26%,23%,12%
,2019,33%,36%,40%,27%,31%,51%,37%,58%,43%,51%,12%,43%,44%,28%,27%,15%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,29%,16%,20%,42%,33%,45%,*,35%,19%,19%,31%,20%,19%,21%
,2019,35%,36%,39%,28%,29%,52%,55%,61%,*,49%,25%,33%,42%,31%,26%,29%
Reading and Mathematics Including EOC,2021,24%,25%,29%,16%,20%,42%,33%,45%,*,35%,19%,19%,31%,20%,19%,21%
,2019,35%,36%,39%,28%,29%,52%,55%,61%,*,49%,25%,33%,42%,31%,26%,29%
Reading Including EOC,2021,38%,39%,44%,33%,35%,58%,44%,58%,*,51%,26%,26%,47%,34%,32%,33%
,2019,45%,45%,50%,39%,40%,62%,55%,69%,*,57%,30%,42%,52%,42%,37%,38%
Math Including EOC,2021,31%,31%,37%,22%,28%,52%,44%,55%,*,42%,25%,33%,41%,27%,26%,32%
,2019,49%,48%,51%,36%,42%,63%,55%,75%,*,57%,32%,51%,54%,41%,38%,44%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,30%,17%,22%,43%,14%,48%,*,39%,16%,23%,33%,23%,18%,22%
,2019,35%,36%,38%,24%,29%,51%,33%,60%,*,42%,26%,36%,41%,33%,26%,29%
Reading and Mathematics Including EOC,2021,26%,27%,30%,17%,22%,43%,14%,48%,*,39%,16%,23%,33%,23%,18%,22%
,2019,35%,36%,38%,24%,29%,51%,33%,60%,*,42%,26%,36%,41%,33%,26%,29%
Reading Including EOC,2021,36%,37%,41%,29%,33%,55%,14%,55%,*,52%,20%,30%,45%,33%,28%,31%
,2019,44%,45%,48%,34%,38%,64%,50%,67%,*,52%,31%,38%,50%,43%,35%,37%
Math Including EOC,2021,36%,36%,41%,22%,32%,56%,86%,63%,*,50%,25%,44%,45%,31%,28%,34%
,2019,48%,49%,51%,36%,44%,63%,42%,73%,*,57%,34%,57%,54%,45%,40%,47%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,42%,28%,33%,56%,70%,63%,*,48%,21%,34%,46%,33%,29%,34%
,2019,44%,44%,51%,35%,40%,64%,55%,74%,*,58%,24%,49%,55%,41%,36%,38%
Reading and Mathematics Including EOC,2021,34%,35%,42%,28%,33%,56%,70%,63%,*,48%,21%,34%,46%,33%,29%,34%
,2019,44%,44%,51%,35%,40%,64%,55%,74%,*,58%,24%,49%,55%,41%,36%,38%
Reading Including EOC,2021,46%,47%,54%,42%,46%,68%,80%,66%,*,64%,26%,45%,58%,45%,42%,44%
,2019,54%,54%,58%,46%,48%,71%,64%,76%,*,66%,28%,53%,61%,51%,45%,44%
Math Including EOC,2021,44%,45%,55%,37%,48%,67%,80%,78%,*,58%,31%,58%,58%,45%,43%,50%
,2019,58%,59%,66%,49%,59%,77%,55%,89%,*,68%,36%,71%,70%,57%,53%,60%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,28%,17%,19%,40%,0%,47%,*,34%,16%,26%,31%,20%,17%,17%
,2019,31%,32%,36%,22%,25%,49%,50%,57%,20%,49%,16%,35%,39%,28%,23%,22%
Reading and Mathematics Including EOC,2021,24%,26%,28%,17%,19%,40%,0%,47%,*,34%,16%,26%,31%,20%,17%,17%
,2019,31%,32%,36%,22%,25%,49%,50%,57%,20%,49%,16%,35%,39%,28%,23%,22%
Reading Including EOC,2021,32%,34%,37%,28%,27%,52%,13%,57%,*,44%,19%,38%,40%,29%,26%,24%
,2019,37%,38%,43%,30%,33%,58%,50%,61%,40%,53%,19%,42%,46%,36%,29%,26%
Math Including EOC,2021,36%,38%,40%,25%,31%,53%,0%,66%,*,46%,23%,38%,43%,31%,28%,30%
,2019,48%,49%,52%,38%,42%,63%,58%,80%,40%,63%,24%,54%,56%,43%,39%,42%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,25%,11%,17%,38%,38%,46%,0%,31%,15%,28%,28%,16%,14%,13%
,2019,36%,39%,37%,25%,29%,51%,22%,65%,*,38%,14%,24%,41%,28%,25%,24%
Reading and Mathematics Including EOC,2021,27%,29%,30%,14%,21%,45%,38%,55%,0%,36%,15%,32%,34%,19%,17%,15%
,2019,37%,40%,41%,26%,31%,54%,22%,72%,*,44%,15%,26%,46%,29%,27%,25%
Reading Including EOC,2021,45%,47%,51%,35%,42%,65%,50%,70%,14%,60%,21%,51%,54%,41%,38%,31%
,2019,49%,51%,55%,40%,46%,69%,33%,76%,*,63%,20%,38%,60%,44%,41%,38%
Math Including EOC,2021,32%,34%,35%,17%,25%,51%,38%,64%,0%,39%,18%,40%,39%,23%,20%,19%
,2019,48%,50%,49%,31%,39%,63%,44%,83%,*,48%,19%,34%,54%,37%,35%,35%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,28%,14%,21%,42%,22%,58%,*,34%,14%,30%,31%,20%,17%,12%
,2019,34%,35%,38%,27%,30%,50%,54%,65%,*,51%,18%,45%,42%,29%,27%,22%
Reading and Mathematics Including EOC,2021,33%,34%,38%,20%,29%,54%,20%,62%,*,47%,16%,35%,42%,28%,24%,18%
,2019,47%,48%,52%,37%,43%,63%,65%,79%,*,63%,19%,56%,56%,41%,37%,33%
Reading Including EOC,2021,47%,48%,55%,39%,48%,68%,60%,74%,*,66%,21%,49%,58%,45%,43%,33%
