Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,15%,16%,10%,9%,10%,4%,20%,60%,*,0%,0%,16%,11%,7%,9%,9%
,2019,18%,19%,12%,11%,11%,16%,*,33%,-,13%,2%,9%,13%,10%,10%,12%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,67%,66%,67%,69%,80%,100%,*,75%,37%,65%,70%,59%,65%,66%
,2019,81%,81%,81%,80%,81%,87%,*,100%,-,88%,40%,77%,82%,78%,80%,81%
At Meets Grade Level or Above,2021,36%,37%,31%,24%,32%,42%,40%,80%,*,13%,10%,25%,33%,27%,29%,32%
,2019,47%,48%,46%,41%,46%,52%,*,100%,-,75%,17%,41%,48%,40%,44%,47%
At Masters Grade Level,2021,15%,17%,11%,9%,11%,17%,0%,40%,*,0%,3%,10%,12%,10%,11%,12%
,2019,21%,22%,19%,15%,20%,22%,*,83%,-,0%,4%,14%,21%,14%,18%,21%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,64%,54%,65%,64%,*,100%,-,75%,31%,65%,67%,54%,62%,62%
,2019,76%,77%,74%,73%,75%,71%,60%,100%,*,67%,34%,55%,77%,65%,72%,73%
At Meets Grade Level or Above,2021,45%,47%,36%,31%,36%,46%,*,89%,-,50%,16%,18%,39%,28%,34%,35%
,2019,49%,51%,43%,38%,43%,46%,40%,85%,*,67%,16%,30%,47%,30%,41%,40%
At Masters Grade Level,2021,25%,27%,17%,13%,18%,25%,*,56%,-,25%,7%,6%,19%,12%,16%,16%
,2019,29%,31%,20%,16%,20%,29%,0%,62%,*,11%,4%,5%,23%,12%,19%,18%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,35%,30%,36%,33%,*,*,-,*,24%,31%,36%,34%,34%,36%
,2019,75%,77%,69%,68%,68%,74%,80%,*,-,86%,40%,43%,69%,67%,68%,67%
