Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD (101907) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,23%,14%,17%,35%,13%,45%,43%,34%,6%,22%,26%,17%,14%,11%
,2018,19%,20%,25%,15%,17%,37%,18%,49%,10%,33%,3%,22%,27%,18%,15%,14%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,85%,75%,82%,94%,79%,97%,100%,90%,59%,85%,87%,78%,78%,77%
,2018,77%,78%,83%,75%,78%,93%,71%,98%,90%,90%,62%,83%,85%,78%,75%,75%
At Meets Grade Level or Above,2019,47%,48%,55%,39%,46%,73%,45%,87%,71%,69%,28%,55%,59%,44%,41%,39%
,2018,44%,46%,55%,39%,43%,74%,43%,88%,70%,68%,29%,59%,58%,44%,41%,41%
At Masters Grade Level,2019,21%,22%,29%,15%,20%,45%,13%,65%,57%,39%,10%,27%,32%,22%,18%,18%
,2018,18%,20%,25%,14%,15%,39%,20%,63%,30%,33%,7%,30%,28%,19%,14%,16%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,84%,76%,79%,92%,78%,95%,100%,90%,48%,83%,86%,77%,77%,71%
,2018,74%,76%,82%,72%,79%,91%,73%,95%,86%,84%,42%,73%,85%,73%,74%,70%
At Meets Grade Level or Above,2019,49%,51%,59%,47%,51%,74%,54%,82%,64%,70%,26%,52%,62%,49%,47%,38%
,2018,48%,50%,56%,43%,48%,71%,42%,79%,71%,64%,22%,43%,60%,46%,44%,36%
At Masters Grade Level,2019,29%,31%,37%,27%,28%,50%,36%,66%,18%,52%,9%,34%,41%,27%,26%,19%
,2018,29%,30%,34%,23%,26%,47%,24%,58%,43%,40%,9%,27%,37%,24%,23%,15%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,84%,74%,79%,93%,80%,98%,91%,89%,55%,84%,86%,78%,77%,74%
,2018,72%,75%,82%,71%,78%,92%,67%,97%,100%,84%,50%,78%,85%,73%,74%,72%
At Meets Grade Level or Above,2019,43%,46%,56%,40%,46%,74%,54%,88%,73%,68%,27%,61%,59%,46%,43%,38%
,2018,40%,43%,53%,37%,44%,69%,33%,87%,81%,61%,23%,45%,57%,42%,40%,35%
At Masters Grade Level,2019,17%,18%,26%,13%,17%,39%,22%,65%,18%,35%,6%,30%,29%,17%,15%,14%
,2018,18%,20%,29%,14%,21%,43%,15%,64%,43%,35%,7%,22%,32%,21%,18%,15%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,77%,70%,71%,88%,72%,94%,73%,82%,37%,76%,80%,70%,69%,62%
,2018,69%,69%,75%,66%,68%,86%,67%,91%,76%,79%,29%,64%,78%,64%,65%,55%
At Meets Grade Level or Above,2019,42%,43%,48%,38%,38%,63%,36%,79%,45%,62%,19%,45%,51%,38%,35%,25%
,2018,43%,44%,49%,37%,39%,65%,36%,77%,52%,53%,16%,36%,53%,39%,36%,26%
At Masters Grade Level,2019,18%,19%,21%,13%,14%,30%,10%,51%,27%,32%,5%,16%,24%,14%,12%,7%
,2018,15%,16%,17%,10%,11%,25%,9%,42%,14%,24%,4%,10%,19%,12%,10%,5%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,91%,87%,90%,96%,90%,97%,96%,92%,57%,86%,93%,86%,88%,83%
,2018,86%,86%,90%,85%,88%,96%,87%,96%,100%,95%,56%,85%,92%,84%,86%,77%
At Meets Grade Level or Above,2019,55%,56%,64%,51%,57%,78%,48%,85%,75%,68%,25%,48%,68%,50%,52%,39%
,2018,49%,51%,57%,46%,48%,73%,56%,78%,50%,67%,26%,46%,60%,48%,44%,26%
At Masters Grade Level,2019,28%,30%,36%,23%,28%,49%,29%,60%,50%,46%,7%,24%,39%,25%,24%,14%
,2018,27%,28%,33%,24%,24%,45%,33%,53%,25%,41%,6%,25%,35%,25%,22%,11%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,91%,88%,90%,95%,83%,98%,100%,97%,69%,89%,92%,89%,89%,87%
,2018,86%,87%,91%,85%,91%,95%,92%,96%,*,92%,69%,83%,92%,87%,88%,87%
At Meets Grade Level or Above,2019,57%,58%,57%,46%,54%,72%,50%,85%,67%,67%,31%,52%,59%,54%,50%,47%
,2018,51%,52%,54%,41%,51%,67%,52%,81%,*,65%,33%,57%,56%,48%,48%,44%
At Masters Grade Level,2019,17%,18%,12%,7%,9%,18%,8%,43%,22%,16%,6%,12%,12%,12%,8%,6%
,2018,15%,16%,12%,7%,9%,19%,12%,39%,*,17%,7%,19%,13%,12%,10%,8%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,88%,81%,85%,96%,77%,97%,92%,92%,56%,82%,91%,80%,82%,75%
,2018,76%,77%,85%,74%,81%,94%,92%,97%,88%,92%,53%,85%,88%,75%,78%,68%
At Meets Grade Level or Above,2019,51%,52%,64%,47%,55%,83%,55%,88%,88%,71%,30%,56%,68%,49%,51%,39%
,2018,52%,53%,64%,48%,55%,81%,59%,88%,75%,76%,32%,61%,68%,52%,51%,38%
At Masters Grade Level,2019,25%,27%,37%,19%,27%,56%,16%,67%,46%,52%,10%,32%,41%,23%,23%,15%
,2018,28%,29%,38%,22%,27%,56%,38%,67%,75%,46%,10%,33%,41%,27%,24%,15%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,80%,71%,75%,91%,65%,95%,88%,86%,46%,75%,83%,71%,71%,62%
,2018,65%,66%,77%,66%,71%,89%,67%,94%,75%,84%,44%,75%,80%,68%,67%,55%
At Meets Grade Level or Above,2019,37%,38%,50%,37%,39%,68%,35%,78%,54%,56%,25%,43%,53%,39%,36%,25%
,2018,36%,37%,50%,38%,39%,66%,46%,76%,63%,58%,26%,48%,52%,40%,36%,24%
At Masters Grade Level,2019,21%,23%,31%,19%,22%,46%,19%,59%,42%,41%,11%,24%,34%,22%,20%,12%
,2018,21%,22%,31%,21%,21%,45%,33%,58%,50%,43%,8%,32%,34%,24%,19%,11%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,78%,69%,74%,89%,73%,91%,91%,87%,41%,61%,81%,69%,71%,58%
,2018,65%,65%,75%,65%,70%,87%,63%,90%,78%,83%,35%,59%,78%,66%,67%,49%
At Meets Grade Level or Above,2019,50%,50%,61%,48%,54%,80%,49%,84%,55%,75%,23%,41%,65%,49%,49%,31%
,2018,44%,45%,55%,40%,47%,73%,46%,83%,56%,64%,18%,36%,59%,44%,43%,23%
At Masters Grade Level,2019,11%,11%,16%,9%,9%,28%,8%,41%,18%,26%,4%,9%,18%,10%,8%,2%
,2018,7%,8%,10%,4%,6%,17%,10%,29%,0%,17%,2%,2%,11%,7%,5%,2%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,79%,70%,75%,89%,72%,91%,80%,90%,40%,60%,82%,68%,71%,52%
,2018,67%,67%,77%,70%,72%,89%,53%,88%,73%,90%,37%,60%,81%,66%,70%,45%
At Meets Grade Level or Above,2019,49%,50%,61%,49%,53%,78%,51%,79%,50%,78%,25%,40%,65%,48%,49%,23%
,2018,48%,48%,59%,46%,50%,78%,42%,78%,55%,78%,21%,38%,63%,46%,47%,21%
At Masters Grade Level,2019,8%,9%,11%,5%,7%,17%,8%,28%,0%,15%,2%,1%,12%,7%,6%,1%
