Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.90,0.88,0.87,0.91,1.00,0.94,-,0.95,0.63,0.91,0.89,0.83,0.85
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.85,0.82,0.80,0.86,*,0.92,-,0.88,0.50,0.84,0.85,0.72,0.77
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.72,0.66,0.65,0.75,1.00,0.82,-,0.78,0.41,0.73,0.71,0.57,0.61
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.62,0.46,0.54,0.65,*,0.78,-,0.64,0.29,0.62,0.63,0.45,0.54
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.53,0.40,0.44,0.57,0.67,0.64,-,0.55,0.18,0.55,0.47,0.33,0.40
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.37,0.33,0.31,0.39,*,0.47,-,0.43,0.11,0.37,0.36,0.23,0.33
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.88,0.78,0.84,0.90,1.00,0.94,-,0.87,0.60,0.89,0.86,0.79,0.86
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.83,0.70,0.77,0.84,*,0.95,-,0.89,0.44,0.82,0.85,0.67,0.80
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.65,0.43,0.59,0.70,0.67,0.81,-,0.58,0.34,0.67,0.61,0.47,0.63
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.51,0.42,0.42,0.51,*,0.76,-,0.61,0.22,0.52,0.48,0.30,0.47
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.39,0.23,0.30,0.43,0.33,0.60,-,0.39,0.14,0.41,0.36,0.22,0.35
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.29,0.26,0.22,0.29,*,0.54,-,0.30,0.11,0.31,0.25,0.16,0.32
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.89,0.81,0.84,0.92,*,0.96,-,0.94,0.48,0.91,0.88,0.79,0.85
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.82,0.64,0.76,0.85,-,0.92,*,0.82,0.37,0.85,0.77,0.66,0.76
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.76,0.56,0.69,0.80,*,0.87,-,0.80,0.32,0.78,0.73,0.60,0.69
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.59,0.34,0.50,0.64,-,0.77,*,0.60,0.23,0.63,0.53,0.37,0.52
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.50,0.40,0.42,0.52,*,0.65,-,0.57,0.13,0.51,0.47,0.33,0.42
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.35,0.19,0.26,0.39,-,0.47,*,0.39,0.08,0.40,0.27,0.15,0.29
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.70,0.70,0.88,0.71,0.83,0.90,*,0.96,-,0.92,0.48,0.89,0.86,0.77,0.86
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.60,0.82,0.45,0.78,0.85,-,0.97,*,0.88,0.47,0.84,0.79,0.66,0.80
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.65,0.43,0.57,0.68,*,0.86,-,0.69,0.28,0.67,0.62,0.45,0.62
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.62,0.26,0.53,0.66,-,0.84,*,0.70,0.33,0.65,0.57,0.40,0.60
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.42,0.25,0.34,0.42,*,0.73,-,0.42,0.12,0.44,0.38,0.25,0.39
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.43,0.09,0.34,0.47,-,0.65,*,0.35,0.16,0.45,0.38,0.21,0.42
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.91,0.79,0.86,0.94,-,0.96,-,0.93,0.59,0.93,0.87,0.81,0.86
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.87,0.76,0.83,0.90,*,0.94,*,0.92,0.56,0.88,0.86,0.73,0.84
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.74,0.52,0.68,0.78,-,0.89,-,0.76,0.33,0.77,0.69,0.56,0.70
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.65,0.54,0.56,0.70,*,0.79,*,0.64,0.33,0.67,0.62,0.42,0.57
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.55,0.36,0.49,0.57,-,0.75,-,0.59,0.18,0.58,0.51,0.37,0.52
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.49,0.40,0.40,0.54,*,0.60,*,0.53,0.17,0.51,0.46,0.27,0.39
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.90,0.70,0.88,0.92,-,0.98,-,0.93,0.65,0.93,0.85,0.80,0.90
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.90,0.78,0.87,0.91,*,0.98,*,0.91,0.63,0.91,0.88,0.77,0.89
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.68,0.40,0.63,0.69,-,0.93,-,0.66,0.31,0.71,0.61,0.49,0.70
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.70,0.51,0.61,0.73,*,0.87,*,0.77,0.40,0.72,0.65,0.50,0.69
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.42,0.16,0.36,0.43,-,0.74,-,0.36,0.13,0.45,0.35,0.25,0.44
Tomball_ISD_Grade 5 Mathematics,Tomball_ISD,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.46,0.29,0.34,0.51,*,0.62,*,0.62,0.18,0.50,0.39,0.26,0.41
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.90,0.79,0.86,0.93,-,0.97,-,0.90,0.60,0.92,0.86,0.82,0.85
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.88,0.76,0.81,0.92,*,0.95,*,0.92,0.62,0.90,0.85,0.75,0.83
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.70,0.40,0.62,0.75,-,0.81,-,0.73,0.35,0.71,0.66,0.52,0.64
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.60,0.46,0.48,0.66,*,0.76,*,0.67,0.31,0.63,0.55,0.37,0.51
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Masters Grade Level,2022,0.18,0.19,0.42,0.12,0.34,0.47,-,0.54,-,0.53,0.16,0.45,0.36,0.27,0.37
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Masters Grade Level,2021,0.13,0.14,0.31,0.15,0.22,0.36,*,0.38,*,0.40,0.11,0.35,0.24,0.14,0.24
Tomball_ISD_Grade 6 Reading,Tomball_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.70,0.70,0.89,0.72,0.84,0.91,*,0.97,-,0.93,0.64,0.91,0.85,0.79,0.84
Tomball_ISD_Grade 6 Reading,Tomball_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2021,0.62,0.64,0.83,0.71,0.77,0.86,*,0.94,-,0.78,0.32,0.84,0.81,0.63,0.72
Tomball_ISD_Grade 6 Reading,Tomball_ISD,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.65,0.48,0.54,0.71,*,0.77,-,0.74,0.36,0.67,0.60,0.44,0.49
Tomball_ISD_Grade 6 Reading,Tomball_ISD,Grade 6 Reading,At Meets Grade Level or Above,2021,0.32,0.34,0.54,0.40,0.46,0.58,*,0.74,-,0.45,0.15,0.57,0.48,0.28,0.38
