Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,19%,20%,13%,7%,13%,14%,0%,36%,*,13%,1%,14%,14%,8%,12%,11%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,81%,80%,81%,87%,*,100%,-,88%,40%,77%,82%,78%,80%,81%
,2018,77%,78%,78%,76%,77%,82%,86%,93%,*,88%,54%,82%,80%,72%,77%,78%
At Meets Grade Level or Above,2019,47%,48%,46%,41%,46%,52%,*,100%,-,75%,17%,41%,48%,40%,44%,47%
,2018,44%,46%,44%,41%,44%,45%,43%,79%,*,38%,21%,36%,47%,35%,42%,45%
At Masters Grade Level,2019,21%,22%,19%,15%,20%,22%,*,83%,-,0%,4%,14%,21%,14%,18%,21%
,2018,18%,20%,15%,11%,16%,15%,29%,57%,*,0%,4%,18%,17%,9%,14%,17%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,74%,73%,75%,71%,60%,100%,*,67%,34%,55%,77%,65%,72%,73%
,2018,74%,76%,73%,75%,72%,75%,100%,100%,-,89%,33%,69%,75%,67%,72%,72%
At Meets Grade Level or Above,2019,49%,51%,43%,38%,43%,46%,40%,85%,*,67%,16%,30%,47%,30%,41%,40%
,2018,48%,50%,43%,45%,42%,46%,43%,69%,-,44%,16%,38%,45%,36%,41%,40%
At Masters Grade Level,2019,29%,31%,20%,16%,20%,29%,0%,62%,*,11%,4%,5%,23%,12%,19%,18%
,2018,29%,30%,22%,18%,22%,23%,29%,46%,-,22%,5%,6%,23%,18%,21%,22%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,69%,68%,68%,74%,80%,*,-,86%,40%,43%,69%,67%,68%,67%
,2018,72%,75%,64%,65%,64%,62%,*,100%,-,83%,38%,67%,66%,60%,63%,63%
At Meets Grade Level or Above,2019,43%,46%,23%,26%,22%,26%,0%,*,-,43%,18%,21%,22%,24%,22%,20%
,2018,40%,43%,19%,18%,20%,11%,*,71%,-,33%,13%,13%,20%,19%,19%,20%
At Masters Grade Level,2019,17%,18%,2%,2%,2%,2%,0%,*,-,0%,1%,0%,1%,4%,2%,2%
,2018,18%,20%,2%,4%,2%,0%,*,14%,-,17%,1%,0%,2%,3%,2%,2%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,70%,72%,69%,66%,80%,100%,*,67%,29%,55%,72%,62%,67%,68%
,2018,69%,69%,66%,68%,65%,66%,100%,100%,-,78%,18%,59%,70%,55%,65%,63%
At Meets Grade Level or Above,2019,42%,43%,34%,31%,34%,38%,60%,85%,*,44%,14%,20%,37%,27%,32%,30%
,2018,43%,44%,38%,39%,36%,39%,43%,77%,-,67%,14%,18%,41%,28%,36%,34%
At Masters Grade Level,2019,18%,19%,10%,8%,10%,11%,0%,38%,*,11%,4%,5%,11%,7%,9%,8%
,2018,15%,16%,9%,7%,9%,13%,14%,38%,-,0%,4%,6%,10%,6%,8%,7%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,84%,84%,84%,85%,100%,92%,-,91%,42%,77%,86%,77%,83%,81%
,2018,86%,86%,81%,76%,81%,86%,*,83%,*,83%,32%,86%,83%,74%,80%,78%
At Meets Grade Level or Above,2019,55%,56%,47%,48%,46%,52%,83%,75%,-,55%,16%,32%,51%,35%,45%,40%
,2018,49%,51%,40%,37%,40%,48%,*,67%,*,67%,13%,50%,43%,33%,37%,34%
At Masters Grade Level,2019,28%,30%,22%,19%,22%,30%,33%,50%,-,27%,8%,14%,24%,14%,20%,18%
,2018,27%,28%,19%,18%,19%,22%,*,50%,*,33%,3%,43%,21%,15%,17%,15%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,91%,91%,91%,90%,*,94%,*,89%,53%,92%,92%,90%,91%,91%
,2018,86%,87%,92%,90%,92%,94%,80%,91%,*,89%,54%,100%,93%,87%,91%,92%
At Meets Grade Level or Above,2019,57%,58%,63%,63%,63%,48%,*,94%,*,56%,18%,58%,66%,54%,62%,62%
,2018,51%,52%,58%,53%,59%,71%,40%,82%,*,33%,21%,55%,60%,54%,57%,59%
At Masters Grade Level,2019,17%,18%,15%,13%,15%,8%,*,56%,*,22%,5%,15%,15%,12%,14%,13%
,2018,15%,16%,17%,11%,17%,27%,20%,55%,*,33%,8%,9%,17%,15%,16%,17%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,80%,76%,81%,88%,100%,92%,-,91%,37%,82%,83%,72%,79%,78%
,2018,76%,77%,74%,71%,74%,84%,*,83%,*,67%,32%,79%,76%,67%,72%,71%
At Meets Grade Level or Above,2019,51%,52%,48%,42%,49%,59%,67%,83%,-,55%,21%,45%,53%,36%,46%,43%
,2018,52%,53%,45%,38%,46%,60%,*,67%,*,50%,16%,50%,48%,37%,43%,43%
At Masters Grade Level,2019,25%,27%,18%,16%,17%,27%,17%,58%,-,27%,7%,14%,20%,11%,16%,13%
