Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING ISD (101919) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,27%,29%,14%,8%,15%,19%,30%,41%,17%,17%,14%,9%,16%,9%,12%,17%
,2019,43%,46%,27%,21%,28%,45%,41%,57%,33%,40%,19%,20%,30%,22%,27%,24%
At Masters Grade Level,2021,12%,13%,4%,2%,5%,7%,0%,23%,0%,3%,4%,0%,5%,3%,3%,6%
,2019,17%,18%,9%,7%,8%,18%,18%,36%,17%,9%,8%,0%,11%,6%,9%,7%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,46%,41%,46%,55%,64%,79%,100%,50%,18%,25%,48%,40%,43%,43%
,2019,70%,72%,57%,51%,58%,75%,73%,78%,67%,73%,22%,44%,58%,55%,56%,53%
At Meets Grade Level or Above,2021,33%,34%,17%,13%,18%,24%,41%,48%,29%,14%,15%,0%,18%,15%,15%,17%
,2019,42%,43%,29%,25%,28%,42%,23%,64%,17%,38%,16%,22%,31%,25%,28%,23%
At Masters Grade Level,2021,10%,10%,3%,2%,3%,2%,5%,14%,0%,3%,6%,0%,3%,2%,2%,3%
,2019,18%,19%,9%,8%,8%,19%,5%,26%,17%,18%,10%,8%,11%,6%,8%,5%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,56%,47%,59%,68%,50%,85%,*,61%,27%,22%,59%,48%,54%,56%
,2019,86%,86%,74%,68%,77%,84%,68%,84%,50%,83%,39%,61%,77%,68%,74%,69%
At Meets Grade Level or Above,2021,46%,48%,27%,22%,28%,44%,21%,57%,*,25%,18%,6%,30%,21%,25%,26%
,2019,55%,56%,32%,26%,34%,48%,40%,56%,17%,38%,24%,14%,35%,26%,31%,23%
At Masters Grade Level,2021,21%,22%,8%,4%,10%,20%,0%,28%,*,4%,2%,6%,10%,6%,8%,9%
,2019,28%,30%,9%,5%,10%,17%,16%,30%,17%,17%,6%,4%,10%,7%,8%,6%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,40%,36%,41%,61%,33%,60%,*,40%,28%,24%,42%,36%,39%,38%
,2019,88%,88%,77%,71%,81%,86%,71%,92%,83%,88%,43%,72%,80%,70%,77%,75%
At Meets Grade Level or Above,2021,36%,37%,17%,12%,18%,33%,0%,36%,*,15%,22%,6%,18%,13%,15%,17%
,2019,57%,58%,35%,29%,37%,45%,38%,72%,50%,44%,22%,28%,38%,28%,34%,31%
At Masters Grade Level,2021,11%,11%,3%,1%,3%,7%,0%,12%,*,5%,7%,0%,3%,3%,2%,4%
,2019,17%,18%,6%,4%,6%,14%,17%,19%,0%,8%,10%,3%,7%,4%,5%,4%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,48%,40%,50%,68%,53%,83%,*,54%,27%,28%,53%,38%,46%,46%
,2019,81%,81%,67%,60%,70%,81%,62%,94%,86%,74%,35%,55%,71%,59%,66%,59%
At Meets Grade Level or Above,2021,43%,45%,24%,16%,25%,47%,18%,58%,*,32%,20%,0%,28%,15%,22%,23%
,2019,51%,52%,32%,24%,35%,53%,42%,66%,14%,41%,23%,28%,38%,22%,31%,23%
At Masters Grade Level,2021,24%,25%,11%,7%,11%,26%,0%,35%,*,7%,10%,0%,13%,5%,9%,10%
,2019,25%,27%,12%,7%,13%,27%,19%,43%,0%,11%,12%,0%,15%,7%,12%,7%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,33%,26%,33%,52%,44%,71%,*,36%,22%,26%,36%,24%,30%,31%
,2019,69%,70%,47%,40%,49%,59%,38%,78%,50%,63%,30%,46%,51%,38%,45%,35%
At Meets Grade Level or Above,2021,28%,29%,11%,8%,10%,32%,13%,27%,*,7%,17%,0%,12%,8%,10%,8%
,2019,37%,38%,16%,11%,16%,33%,19%,49%,13%,19%,20%,11%,19%,11%,16%,8%
At Masters Grade Level,2021,14%,15%,3%,2%,3%,9%,0%,14%,*,7%,7%,0%,4%,2%,3%,3%
,2019,21%,23%,8%,5%,8%,15%,8%,34%,0%,7%,9%,4%,9%,5%,7%,3%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,45%,38%,47%,60%,58%,74%,*,71%,17%,38%,47%,40%,43%,41%
,2019,68%,67%,53%,48%,57%,64%,59%,73%,71%,55%,19%,49%,57%,46%,53%,39%
At Meets Grade Level or Above,2021,50%,51%,26%,19%,29%,42%,42%,62%,*,45%,11%,19%,28%,21%,25%,25%
,2019,50%,50%,32%,26%,34%,48%,35%,59%,14%,34%,10%,22%,34%,27%,32%,18%
At Masters Grade Level,2021,12%,14%,3%,3%,2%,10%,5%,14%,*,13%,2%,3%,4%,2%,2%,2%
,2019,11%,11%,4%,2%,4%,6%,6%,15%,0%,3%,1%,0%,4%,2%,3%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,53%,47%,56%,67%,50%,72%,*,74%,20%,32%,56%,47%,51%,46%
,2019,68%,69%,57%,51%,58%,71%,61%,67%,55%,77%,21%,25%,60%,49%,56%,32%
At Meets Grade Level or Above,2021,57%,58%,38%,30%,40%,59%,42%,66%,*,59%,14%,11%,41%,29%,36%,31%
,2019,49%,50%,36%,29%,38%,54%,33%,54%,27%,62%,13%,8%,39%,29%,36%,13%
At Masters Grade Level,2021,11%,12%,3%,2%,2%,7%,17%,6%,*,5%,1%,0%,3%,1%,2%,1%
,2019,8%,9%,3%,2%,3%,7%,3%,2%,0%,3%,2%,0%,3%,2%,3%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,47%,38%,52%,54%,58%,84%,*,47%,25%,36%,52%,36%,45%,52%
,2019,85%,84%,67%,63%,69%,69%,75%,89%,57%,63%,37%,58%,71%,59%,67%,60%
At Meets Grade Level or Above,2021,41%,44%,17%,12%,18%,23%,17%,60%,*,19%,11%,12%,21%,9%,16%,19%
,2019,61%,61%,32%,25%,34%,34%,46%,74%,43%,50%,12%,16%,36%,23%,31%,24%
At Masters Grade Level,2021,23%,26%,6%,4%,6%,9%,0%,35%,*,3%,2%,0%,7%,3%,5%,6%
,2019,37%,38%,14%,10%,16%,18%,21%,54%,29%,31%,3%,7%,17%,9%,14%,8%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,66%,62%,66%,83%,65%,93%,*,78%,32%,68%,69%,59%,64%,60%
,2019,88%,88%,76%,73%,77%,90%,73%,95%,63%,87%,45%,67%,79%,70%,76%,67%
At Meets Grade Level or Above,2021,55%,57%,35%,28%,36%,48%,41%,77%,*,50%,14%,24%,39%,26%,32%,30%
,2019,62%,63%,41%,34%,43%,68%,42%,71%,25%,65%,14%,26%,46%,32%,42%,25%
At Masters Grade Level,2021,22%,26%,10%,7%,10%,21%,12%,53%,*,17%,3%,8%,12%,6%,9%,8%
,2019,25%,28%,13%,8%,12%,32%,23%,40%,13%,26%,1%,10%,14%,9%,12%,5%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,79%,75%,80%,90%,80%,94%,-,86%,48%,86%,81%,71%,77%,69%
,2019,93%,93%,88%,86%,88%,96%,89%,97%,57%,95%,55%,91%,90%,81%,88%,71%
At Meets Grade Level or Above,2021,69%,70%,53%,44%,55%,74%,70%,77%,-,59%,31%,43%,56%,43%,49%,41%
,2019,73%,75%,64%,59%,64%,78%,58%,82%,57%,80%,31%,41%,68%,52%,63%,28%
At Masters Grade Level,2021,43%,45%,27%,18%,28%,53%,30%,53%,-,36%,12%,14%,27%,24%,23%,16%
,2019,45%,49%,32%,26%,31%,50%,26%,61%,14%,45%,13%,27%,35%,20%,29%,6%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,93%,80%,96%,95%,*,96%,*,100%,*,-,93%,94%,91%,80%
At Meets Grade Level or Above,2021,69%,75%,56%,27%,60%,73%,*,67%,*,67%,*,-,57%,41%,51%,40%
At Masters Grade Level,2021,14%,18%,2%,0%,1%,7%,*,4%,*,0%,*,-,2%,0%,1%,0%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,51%,43%,53%,66%,57%,77%,66%,59%,26%,44%,54%,44%,48%,51%
,2019,78%,78%,66%,59%,69%,77%,71%,85%,62%,75%,37%,57%,69%,60%,65%,63%
At Meets Grade Level or Above,2021,41%,43%,25%,19%,26%,39%,30%,55%,40%,31%,16%,18%,28%,19%,23%,24%
,2019,50%,51%,34%,27%,36%,47%,39%,64%,34%,44%,20%,23%,38%,28%,33%,30%
At Masters Grade Level,2021,18%,20%,8%,6%,9%,16%,11%,28%,15%,10%,4%,6%,10%,6%,7%,9%
,2019,24%,25%,13%,9%,14%,20%,16%,36%,13%,19%,6%,8%,15%,9%,12%,12%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,52%,44%,54%,65%,57%,75%,65%,63%,24%,43%,54%,47%,50%,52%
,2019,75%,75%,63%,56%,66%,74%,70%,80%,55%,73%,32%,51%,66%,58%,62%,59%
At Meets Grade Level or Above,2021,45%,46%,28%,22%,29%,41%,36%,56%,41%,40%,16%,18%,31%,23%,26%,27%
,2019,48%,49%,34%,27%,36%,47%,39%,59%,30%,45%,19%,21%,37%,28%,33%,29%
At Masters Grade Level,2021,18%,20%,9%,6%,9%,15%,16%,25%,17%,12%,3%,6%,10%,7%,8%,10%
,2019,21%,22%,11%,8%,12%,16%,14%,28%,9%,20%,5%,6%,12%,9%,11%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,48%,37%,52%,64%,59%,77%,67%,55%,28%,46%,51%,41%,46%,52%
,2019,82%,82%,70%,62%,74%,79%,76%,91%,69%,77%,44%,65%,73%,65%,70%,71%
At Meets Grade Level or Above,2021,37%,39%,20%,13%,22%,32%,26%,53%,43%,25%,17%,20%,23%,15%,19%,23%
,2019,52%,53%,34%,26%,37%,44%,44%,69%,49%,42%,21%,25%,38%,27%,33%,35%
At Masters Grade Level,2021,18%,19%,7%,4%,8%,13%,10%,29%,20%,7%,4%,7%,8%,6%,6%,9%
,2019,26%,28%,14%,9%,16%,19%,20%,43%,24%,19%,7%,9%,16%,10%,13%,15%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,43%,36%,45%,56%,53%,71%,67%,46%,18%,29%,45%,40%,41%,44%
,2019,68%,69%,57%,48%,60%,69%,69%,81%,44%,71%,31%,46%,59%,53%,56%,60%
At Meets Grade Level or Above,2021,30%,31%,17%,13%,18%,25%,31%,51%,22%,12%,13%,8%,19%,15%,16%,18%
,2019,38%,39%,27%,21%,28%,36%,29%,58%,11%,41%,22%,20%,29%,23%,26%,27%
At Masters Grade Level,2021,9%,9%,3%,2%,4%,3%,5%,20%,0%,1%,3%,0%,4%,3%,3%,4%
,2019,14%,15%,8%,6%,7%,12%,8%,25%,11%,15%,9%,7%,9%,6%,7%,6%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,54%,47%,55%,71%,57%,82%,79%,62%,28%,53%,57%,46%,52%,51%
,2019,81%,82%,68%,62%,71%,81%,67%,89%,76%,76%,40%,55%,72%,62%,67%,64%
At Meets Grade Level or Above,2021,44%,45%,25%,19%,26%,43%,21%,57%,50%,34%,16%,19%,29%,18%,23%,23%
,2019,54%,55%,36%,28%,39%,55%,39%,64%,24%,50%,20%,25%,41%,28%,35%,29%
At Masters Grade Level,2021,20%,22%,9%,6%,8%,18%,5%,35%,14%,12%,5%,3%,10%,5%,7%,8%
,2019,25%,27%,12%,8%,13%,25%,21%,38%,8%,17%,6%,7%,15%,9%,12%,10%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,58%,54%,57%,75%,58%,84%,*,58%,36%,42%,62%,46%,55%,46%
,2019,81%,81%,68%,63%,69%,79%,60%,88%,53%,77%,41%,66%,72%,57%,66%,49%
At Meets Grade Level or Above,2021,49%,51%,34%,29%,33%,58%,35%,55%,*,30%,24%,12%,37%,24%,30%,22%
,2019,55%,57%,40%,35%,41%,58%,36%,67%,33%,45%,25%,24%,45%,29%,38%,16%
At Masters Grade Level,2021,29%,31%,16%,11%,16%,36%,12%,36%,*,20%,10%,4%,17%,12%,13%,8%
,2019,33%,36%,20%,15%,20%,34%,16%,49%,7%,23%,11%,14%,23%,12%,18%,4%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,14%,10%,14%,20%,20%,31%,18%,21%,17%,20%,14%,13%,13%,16%
,2019,35%,36%,24%,18%,26%,34%,33%,52%,33%,24%,19%,12%,27%,19%,23%,29%
Reading and Mathematics Including EOC,2021,24%,25%,14%,10%,14%,20%,20%,31%,18%,21%,17%,20%,14%,13%,13%,16%
,2019,35%,36%,24%,18%,26%,34%,33%,52%,33%,24%,19%,12%,27%,19%,23%,29%
Reading Including EOC,2021,38%,39%,28%,23%,28%,41%,43%,39%,45%,44%,19%,26%,30%,23%,26%,29%
,2019,45%,45%,35%,28%,38%,40%,43%,55%,33%,37%,24%,24%,37%,30%,33%,41%
Math Including EOC,2021,31%,31%,19%,12%,20%,28%,33%,49%,45%,24%,18%,29%,20%,17%,18%,24%
,2019,49%,48%,34%,26%,36%,48%,43%,64%,83%,41%,26%,22%,37%,27%,32%,38%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,14%,9%,15%,28%,13%,44%,22%,16%,14%,14%,15%,12%,12%,16%
,2019,35%,36%,24%,16%,26%,33%,29%,66%,*,31%,25%,21%,27%,19%,22%,28%
Reading and Mathematics Including EOC,2021,26%,27%,14%,9%,15%,28%,13%,44%,22%,16%,14%,14%,15%,12%,12%,16%
,2019,35%,36%,24%,16%,26%,33%,29%,66%,*,31%,25%,21%,27%,19%,22%,28%
Reading Including EOC,2021,36%,37%,25%,18%,27%,39%,31%,52%,22%,32%,15%,17%,26%,24%,23%,27%
,2019,44%,45%,33%,25%,35%,39%,38%,72%,*,52%,29%,26%,36%,28%,31%,38%
Math Including EOC,2021,36%,36%,21%,12%,24%,35%,12%,54%,36%,24%,16%,23%,23%,17%,19%,25%
,2019,48%,49%,35%,25%,39%,48%,43%,78%,*,42%,30%,37%,39%,30%,34%,41%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,21%,14%,22%,33%,30%,49%,50%,28%,12%,18%,24%,15%,19%,25%
,2019,44%,44%,32%,23%,36%,37%,34%,65%,40%,34%,18%,21%,35%,26%,30%,37%
Reading and Mathematics Including EOC,2021,34%,35%,21%,14%,22%,33%,30%,49%,50%,28%,12%,18%,24%,15%,19%,25%
,2019,44%,44%,32%,23%,36%,37%,34%,65%,40%,34%,18%,21%,35%,26%,30%,37%
Reading Including EOC,2021,46%,47%,30%,24%,31%,42%,39%,56%,50%,44%,14%,35%,33%,26%,28%,32%
,2019,54%,54%,41%,33%,45%,49%,37%,67%,60%,43%,24%,26%,44%,37%,39%,44%
Math Including EOC,2021,44%,45%,31%,22%,35%,43%,41%,61%,67%,36%,18%,34%,36%,23%,30%,39%
,2019,58%,59%,46%,35%,52%,50%,54%,77%,60%,51%,24%,36%,51%,38%,44%,55%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,11%,8%,11%,20%,17%,36%,*,23%,17%,3%,13%,8%,10%,11%
,2019,31%,32%,17%,13%,17%,24%,11%,40%,14%,22%,14%,9%,19%,12%,16%,15%
Reading and Mathematics Including EOC,2021,24%,26%,11%,8%,11%,20%,17%,36%,*,23%,17%,3%,13%,8%,10%,11%
,2019,31%,32%,17%,13%,17%,24%,11%,40%,14%,22%,14%,9%,19%,12%,16%,15%
Reading Including EOC,2021,32%,34%,19%,13%,20%,30%,24%,44%,*,43%,17%,3%,22%,14%,18%,19%
,2019,37%,38%,26%,22%,26%,39%,32%,43%,14%,33%,16%,17%,28%,21%,24%,21%
Math Including EOC,2021,36%,38%,18%,13%,19%,29%,20%,53%,*,27%,18%,13%,21%,14%,16%,19%
,2019,48%,49%,27%,20%,29%,38%,26%,66%,43%,31%,17%,21%,31%,20%,27%,26%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,11%,7%,12%,10%,25%,37%,17%,16%,14%,5%,12%,8%,9%,13%
,2019,36%,39%,22%,18%,22%,38%,36%,54%,33%,33%,19%,11%,26%,16%,22%,18%
Reading and Mathematics Including EOC,2021,27%,29%,11%,7%,12%,10%,25%,37%,17%,16%,14%,5%,12%,8%,9%,13%
,2019,37%,40%,22%,18%,22%,38%,36%,54%,33%,33%,19%,11%,26%,16%,22%,18%
Reading Including EOC,2021,45%,47%,28%,23%,29%,27%,45%,69%,50%,22%,18%,14%,30%,22%,25%,30%
,2019,49%,51%,37%,30%,37%,55%,45%,68%,50%,53%,20%,26%,40%,30%,36%,31%
Math Including EOC,2021,32%,34%,13%,8%,15%,19%,30%,41%,17%,17%,14%,9%,16%,9%,12%,16%
,2019,48%,50%,27%,21%,28%,45%,41%,57%,33%,40%,19%,20%,30%,22%,27%,24%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,10%,8%,10%,21%,0%,16%,*,15%,16%,0%,11%,8%,8%,10%
,2019,34%,35%,18%,14%,19%,30%,29%,34%,17%,25%,19%,7%,20%,14%,18%,14%
Reading and Mathematics Including EOC,2021,33%,34%,17%,13%,16%,31%,0%,49%,*,20%,16%,0%,19%,11%,14%,15%
,2019,47%,48%,27%,21%,29%,40%,35%,68%,13%,30%,20%,10%,32%,19%,27%,20%
