Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
KATY ISD (101914) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,31%,20%,21%,35%,19%,55%,27%,32%,8%,28%,34%,24%,15%,27%
,2018,19%,20%,32%,21%,21%,38%,27%,53%,38%,40%,11%,35%,34%,28%,18%,25%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,92%,86%,88%,96%,95%,99%,100%,92%,68%,94%,94%,89%,85%,91%
,2018,77%,78%,90%,84%,86%,94%,87%,97%,88%,92%,69%,95%,92%,87%,83%,88%
At Meets Grade Level or Above,2019,47%,48%,67%,50%,54%,76%,76%,92%,73%,69%,33%,70%,71%,58%,46%,63%
,2018,44%,46%,64%,49%,49%,72%,60%,89%,88%,67%,32%,71%,66%,57%,44%,58%
At Masters Grade Level,2019,21%,22%,39%,22%,25%,44%,33%,76%,45%,45%,13%,40%,43%,31%,18%,36%
,2018,18%,20%,34%,22%,20%,39%,47%,67%,38%,35%,12%,31%,35%,31%,16%,29%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,90%,83%,85%,94%,87%,97%,90%,93%,59%,94%,92%,86%,81%,86%
,2018,74%,76%,89%,80%,84%,93%,86%,97%,83%,91%,55%,92%,91%,83%,80%,82%
At Meets Grade Level or Above,2019,49%,51%,71%,57%,61%,77%,60%,89%,80%,75%,35%,75%,74%,63%,53%,64%
,2018,48%,50%,68%,55%,56%,75%,64%,88%,50%,72%,30%,68%,72%,59%,51%,53%
At Masters Grade Level,2019,29%,31%,50%,33%,37%,57%,33%,74%,50%,53%,13%,51%,53%,41%,31%,43%
,2018,29%,30%,48%,35%,36%,53%,50%,74%,33%,48%,16%,46%,51%,41%,30%,34%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,84%,76%,81%,89%,100%,95%,*,85%,61%,88%,86%,80%,77%,82%
,2018,72%,75%,80%,67%,77%,87%,60%,94%,100%,82%,58%,82%,82%,76%,74%,77%
At Meets Grade Level or Above,2019,43%,46%,47%,33%,39%,59%,29%,65%,*,50%,32%,53%,50%,40%,34%,39%
,2018,40%,43%,42%,27%,34%,53%,20%,63%,40%,42%,26%,43%,45%,35%,29%,33%
At Masters Grade Level,2019,17%,18%,11%,5%,9%,16%,0%,22%,*,13%,7%,7%,13%,9%,6%,10%
,2018,18%,20%,13%,7%,9%,18%,0%,26%,20%,15%,9%,18%,14%,11%,9%,11%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,88%,81%,82%,92%,87%,97%,90%,91%,51%,89%,89%,84%,78%,84%
,2018,69%,69%,86%,78%,79%,91%,79%,96%,83%,91%,49%,88%,89%,79%,75%,75%
At Meets Grade Level or Above,2019,42%,43%,66%,51%,54%,74%,60%,88%,70%,68%,28%,64%,69%,59%,46%,58%
,2018,43%,44%,66%,52%,53%,72%,64%,88%,50%,70%,27%,65%,69%,56%,47%,49%
At Masters Grade Level,2019,18%,19%,37%,25%,25%,41%,53%,66%,30%,38%,7%,40%,41%,29%,18%,29%
,2018,15%,16%,30%,20%,19%,33%,7%,58%,33%,34%,8%,23%,33%,24%,15%,17%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,94%,88%,92%,96%,100%,98%,89%,96%,59%,99%,95%,91%,89%,90%
,2018,86%,86%,93%,89%,88%,97%,100%,97%,88%,96%,58%,95%,95%,88%,86%,83%
At Meets Grade Level or Above,2019,55%,56%,74%,59%,65%,81%,79%,90%,44%,78%,31%,74%,78%,64%,56%,57%
,2018,49%,51%,67%,55%,55%,75%,53%,84%,75%,69%,28%,70%,71%,57%,51%,45%
At Masters Grade Level,2019,28%,30%,47%,33%,35%,52%,36%,71%,11%,53%,10%,42%,50%,37%,27%,28%
,2018,27%,28%,43%,26%,31%,48%,27%,65%,75%,46%,11%,37%,46%,33%,27%,21%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
