Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CHANNELVIEW ISD (101905) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,19%,20%,9%,7%,9%,9%,*,50%,*,0%,9%,0%,9%,9%,9%,6%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,86%,74%,87%,92%,100%,78%,-,*,52%,90%,88%,82%,85%,84%
,2018,77%,78%,79%,78%,79%,72%,40%,89%,*,100%,51%,80%,80%,75%,78%,77%
At Meets Grade Level or Above,2019,47%,48%,49%,27%,50%,59%,64%,67%,-,*,20%,50%,51%,44%,47%,48%
,2018,44%,46%,38%,31%,40%,31%,0%,67%,*,20%,18%,20%,41%,32%,37%,36%
At Masters Grade Level,2019,21%,22%,14%,3%,14%,24%,21%,44%,-,*,9%,30%,15%,13%,12%,13%
,2018,18%,20%,10%,9%,10%,8%,0%,56%,*,0%,6%,0%,10%,11%,9%,7%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,74%,71%,74%,65%,80%,88%,*,80%,34%,40%,78%,65%,72%,71%
,2018,74%,76%,66%,64%,67%,62%,57%,60%,*,57%,47%,73%,69%,59%,66%,59%
At Meets Grade Level or Above,2019,49%,51%,39%,30%,40%,41%,20%,75%,*,0%,13%,20%,41%,33%,36%,36%
,2018,48%,50%,30%,33%,30%,24%,29%,60%,*,29%,28%,45%,32%,28%,30%,22%
At Masters Grade Level,2019,29%,31%,19%,15%,19%,22%,20%,63%,*,0%,11%,0%,21%,16%,17%,17%
,2018,29%,30%,15%,17%,14%,19%,29%,40%,*,0%,16%,9%,16%,14%,15%,9%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,57%,68%,55%,58%,*,*,-,*,40%,*,56%,57%,55%,55%
,2018,72%,75%,63%,51%,65%,57%,60%,*,-,*,50%,60%,66%,57%,62%,65%
At Meets Grade Level or Above,2019,43%,46%,17%,15%,16%,27%,*,*,-,*,19%,*,15%,20%,15%,14%
,2018,40%,43%,20%,12%,22%,11%,40%,*,-,*,16%,20%,22%,17%,19%,15%
At Masters Grade Level,2019,17%,18%,3%,0%,3%,8%,*,*,-,*,7%,*,1%,6%,3%,2%
,2018,18%,20%,6%,5%,6%,4%,40%,*,-,*,7%,0%,6%,5%,7%,5%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,63%,62%,64%,53%,40%,88%,*,80%,30%,40%,66%,56%,61%,59%
,2018,69%,69%,61%,60%,62%,55%,43%,60%,*,50%,38%,55%,63%,54%,61%,50%
At Meets Grade Level or Above,2019,42%,43%,26%,22%,27%,21%,20%,75%,*,0%,13%,0%,28%,23%,24%,20%
,2018,43%,44%,30%,36%,29%,21%,14%,60%,*,50%,21%,36%,33%,24%,30%,18%
At Masters Grade Level,2019,18%,19%,8%,3%,8%,3%,20%,75%,*,0%,7%,0%,7%,9%,7%,5%
,2018,15%,16%,5%,8%,4%,3%,0%,20%,*,17%,6%,0%,6%,3%,5%,2%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,88%,85%,89%,81%,83%,*,*,50%,51%,89%,91%,79%,87%,84%
,2018,86%,86%,83%,77%,84%,89%,*,86%,-,*,55%,89%,86%,75%,83%,73%
At Meets Grade Level or Above,2019,55%,56%,47%,52%,47%,34%,33%,*,*,33%,27%,56%,48%,45%,44%,32%
,2018,49%,51%,42%,31%,43%,50%,*,43%,-,*,31%,33%,45%,32%,41%,27%
At Masters Grade Level,2019,28%,30%,19%,17%,19%,16%,33%,*,*,17%,14%,11%,20%,14%,17%,8%
,2018,27%,28%,21%,15%,22%,26%,*,14%,-,*,6%,11%,23%,15%,20%,11%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,92%,88%,94%,82%,83%,100%,*,71%,66%,88%,94%,87%,92%,92%
,2018,86%,87%,87%,87%,87%,87%,100%,100%,*,80%,76%,92%,88%,86%,87%,82%
At Meets Grade Level or Above,2019,57%,58%,60%,53%,62%,48%,50%,100%,*,14%,38%,75%,62%,55%,58%,57%
,2018,51%,52%,38%,27%,40%,35%,20%,86%,*,20%,29%,54%,38%,39%,38%,29%
At Masters Grade Level,2019,17%,18%,12%,8%,12%,12%,17%,50%,*,0%,15%,13%,12%,11%,10%,7%
,2018,15%,16%,8%,6%,8%,2%,20%,14%,*,0%,7%,8%,7%,8%,7%,4%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,88%,83%,89%,88%,83%,*,*,100%,59%,100%,91%,79%,87%,83%
,2018,76%,77%,79%,74%,80%,78%,*,100%,-,*,40%,78%,81%,73%,79%,66%
At Meets Grade Level or Above,2019,51%,52%,58%,56%,58%,63%,67%,*,*,67%,33%,56%,62%,49%,55%,46%
,2018,52%,53%,53%,41%,54%,56%,*,71%,-,*,25%,56%,55%,47%,52%,38%
At Masters Grade Level,2019,25%,27%,22%,22%,22%,22%,33%,*,*,17%,14%,22%,24%,17%,20%,16%
,2018,28%,29%,23%,15%,24%,28%,*,43%,-,*,4%,33%,26%,15%,22%,12%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,65%,72%,64%,63%,83%,*,*,67%,37%,56%,68%,58%,63%,54%
,2018,65%,66%,57%,41%,59%,66%,*,86%,-,*,34%,56%,61%,48%,57%,42%
At Meets Grade Level or Above,2019,37%,38%,22%,20%,23%,9%,33%,*,*,17%,22%,22%,23%,18%,21%,17%
,2018,36%,37%,19%,11%,20%,20%,*,43%,-,*,20%,33%,20%,16%,19%,11%
At Masters Grade Level,2019,21%,23%,7%,7%,7%,3%,17%,*,*,17%,6%,0%,8%,3%,6%,4%
,2018,21%,22%,7%,5%,7%,8%,*,14%,-,*,4%,33%,7%,7%,7%,4%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,62%,53%,63%,66%,75%,73%,*,100%,23%,43%,66%,50%,62%,48%
,2018,65%,65%,60%,58%,61%,58%,38%,71%,*,*,17%,27%,62%,53%,59%,44%
At Meets Grade Level or Above,2019,50%,50%,42%,34%,43%,43%,58%,55%,*,20%,11%,36%,46%,30%,40%,25%
,2018,44%,45%,35%,31%,36%,30%,13%,71%,*,*,8%,9%,38%,26%,34%,20%
At Masters Grade Level,2019,11%,11%,4%,1%,4%,3%,0%,9%,*,0%,2%,0%,4%,2%,3%,1%
,2018,7%,8%,2%,1%,2%,4%,0%,14%,*,*,1%,0%,3%,1%,2%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,62%,61%,63%,50%,80%,70%,*,*,22%,40%,65%,53%,61%,46%
,2018,67%,67%,64%,70%,63%,66%,63%,38%,*,*,24%,*,70%,49%,62%,36%
At Meets Grade Level or Above,2019,49%,50%,41%,35%,43%,28%,40%,50%,*,*,10%,0%,47%,28%,39%,22%
,2018,48%,48%,43%,49%,42%,45%,38%,38%,*,*,15%,*,47%,30%,42%,14%
At Masters Grade Level,2019,8%,9%,4%,2%,4%,5%,0%,10%,*,*,1%,0%,5%,1%,3%,0%
,2018,8%,9%,4%,3%,4%,0%,0%,25%,*,*,0%,*,5%,2%,3%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,83%,84%,83%,79%,90%,86%,*,83%,61%,91%,87%,74%,82%,78%
,2018,83%,83%,84%,84%,84%,83%,88%,100%,*,*,56%,67%,89%,73%,84%,76%
At Meets Grade Level or Above,2019,61%,61%,56%,54%,58%,38%,70%,86%,*,50%,28%,55%,61%,46%,54%,52%
,2018,55%,55%,53%,54%,53%,42%,38%,80%,*,*,16%,44%,59%,37%,53%,39%
At Masters Grade Level,2019,37%,38%,33%,30%,34%,13%,50%,57%,*,33%,10%,45%,35%,26%,32%,25%
