Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2021,63%,63%,57%,72%,47%,67%,-,72%,-,*,24%,*,62%,54%,56%,47%
,2019,70%,72%,76%,77%,72%,80%,-,93%,-,83%,39%,*,78%,75%,74%,69%
At Meets Grade Level or Above,2021,33%,34%,31%,48%,20%,44%,-,56%,-,*,6%,*,34%,30%,31%,21%
,2019,42%,43%,43%,40%,38%,60%,-,83%,-,67%,11%,*,46%,41%,42%,36%
At Masters Grade Level,2021,10%,10%,9%,12%,7%,11%,-,6%,-,*,6%,*,9%,8%,8%,7%
,2019,18%,19%,18%,17%,14%,10%,-,53%,-,33%,11%,*,22%,16%,18%,10%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,73%,75%,70%,73%,*,86%,-,*,33%,*,72%,73%,74%,66%
,2019,86%,86%,93%,92%,93%,89%,*,92%,-,*,60%,*,95%,90%,92%,89%
At Meets Grade Level or Above,2021,46%,48%,41%,44%,37%,45%,*,55%,-,*,9%,*,40%,41%,40%,29%
,2019,55%,56%,62%,61%,61%,56%,*,69%,-,*,32%,*,67%,56%,60%,53%
At Masters Grade Level,2021,21%,22%,17%,23%,12%,18%,*,36%,-,*,0%,*,20%,15%,16%,10%
,2019,28%,30%,29%,33%,22%,22%,*,54%,-,*,12%,*,36%,22%,27%,18%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,52%,52%,51%,29%,*,80%,-,-,19%,*,58%,49%,53%,47%
,2019,88%,88%,94%,94%,94%,88%,*,88%,-,*,72%,*,92%,95%,93%,91%
At Meets Grade Level or Above,2021,36%,37%,24%,25%,23%,0%,*,47%,-,-,19%,*,31%,20%,26%,22%
,2019,57%,58%,66%,61%,67%,75%,*,71%,-,*,40%,*,61%,71%,67%,66%
At Masters Grade Level,2021,11%,11%,6%,9%,4%,0%,*,7%,-,-,6%,*,4%,6%,6%,4%
,2019,17%,18%,23%,19%,25%,13%,*,29%,-,*,8%,*,21%,26%,21%,23%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,57%,61%,51%,80%,*,74%,-,*,26%,*,62%,53%,56%,44%
,2019,81%,81%,80%,82%,78%,78%,-,85%,-,*,36%,*,84%,76%,79%,72%
At Meets Grade Level or Above,2021,43%,45%,33%,35%,28%,50%,*,52%,-,*,20%,*,34%,32%,31%,21%
,2019,51%,52%,34%,32%,29%,56%,-,58%,-,*,24%,*,39%,28%,31%,27%
At Masters Grade Level,2021,24%,25%,15%,13%,13%,30%,*,30%,-,*,3%,*,14%,16%,15%,10%
,2019,25%,27%,14%,13%,10%,33%,-,35%,-,*,8%,*,15%,13%,13%,7%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,52%,57%,46%,80%,*,65%,-,*,26%,*,58%,48%,50%,41%
,2019,69%,70%,80%,82%,77%,89%,-,88%,-,*,48%,*,82%,79%,79%,74%
At Meets Grade Level or Above,2021,28%,29%,24%,25%,19%,40%,*,43%,-,*,9%,*,24%,23%,24%,16%
,2019,37%,38%,45%,52%,33%,44%,-,76%,-,*,20%,*,46%,44%,43%,30%
At Masters Grade Level,2021,14%,15%,11%,14%,7%,10%,*,26%,-,*,3%,*,8%,12%,10%,5%
,2019,21%,23%,25%,25%,18%,22%,-,60%,-,*,8%,*,25%,24%,21%,18%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,64%,65%,60%,87%,-,86%,-,80%,25%,*,69%,56%,62%,52%
,2019,68%,67%,76%,76%,74%,86%,*,84%,-,-,29%,*,79%,72%,76%,64%
At Meets Grade Level or Above,2021,50%,51%,44%,48%,39%,53%,-,76%,-,80%,16%,*,48%,38%,44%,29%
,2019,50%,50%,61%,61%,57%,81%,*,75%,-,-,20%,*,65%,55%,60%,48%
At Masters Grade Level,2021,12%,14%,7%,5%,4%,13%,-,34%,-,0%,4%,*,8%,5%,5%,2%
,2019,11%,11%,13%,9%,11%,14%,*,25%,-,-,7%,*,15%,9%,11%,6%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,74%,78%,71%,67%,-,85%,-,*,33%,80%,76%,69%,74%,60%
,2019,68%,69%,78%,82%,77%,53%,*,88%,*,*,35%,*,85%,67%,78%,64%
At Meets Grade Level or Above,2021,57%,58%,54%,51%,52%,56%,-,70%,-,*,22%,40%,58%,47%,53%,35%
,2019,49%,50%,61%,73%,56%,47%,*,74%,*,*,26%,*,67%,49%,61%,39%
At Masters Grade Level,2021,11%,12%,8%,7%,5%,17%,-,26%,-,*,4%,0%,9%,6%,7%,1%
,2019,8%,9%,6%,3%,7%,0%,*,9%,*,*,6%,*,8%,3%,6%,4%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,66%,66%,64%,64%,*,84%,-,*,39%,*,69%,61%,67%,61%
,2019,85%,84%,94%,90%,94%,100%,-,97%,*,*,63%,*,98%,88%,93%,93%
At Meets Grade Level or Above,2021,41%,44%,33%,35%,27%,50%,*,68%,-,*,11%,*,32%,33%,32%,25%
,2019,61%,61%,78%,75%,76%,87%,-,94%,*,*,40%,*,84%,70%,78%,74%
At Masters Grade Level,2021,23%,26%,21%,19%,15%,43%,*,64%,-,*,9%,*,21%,20%,20%,14%
,2019,37%,38%,48%,43%,45%,33%,-,82%,*,*,23%,*,57%,37%,47%,50%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,78%,83%,74%,83%,-,90%,-,80%,44%,*,80%,74%,77%,67%
,2019,88%,88%,91%,87%,91%,100%,*,95%,-,-,62%,*,92%,89%,90%,88%
At Meets Grade Level or Above,2021,55%,57%,45%,43%,39%,67%,-,77%,-,80%,20%,*,46%,42%,44%,34%
,2019,62%,63%,69%,67%,64%,89%,*,90%,-,-,31%,*,75%,61%,68%,61%
At Masters Grade Level,2021,22%,26%,18%,21%,12%,22%,-,57%,-,20%,7%,*,18%,18%,16%,8%
,2019,25%,28%,27%,26%,22%,26%,*,50%,-,-,10%,*,30%,22%,24%,10%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,90%,96%,87%,88%,-,97%,-,*,55%,*,93%,83%,90%,75%
,2019,93%,93%,95%,96%,93%,95%,-,100%,-,*,67%,-,97%,84%,94%,84%
At Meets Grade Level or Above,2021,69%,70%,68%,78%,60%,71%,-,86%,-,*,35%,*,71%,59%,67%,37%
,2019,73%,75%,78%,81%,76%,89%,-,78%,-,*,25%,-,81%,66%,77%,57%
At Masters Grade Level,2021,43%,45%,46%,47%,43%,41%,-,60%,-,*,25%,*,48%,39%,43%,15%
,2019,45%,49%,44%,55%,37%,58%,-,56%,-,*,8%,-,46%,36%,43%,24%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,94%,*,90%,*,-,*,-,-,-,-,94%,*,92%,*
At Meets Grade Level or Above,2021,69%,75%,71%,*,60%,*,-,*,-,-,-,-,75%,*,62%,*
At Masters Grade Level,2021,14%,18%,18%,*,10%,*,-,*,-,-,-,-,19%,*,8%,*
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,62%,65%,58%,70%,43%,84%,*,59%,28%,51%,66%,59%,61%,54%
,2019,78%,78%,81%,81%,78%,86%,63%,91%,*,85%,43%,86%,83%,78%,79%,75%
At Meets Grade Level or Above,2021,41%,43%,34%,36%,29%,40%,29%,61%,*,41%,13%,22%,36%,31%,32%,24%
,2019,50%,51%,52%,52%,47%,62%,63%,74%,*,73%,21%,43%,55%,47%,50%,42%
At Masters Grade Level,2021,18%,20%,13%,15%,10%,18%,0%,34%,*,16%,5%,6%,14%,12%,12%,8%
,2019,24%,25%,22%,23%,18%,25%,38%,43%,*,46%,8%,16%,25%,19%,21%,16%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,66%,70%,61%,73%,*,85%,*,65%,29%,62%,68%,64%,65%,57%
,2019,75%,75%,77%,79%,74%,81%,*,89%,*,87%,38%,86%,80%,74%,76%,69%
At Meets Grade Level or Above,2021,45%,46%,39%,43%,33%,39%,*,63%,*,47%,14%,19%,41%,35%,37%,28%
,2019,48%,49%,51%,54%,47%,58%,*,68%,*,80%,21%,29%,55%,47%,50%,40%
At Masters Grade Level,2021,18%,20%,12%,17%,7%,15%,*,33%,*,18%,4%,0%,13%,12%,11%,7%
,2019,21%,22%,19%,22%,15%,19%,*,35%,*,53%,7%,5%,21%,16%,18%,14%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,58%,59%,54%,62%,*,84%,*,46%,24%,52%,60%,56%,57%,54%
,2019,82%,82%,85%,84%,84%,92%,*,94%,*,85%,47%,89%,86%,84%,85%,83%
At Meets Grade Level or Above,2021,37%,39%,27%,27%,23%,34%,*,58%,*,23%,12%,24%,27%,27%,26%,23%
,2019,52%,53%,55%,53%,51%,66%,*,78%,*,69%,23%,53%,56%,53%,53%,49%
At Masters Grade Level,2021,18%,19%,11%,11%,8%,19%,*,35%,*,8%,6%,10%,12%,11%,10%,9%
,2019,26%,28%,26%,24%,23%,28%,*,49%,*,46%,11%,32%,30%,22%,24%,22%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,52%,64%,42%,60%,-,75%,-,*,18%,43%,54%,49%,50%,44%
,2019,68%,69%,70%,71%,66%,71%,*,93%,-,75%,35%,60%,69%,71%,69%,65%
At Meets Grade Level or Above,2021,30%,31%,26%,40%,15%,33%,-,50%,-,*,5%,14%,26%,26%,25%,19%
,2019,38%,39%,36%,37%,30%,38%,*,80%,-,50%,11%,60%,37%,35%,34%,28%
At Masters Grade Level,2021,9%,9%,7%,10%,5%,7%,-,8%,-,*,5%,0%,6%,7%,7%,6%
,2019,14%,15%,13%,13%,10%,5%,*,44%,-,25%,8%,0%,13%,13%,12%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,64%,65%,60%,71%,*,85%,-,67%,35%,14%,68%,58%,62%,53%
,2019,81%,82%,82%,82%,80%,89%,*,88%,-,*,47%,88%,83%,80%,80%,75%
At Meets Grade Level or Above,2021,44%,45%,34%,32%,29%,45%,*,64%,-,56%,17%,14%,35%,31%,32%,24%
,2019,54%,55%,49%,46%,44%,71%,*,75%,-,*,22%,38%,54%,43%,47%,40%
At Masters Grade Level,2021,20%,22%,14%,12%,10%,18%,*,41%,-,22%,5%,0%,14%,14%,12%,8%
,2019,25%,27%,19%,19%,15%,26%,*,42%,-,*,7%,13%,21%,17%,18%,9%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,70%,72%,66%,85%,*,84%,-,*,36%,*,80%,58%,68%,52%
,2019,81%,81%,87%,87%,86%,93%,-,93%,-,*,54%,*,91%,80%,86%,78%
At Meets Grade Level or Above,2021,49%,51%,45%,46%,39%,59%,*,69%,-,*,18%,*,54%,34%,43%,23%
,2019,55%,57%,61%,62%,56%,75%,-,77%,-,*,22%,*,66%,50%,59%,40%
At Masters Grade Level,2021,29%,31%,28%,28%,24%,30%,*,47%,-,*,11%,*,34%,20%,25%,8%
,2019,33%,36%,34%,35%,28%,46%,-,58%,-,*,8%,*,37%,27%,31%,20%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,8%,10%,3%,15%,-,21%,*,*,7%,-,8%,9%,7%,7%
,2019,35%,36%,26%,25%,18%,33%,-,61%,-,*,11%,*,26%,24%,23%,23%
Reading and Mathematics Including EOC,2021,24%,25%,8%,10%,3%,15%,-,21%,*,*,7%,-,8%,9%,7%,7%
,2019,35%,36%,26%,25%,18%,33%,-,61%,-,*,11%,*,26%,24%,23%,23%
Reading Including EOC,2021,38%,39%,22%,23%,15%,23%,-,57%,*,*,14%,-,23%,20%,21%,23%
,2019,45%,45%,38%,38%,30%,50%,-,61%,-,*,15%,*,39%,33%,35%,31%
Math Including EOC,2021,31%,31%,12%,14%,3%,31%,-,36%,*,*,7%,-,11%,15%,10%,11%
,2019,49%,48%,35%,38%,24%,58%,-,61%,-,*,19%,*,37%,27%,32%,31%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,16%,20%,8%,33%,-,33%,-,*,4%,*,16%,15%,14%,13%
,2019,35%,36%,34%,34%,30%,36%,*,64%,-,*,24%,*,34%,33%,29%,27%
Reading and Mathematics Including EOC,2021,26%,27%,16%,20%,8%,33%,-,33%,-,*,4%,*,16%,15%,14%,13%
,2019,35%,36%,34%,34%,30%,36%,*,64%,-,*,24%,*,34%,33%,29%,27%
Reading Including EOC,2021,36%,37%,30%,43%,17%,33%,-,47%,-,*,4%,*,33%,25%,27%,20%
,2019,44%,45%,39%,37%,36%,36%,*,73%,-,*,24%,*,40%,37%,35%,35%
Math Including EOC,2021,36%,36%,25%,28%,15%,67%,-,60%,-,*,4%,*,23%,28%,22%,26%
,2019,48%,49%,49%,45%,50%,45%,*,73%,-,*,24%,*,51%,47%,45%,42%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,21%,21%,19%,0%,-,62%,-,*,14%,*,20%,23%,19%,16%
,2019,44%,44%,48%,64%,31%,70%,-,82%,-,-,13%,*,48%,47%,44%,40%
Reading and Mathematics Including EOC,2021,34%,35%,21%,21%,19%,0%,-,62%,-,*,14%,*,20%,23%,19%,16%
,2019,44%,44%,48%,64%,31%,70%,-,82%,-,-,13%,*,48%,47%,44%,40%
Reading Including EOC,2021,46%,47%,36%,40%,32%,10%,-,77%,-,*,18%,*,38%,34%,35%,31%
,2019,54%,54%,54%,70%,39%,80%,-,82%,-,-,23%,*,53%,57%,51%,45%
Math Including EOC,2021,44%,45%,30%,25%,29%,20%,-,69%,-,*,23%,*,26%,35%,28%,26%
,2019,58%,59%,62%,74%,49%,80%,-,91%,-,-,16%,*,62%,62%,59%,56%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,19%,23%,16%,15%,*,42%,-,*,10%,14%,24%,16%,16%,13%
,2019,31%,32%,26%,30%,22%,30%,-,30%,-,*,8%,0%,26%,26%,25%,18%
Reading and Mathematics Including EOC,2021,24%,26%,19%,23%,16%,15%,*,42%,-,*,10%,14%,24%,16%,16%,13%
,2019,31%,32%,26%,30%,22%,30%,-,30%,-,*,8%,0%,26%,26%,25%,18%
Reading Including EOC,2021,32%,34%,29%,35%,23%,36%,*,50%,-,*,10%,14%,34%,25%,26%,22%
,2019,37%,38%,33%,39%,29%,40%,-,30%,-,*,11%,0%,31%,34%,32%,23%
Math Including EOC,2021,36%,38%,30%,29%,27%,31%,*,58%,-,*,10%,43%,31%,30%,26%,26%
,2019,48%,49%,43%,41%,40%,50%,-,63%,-,*,11%,0%,44%,42%,41%,40%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,23%,32%,16%,22%,-,42%,-,*,6%,*,22%,23%,23%,16%
,2019,36%,39%,38%,35%,32%,40%,-,73%,-,67%,13%,*,41%,36%,36%,25%
Reading and Mathematics Including EOC,2021,27%,29%,23%,32%,16%,22%,-,42%,-,*,6%,*,22%,23%,23%,16%
,2019,37%,40%,38%,35%,32%,40%,-,73%,-,67%,13%,*,41%,36%,36%,25%
Reading Including EOC,2021,45%,47%,42%,61%,32%,33%,-,60%,-,*,18%,*,41%,42%,40%,30%
,2019,49%,51%,52%,52%,47%,60%,-,83%,-,67%,18%,*,56%,50%,51%,43%
Math Including EOC,2021,32%,34%,28%,34%,22%,33%,-,53%,-,*,6%,*,26%,29%,28%,24%
,2019,48%,50%,48%,43%,43%,60%,-,83%,-,83%,18%,*,49%,47%,46%,36%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,17%,22%,15%,0%,*,20%,-,-,9%,*,17%,16%,18%,12%
,2019,34%,35%,48%,46%,49%,50%,*,47%,-,*,28%,*,49%,47%,48%,44%
Reading and Mathematics Including EOC,2021,33%,34%,23%,25%,20%,20%,*,43%,-,*,9%,*,23%,23%,23%,14%
,2019,47%,48%,52%,50%,50%,56%,*,65%,-,*,28%,*,54%,50%,50%,46%
Reading Including EOC,2021,47%,48%,41%,44%,37%,45%,*,55%,-,*,9%,*,40%,41%,40%,29%
,2019,55%,56%,62%,61%,61%,56%,*,69%,-,*,32%,*,67%,56%,60%,53%
Math Including EOC,2021,43%,44%,30%,28%,27%,20%,*,64%,-,*,18%,*,36%,26%,30%,23%
,2019,62%,64%,69%,64%,68%,78%,*,81%,-,*,40%,*,65%,73%,69%,67%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,18%,21%,14%,14%,*,37%,*,11%,8%,12%,18%,18%,16%,13%
,2019,36%,37%,36%,38%,31%,43%,*,57%,-,58%,15%,19%,37%,35%,34%,29%
Reading and Mathematics Including EOC,2021,28%,29%,19%,22%,15%,16%,*,41%,*,20%,8%,12%,18%,19%,17%,13%
,2019,38%,39%,37%,39%,31%,44%,*,60%,-,62%,15%,19%,38%,35%,35%,29%
Reading Including EOC,2021,41%,42%,34%,41%,28%,30%,*,57%,*,20%,12%,18%,34%,33%,32%,26%
,2019,47%,48%,47%,49%,41%,53%,*,64%,-,77%,20%,25%,48%,45%,44%,38%
Math Including EOC,2021,37%,38%,26%,26%,22%,31%,*,57%,*,30%,12%,29%,25%,28%,25%,23%
,2019,52%,53%,51%,50%,46%,61%,*,75%,-,69%,20%,44%,51%,50%,49%,45%
