Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD (101907) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,27%,29%,41%,22%,32%,59%,33%,77%,40%,51%,22%,50%,44%,29%,27%,24%
,2019,43%,46%,56%,40%,46%,74%,54%,88%,73%,68%,27%,61%,59%,46%,43%,38%
At Masters Grade Level,2021,12%,13%,20%,8%,12%,33%,15%,53%,20%,27%,6%,29%,23%,11%,11%,9%
,2019,17%,18%,26%,13%,17%,39%,22%,65%,18%,35%,6%,30%,29%,17%,15%,14%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,72%,62%,67%,85%,61%,90%,60%,76%,32%,71%,76%,61%,63%,52%
,2019,70%,72%,77%,70%,71%,88%,72%,94%,73%,82%,37%,76%,80%,70%,69%,62%
At Meets Grade Level or Above,2021,33%,34%,40%,28%,31%,54%,30%,69%,60%,52%,17%,41%,43%,29%,27%,18%
,2019,42%,43%,48%,38%,38%,63%,36%,79%,45%,62%,19%,45%,51%,38%,35%,25%
At Masters Grade Level,2021,10%,10%,11%,5%,7%,17%,0%,32%,20%,16%,3%,9%,13%,6%,5%,3%
,2019,18%,19%,21%,13%,14%,30%,10%,51%,27%,32%,5%,16%,24%,14%,12%,7%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,85%,76%,82%,93%,76%,95%,71%,91%,50%,86%,87%,76%,79%,70%
,2019,86%,86%,91%,87%,90%,96%,90%,97%,96%,92%,57%,86%,93%,86%,88%,83%
At Meets Grade Level or Above,2021,46%,48%,60%,46%,53%,76%,32%,82%,29%,74%,26%,66%,62%,50%,49%,34%
,2019,55%,56%,64%,51%,57%,78%,48%,85%,75%,68%,25%,48%,68%,50%,52%,39%
At Masters Grade Level,2021,21%,22%,29%,18%,22%,44%,8%,55%,29%,38%,5%,30%,32%,21%,20%,11%
,2019,28%,30%,36%,23%,28%,49%,29%,60%,50%,46%,7%,24%,39%,25%,24%,14%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,65%,57%,61%,81%,50%,89%,*,78%,47%,69%,66%,63%,59%,54%
,2019,88%,88%,91%,88%,90%,95%,83%,98%,100%,97%,69%,89%,92%,89%,89%,87%
At Meets Grade Level or Above,2021,36%,37%,31%,25%,26%,48%,21%,68%,*,41%,24%,38%,32%,31%,25%,22%
,2019,57%,58%,57%,46%,54%,72%,50%,85%,67%,67%,31%,52%,59%,54%,50%,47%
At Masters Grade Level,2021,11%,11%,6%,3%,3%,10%,4%,35%,*,13%,7%,8%,6%,6%,3%,3%
,2019,17%,18%,12%,7%,9%,18%,8%,43%,22%,16%,6%,12%,12%,12%,8%,6%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,82%,70%,78%,94%,74%,96%,88%,88%,50%,85%,85%,71%,74%,63%
,2019,81%,81%,88%,81%,85%,96%,77%,97%,92%,92%,56%,82%,91%,80%,82%,75%
At Meets Grade Level or Above,2021,43%,45%,59%,41%,51%,81%,28%,87%,50%,74%,31%,70%,63%,45%,46%,34%
,2019,51%,52%,64%,47%,55%,83%,55%,88%,88%,71%,30%,56%,68%,49%,51%,39%
At Masters Grade Level,2021,24%,25%,36%,19%,26%,57%,15%,68%,38%,45%,13%,44%,39%,23%,23%,14%
,2019,25%,27%,37%,19%,27%,56%,16%,67%,46%,52%,10%,32%,41%,23%,23%,15%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,71%,60%,63%,88%,51%,92%,63%,82%,42%,78%,73%,62%,59%,47%
,2019,69%,70%,80%,71%,75%,91%,65%,95%,88%,86%,46%,75%,83%,71%,71%,62%
At Meets Grade Level or Above,2021,28%,29%,40%,26%,30%,63%,26%,68%,25%,52%,24%,56%,43%,32%,27%,16%
,2019,37%,38%,50%,37%,39%,68%,35%,78%,54%,56%,25%,43%,53%,39%,36%,25%
At Masters Grade Level,2021,14%,15%,21%,10%,13%,38%,8%,43%,25%,27%,10%,36%,23%,16%,11%,8%
,2019,21%,23%,31%,19%,22%,46%,19%,59%,42%,41%,11%,24%,34%,22%,20%,12%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,81%,72%,76%,91%,71%,94%,73%,88%,44%,70%,83%,72%,73%,56%
,2019,68%,67%,78%,69%,74%,89%,73%,91%,91%,87%,41%,61%,81%,69%,71%,58%
At Meets Grade Level or Above,2021,50%,51%,65%,53%,58%,82%,60%,87%,73%,78%,27%,53%,69%,52%,54%,32%
,2019,50%,50%,61%,48%,54%,80%,49%,84%,55%,75%,23%,41%,65%,49%,49%,31%
At Masters Grade Level,2021,12%,14%,21%,12%,14%,34%,19%,46%,9%,32%,3%,10%,24%,12%,11%,3%
,2019,11%,11%,16%,9%,9%,28%,8%,41%,18%,26%,4%,9%,18%,10%,8%,2%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,83%,75%,79%,92%,74%,94%,100%,90%,43%,73%,85%,75%,76%,56%
,2019,68%,69%,79%,70%,75%,89%,72%,91%,80%,90%,40%,60%,82%,68%,71%,52%
At Meets Grade Level or Above,2021,57%,58%,71%,59%,65%,86%,66%,88%,100%,80%,31%,54%,75%,58%,61%,33%
,2019,49%,50%,61%,49%,53%,78%,51%,79%,50%,78%,25%,40%,65%,48%,49%,23%
At Masters Grade Level,2021,11%,12%,18%,9%,11%,28%,6%,43%,25%,26%,4%,4%,20%,11%,10%,1%
,2019,8%,9%,11%,5%,7%,17%,8%,28%,0%,15%,2%,1%,12%,7%,6%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,86%,80%,82%,94%,75%,98%,100%,89%,62%,87%,88%,78%,80%,74%
,2019,85%,84%,93%,88%,92%,97%,92%,99%,100%,97%,73%,90%,95%,88%,91%,89%
At Meets Grade Level or Above,2021,41%,44%,62%,46%,54%,79%,53%,91%,80%,69%,35%,68%,65%,52%,51%,44%
,2019,61%,61%,76%,63%,71%,87%,62%,95%,90%,83%,41%,65%,79%,63%,67%,61%
At Masters Grade Level,2021,23%,26%,40%,23%,32%,56%,25%,78%,70%,47%,13%,41%,43%,30%,29%,23%
,2019,37%,38%,53%,37%,44%,68%,38%,85%,76%,60%,15%,44%,56%,40%,41%,35%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,91%,85%,88%,97%,85%,98%,91%,95%,66%,89%,93%,84%,87%,77%
,2019,88%,88%,94%,90%,91%,98%,88%,98%,100%,97%,73%,86%,95%,88%,91%,85%
At Meets Grade Level or Above,2021,55%,57%,71%,56%,64%,88%,64%,91%,82%,78%,37%,67%,75%,56%,60%,43%
,2019,62%,63%,75%,64%,69%,90%,68%,92%,90%,85%,40%,58%,80%,62%,66%,50%
At Masters Grade Level,2021,22%,26%,34%,20%,24%,53%,33%,65%,18%,47%,9%,26%,38%,21%,23%,12%
,2019,25%,28%,38%,23%,27%,56%,34%,68%,40%,51%,9%,28%,42%,26%,25%,13%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,95%,91%,93%,99%,98%,97%,100%,96%,76%,94%,96%,88%,91%,80%
,2019,93%,93%,97%,94%,96%,99%,90%,98%,100%,99%,83%,88%,98%,92%,95%,87%
At Meets Grade Level or Above,2021,69%,70%,83%,73%,78%,94%,74%,93%,91%,91%,50%,78%,86%,70%,75%,52%
,2019,73%,75%,86%,79%,82%,94%,63%,94%,92%,94%,53%,72%,88%,76%,80%,56%
At Masters Grade Level,2021,43%,45%,60%,45%,52%,78%,43%,79%,82%,72%,25%,61%,64%,46%,48%,26%
,2019,45%,49%,63%,48%,55%,78%,32%,82%,33%,79%,23%,44%,66%,50%,51%,29%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,98%,94%,96%,99%,100%,99%,*,100%,93%,100%,98%,95%,96%,94%
At Meets Grade Level or Above,2021,69%,75%,75%,59%,63%,84%,82%,90%,*,82%,64%,80%,76%,66%,64%,50%
At Masters Grade Level,2021,14%,18%,11%,3%,4%,13%,0%,27%,*,14%,29%,0%,11%,9%,5%,6%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,77%,66%,72%,89%,66%,92%,82%,83%,46%,76%,80%,68%,68%,64%
,2019,78%,78%,84%,76%,81%,92%,77%,95%,92%,89%,53%,80%,86%,77%,78%,76%
At Meets Grade Level or Above,2021,41%,43%,52%,38%,44%,69%,39%,77%,61%,61%,26%,49%,55%,41%,40%,33%
,2019,50%,51%,58%,46%,51%,74%,46%,82%,70%,68%,29%,51%,62%,48%,47%,42%
At Masters Grade Level,2021,18%,20%,26%,15%,18%,39%,15%,50%,29%,33%,8%,23%,28%,18%,16%,14%
,2019,24%,25%,31%,19%,23%,44%,20%,57%,36%,40%,9%,25%,33%,22%,20%,19%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,79%,69%,74%,89%,68%,92%,81%,85%,43%,75%,81%,70%,71%,65%
,2019,75%,75%,82%,73%,78%,91%,75%,93%,90%,88%,46%,76%,84%,74%,75%,72%
At Meets Grade Level or Above,2021,45%,46%,56%,44%,48%,71%,44%,77%,66%,65%,24%,48%,59%,45%,44%,35%
,2019,48%,49%,56%,45%,48%,72%,44%,77%,64%,68%,25%,45%,60%,46%,45%,38%
At Masters Grade Level,2021,18%,20%,25%,16%,18%,38%,17%,48%,31%,33%,6%,21%,27%,19%,16%,14%
,2019,21%,22%,26%,17%,19%,38%,18%,48%,31%,36%,6%,21%,28%,19%,17%,16%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,74%,60%,68%,88%,60%,93%,85%,80%,48%,75%,76%,64%,64%,63%
,2019,82%,82%,86%,78%,84%,94%,81%,97%,96%,90%,61%,85%,88%,81%,81%,82%
At Meets Grade Level or Above,2021,37%,39%,46%,30%,37%,65%,34%,78%,56%,54%,26%,48%,49%,36%,33%,33%
,2019,52%,53%,58%,44%,51%,74%,47%,86%,74%,67%,31%,56%,61%,49%,47%,48%
At Masters Grade Level,2021,18%,19%,23%,11%,16%,36%,13%,52%,25%,28%,8%,25%,25%,17%,14%,15%
,2019,26%,28%,32%,19%,24%,47%,23%,66%,43%,40%,11%,30%,35%,24%,22%,24%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,67%,56%,60%,81%,54%,87%,75%,73%,30%,65%,70%,57%,56%,54%
,2019,68%,69%,74%,64%,68%,85%,60%,92%,86%,81%,35%,72%,76%,66%,65%,64%
At Meets Grade Level or Above,2021,30%,31%,36%,25%,27%,51%,25%,63%,42%,48%,17%,36%,39%,27%,23%,21%
,2019,38%,39%,43%,33%,33%,57%,30%,71%,59%,56%,18%,37%,46%,35%,31%,29%
At Masters Grade Level,2021,9%,9%,11%,5%,6%,17%,1%,28%,8%,15%,4%,8%,12%,6%,5%,5%
,2019,14%,15%,17%,10%,10%,24%,11%,40%,18%,23%,4%,11%,18%,12%,9%,8%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,83%,73%,79%,94%,73%,95%,85%,89%,53%,83%,86%,73%,76%,71%
,2019,81%,82%,90%,83%,87%,96%,83%,97%,95%,93%,62%,86%,92%,83%,85%,82%
At Meets Grade Level or Above,2021,44%,45%,59%,43%,51%,78%,42%,84%,65%,69%,31%,57%,63%,45%,46%,38%
,2019,54%,55%,68%,54%,61%,84%,60%,89%,87%,76%,35%,60%,72%,56%,57%,51%
At Masters Grade Level,2021,20%,22%,31%,17%,21%,49%,18%,60%,23%,40%,10%,29%,34%,19%,19%,14%
,2019,25%,27%,37%,22%,28%,56%,25%,66%,42%,51%,11%,35%,41%,25%,25%,22%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,83%,75%,78%,93%,77%,95%,84%,89%,57%,84%,85%,74%,75%,61%
,2019,81%,81%,88%,83%,85%,95%,79%,97%,92%,92%,63%,79%,91%,81%,83%,70%
At Meets Grade Level or Above,2021,49%,51%,62%,49%,54%,79%,52%,82%,63%,72%,36%,64%,65%,50%,50%,31%
,2019,55%,57%,68%,58%,60%,81%,51%,86%,67%,76%,38%,53%,71%,56%,57%,35%
At Masters Grade Level,2021,29%,31%,41%,27%,33%,59%,27%,63%,58%,49%,17%,45%,44%,30%,29%,15%
,2019,33%,36%,47%,34%,38%,63%,26%,71%,39%,60%,16%,31%,50%,35%,35%,17%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,28%,16%,19%,44%,20%,52%,29%,30%,17%,23%,30%,22%,17%,22%
,2019,35%,36%,37%,25%,28%,52%,29%,66%,33%,46%,22%,28%,39%,29%,26%,31%
Reading and Mathematics Including EOC,2021,24%,25%,28%,16%,19%,44%,20%,52%,29%,30%,17%,23%,30%,22%,17%,22%
,2019,35%,36%,37%,25%,28%,52%,29%,66%,33%,46%,22%,28%,39%,29%,26%,31%
Reading Including EOC,2021,38%,39%,46%,35%,37%,61%,33%,66%,43%,54%,25%,30%,47%,39%,34%,37%
,2019,45%,45%,48%,38%,40%,61%,38%,72%,50%,59%,26%,39%,50%,40%,37%,42%
Math Including EOC,2021,31%,31%,34%,20%,25%,51%,24%,61%,29%,37%,23%,35%,36%,27%,23%,29%
,2019,49%,48%,49%,34%,40%,65%,33%,78%,33%,57%,30%,41%,51%,39%,37%,43%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,28%,15%,18%,44%,18%,53%,14%,37%,17%,28%,30%,20%,15%,20%
,2019,35%,36%,39%,24%,30%,55%,26%,66%,55%,49%,19%,34%,42%,31%,27%,32%
Reading and Mathematics Including EOC,2021,26%,27%,28%,15%,18%,44%,18%,53%,14%,37%,17%,28%,30%,20%,15%,20%
,2019,35%,36%,39%,24%,30%,55%,26%,66%,55%,49%,19%,34%,42%,31%,27%,32%
Reading Including EOC,2021,36%,37%,41%,30%,32%,56%,29%,63%,43%,52%,22%,43%,44%,33%,29%,32%
,2019,44%,45%,48%,35%,40%,65%,41%,70%,64%,63%,23%,44%,51%,41%,37%,41%
Math Including EOC,2021,36%,36%,36%,19%,26%,56%,32%,65%,29%,47%,24%,38%,39%,27%,22%,29%
,2019,48%,49%,51%,34%,42%,67%,33%,80%,64%,57%,27%,53%,54%,43%,39%,47%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,41%,26%,32%,59%,27%,70%,57%,47%,19%,38%,44%,32%,28%,35%
,2019,44%,44%,51%,38%,42%,67%,34%,75%,*,63%,24%,47%,54%,42%,39%,44%
Reading and Mathematics Including EOC,2021,34%,35%,41%,26%,32%,59%,27%,70%,57%,47%,19%,38%,44%,32%,28%,35%
,2019,44%,44%,51%,38%,42%,67%,34%,75%,*,63%,24%,47%,54%,42%,39%,44%
Reading Including EOC,2021,46%,47%,54%,42%,47%,71%,43%,75%,57%,60%,25%,49%,57%,45%,43%,47%
,2019,54%,54%,61%,52%,53%,77%,46%,78%,*,75%,30%,55%,64%,53%,50%,53%
Math Including EOC,2021,44%,45%,51%,33%,43%,68%,33%,82%,57%,59%,29%,51%,55%,41%,39%,47%
,2019,58%,59%,62%,50%,56%,75%,56%,87%,*,68%,33%,66%,65%,55%,52%,59%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,35%,20%,25%,53%,28%,65%,75%,39%,11%,35%,38%,25%,22%,17%
,2019,31%,32%,39%,26%,29%,56%,13%,66%,57%,52%,19%,36%,42%,29%,26%,21%
Reading and Mathematics Including EOC,2021,24%,26%,35%,20%,25%,53%,28%,65%,75%,39%,11%,35%,38%,25%,22%,17%
,2019,31%,32%,39%,26%,29%,56%,13%,66%,57%,52%,19%,36%,42%,29%,26%,21%
Reading Including EOC,2021,32%,34%,43%,31%,33%,60%,38%,70%,75%,50%,15%,43%,46%,33%,31%,25%
,2019,37%,38%,45%,34%,37%,61%,18%,67%,71%,57%,22%,42%,48%,36%,33%,27%
Math Including EOC,2021,36%,38%,48%,30%,37%,70%,30%,82%,88%,54%,22%,52%,52%,37%,34%,31%
,2019,48%,49%,55%,39%,46%,73%,45%,87%,71%,69%,28%,55%,59%,44%,41%,39%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,36%,20%,27%,53%,31%,69%,40%,45%,17%,44%,39%,25%,23%,18%
,2019,36%,39%,46%,31%,36%,65%,42%,78%,45%,60%,19%,43%,50%,36%,33%,25%
Reading and Mathematics Including EOC,2021,27%,29%,36%,20%,27%,53%,31%,70%,40%,45%,17%,45%,40%,25%,23%,18%
,2019,37%,40%,47%,31%,36%,65%,42%,79%,45%,60%,19%,43%,50%,36%,33%,25%
Reading Including EOC,2021,45%,47%,58%,45%,51%,73%,60%,80%,60%,67%,27%,61%,61%,47%,46%,36%
,2019,49%,51%,59%,47%,51%,74%,54%,82%,64%,70%,26%,52%,62%,49%,47%,38%
Math Including EOC,2021,32%,34%,41%,22%,32%,59%,31%,77%,40%,51%,22%,51%,44%,29%,27%,24%
,2019,48%,50%,56%,40%,47%,74%,54%,88%,73%,68%,27%,61%,60%,46%,43%,38%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,23%,18%,18%,36%,14%,51%,*,37%,19%,23%,23%,23%,17%,13%
,2019,34%,35%,36%,28%,32%,52%,33%,64%,67%,39%,18%,28%,38%,32%,29%,21%
