Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,YoY_State,State,YoY_Region,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Klein_ISD_Grade 4 Reading,Klein_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.21,0.62,0.19,0.48,0.24,0.57,0.18,0.73,0.24,0.52,0.26,0.57
Klein_ISD_Grade 4 Reading,Klein_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.21,0.62,0.19,0.48,0.24,0.57,0.18,0.73,0.24,0.52,0.26,0.57
Harmony_Schools_Grade 7 Reading,Harmony_Schools,Grade 7 Reading,At Meets Grade Level or Above,2021_2022,0.11,0.56,0.11,0.58,0.25,0.64,0.26,0.61,0.27,0.6,0.22,0.73,0.23,0.57,0.25,0.53
Harmony_Schools_Grade 7 Reading,Harmony_Schools,Grade 7 Reading,At Meets Grade Level or Above,2021_2022,0.11,0.56,0.11,0.58,0.25,0.64,0.26,0.61,0.27,0.6,0.22,0.73,0.23,0.57,0.25,0.53
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.23,0.48,0.26,0.47,0.24,0.47,0.2,0.59,0.22,0.45,0.25,0.45
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.23,0.48,0.26,0.47,0.24,0.47,0.2,0.59,0.22,0.45,0.25,0.45
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.15,0.52,-0.03,0.14,0.16,0.46,0.17,0.65,0.15,0.43,0.25,0.38
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.15,0.52,-0.03,0.14,0.16,0.46,0.17,0.65,0.15,0.43,0.25,0.38
Harmony_Schools_South_Grade 7 Reading,Harmony_Schools_South,Grade 7 Reading,At Masters Grade Level,2021_2022,0.12,0.37,0.12,0.39,0.21,0.41,0.05,0.41,0.24,0.35,0.32,0.65,0.21,0.4,0.25,0.36
Harmony_Schools_South_Grade 7 Reading,Harmony_Schools_South,Grade 7 Reading,At Masters Grade Level,2021_2022,0.12,0.37,0.12,0.39,0.21,0.41,0.05,0.41,0.24,0.35,0.32,0.65,0.21,0.4,0.25,0.36
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.09,0.71,0.22,0.71,0.24,0.66,0.26,0.65,0.26,0.95,0.27,0.67,0.25,0.69
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.09,0.71,0.22,0.71,0.24,0.66,0.26,0.65,0.26,0.95,0.27,0.67,0.25,0.69
Crosby_ISD_Grade 5 Reading,Crosby_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.58,0.11,0.58,0.12,0.6,-0.08,0.37,0.18,0.6,0.1,0.67,0.08,0.52,0.25,0.57
Crosby_ISD_Grade 5 Reading,Crosby_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.58,0.11,0.58,0.12,0.6,-0.08,0.37,0.18,0.6,0.1,0.67,0.08,0.52,0.25,0.57
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.13,0.78,-0.07,0.36,0.15,0.75,0.12,0.86,0.15,0.71,0.24,0.67
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.13,0.78,-0.07,0.36,0.15,0.75,0.12,0.86,0.15,0.71,0.24,0.67
