Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ALIEF ISD (101903) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,27%,29%,20%,19%,16%,24%,19%,51%,*,33%,21%,26%,23%,14%,19%,20%
,2019,43%,46%,44%,42%,40%,41%,43%,78%,*,32%,33%,37%,47%,37%,42%,42%
At Masters Grade Level,2021,12%,13%,7%,7%,4%,5%,6%,25%,*,11%,8%,9%,7%,6%,7%,7%
,2019,17%,18%,18%,17%,13%,15%,11%,54%,*,16%,12%,17%,19%,16%,17%,17%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,52%,56%,47%,61%,47%,68%,-,89%,25%,44%,56%,41%,51%,49%
,2019,70%,72%,63%,65%,59%,60%,50%,84%,*,60%,39%,51%,68%,54%,63%,60%
At Meets Grade Level or Above,2021,33%,34%,22%,25%,18%,23%,20%,36%,-,56%,17%,11%,24%,15%,21%,20%
,2019,42%,43%,35%,36%,29%,28%,36%,62%,*,28%,28%,9%,38%,27%,33%,31%
At Masters Grade Level,2021,10%,10%,5%,5%,3%,7%,0%,15%,-,11%,4%,4%,5%,3%,4%,4%
,2019,18%,19%,13%,13%,9%,7%,11%,33%,*,16%,10%,3%,15%,8%,11%,10%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,61%,62%,58%,61%,45%,71%,*,*,38%,71%,66%,46%,59%,55%
,2019,86%,86%,80%,83%,76%,78%,72%,87%,*,95%,47%,82%,84%,69%,79%,75%
At Meets Grade Level or Above,2021,46%,48%,34%,37%,30%,40%,15%,51%,*,*,22%,33%,38%,24%,33%,28%
,2019,55%,56%,47%,47%,43%,49%,38%,65%,*,55%,25%,31%,52%,35%,45%,41%
At Masters Grade Level,2021,21%,22%,13%,15%,10%,19%,0%,29%,*,*,7%,10%,16%,7%,12%,10%
,2019,28%,30%,21%,22%,17%,22%,7%,41%,*,25%,11%,5%,25%,14%,20%,16%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,49%,49%,47%,41%,33%,73%,*,*,32%,72%,51%,45%,49%,47%
,2019,88%,88%,83%,83%,81%,90%,73%,94%,*,81%,52%,82%,85%,79%,83%,82%
At Meets Grade Level or Above,2021,36%,37%,24%,25%,21%,20%,10%,50%,*,*,22%,28%,25%,22%,23%,22%
,2019,57%,58%,50%,49%,46%,54%,46%,76%,*,38%,30%,44%,53%,43%,49%,47%
At Masters Grade Level,2021,11%,11%,5%,5%,3%,5%,0%,17%,*,*,9%,6%,6%,4%,4%,4%
,2019,17%,18%,13%,13%,9%,16%,4%,36%,*,13%,12%,8%,13%,12%,12%,11%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,57%,58%,53%,54%,39%,81%,*,*,36%,68%,61%,47%,56%,53%
,2019,81%,81%,75%,77%,71%,75%,62%,90%,*,85%,47%,74%,79%,67%,74%,70%
At Meets Grade Level or Above,2021,43%,45%,31%,33%,26%,42%,11%,59%,*,*,26%,36%,35%,22%,30%,27%
,2019,51%,52%,45%,45%,39%,46%,28%,70%,*,60%,25%,29%,50%,34%,44%,39%
At Masters Grade Level,2021,24%,25%,15%,14%,12%,16%,0%,37%,*,*,7%,9%,18%,9%,14%,13%
,2019,25%,27%,22%,20%,17%,23%,7%,47%,*,35%,10%,13%,24%,15%,20%,17%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,42%,42%,39%,45%,21%,62%,*,*,30%,45%,47%,32%,41%,39%
,2019,69%,70%,57%,61%,50%,60%,45%,76%,*,63%,35%,47%,61%,47%,56%,50%
At Meets Grade Level or Above,2021,28%,29%,16%,17%,12%,23%,0%,36%,*,*,21%,15%,19%,10%,15%,13%
,2019,37%,38%,27%,29%,21%,30%,14%,49%,*,32%,24%,13%,31%,19%,27%,20%
At Masters Grade Level,2021,14%,15%,7%,7%,5%,8%,0%,19%,*,*,8%,0%,8%,3%,7%,5%
,2019,21%,23%,15%,15%,11%,18%,7%,36%,*,16%,11%,11%,18%,10%,14%,11%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,53%,59%,48%,56%,53%,68%,57%,63%,33%,53%,58%,44%,52%,41%
,2019,68%,67%,55%,59%,50%,53%,50%,69%,63%,82%,27%,38%,61%,43%,54%,42%
At Meets Grade Level or Above,2021,50%,51%,35%,39%,30%,43%,28%,54%,43%,37%,22%,15%,40%,26%,34%,22%
,2019,50%,50%,35%,37%,29%,37%,36%,52%,38%,59%,19%,17%,40%,24%,34%,21%
At Masters Grade Level,2021,12%,14%,6%,8%,3%,5%,8%,18%,0%,0%,4%,5%,8%,4%,6%,2%
,2019,11%,11%,6%,4%,4%,5%,7%,17%,0%,18%,5%,3%,7%,4%,5%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,60%,64%,55%,69%,67%,72%,*,67%,33%,36%,65%,47%,59%,38%
,2019,68%,69%,57%,61%,52%,53%,65%,66%,70%,74%,33%,45%,62%,46%,56%,36%
At Meets Grade Level or Above,2021,57%,58%,44%,47%,38%,55%,44%,62%,*,61%,26%,12%,49%,31%,43%,22%
,2019,49%,50%,36%,38%,32%,39%,41%,49%,40%,47%,29%,21%,41%,27%,35%,16%
At Masters Grade Level,2021,11%,12%,7%,9%,4%,9%,4%,20%,*,6%,9%,0%,9%,3%,7%,1%
,2019,8%,9%,5%,5%,4%,11%,12%,11%,10%,21%,17%,0%,6%,3%,5%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,58%,56%,54%,51%,42%,87%,100%,63%,39%,47%,60%,52%,57%,55%
,2019,85%,84%,77%,77%,74%,80%,94%,93%,50%,70%,43%,69%,80%,72%,78%,75%
At Meets Grade Level or Above,2021,41%,44%,24%,22%,19%,21%,13%,60%,50%,26%,23%,18%,26%,19%,23%,22%
,2019,61%,61%,50%,48%,45%,52%,65%,81%,33%,50%,23%,20%,55%,41%,51%,47%
At Masters Grade Level,2021,23%,26%,12%,11%,7%,7%,6%,42%,20%,16%,10%,9%,13%,10%,11%,11%
,2019,37%,38%,29%,25%,24%,31%,53%,61%,17%,35%,8%,6%,32%,22%,28%,27%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,70%,74%,64%,68%,68%,83%,80%,94%,52%,69%,73%,62%,69%,59%
,2019,88%,88%,80%,86%,76%,70%,80%,88%,100%,89%,58%,71%,85%,71%,81%,72%
At Meets Grade Level or Above,2021,55%,57%,41%,44%,34%,34%,29%,69%,60%,71%,26%,31%,45%,32%,39%,29%
,2019,62%,63%,50%,53%,43%,49%,47%,71%,63%,74%,24%,39%,58%,37%,49%,36%
At Masters Grade Level,2021,22%,26%,13%,13%,7%,13%,10%,37%,20%,24%,6%,11%,15%,9%,11%,7%
,2019,25%,28%,17%,16%,13%,19%,27%,38%,13%,32%,6%,11%,20%,12%,16%,10%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,84%,88%,81%,84%,75%,91%,83%,100%,58%,77%,87%,78%,83%,69%
,2019,93%,93%,90%,90%,90%,90%,*,92%,*,100%,68%,96%,93%,86%,91%,80%
At Meets Grade Level or Above,2021,69%,70%,62%,65%,56%,67%,50%,80%,83%,100%,37%,38%,66%,52%,61%,39%
,2019,73%,75%,70%,71%,67%,71%,*,78%,*,100%,43%,64%,75%,59%,70%,48%
At Masters Grade Level,2021,43%,45%,33%,29%,28%,33%,25%,55%,33%,92%,15%,23%,34%,28%,31%,18%
,2019,45%,49%,41%,40%,37%,45%,*,56%,*,33%,21%,36%,46%,31%,40%,21%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,94%,97%,90%,100%,100%,97%,*,*,0%,-,94%,88%,94%,70%
At Meets Grade Level or Above,2021,69%,75%,68%,66%,58%,72%,80%,82%,*,*,0%,-,68%,59%,68%,47%
At Masters Grade Level,2021,14%,18%,9%,7%,2%,11%,20%,18%,*,*,0%,-,9%,3%,8%,10%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,55%,57%,50%,55%,51%,75%,74%,72%,32%,52%,58%,46%,53%,49%
,2019,78%,78%,70%,71%,67%,69%,66%,83%,73%,78%,44%,66%,73%,63%,69%,66%
At Meets Grade Level or Above,2021,41%,43%,29%,31%,24%,30%,22%,52%,51%,41%,20%,21%,32%,22%,27%,22%
,2019,50%,51%,41%,41%,36%,41%,36%,63%,44%,44%,27%,30%,44%,33%,39%,35%
At Masters Grade Level,2021,18%,20%,10%,11%,7%,11%,7%,26%,19%,17%,6%,7%,12%,7%,10%,8%
,2019,24%,25%,18%,17%,14%,19%,13%,38%,18%,20%,10%,12%,20%,13%,16%,15%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,55%,59%,51%,58%,56%,70%,56%,70%,31%,53%,59%,45%,54%,48%
,2019,75%,75%,65%,69%,62%,65%,64%,76%,67%,81%,40%,60%,69%,57%,65%,59%
At Meets Grade Level or Above,2021,45%,46%,32%,35%,26%,36%,26%,50%,44%,41%,20%,21%,35%,24%,30%,24%
,2019,48%,49%,37%,39%,32%,40%,36%,55%,41%,45%,25%,27%,41%,29%,35%,30%
At Masters Grade Level,2021,18%,20%,10%,13%,7%,12%,8%,23%,16%,11%,6%,7%,12%,7%,10%,8%
,2019,21%,22%,14%,15%,11%,17%,13%,28%,13%,21%,9%,8%,16%,10%,13%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,52%,49%,49%,51%,48%,80%,88%,67%,32%,52%,55%,44%,51%,50%
,2019,82%,82%,75%,73%,74%,75%,75%,91%,79%,80%,48%,72%,78%,70%,74%,75%
At Meets Grade Level or Above,2021,37%,39%,24%,22%,19%,23%,20%,54%,52%,32%,20%,21%,26%,17%,22%,21%
,2019,52%,53%,44%,42%,40%,44%,42%,73%,50%,41%,29%,35%,47%,38%,43%,43%
At Masters Grade Level,2021,18%,19%,9%,8%,6%,9%,7%,26%,16%,12%,7%,9%,10%,7%,8%,9%
,2019,26%,28%,21%,19%,17%,22%,14%,51%,26%,19%,10%,16%,23%,18%,20%,21%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,45%,52%,39%,51%,44%,63%,60%,67%,22%,37%,48%,39%,44%,42%
,2019,68%,69%,61%,63%,58%,60%,52%,78%,67%,65%,35%,59%,65%,54%,60%,59%
At Meets Grade Level or Above,2021,30%,31%,19%,23%,15%,19%,21%,32%,40%,28%,15%,10%,21%,14%,18%,17%
,2019,38%,39%,31%,31%,27%,32%,31%,53%,22%,35%,25%,20%,34%,25%,29%,28%
At Masters Grade Level,2021,9%,9%,4%,5%,3%,6%,0%,13%,0%,6%,4%,2%,5%,3%,4%,4%
,2019,14%,15%,10%,11%,7%,8%,10%,25%,0%,15%,9%,9%,12%,7%,9%,9%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,57%,60%,53%,55%,47%,77%,80%,81%,39%,57%,61%,50%,56%,51%
,2019,81%,82%,73%,75%,70%,69%,64%,86%,81%,79%,47%,71%,77%,65%,72%,68%
At Meets Grade Level or Above,2021,44%,45%,30%,33%,24%,30%,18%,57%,60%,47%,23%,27%,33%,23%,28%,23%
,2019,54%,55%,43%,43%,38%,45%,30%,67%,50%,57%,25%,31%,48%,33%,42%,36%
At Masters Grade Level,2021,20%,22%,11%,11%,7%,11%,4%,30%,40%,19%,7%,9%,12%,7%,10%,7%
,2019,25%,27%,17%,15%,13%,20%,14%,39%,25%,25%,8%,11%,20%,12%,16%,13%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,67%,70%,63%,63%,46%,82%,89%,94%,43%,58%,71%,59%,65%,52%
,2019,81%,81%,74%,76%,71%,71%,52%,85%,67%,72%,50%,67%,77%,68%,73%,61%
At Meets Grade Level or Above,2021,49%,51%,44%,46%,37%,43%,23%,66%,67%,81%,28%,24%,47%,35%,41%,25%
,2019,55%,57%,49%,51%,45%,45%,24%,65%,50%,48%,32%,33%,53%,41%,48%,31%
At Masters Grade Level,2021,29%,31%,22%,20%,18%,20%,11%,44%,22%,75%,11%,9%,24%,18%,21%,11%
,2019,33%,36%,28%,28%,24%,28%,6%,47%,17%,20%,16%,21%,32%,21%,27%,15%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,12%,12%,9%,12%,15%,27%,*,14%,14%,10%,13%,6%,11%,11%
,2019,35%,36%,23%,26%,18%,30%,23%,45%,*,23%,21%,17%,25%,19%,22%,22%
Reading and Mathematics Including EOC,2021,24%,25%,12%,12%,9%,12%,15%,27%,*,14%,14%,10%,13%,6%,11%,11%
,2019,35%,36%,23%,26%,18%,30%,23%,45%,*,23%,21%,17%,25%,19%,22%,22%
Reading Including EOC,2021,38%,39%,24%,29%,19%,24%,25%,40%,*,43%,17%,21%,26%,18%,22%,21%
,2019,45%,45%,32%,35%,27%,38%,32%,50%,*,23%,23%,26%,33%,28%,31%,30%
Math Including EOC,2021,31%,31%,16%,14%,13%,14%,15%,40%,*,29%,16%,14%,18%,9%,15%,16%
,2019,49%,48%,36%,35%,31%,39%,36%,63%,*,45%,26%,26%,37%,30%,34%,35%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,14%,17%,11%,16%,15%,31%,*,11%,15%,15%,16%,11%,14%,13%
,2019,35%,36%,28%,28%,24%,33%,23%,50%,17%,30%,21%,29%,29%,24%,25%,27%
Reading and Mathematics Including EOC,2021,26%,27%,14%,17%,11%,16%,15%,31%,*,11%,15%,15%,16%,11%,14%,13%
,2019,35%,36%,28%,28%,24%,33%,23%,50%,17%,30%,21%,29%,29%,24%,25%,27%
Reading Including EOC,2021,36%,37%,25%,30%,21%,26%,31%,39%,*,22%,17%,18%,27%,20%,24%,23%
,2019,44%,45%,35%,35%,32%,44%,33%,54%,33%,45%,23%,40%,37%,31%,33%,34%
Math Including EOC,2021,36%,36%,21%,20%,18%,22%,26%,44%,*,11%,18%,15%,23%,16%,20%,21%
,2019,48%,49%,43%,41%,41%,44%,38%,67%,33%,35%,29%,42%,46%,37%,41%,43%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,16%,19%,11%,12%,10%,34%,*,27%,17%,4%,17%,11%,14%,14%
,2019,44%,44%,30%,30%,27%,31%,34%,52%,40%,29%,25%,27%,33%,24%,29%,30%
Reading and Mathematics Including EOC,2021,34%,35%,16%,19%,11%,12%,10%,34%,*,27%,17%,4%,17%,11%,14%,14%
,2019,44%,44%,30%,30%,27%,31%,34%,52%,40%,29%,25%,27%,33%,24%,29%,30%
Reading Including EOC,2021,46%,47%,29%,34%,25%,24%,21%,44%,*,36%,20%,21%,31%,24%,27%,26%
,2019,54%,54%,43%,47%,38%,44%,45%,57%,40%,54%,31%,39%,46%,37%,41%,40%
Math Including EOC,2021,44%,45%,23%,23%,19%,22%,17%,49%,*,45%,22%,17%,25%,17%,21%,22%
,2019,58%,59%,42%,37%,39%,44%,45%,69%,40%,36%,30%,32%,44%,36%,40%,43%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,15%,17%,10%,23%,8%,35%,*,17%,14%,21%,17%,10%,13%,13%
,2019,31%,32%,24%,24%,18%,25%,23%,54%,63%,35%,21%,14%,27%,18%,22%,23%
Reading and Mathematics Including EOC,2021,24%,26%,15%,17%,10%,23%,8%,35%,*,17%,14%,21%,17%,10%,13%,13%
,2019,31%,32%,24%,24%,18%,25%,23%,54%,63%,35%,21%,14%,27%,18%,22%,23%
Reading Including EOC,2021,32%,34%,22%,25%,17%,28%,20%,41%,*,33%,17%,28%,24%,16%,20%,19%
,2019,37%,38%,30%,33%,24%,31%,27%,55%,63%,41%,22%,19%,33%,24%,28%,28%
Math Including EOC,2021,36%,38%,25%,24%,22%,32%,23%,56%,*,17%,20%,33%,29%,17%,24%,25%
,2019,48%,49%,42%,39%,37%,37%,32%,78%,88%,53%,28%,43%,45%,36%,41%,43%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,16%,18%,13%,14%,20%,37%,*,33%,18%,22%,18%,12%,16%,16%
,2019,36%,39%,31%,31%,26%,30%,25%,56%,*,24%,26%,17%,34%,23%,29%,27%
Reading and Mathematics Including EOC,2021,27%,29%,17%,18%,13%,14%,20%,40%,*,33%,18%,22%,19%,12%,16%,17%
,2019,37%,40%,32%,32%,26%,31%,25%,60%,*,24%,26%,17%,35%,24%,30%,28%
Reading Including EOC,2021,45%,47%,33%,36%,29%,34%,19%,54%,*,44%,23%,29%,36%,26%,32%,32%
,2019,49%,51%,41%,43%,35%,37%,36%,65%,*,36%,30%,23%,45%,32%,39%,37%
Math Including EOC,2021,32%,34%,22%,21%,17%,23%,19%,55%,*,40%,21%,26%,24%,15%,20%,21%
,2019,48%,50%,45%,43%,40%,43%,43%,80%,*,32%,33%,37%,49%,38%,43%,43%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,16%,18%,13%,16%,0%,31%,*,*,19%,17%,17%,12%,15%,12%
,2019,34%,35%,30%,31%,27%,33%,19%,45%,*,31%,23%,26%,33%,24%,28%,25%
Reading and Mathematics Including EOC,2021,33%,34%,21%,23%,17%,26%,0%,40%,*,*,19%,21%,23%,14%,20%,16%
,2019,47%,48%,39%,39%,34%,42%,28%,61%,*,42%,23%,26%,43%,28%,37%,33%
Reading Including EOC,2021,47%,48%,34%,37%,30%,40%,15%,51%,*,*,22%,33%,38%,24%,33%,28%
