Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,19%,20%,23%,8%,11%,44%,*,47%,-,38%,8%,22%,23%,21%,10%,9%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,80%,63%,72%,97%,50%,98%,*,94%,45%,97%,80%,77%,70%,73%
,2018,77%,78%,74%,47%,65%,93%,*,97%,-,83%,41%,71%,76%,68%,63%,64%
At Meets Grade Level or Above,2019,47%,48%,51%,27%,35%,83%,33%,88%,*,80%,23%,58%,52%,47%,33%,36%
,2018,44%,46%,47%,20%,30%,77%,*,92%,-,59%,21%,52%,49%,41%,29%,31%
At Masters Grade Level,2019,21%,22%,26%,8%,13%,50%,17%,64%,*,55%,6%,37%,27%,21%,11%,13%
,2018,18%,20%,22%,6%,10%,44%,*,61%,-,41%,10%,26%,24%,19%,10%,9%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,74%,63%,64%,92%,*,95%,*,95%,34%,78%,76%,69%,63%,61%
,2018,74%,76%,73%,66%,62%,92%,*,92%,-,86%,39%,63%,75%,68%,62%,60%
At Meets Grade Level or Above,2019,49%,51%,51%,29%,37%,78%,*,82%,*,77%,22%,52%,53%,46%,35%,34%
,2018,48%,50%,51%,43%,35%,77%,*,81%,-,71%,29%,45%,53%,46%,36%,32%
At Masters Grade Level,2019,29%,31%,34%,16%,20%,57%,*,65%,*,49%,8%,30%,36%,28%,19%,18%
,2018,29%,30%,32%,24%,18%,56%,*,62%,-,57%,9%,34%,34%,29%,18%,15%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,75%,51%,65%,94%,*,97%,*,92%,36%,83%,78%,68%,63%,64%
,2018,72%,75%,73%,65%,62%,94%,*,92%,-,80%,42%,68%,75%,67%,62%,60%
At Meets Grade Level or Above,2019,43%,46%,51%,20%,34%,81%,*,92%,*,67%,21%,64%,53%,44%,32%,33%
,2018,40%,43%,48%,32%,30%,80%,*,86%,-,60%,27%,50%,49%,44%,30%,29%
At Masters Grade Level,2019,17%,18%,25%,5%,13%,45%,*,64%,*,49%,4%,28%,27%,22%,11%,13%
,2018,18%,20%,26%,13%,13%,50%,*,69%,-,45%,8%,28%,27%,24%,13%,13%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,68%,61%,54%,90%,*,96%,*,91%,28%,64%,70%,62%,54%,52%
,2018,69%,69%,66%,62%,52%,89%,*,91%,-,78%,26%,51%,67%,62%,52%,48%
At Meets Grade Level or Above,2019,42%,43%,44%,28%,28%,72%,*,80%,*,72%,18%,42%,46%,38%,27%,25%
,2018,43%,44%,43%,36%,26%,72%,*,80%,-,65%,20%,38%,44%,40%,26%,23%
At Masters Grade Level,2019,18%,19%,22%,7%,9%,43%,*,53%,*,35%,5%,16%,23%,16%,7%,7%
,2018,15%,16%,19%,7%,8%,36%,*,49%,-,39%,7%,5%,19%,17%,7%,7%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,85%,77%,78%,97%,*,95%,-,93%,48%,80%,86%,79%,77%,75%
,2018,86%,86%,81%,79%,73%,95%,*,93%,-,94%,33%,80%,82%,77%,73%,68%
At Meets Grade Level or Above,2019,55%,56%,57%,47%,42%,81%,*,83%,-,80%,24%,37%,58%,52%,40%,37%
,2018,49%,51%,47%,33%,33%,72%,*,74%,-,74%,20%,30%,49%,43%,33%,27%
At Masters Grade Level,2019,28%,30%,33%,22%,18%,55%,*,65%,-,65%,7%,23%,33%,30%,16%,13%
,2018,27%,28%,26%,11%,15%,45%,*,50%,-,48%,6%,7%,28%,20%,15%,11%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,85%,76%,81%,94%,*,97%,-,89%,53%,82%,85%,84%,81%,81%
,2018,86%,87%,75%,66%,70%,90%,*,96%,-,78%,41%,63%,75%,73%,69%,68%
At Meets Grade Level or Above,2019,57%,58%,53%,45%,41%,76%,*,94%,-,83%,26%,36%,53%,52%,41%,40%
,2018,51%,52%,37%,20%,29%,58%,*,81%,-,48%,22%,47%,38%,34%,28%,28%
At Masters Grade Level,2019,17%,18%,19%,7%,7%,39%,*,74%,-,46%,6%,14%,20%,15%,7%,8%
,2018,15%,16%,12%,6%,6%,25%,*,44%,-,30%,7%,19%,13%,9%,7%,5%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,80%,75%,71%,95%,*,97%,-,92%,47%,71%,82%,75%,70%,68%
,2018,76%,77%,73%,63%,63%,92%,*,94%,-,94%,34%,77%,75%,67%,62%,58%
At Meets Grade Level or Above,2019,51%,52%,55%,44%,39%,80%,*,88%,-,77%,28%,37%,57%,48%,37%,34%
,2018,52%,53%,51%,31%,36%,77%,*,84%,-,76%,24%,49%,53%,44%,37%,32%
At Masters Grade Level,2019,25%,27%,30%,16%,16%,53%,*,70%,-,50%,6%,20%,32%,26%,15%,13%
,2018,28%,29%,28%,10%,15%,49%,*,58%,-,50%,9%,28%,30%,20%,15%,13%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,69%,65%,56%,89%,*,91%,-,88%,40%,61%,70%,65%,53%,51%
,2018,65%,66%,62%,60%,49%,85%,*,89%,-,86%,32%,71%,64%,57%,49%,44%
