Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
BETA ACADEMY (101870) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,44%,46%,54%,*,54%,80%,-,*,-,-,*,-,-,54%,55%,43%
At Masters Grade Level,2019,21%,22%,24%,43%,16%,*,-,*,-,-,33%,-,29%,21%,26%,15%
,2018,18%,20%,10%,*,10%,20%,-,*,-,-,*,-,-,10%,10%,0%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,100%,*,100%,100%,-,*,-,-,100%,*,100%,100%,100%,100%
,2018,74%,76%,100%,*,100%,*,-,-,-,-,*,-,-,100%,100%,100%
At Meets Grade Level or Above,2019,49%,51%,78%,*,80%,83%,-,*,-,-,60%,*,65%,92%,77%,64%
,2018,48%,50%,75%,*,76%,*,-,-,-,-,*,-,-,75%,89%,88%
At Masters Grade Level,2019,29%,31%,51%,*,60%,17%,-,*,-,-,20%,*,50%,52%,65%,45%
,2018,29%,30%,50%,*,48%,*,-,-,-,-,*,-,-,50%,67%,63%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,94%,*,93%,100%,-,*,-,-,60%,*,92%,96%,97%,100%
,2018,72%,75%,94%,*,97%,*,-,-,-,-,*,-,-,94%,100%,100%
At Meets Grade Level or Above,2019,43%,46%,71%,*,75%,50%,-,*,-,-,0%,*,81%,60%,71%,82%
,2018,40%,43%,81%,*,86%,*,-,-,-,-,*,-,-,81%,89%,88%
At Masters Grade Level,2019,17%,18%,18%,*,18%,33%,-,*,-,-,0%,*,23%,12%,13%,18%
,2018,18%,20%,44%,*,45%,*,-,-,-,-,*,-,-,44%,61%,50%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,92%,*,95%,83%,-,*,-,-,40%,*,96%,88%,94%,91%
,2018,69%,69%,100%,*,100%,*,-,-,-,-,*,-,-,100%,100%,100%
At Meets Grade Level or Above,2019,42%,43%,85%,*,85%,83%,-,*,-,-,40%,*,81%,88%,84%,82%
,2018,43%,44%,88%,*,86%,*,-,-,-,-,*,-,-,88%,94%,100%
At Masters Grade Level,2019,18%,19%,40%,*,39%,50%,-,*,-,-,0%,*,42%,38%,45%,55%
,2018,15%,16%,50%,*,52%,*,-,-,-,-,*,-,-,50%,67%,75%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,100%,*,100%,*,-,-,-,-,*,-,100%,100%,100%,*
,2018,86%,86%,100%,*,100%,-,-,-,-,-,-,*,-,100%,100%,100%
At Meets Grade Level or Above,2019,55%,56%,82%,*,85%,*,-,-,-,-,*,-,88%,75%,72%,*
,2018,49%,51%,67%,*,65%,-,-,-,-,-,-,*,-,67%,80%,75%
At Masters Grade Level,2019,28%,30%,43%,*,42%,*,-,-,-,-,*,-,44%,42%,39%,*
,2018,27%,28%,43%,*,40%,-,-,-,-,-,-,*,-,43%,60%,38%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,100%,*,100%,*,-,-,-,-,*,-,100%,100%,100%,*
,2018,86%,87%,95%,*,95%,-,-,-,-,-,-,*,-,95%,100%,100%
At Meets Grade Level or Above,2019,57%,58%,86%,*,88%,*,-,-,-,-,*,-,94%,75%,83%,*
,2018,51%,52%,86%,*,85%,-,-,-,-,-,-,*,-,86%,100%,100%
At Masters Grade Level,2019,17%,18%,29%,*,31%,*,-,-,-,-,*,-,19%,42%,28%,*
,2018,15%,16%,19%,*,15%,-,-,-,-,-,-,*,-,19%,20%,25%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,96%,*,96%,*,-,-,-,-,*,-,100%,92%,94%,*
,2018,76%,77%,90%,*,90%,-,-,-,-,-,-,*,-,90%,90%,100%
At Meets Grade Level or Above,2019,51%,52%,54%,*,54%,*,-,-,-,-,*,-,56%,50%,56%,*
,2018,52%,53%,57%,*,55%,-,-,-,-,-,-,*,-,57%,50%,63%
At Masters Grade Level,2019,25%,27%,14%,*,15%,*,-,-,-,-,*,-,13%,17%,17%,*
,2018,28%,29%,14%,*,15%,-,-,-,-,-,-,*,-,14%,30%,13%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,96%,*,96%,*,-,-,-,-,*,-,93%,100%,94%,*
,2018,65%,66%,81%,*,80%,-,-,-,-,-,-,*,-,81%,80%,88%
At Meets Grade Level or Above,2019,37%,38%,63%,*,64%,*,-,-,-,-,*,-,60%,67%,67%,*
,2018,36%,37%,19%,*,20%,-,-,-,-,-,-,*,-,19%,40%,25%
At Masters Grade Level,2019,21%,23%,26%,*,28%,*,-,-,-,-,*,-,40%,8%,33%,*
,2018,21%,22%,5%,*,5%,-,-,-,-,-,-,*,-,5%,10%,0%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,100%,*,100%,-,-,-,-,-,*,-,100%,*,100%,100%
At Meets Grade Level or Above,2019,50%,50%,100%,*,100%,-,-,-,-,-,*,-,100%,*,100%,100%
At Masters Grade Level,2019,11%,11%,35%,*,31%,-,-,-,-,-,*,-,38%,*,42%,20%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,100%,*,100%,-,-,-,-,-,*,-,100%,*,100%,100%
At Meets Grade Level or Above,2019,61%,61%,88%,*,88%,-,-,-,-,-,*,-,85%,*,92%,100%
