Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.93,0.93,1.00,0.90,-,*,-,-,0.75,0.93,0.94,0.93,*
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.72,0.60,0.64,0.77,-,*,-,0.60,0.33,0.72,0.71,0.64,0.80
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.74,0.67,0.68,0.77,-,*,-,-,0.50,0.72,0.76,0.67,*
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.45,0.30,0.32,0.54,-,*,-,0.20,0.11,0.48,0.43,0.36,0.20
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.55,0.53,0.41,0.60,-,*,-,-,0.17,0.54,0.58,0.47,*
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.81,0.60,0.75,0.87,-,*,-,0.80,0.22,0.84,0.79,0.77,1.00
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.87,0.87,0.86,0.88,-,*,-,-,0.67,0.87,0.88,0.93,*
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.46,0.30,0.36,0.51,-,*,-,0.60,0.11,0.54,0.39,0.36,0.60
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.59,0.53,0.45,0.65,-,*,-,-,0.33,0.54,0.67,0.67,*
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.21,0.20,0.07,0.25,-,*,-,0.20,0.00,0.22,0.20,0.23,0.60
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.37,0.27,0.23,0.46,-,*,-,-,0.25,0.31,0.45,0.13,*
