Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
KLEIN ISD (101915) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,21%,13%,15%,30%,17%,36%,0%,23%,7%,21%,23%,16%,13%,11%
,2018,19%,20%,23%,15%,15%,31%,25%,44%,*,25%,3%,10%,25%,17%,15%,13%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,83%,73%,79%,89%,82%,96%,80%,86%,54%,93%,86%,76%,75%,78%
,2018,77%,78%,78%,65%,74%,86%,78%,92%,*,81%,43%,83%,80%,72%,70%,73%
At Meets Grade Level or Above,2019,47%,48%,47%,36%,39%,59%,55%,74%,40%,59%,23%,50%,51%,40%,36%,39%
,2018,44%,46%,43%,24%,36%,53%,44%,76%,*,44%,16%,48%,46%,35%,31%,38%
At Masters Grade Level,2019,21%,22%,17%,8%,12%,23%,18%,42%,0%,18%,7%,18%,19%,13%,11%,14%
,2018,18%,20%,14%,7%,10%,19%,22%,40%,*,10%,3%,20%,16%,11%,9%,11%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,80%,70%,75%,89%,67%,92%,*,84%,36%,77%,83%,72%,71%,68%
,2018,74%,76%,81%,70%,75%,88%,81%,93%,*,88%,44%,80%,84%,73%,71%,68%
At Meets Grade Level or Above,2019,49%,51%,55%,40%,46%,69%,33%,76%,*,63%,20%,38%,60%,44%,41%,38%
,2018,48%,50%,55%,43%,46%,66%,50%,72%,*,60%,28%,46%,59%,46%,41%,37%
