Primary_Key_2018_2019,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2019,YOY_Region_2019,YOY_District_2019,YOY_African_American_2019,YoY_Hispanic_2019,YoY_White_2019,YoY_Econ_Disadv_2019,YoY_ELL_2019,Primary_Key_2019_2021,YOY_State_2021,YOY_Region_2021,YOY_District_2021,YOY_African_American_2021,YoY_Hispanic_2021,YoY_White_2021,YoY_Econ_Disadv_2021,YoY_ELL_2021,Primary_Key_2021_2022,YOY_State_2022,YOY_Region_2022,YOY_District_2022,YOY_African_American_2022,YoY_Hispanic_2022,YoY_White_2022,YoY_Econ_Disadv_2022,YoY_ELL_2022
Huffman_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Huffman_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,0.04,-0.11,0.01,0.05,0.09,-0.02,,,,,,,,,,,,,,,,,,
Huffman_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Huffman_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,-0.01,0.11,-0.06,-0.01,0.001,-0.01,,,,,,,,,,,,,,,,,,
Huffman_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Huffman_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,-0.04,0.17,-0.02,-0.06,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Huffman_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Huffman_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,0.09,0.16,0.08,0.08,0.16,0.04,,,,,,,,,,,,,,,,,,
Huffman_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Huffman_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,0.02,0.23,0.05,0.01,0.04,0.17,,,,,,,,,,,,,,,,,,
Huffman_ISD_Grade 7 Reading_At Masters Grade Level_2019,Huffman_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,0.001,0.06,0.03,0.001,0.08,0.1,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.02,-0.03,-0.02,0.001,-0.04,-0.01,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Humble_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.02,-0.02,-0.03,-0.01,-0.03,-0.03,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Humble_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,-0.02,0.001,-0.04,-0.02,-0.02,0.01,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.02,0.01,-0.03,-0.02,-0.01,0.03,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Humble_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.001,0.01,0.01,-0.03,-0.02,0.08,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 3 Reading_At Masters Grade Level_2019,Humble_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.01,0.02,0.01,-0.02,0.01,0.06,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.06,-0.06,-0.05,-0.04,-0.09,-0.04,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Humble_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.05,-0.01,-0.04,-0.04,-0.05,-0.05,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Humble_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,-0.01,0.01,0.01,0.001,-0.02,0.001,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,-0.02,-0.02,-0.01,-0.02,-0.05,-0.02,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Humble_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.04,-0.02,-0.03,-0.03,-0.09,-0.04,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 4 Reading_At Masters Grade Level_2019,Humble_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.04,-0.03,-0.03,-0.04,-0.05,-0.01,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.03,-0.06,-0.01,-0.01,-0.06,-0.01,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Humble_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,-0.05,-0.06,-0.05,-0.02,-0.06,-0.01,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Humble_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.03,0.001,-0.01,0.07,-0.03,-0.01,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.001,-0.01,0.001,0.01,-0.01,0.001,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Humble_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,-0.04,-0.04,-0.03,-0.03,-0.04,-0.02,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Humble_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.01,-0.03,0.001,0.04,-0.02,0.001,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.07,-0.11,-0.09,-0.02,-0.1,-0.04,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Humble_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.01,-0.02,0.01,0.04,-0.04,0.01,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 5 Science_At Masters Grade Level_2019,Humble_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.03,-0.01,0.02,0.05,0.001,0.02,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.01,0.001,0.01,0.02,-0.02,-0.03,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Humble_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,-0.01,-0.02,0.001,0.001,-0.05,-0.04,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Humble_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.01,0.001,0.02,0.02,-0.02,0.001,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,-0.02,-0.06,-0.03,-0.02,-0.04,-0.06,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Humble_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,-0.04,-0.05,-0.04,-0.03,-0.05,-0.06,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 6 Reading_At Masters Grade Level_2019,Humble_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.03,-0.02,-0.02,-0.04,-0.05,-0.05,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,-0.02,-0.02,0.01,-0.01,-0.01,0.02,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Humble_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,-0.03,-0.02,-0.03,-0.02,-0.04,-0.02,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Humble_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,-0.07,-0.03,-0.07,-0.08,-0.07,-0.05,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Humble_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,-0.01,-0.01,0.001,-0.01,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Humble_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,-0.02,0.01,-0.03,-0.01,-0.03,-0.04,,,,,,,,,,,,,,,,,,
Humble_ISD_Grade 7 Reading_At Masters Grade Level_2019,Humble_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,-0.01,0.001,-0.01,0.01,-0.03,-0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.01,-0.04,-0.01,-0.01,-0.02,0.001,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Katy_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.02,0.001,-0.03,-0.01,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Katy_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,0.01,0.02,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.001,0.03,-0.01,-0.02,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Katy_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.001,0.03,-0.01,-0.03,-0.03,-0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 3 Reading_At Masters Grade Level_2019,Katy_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.01,0.04,0.02,-0.02,0.01,0.03,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.03,-0.09,-0.03,-0.01,-0.08,-0.04,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Katy_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.02,-0.07,-0.01,0.001,-0.06,-0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Katy_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,0.03,-0.01,0.02,0.04,-0.02,0.02,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.001,-0.02,0.02,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Katy_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.03,-0.09,-0.02,-0.02,-0.05,-0.04,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 4 Reading_At Masters Grade Level_2019,Katy_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.03,-0.06,-0.02,-0.03,-0.05,-0.04,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.01,-0.03,-0.01,-0.01,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Katy_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,-0.02,-0.03,-0.04,-0.01,-0.05,-0.02,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Katy_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.08,0.09,0.05,0.12,0.06,0.08,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.001,-0.01,0.001,0.01,-0.01,0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Katy_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,0.001,0.001,-0.01,-0.02,0.001,0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Katy_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.04,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.02,-0.04,-0.01,-0.01,-0.03,0.02,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Katy_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.07,0.07,0.09,0.06,0.08,0.09,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 5 Science_At Masters Grade Level_2019,Katy_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.07,0.05,0.07,0.08,0.05,0.07,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Katy_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,0.03,0.01,0.05,0.04,0.02,0.05,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Katy_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.05,0.001,0.05,0.05,0.02,0.07,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,0.001,0.03,-0.01,0.01,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Katy_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,0.001,0.001,0.001,0.001,-0.04,0.001,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 6 Reading_At Masters Grade Level_2019,Katy_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.01,-0.01,0.001,-0.03,-0.03,0.02,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,0.04,0.09,0.04,0.02,0.03,0.05,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Katy_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,0.05,0.06,0.05,0.06,0.05,0.06,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Katy_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,-0.02,-0.02,0.001,-0.02,-0.03,-0.01,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Katy_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Katy_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,0.03,0.02,0.05,0.02,0.02,0.11,,,,,,,,,,,,,,,,,,
Katy_ISD_Grade 7 Reading_At Masters Grade Level_2019,Katy_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,0.02,-0.02,0.01,0.04,0.01,0.09,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.03,-0.01,-0.03,-0.01,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Klein_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.02,-0.02,-0.03,-0.01,-0.02,0.001,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Klein_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,-0.02,-0.04,-0.03,0.01,0.001,0.001,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.01,0.02,-0.01,-0.02,0.001,0.01,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Klein_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.03,0.03,0.04,0.001,0.04,0.08,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 3 Reading_At Masters Grade Level_2019,Klein_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.04,0.03,0.05,0.03,0.07,0.09,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.05,-0.04,-0.06,-0.04,-0.05,-0.03,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Klein_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.06,0.001,-0.05,-0.07,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Klein_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,-0.04,0.02,-0.03,-0.03,0.001,0.001,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.03,0.06,0.05,0.01,0.06,0.11,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Klein_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.03,0.001,-0.04,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 4 Reading_At Masters Grade Level_2019,Klein_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.05,-0.01,-0.04,-0.04,-0.02,-0.05,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.03,-0.01,-0.03,-0.02,-0.04,-0.02,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Klein_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,0.001,-0.01,-0.01,0.001,-0.01,0.001,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Klein_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.07,0.04,0.07,0.09,0.06,0.06,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.001,0.04,0.001,0.01,0.001,0.001,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Klein_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,-0.03,-0.02,-0.04,-0.04,-0.01,-0.03,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Klein_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.02,0.04,0.01,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.03,-0.01,-0.04,0.001,-0.03,-0.02,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Klein_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.08,0.03,0.07,0.1,0.06,0.07,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 5 Science_At Masters Grade Level_2019,Klein_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.07,0.02,0.05,0.13,0.05,0.05,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.05,0.08,0.05,0.03,0.05,0.05,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Klein_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,0.04,0.12,0.03,0.06,0.05,0.01,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Klein_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.03,0.01,0.02,0.04,0.02,0.03,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,-0.04,-0.04,-0.05,-0.01,-0.07,-0.1,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Klein_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,-0.04,-0.02,-0.03,-0.02,-0.04,-0.07,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 6 Reading_At Masters Grade Level_2019,Klein_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.02,-0.02,0.001,-0.01,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.01,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Klein_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,0.001,0.04,0.001,0.001,0.001,-0.02,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Klein_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,-0.04,-0.02,-0.03,-0.05,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Klein_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,-0.01,0.001,0.001,0.01,0.001,0.001,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Klein_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,0.001,-0.03,0.001,0.03,0.001,0.01,,,,,,,,,,,,,,,,,,
Klein_ISD_Grade 7 Reading_At Masters Grade Level_2019,Klein_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,0.001,-0.01,-0.02,0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,
La_Porte_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,La_Porte_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.03,0.05,-0.04,-0.04,-0.07,-0.07,,,,,,,,,,,,,,,,,,
La_Porte_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,La_Porte_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.06,-0.04,-0.06,-0.06,-0.05,-0.17,,,,,,,,,,,,,,,,,,
La_Porte_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,La_Porte_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,-0.02,0.05,-0.04,0.001,0.03,0.001,,,,,,,,,,,,,,,,,,
