Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ALIEF ISD (101903) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,14%,15%,9%,17%,9%,32%,38%,24%,7%,8%,15%,11%,12%,12%
,2018,19%,20%,15%,17%,10%,12%,27%,30%,*,13%,10%,0%,16%,11%,14%,13%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,77%,73%,76%,72%,59%,93%,100%,88%,52%,81%,79%,71%,76%,78%
,2018,77%,78%,72%,72%,68%,63%,83%,93%,*,64%,49%,49%,75%,65%,70%,71%
At Meets Grade Level or Above,2019,47%,48%,43%,39%,37%,37%,32%,79%,88%,53%,28%,43%,45%,37%,41%,43%
,2018,44%,46%,41%,38%,36%,35%,26%,77%,*,24%,26%,31%,44%,33%,39%,41%
At Masters Grade Level,2019,21%,22%,21%,16%,16%,19%,9%,56%,50%,35%,11%,27%,23%,16%,19%,22%
,2018,18%,20%,18%,17%,12%,10%,9%,53%,*,12%,13%,9%,20%,13%,16%,18%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,68%,71%,65%,59%,54%,83%,*,72%,43%,51%,73%,59%,67%,65%
,2018,74%,76%,68%,69%,64%,75%,76%,83%,*,79%,56%,57%,72%,59%,67%,66%
At Meets Grade Level or Above,2019,49%,51%,41%,43%,35%,37%,36%,65%,*,36%,30%,23%,45%,32%,39%,37%
,2018,48%,50%,41%,41%,35%,50%,40%,62%,*,58%,44%,25%,44%,32%,39%,38%
At Masters Grade Level,2019,29%,31%,22%,23%,18%,19%,25%,46%,*,12%,10%,9%,25%,16%,21%,19%
,2018,29%,30%,24%,25%,18%,27%,16%,43%,*,42%,27%,11%,26%,17%,22%,21%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,74%,72%,72%,66%,79%,91%,*,64%,51%,71%,77%,67%,73%,73%
,2018,72%,75%,71%,69%,69%,72%,62%,88%,*,89%,47%,55%,74%,63%,70%,71%
At Meets Grade Level or Above,2019,43%,46%,44%,42%,40%,41%,43%,78%,*,32%,33%,37%,47%,37%,42%,42%
,2018,40%,43%,39%,34%,35%,41%,38%,69%,*,44%,27%,29%,42%,32%,38%,40%
At Masters Grade Level,2019,17%,18%,18%,17%,13%,15%,11%,54%,*,16%,12%,17%,19%,16%,17%,17%
,2018,18%,20%,18%,14%,14%,18%,17%,45%,*,39%,13%,10%,20%,13%,17%,19%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,63%,65%,59%,60%,50%,84%,*,60%,39%,51%,68%,54%,63%,60%
,2018,69%,69%,61%,65%,54%,63%,63%,79%,*,79%,36%,58%,65%,50%,60%,57%
At Meets Grade Level or Above,2019,42%,43%,35%,36%,29%,28%,36%,62%,*,28%,28%,9%,38%,27%,33%,31%
,2018,43%,44%,36%,39%,29%,39%,30%,58%,*,58%,28%,32%,40%,27%,34%,32%
At Masters Grade Level,2019,18%,19%,13%,13%,9%,7%,11%,33%,*,16%,10%,3%,15%,8%,11%,10%
