Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
DEER PARK ISD (101908) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,86%,67%,84%,90%,-,89%,-,88%,55%,92%,87%,84%,82%,84%
,2018,77%,78%,86%,76%,85%,89%,*,83%,-,78%,65%,94%,88%,84%,82%,89%
At Meets Grade Level or Above,2019,47%,48%,54%,19%,49%,62%,-,89%,-,76%,30%,62%,55%,51%,44%,47%
,2018,44%,46%,53%,43%,49%,60%,*,83%,-,56%,24%,88%,56%,46%,44%,49%
At Masters Grade Level,2019,21%,22%,22%,10%,19%,27%,-,67%,-,36%,12%,35%,24%,19%,14%,13%
,2018,18%,20%,19%,14%,16%,23%,*,33%,-,28%,6%,31%,21%,14%,14%,12%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,80%,75%,76%,84%,*,100%,-,90%,38%,82%,82%,75%,73%,71%
,2018,74%,76%,79%,56%,74%,88%,*,100%,*,94%,46%,91%,80%,74%,70%,72%
At Meets Grade Level or Above,2019,49%,51%,49%,36%,42%,60%,*,64%,-,60%,15%,55%,51%,42%,40%,34%
,2018,48%,50%,52%,24%,47%,63%,*,78%,*,75%,30%,55%,55%,43%,40%,44%
At Masters Grade Level,2019,29%,31%,28%,11%,22%,37%,*,43%,-,40%,7%,9%,30%,24%,20%,17%
,2018,29%,30%,30%,16%,23%,41%,*,67%,*,44%,15%,27%,33%,22%,20%,20%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,86%,75%,84%,90%,*,83%,-,88%,53%,100%,87%,85%,80%,81%
,2018,72%,75%,83%,71%,80%,89%,-,100%,*,81%,55%,85%,84%,80%,75%,75%
At Meets Grade Level or Above,2019,43%,46%,56%,32%,52%,63%,*,50%,-,50%,22%,67%,58%,48%,47%,51%
,2018,40%,43%,51%,32%,47%,60%,-,100%,*,50%,25%,38%,54%,45%,42%,43%
At Masters Grade Level,2019,17%,18%,20%,11%,18%,24%,*,50%,-,38%,5%,33%,21%,19%,15%,19%
,2018,18%,20%,23%,14%,19%,28%,-,71%,*,31%,6%,15%,24%,21%,18%,21%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,75%,57%,72%,78%,*,93%,-,95%,25%,82%,75%,73%,67%,68%
,2018,69%,69%,75%,56%,70%,84%,*,100%,*,72%,39%,50%,77%,69%,64%,66%
At Meets Grade Level or Above,2019,42%,43%,47%,36%,42%,55%,*,71%,-,50%,8%,36%,49%,42%,39%,37%
,2018,43%,44%,47%,19%,41%,60%,*,89%,*,50%,31%,33%,49%,43%,34%,37%
At Masters Grade Level,2019,18%,19%,19%,18%,15%,23%,*,50%,-,20%,4%,0%,20%,15%,12%,11%
,2018,15%,16%,16%,11%,12%,23%,*,44%,*,28%,13%,0%,18%,11%,10%,10%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,91%,81%,89%,93%,*,100%,*,100%,53%,88%,92%,88%,88%,87%
,2018,86%,86%,91%,88%,89%,95%,*,100%,*,92%,57%,94%,92%,88%,88%,85%
At Meets Grade Level or Above,2019,55%,56%,61%,48%,55%,73%,*,100%,*,47%,26%,50%,62%,57%,53%,49%
,2018,49%,51%,56%,35%,51%,63%,*,90%,*,46%,24%,53%,59%,46%,42%,39%
At Masters Grade Level,2019,28%,30%,29%,11%,23%,40%,*,67%,*,26%,8%,19%,31%,24%,21%,18%
,2018,27%,28%,30%,12%,27%,35%,*,50%,*,33%,13%,18%,33%,23%,20%,17%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,95%,86%,94%,98%,-,100%,*,100%,75%,94%,96%,93%,94%,91%
,2018,86%,87%,96%,86%,95%,97%,*,100%,-,92%,78%,100%,95%,98%,95%,94%
At Meets Grade Level or Above,2019,57%,58%,76%,52%,72%,84%,-,100%,*,90%,37%,61%,79%,66%,67%,68%
,2018,51%,52%,74%,43%,70%,83%,*,100%,-,72%,35%,84%,76%,66%,66%,70%
At Masters Grade Level,2019,17%,18%,37%,34%,29%,47%,-,85%,*,50%,13%,28%,40%,27%,27%,29%
,2018,15%,16%,32%,10%,28%,38%,*,80%,-,36%,10%,21%,35%,19%,23%,28%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,91%,81%,88%,97%,*,100%,*,100%,64%,100%,92%,88%,88%,83%
,2018,76%,77%,89%,61%,86%,95%,*,100%,*,88%,56%,94%,90%,87%,83%,81%
At Meets Grade Level or Above,2019,51%,52%,71%,50%,65%,83%,*,100%,*,79%,37%,63%,73%,66%,62%,58%
,2018,52%,53%,71%,44%,64%,80%,*,100%,*,75%,31%,83%,73%,62%,60%,56%
At Masters Grade Level,2019,25%,27%,43%,38%,36%,54%,*,89%,*,37%,19%,44%,44%,38%,32%,30%
,2018,28%,29%,44%,17%,38%,54%,*,60%,*,58%,12%,50%,47%,34%,30%,31%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,73%,58%,69%,82%,*,100%,*,68%,35%,69%,74%,71%,67%,61%
,2018,65%,66%,69%,50%,65%,74%,*,100%,*,67%,41%,72%,70%,65%,61%,62%
At Meets Grade Level or Above,2019,37%,38%,41%,23%,37%,48%,*,78%,*,42%,24%,38%,42%,39%,34%,31%
,2018,36%,37%,36%,17%,34%,41%,*,70%,*,33%,20%,33%,38%,30%,28%,28%
At Masters Grade Level,2019,21%,23%,21%,8%,20%,23%,*,44%,*,16%,8%,25%,21%,19%,17%,19%
,2018,21%,22%,20%,6%,17%,24%,*,50%,*,29%,6%,11%,21%,15%,12%,11%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,74%,60%,71%,80%,*,92%,*,76%,28%,73%,77%,67%,66%,64%
,2018,65%,65%,72%,46%,69%,79%,*,94%,-,88%,28%,42%,75%,63%,66%,59%
At Meets Grade Level or Above,2019,50%,50%,57%,23%,52%,67%,*,92%,*,72%,14%,32%,60%,47%,47%,41%
,2018,44%,45%,50%,29%,44%,59%,*,78%,-,54%,10%,21%,51%,44%,41%,34%
At Masters Grade Level,2019,11%,11%,13%,5%,10%,20%,*,33%,*,21%,1%,0%,15%,9%,6%,3%
,2018,7%,8%,7%,0%,4%,13%,*,6%,-,29%,1%,0%,8%,6%,4%,2%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,75%,54%,72%,81%,*,95%,-,79%,30%,55%,77%,66%,68%,54%
,2018,67%,67%,74%,53%,71%,81%,*,88%,-,82%,28%,63%,77%,65%,66%,48%
At Meets Grade Level or Above,2019,49%,50%,57%,26%,52%,68%,*,85%,-,67%,13%,36%,59%,48%,48%,25%
,2018,48%,48%,58%,44%,52%,67%,*,79%,-,82%,15%,38%,60%,51%,46%,21%
At Masters Grade Level,2019,8%,9%,7%,0%,5%,12%,*,20%,-,13%,1%,0%,8%,5%,4%,1%
,2018,8%,9%,8%,6%,5%,12%,*,21%,-,12%,2%,0%,9%,5%,4%,2%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,94%,89%,94%,95%,*,100%,-,96%,79%,100%,95%,92%,91%,94%
,2018,83%,83%,92%,85%,91%,94%,*,100%,*,92%,62%,88%,93%,89%,89%,89%
At Meets Grade Level or Above,2019,61%,61%,73%,59%,70%,78%,*,100%,-,85%,36%,75%,75%,67%,66%,70%
,2018,55%,55%,70%,54%,66%,77%,*,100%,*,75%,24%,53%,72%,64%,61%,62%
At Masters Grade Level,2019,37%,38%,51%,22%,49%,56%,*,100%,-,50%,14%,44%,54%,43%,44%,46%
,2018,32%,34%,50%,31%,44%,57%,*,100%,*,54%,11%,24%,52%,41%,38%,43%
End of Course Biology,,,,,,,,,,,,,,,,,
