Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,32%,34%,34%,23%,27%,47%,33%,50%,38%,48%,17%,40%,37%,26%,20%,19%
,2019,37%,38%,40%,26%,33%,54%,21%,54%,36%,53%,20%,37%,42%,34%,26%,26%
At Masters Grade Level,2021,15%,16%,16%,7%,12%,23%,17%,37%,15%,20%,6%,13%,18%,10%,7%,6%
,2019,18%,19%,19%,10%,14%,28%,0%,29%,23%,26%,5%,18%,21%,15%,9%,10%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,72%,56%,68%,87%,83%,90%,79%,75%,41%,74%,76%,63%,58%,65%
,2019,81%,81%,82%,68%,79%,92%,79%,92%,86%,85%,49%,80%,84%,77%,71%,75%
At Meets Grade Level or Above,2021,36%,37%,39%,21%,33%,57%,33%,65%,21%,43%,23%,46%,43%,29%,22%,28%
,2019,47%,48%,46%,29%,39%,62%,43%,69%,23%,66%,24%,47%,50%,38%,31%,36%
At Masters Grade Level,2021,15%,17%,16%,6%,10%,27%,17%,34%,14%,18%,7%,17%,19%,9%,5%,6%
,2019,21%,22%,19%,8%,13%,30%,7%,39%,5%,24%,8%,20%,21%,13%,9%,12%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,75%,62%,73%,84%,100%,90%,61%,82%,36%,85%,78%,68%,64%,66%
,2019,76%,77%,78%,68%,74%,87%,67%,94%,69%,73%,36%,73%,80%,73%,67%,66%
