Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ARISTOI CLASSICAL ACADEMY (101803) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2019,47%,48%,66%,78%,62%,67%,-,*,-,*,*,*,74%,59%,48%,40%
,2018,44%,46%,47%,17%,48%,49%,*,*,-,*,0%,*,50%,45%,52%,11%
At Masters Grade Level,2019,21%,22%,32%,22%,19%,44%,-,*,-,*,*,*,29%,34%,14%,0%
,2018,18%,20%,10%,17%,13%,7%,*,*,-,*,0%,*,9%,10%,19%,0%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,80%,40%,88%,80%,*,*,-,*,46%,*,94%,73%,71%,100%
,2018,74%,76%,86%,100%,81%,88%,*,*,*,*,*,*,83%,87%,71%,67%
At Meets Grade Level or Above,2019,49%,51%,55%,20%,56%,60%,*,*,-,*,15%,*,58%,53%,41%,43%
,2018,48%,50%,57%,100%,52%,56%,*,*,*,*,*,*,46%,62%,41%,33%
At Masters Grade Level,2019,29%,31%,29%,0%,28%,38%,*,*,-,*,8%,*,29%,29%,18%,0%
,2018,29%,30%,31%,60%,33%,26%,*,*,*,*,*,*,17%,37%,18%,22%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,79%,40%,74%,90%,*,*,-,*,31%,*,87%,75%,82%,71%
,2018,72%,75%,86%,100%,89%,84%,*,*,*,*,*,*,88%,85%,71%,67%
At Meets Grade Level or Above,2019,43%,46%,38%,0%,35%,45%,*,*,-,*,15%,*,37%,39%,18%,0%
,2018,40%,43%,42%,20%,41%,47%,*,*,*,*,*,*,38%,43%,24%,22%
At Masters Grade Level,2019,17%,18%,6%,0%,10%,5%,*,*,-,*,0%,*,7%,6%,0%,0%
,2018,18%,20%,11%,0%,4%,16%,*,*,*,*,*,*,0%,15%,0%,0%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,75%,20%,72%,83%,*,*,-,*,31%,*,74%,75%,72%,43%
,2018,69%,69%,87%,100%,85%,88%,*,*,*,*,*,*,92%,85%,76%,67%
At Meets Grade Level or Above,2019,42%,43%,47%,0%,44%,56%,*,*,-,*,8%,*,55%,42%,28%,29%
,2018,43%,44%,56%,100%,41%,60%,*,*,*,*,*,*,58%,55%,35%,56%
At Masters Grade Level,2019,18%,19%,18%,0%,9%,27%,*,*,-,*,8%,*,16%,19%,0%,0%
,2018,15%,16%,15%,20%,11%,16%,*,*,*,*,*,*,21%,13%,6%,0%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,99%,*,100%,100%,-,*,-,*,*,-,100%,98%,100%,83%
,2018,86%,86%,89%,*,89%,87%,-,*,-,*,43%,-,88%,90%,100%,*
At Meets Grade Level or Above,2019,55%,56%,66%,*,59%,74%,-,*,-,*,*,-,76%,60%,50%,50%
,2018,49%,51%,51%,*,28%,60%,-,*,-,*,29%,-,36%,63%,71%,*
At Masters Grade Level,2019,28%,30%,31%,*,33%,29%,-,*,-,*,*,-,36%,29%,17%,17%
,2018,27%,28%,31%,*,28%,33%,-,*,-,*,14%,-,24%,37%,43%,*
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,87%,*,90%,80%,-,*,-,*,*,-,87%,86%,90%,83%
,2018,86%,87%,79%,*,85%,75%,-,*,-,*,50%,-,78%,79%,100%,*
At Meets Grade Level or Above,2019,57%,58%,27%,*,24%,32%,-,*,-,*,*,-,33%,24%,20%,17%
,2018,51%,52%,17%,*,8%,21%,-,*,-,*,38%,-,11%,21%,40%,*
At Masters Grade Level,2019,17%,18%,8%,*,5%,8%,-,*,-,*,*,-,7%,8%,0%,0%
,2018,15%,16%,5%,*,8%,0%,-,*,-,*,25%,-,6%,4%,40%,*
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,91%,*,93%,91%,-,*,-,*,*,-,96%,89%,83%,83%
,2018,76%,77%,62%,*,58%,59%,-,*,-,*,38%,-,56%,67%,100%,*
At Meets Grade Level or Above,2019,51%,52%,47%,*,32%,61%,-,*,-,*,*,-,52%,44%,25%,0%
,2018,52%,53%,33%,*,21%,38%,-,*,-,*,25%,-,24%,40%,50%,*
At Masters Grade Level,2019,25%,27%,11%,*,7%,15%,-,*,-,*,*,-,16%,9%,17%,0%
,2018,28%,29%,13%,*,5%,14%,-,*,-,*,13%,-,8%,17%,17%,*
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,70%,*,64%,73%,-,*,-,*,*,-,60%,76%,58%,17%
,2018,65%,66%,61%,*,58%,63%,-,*,-,*,50%,-,52%,68%,71%,*
At Meets Grade Level or Above,2019,37%,38%,27%,*,14%,39%,-,*,-,*,*,-,24%,29%,17%,0%
,2018,36%,37%,27%,*,21%,30%,-,*,-,*,25%,-,28%,26%,57%,*
At Masters Grade Level,2019,21%,23%,9%,*,7%,9%,-,*,-,*,*,-,4%,11%,0%,0%
,2018,21%,22%,13%,*,16%,13%,-,*,-,*,13%,-,12%,13%,43%,*
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,79%,*,78%,83%,-,*,-,*,50%,-,72%,86%,63%,*
,2018,65%,65%,90%,*,82%,94%,-,*,-,*,40%,-,83%,95%,75%,*
At Meets Grade Level or Above,2019,50%,50%,68%,*,67%,71%,-,*,-,*,25%,-,60%,77%,50%,*
,2018,44%,45%,82%,*,71%,94%,-,*,-,*,20%,-,78%,86%,75%,*
At Masters Grade Level,2019,11%,11%,19%,*,0%,33%,-,*,-,*,0%,-,12%,27%,13%,*
,2018,7%,8%,23%,*,12%,31%,-,*,-,*,0%,-,17%,29%,25%,*
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,90%,*,93%,85%,-,*,-,*,*,-,94%,87%,92%,-
,2018,67%,67%,78%,*,57%,86%,-,-,-,*,*,-,88%,73%,*,-
At Meets Grade Level or Above,2019,49%,50%,78%,*,80%,75%,-,*,-,*,*,-,88%,70%,75%,-
,2018,48%,48%,52%,*,29%,64%,-,-,-,*,*,-,63%,47%,*,-
At Masters Grade Level,2019,8%,9%,20%,*,20%,15%,-,*,-,*,*,-,12%,26%,17%,-
,2018,8%,9%,13%,*,0%,21%,-,-,-,*,*,-,13%,13%,*,-
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,85%,*,95%,78%,-,*,-,*,33%,-,79%,92%,90%,*
,2018,83%,83%,87%,*,89%,86%,-,*,-,*,*,-,88%,86%,71%,80%
At Meets Grade Level or Above,2019,61%,61%,57%,*,53%,59%,-,*,-,*,11%,-,52%,63%,30%,*
,2018,55%,55%,24%,*,11%,36%,-,*,-,*,*,-,12%,33%,0%,0%
At Masters Grade Level,2019,37%,38%,43%,*,42%,44%,-,*,-,*,11%,-,45%,42%,30%,*
,2018,32%,34%,8%,*,6%,14%,-,*,-,*,*,-,6%,10%,0%,0%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,84%,*,76%,91%,-,*,-,*,50%,-,80%,90%,63%,*
,2018,87%,86%,95%,*,87%,100%,-,*,-,*,*,-,88%,100%,78%,*
At Meets Grade Level or Above,2019,62%,63%,51%,*,47%,57%,-,*,-,*,38%,-,44%,60%,63%,*
,2018,59%,60%,70%,*,73%,69%,-,*,-,*,*,-,63%,76%,56%,*
At Masters Grade Level,2019,25%,28%,20%,*,12%,26%,-,*,-,*,0%,-,20%,20%,13%,*
,2018,24%,26%,22%,*,7%,31%,-,*,-,*,*,-,19%,24%,22%,*
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,100%,*,100%,100%,-,-,-,*,*,-,100%,100%,100%,-
,2018,92%,91%,100%,-,*,100%,-,-,-,*,-,-,100%,100%,*,-
At Meets Grade Level or Above,2019,73%,75%,100%,*,100%,100%,-,-,-,*,*,-,100%,100%,100%,-
,2018,70%,71%,100%,-,*,100%,-,-,-,*,-,-,100%,100%,*,-
At Masters Grade Level,2019,45%,49%,75%,*,20%,92%,-,-,-,*,*,-,60%,90%,80%,-
,2018,40%,43%,80%,-,*,76%,-,-,-,*,-,-,89%,73%,*,-
All Grades All Subjects,,,,,,,,,,,,,,,,,
