Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,12%,13%,24%,6%,10%,47%,*,61%,*,35%,5%,31%,25%,17%,8%,11%
,2019,17%,18%,25%,5%,13%,45%,*,64%,*,49%,4%,28%,27%,22%,11%,13%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,65%,50%,51%,91%,*,90%,*,81%,24%,75%,69%,53%,48%,47%
,2019,70%,72%,68%,61%,54%,90%,*,96%,*,91%,28%,64%,70%,62%,54%,52%
At Meets Grade Level or Above,2021,33%,34%,41%,25%,23%,71%,*,78%,*,50%,16%,44%,44%,30%,20%,19%
,2019,42%,43%,44%,28%,28%,72%,*,80%,*,72%,18%,42%,46%,38%,27%,25%
At Masters Grade Level,2021,10%,10%,15%,8%,5%,31%,*,43%,*,17%,2%,9%,17%,11%,3%,3%
,2019,18%,19%,22%,7%,9%,43%,*,53%,*,35%,5%,16%,23%,16%,7%,7%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,74%,62%,66%,89%,17%,96%,-,90%,37%,85%,77%,63%,63%,60%
,2019,86%,86%,85%,77%,78%,97%,*,95%,-,93%,48%,80%,86%,79%,77%,75%
At Meets Grade Level or Above,2021,46%,48%,48%,31%,37%,67%,17%,83%,-,61%,19%,53%,51%,40%,34%,33%
,2019,55%,56%,57%,47%,42%,81%,*,83%,-,80%,24%,37%,58%,52%,40%,37%
At Masters Grade Level,2021,21%,22%,23%,9%,15%,36%,0%,49%,-,34%,6%,29%,24%,18%,12%,12%
,2019,28%,30%,33%,22%,18%,55%,*,65%,-,65%,7%,23%,33%,30%,16%,13%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,56%,47%,47%,81%,0%,97%,-,82%,28%,64%,58%,50%,45%,47%
,2019,88%,88%,85%,76%,81%,94%,*,97%,-,89%,53%,82%,85%,84%,81%,81%
At Meets Grade Level or Above,2021,36%,37%,30%,20%,21%,54%,0%,92%,-,58%,15%,41%,33%,23%,19%,20%
,2019,57%,58%,53%,45%,41%,76%,*,94%,-,83%,26%,36%,53%,52%,41%,40%
At Masters Grade Level,2021,11%,11%,10%,2%,4%,19%,0%,65%,-,30%,6%,18%,11%,6%,3%,4%
,2019,17%,18%,19%,7%,7%,39%,*,74%,-,46%,6%,14%,20%,15%,7%,8%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,70%,54%,58%,90%,17%,98%,-,92%,33%,82%,72%,61%,55%,54%
,2019,81%,81%,80%,75%,71%,95%,*,97%,-,92%,47%,71%,82%,75%,70%,68%
At Meets Grade Level or Above,2021,43%,45%,48%,26%,33%,75%,0%,84%,-,73%,21%,61%,51%,36%,29%,29%
,2019,51%,52%,55%,44%,39%,80%,*,88%,-,77%,28%,37%,57%,48%,37%,34%
At Masters Grade Level,2021,24%,25%,29%,12%,15%,51%,0%,65%,-,60%,9%,33%,31%,21%,12%,12%
,2019,25%,27%,30%,16%,16%,53%,*,70%,-,50%,6%,20%,32%,26%,15%,13%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,60%,46%,45%,88%,17%,91%,-,81%,28%,74%,62%,55%,42%,40%
,2019,69%,70%,69%,65%,56%,89%,*,91%,-,88%,40%,61%,70%,65%,53%,51%
At Meets Grade Level or Above,2021,28%,29%,33%,18%,18%,60%,0%,68%,-,60%,18%,50%,34%,29%,15%,14%
,2019,37%,38%,42%,39%,26%,65%,*,76%,-,63%,25%,42%,43%,39%,24%,21%
At Masters Grade Level,2021,14%,15%,17%,6%,6%,36%,0%,46%,-,29%,8%,26%,18%,16%,5%,4%
,2019,21%,23%,26%,18%,12%,45%,*,62%,-,48%,6%,25%,26%,26%,10%,9%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,68%,57%,56%,92%,*,97%,-,88%,33%,69%,70%,60%,54%,44%
,2019,68%,67%,65%,56%,56%,91%,36%,91%,*,79%,28%,63%,68%,58%,55%,48%
At Meets Grade Level or Above,2021,50%,51%,53%,34%,39%,84%,*,91%,-,71%,17%,62%,55%,47%,36%,27%
,2019,50%,50%,50%,35%,37%,86%,18%,87%,*,78%,18%,50%,53%,43%,36%,29%
At Masters Grade Level,2021,12%,14%,18%,6%,7%,37%,*,51%,-,32%,4%,14%,18%,15%,5%,3%
,2019,11%,11%,1%,0%,1%,0%,0%,0%,*,2%,0%,0%,1%,0%,1%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,71%,60%,59%,92%,60%,92%,*,85%,35%,53%,73%,63%,57%,39%
,2019,68%,69%,67%,68%,55%,90%,55%,88%,*,89%,28%,64%,68%,63%,55%,41%
At Meets Grade Level or Above,2021,57%,58%,58%,50%,43%,86%,60%,88%,*,76%,24%,37%,61%,49%,40%,23%
,2019,49%,50%,48%,44%,33%,78%,18%,80%,*,80%,19%,45%,50%,43%,32%,17%
At Masters Grade Level,2021,11%,12%,16%,10%,6%,30%,20%,49%,*,37%,6%,5%,17%,12%,5%,2%
,2019,8%,9%,9%,3%,3%,20%,0%,24%,*,21%,3%,3%,10%,7%,3%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,85%,70%,81%,94%,*,97%,-,89%,57%,86%,86%,84%,80%,80%
,2019,85%,84%,84%,69%,79%,94%,71%,97%,*,87%,49%,93%,85%,79%,78%,78%
At Meets Grade Level or Above,2021,41%,44%,55%,29%,46%,73%,*,85%,-,61%,28%,54%,56%,50%,45%,45%
,2019,61%,61%,61%,39%,51%,83%,29%,95%,*,65%,24%,72%,63%,55%,50%,49%
At Masters Grade Level,2021,23%,26%,32%,9%,21%,53%,*,68%,-,46%,7%,25%,34%,27%,20%,20%
,2019,37%,38%,18%,11%,17%,18%,0%,31%,*,15%,6%,23%,19%,13%,18%,19%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,87%,77%,82%,96%,*,97%,-,90%,57%,89%,87%,84%,80%,75%
,2019,88%,88%,88%,79%,84%,97%,100%,98%,*,94%,56%,86%,89%,87%,83%,80%
At Meets Grade Level or Above,2021,55%,57%,66%,51%,54%,88%,*,89%,-,79%,31%,74%,68%,59%,51%,42%
,2019,62%,63%,64%,46%,51%,89%,60%,90%,*,88%,25%,69%,66%,56%,50%,44%
At Masters Grade Level,2021,22%,26%,32%,6%,21%,49%,*,67%,-,50%,9%,22%,34%,25%,20%,14%
,2019,25%,28%,32%,12%,18%,57%,60%,67%,*,60%,5%,29%,34%,26%,16%,13%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,91%,83%,86%,98%,83%,98%,*,100%,59%,100%,92%,87%,86%,75%
,2019,93%,93%,94%,94%,92%,98%,*,96%,*,98%,68%,95%,95%,93%,92%,83%
At Meets Grade Level or Above,2021,69%,70%,76%,55%,66%,94%,33%,92%,*,96%,41%,82%,77%,74%,65%,45%
,2019,73%,75%,79%,78%,70%,92%,*,93%,*,98%,36%,77%,81%,74%,70%,47%
At Masters Grade Level,2021,43%,45%,53%,25%,39%,75%,33%,80%,*,76%,17%,53%,53%,52%,37%,21%
,2019,45%,49%,53%,43%,40%,74%,*,77%,*,67%,13%,45%,55%,47%,38%,18%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,97%,89%,93%,100%,-,99%,-,100%,*,*,97%,97%,93%,88%
At Meets Grade Level or Above,2021,69%,75%,73%,50%,46%,93%,-,94%,-,100%,*,*,73%,73%,47%,30%
At Masters Grade Level,2021,14%,18%,23%,0%,2%,34%,-,56%,-,45%,*,*,23%,20%,3%,5%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,71%,56%,60%,91%,40%,93%,86%,85%,36%,74%,73%,63%,57%,55%
,2019,78%,78%,76%,65%,67%,93%,66%,94%,67%,89%,43%,73%,77%,72%,66%,64%
At Meets Grade Level or Above,2021,41%,43%,48%,29%,34%,75%,19%,81%,79%,66%,21%,50%,50%,41%,30%,28%
,2019,50%,51%,51%,35%,37%,77%,37%,82%,44%,72%,25%,46%,53%,46%,35%,33%
At Masters Grade Level,2021,18%,20%,25%,10%,13%,45%,11%,56%,43%,41%,7%,24%,26%,20%,11%,11%
,2019,24%,25%,25%,13%,14%,45%,18%,53%,33%,42%,7%,20%,26%,21%,12%,12%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,70%,59%,59%,91%,45%,92%,80%,85%,34%,70%,72%,62%,56%,52%
,2019,75%,75%,72%,63%,62%,92%,53%,92%,57%,89%,38%,69%,74%,68%,61%,58%
At Meets Grade Level or Above,2021,45%,46%,48%,34%,34%,74%,31%,79%,80%,68%,20%,45%,50%,42%,30%,28%
,2019,48%,49%,49%,34%,34%,77%,26%,79%,29%,73%,23%,42%,50%,43%,32%,29%
At Masters Grade Level,2021,18%,20%,23%,12%,12%,42%,10%,50%,40%,40%,6%,20%,24%,18%,10%,10%
,2019,21%,22%,21%,11%,11%,39%,5%,44%,14%,37%,6%,17%,22%,18%,10%,10%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,73%,52%,62%,92%,36%,96%,*,84%,40%,78%,75%,64%,59%,61%
,2019,82%,82%,80%,62%,73%,94%,68%,96%,67%,88%,48%,83%,81%,76%,71%,73%
At Meets Grade Level or Above,2021,37%,39%,48%,23%,33%,75%,14%,86%,*,65%,23%,54%,51%,40%,30%,32%
,2019,52%,53%,53%,31%,40%,80%,36%,89%,50%,69%,27%,53%,55%,48%,37%,40%
At Masters Grade Level,2021,18%,19%,27%,9%,14%,48%,11%,64%,*,43%,8%,28%,28%,22%,11%,14%
,2019,26%,28%,27%,11%,16%,46%,23%,62%,50%,46%,9%,25%,28%,23%,14%,17%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,61%,45%,48%,87%,38%,89%,*,80%,25%,66%,64%,53%,45%,45%
,2019,68%,69%,67%,56%,54%,89%,*,91%,*,86%,32%,56%,69%,60%,53%,53%
At Meets Grade Level or Above,2021,30%,31%,37%,21%,21%,66%,15%,74%,*,53%,16%,37%,39%,30%,17%,18%
,2019,38%,39%,40%,25%,26%,66%,*,71%,*,66%,22%,29%,42%,34%,24%,24%
At Masters Grade Level,2021,9%,9%,14%,8%,5%,29%,15%,39%,*,16%,3%,12%,15%,11%,3%,4%
,2019,14%,15%,17%,7%,7%,34%,*,42%,*,26%,5%,9%,18%,14%,6%,6%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,74%,61%,64%,92%,20%,94%,*,86%,39%,80%,76%,67%,61%,60%
,2019,81%,82%,80%,70%,72%,95%,90%,97%,*,90%,47%,76%,81%,76%,71%,69%
At Meets Grade Level or Above,2021,44%,45%,51%,33%,36%,76%,0%,83%,*,66%,22%,56%,53%,42%,32%,31%
,2019,54%,55%,55%,38%,41%,81%,60%,84%,*,74%,27%,51%,57%,49%,39%,36%
At Masters Grade Level,2021,20%,22%,26%,9%,14%,46%,0%,60%,*,45%,8%,25%,28%,20%,12%,11%
,2019,25%,27%,28%,13%,15%,52%,50%,60%,*,46%,7%,22%,30%,24%,14%,12%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,75%,62%,65%,93%,50%,95%,*,90%,42%,82%,77%,70%,62%,53%
,2019,81%,81%,82%,79%,74%,94%,100%,94%,*,93%,52%,74%,82%,79%,72%,63%
At Meets Grade Level or Above,2021,49%,51%,54%,34%,41%,77%,17%,81%,*,77%,28%,61%,56%,50%,38%,25%
,2019,55%,57%,60%,59%,48%,79%,80%,85%,*,80%,30%,55%,61%,57%,46%,31%
At Masters Grade Level,2021,29%,31%,35%,14%,22%,56%,17%,64%,*,51%,12%,35%,35%,33%,19%,10%
,2019,33%,36%,39%,31%,25%,60%,40%,70%,*,57%,9%,33%,40%,37%,24%,12%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,33%,17%,17%,60%,0%,67%,-,51%,19%,18%,34%,28%,13%,15%
,2019,35%,36%,37%,22%,22%,63%,*,68%,*,47%,21%,18%,38%,33%,19%,22%
Reading and Mathematics Including EOC,2021,24%,25%,33%,17%,17%,60%,0%,67%,-,51%,19%,18%,34%,28%,13%,15%
,2019,35%,36%,37%,22%,22%,63%,*,68%,*,47%,21%,18%,38%,33%,19%,22%
Reading Including EOC,2021,38%,39%,43%,27%,27%,70%,17%,72%,-,62%,23%,21%,44%,38%,22%,24%
,2019,45%,45%,46%,31%,31%,71%,*,73%,*,60%,28%,25%,46%,43%,28%,29%
Math Including EOC,2021,31%,31%,43%,21%,28%,71%,0%,82%,-,61%,24%,39%,45%,39%,23%,27%
,2019,49%,48%,49%,31%,36%,72%,*,82%,*,57%,28%,28%,51%,45%,32%,37%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,34%,14%,20%,63%,22%,67%,-,56%,17%,33%,37%,28%,15%,18%
,2019,35%,36%,37%,20%,23%,63%,*,66%,-,55%,27%,20%,39%,30%,19%,21%
Reading and Mathematics Including EOC,2021,26%,27%,34%,14%,20%,63%,22%,67%,-,56%,17%,33%,37%,28%,15%,18%
,2019,35%,36%,37%,20%,23%,63%,*,66%,-,55%,27%,20%,39%,30%,19%,21%
Reading Including EOC,2021,36%,37%,41%,23%,26%,68%,44%,68%,-,69%,19%,40%,42%,37%,22%,24%
,2019,44%,45%,44%,26%,30%,72%,*,68%,-,67%,28%,24%,46%,39%,27%,28%
Math Including EOC,2021,36%,36%,48%,21%,34%,75%,22%,90%,-,62%,24%,48%,52%,36%,29%,33%
,2019,48%,49%,49%,26%,36%,74%,*,81%,-,70%,31%,45%,52%,40%,33%,36%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,43%,28%,26%,72%,*,80%,*,56%,17%,40%,45%,36%,22%,26%
,2019,44%,44%,46%,24%,28%,79%,*,79%,*,62%,21%,46%,47%,41%,26%,28%
Reading and Mathematics Including EOC,2021,34%,35%,43%,28%,26%,72%,*,80%,*,56%,17%,40%,45%,36%,22%,26%
,2019,44%,44%,46%,24%,28%,79%,*,79%,*,62%,21%,46%,47%,41%,26%,28%
Reading Including EOC,2021,46%,47%,52%,41%,36%,79%,*,83%,*,68%,21%,46%,54%,47%,34%,36%
,2019,54%,54%,54%,37%,38%,85%,*,81%,*,74%,26%,62%,55%,50%,36%,37%
Math Including EOC,2021,44%,45%,56%,32%,40%,82%,*,91%,*,68%,26%,60%,58%,47%,37%,42%
,2019,58%,59%,58%,33%,43%,86%,*,93%,*,69%,32%,60%,60%,53%,41%,45%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,31%,12%,17%,57%,14%,59%,-,61%,12%,43%,33%,26%,13%,15%
,2019,31%,32%,34%,13%,20%,60%,17%,71%,*,66%,14%,36%,36%,27%,18%,19%
Reading and Mathematics Including EOC,2021,24%,26%,32%,12%,17%,57%,14%,60%,-,63%,12%,43%,33%,27%,13%,15%
,2019,31%,32%,34%,13%,20%,60%,17%,71%,*,66%,14%,36%,36%,27%,18%,19%
Reading Including EOC,2021,32%,34%,37%,26%,23%,62%,14%,62%,-,69%,14%,48%,38%,32%,18%,20%
,2019,37%,38%,37%,17%,24%,62%,17%,74%,*,69%,15%,36%,40%,31%,22%,23%
Math Including EOC,2021,36%,38%,46%,20%,30%,76%,29%,83%,-,76%,21%,62%,48%,42%,25%,29%
,2019,48%,49%,52%,27%,36%,83%,33%,88%,*,83%,24%,62%,53%,47%,33%,36%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,34%,11%,21%,64%,*,59%,*,49%,14%,48%,37%,25%,17%,18%
,2019,36%,39%,39%,14%,24%,69%,*,76%,*,57%,16%,47%,41%,33%,22%,22%
Reading and Mathematics Including EOC,2021,27%,29%,38%,12%,21%,67%,*,69%,*,52%,14%,50%,40%,28%,17%,18%
,2019,37%,40%,42%,15%,25%,72%,*,79%,*,60%,16%,49%,44%,35%,23%,23%
Reading Including EOC,2021,45%,47%,51%,37%,36%,77%,*,76%,*,67%,20%,58%,53%,43%,32%,33%
,2019,49%,51%,51%,29%,37%,78%,*,82%,*,77%,22%,51%,53%,46%,35%,33%
Math Including EOC,2021,32%,34%,44%,14%,27%,76%,*,82%,*,56%,19%,63%,48%,32%,21%,24%
,2019,48%,50%,51%,21%,35%,82%,*,91%,*,62%,22%,62%,53%,45%,32%,33%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,20%,14%,13%,37%,0%,73%,-,39%,12%,32%,22%,15%,12%,11%
,2019,34%,35%,37%,26%,24%,63%,*,83%,-,71%,18%,10%,37%,35%,23%,20%
Reading and Mathematics Including EOC,2021,33%,34%,36%,19%,23%,58%,0%,75%,-,52%,13%,41%,38%,29%,20%,20%
,2019,47%,48%,42%,33%,31%,65%,*,82%,-,73%,19%,15%,42%,40%,31%,27%
Reading Including EOC,2021,47%,48%,48%,31%,37%,67%,17%,81%,-,61%,19%,53%,50%,39%,34%,33%
,2019,55%,56%,57%,47%,42%,80%,*,83%,-,79%,24%,37%,58%,52%,40%,37%
Math Including EOC,2021,43%,44%,47%,27%,32%,72%,0%,88%,-,66%,16%,53%,49%,38%,29%,30%
,2019,62%,64%,58%,51%,48%,78%,*,94%,-,83%,27%,44%,58%,57%,48%,47%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
