Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,19%,10%,14%,28%,0%,29%,23%,26%,5%,18%,21%,15%,9%,10%
,2018,19%,20%,22%,12%,16%,32%,8%,36%,0%,29%,5%,17%,25%,15%,14%,15%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,82%,68%,79%,92%,79%,92%,86%,85%,49%,80%,84%,77%,71%,75%
,2018,77%,78%,81%,68%,78%,90%,83%,95%,69%,91%,47%,74%,83%,76%,73%,78%
At Meets Grade Level or Above,2019,47%,48%,46%,29%,39%,62%,43%,69%,23%,66%,24%,47%,50%,38%,31%,36%
,2018,44%,46%,47%,31%,39%,62%,42%,75%,38%,62%,21%,46%,51%,39%,36%,40%
At Masters Grade Level,2019,21%,22%,19%,8%,13%,30%,7%,39%,5%,24%,8%,20%,21%,13%,9%,12%
,2018,18%,20%,18%,8%,11%,28%,17%,41%,8%,14%,5%,15%,20%,11%,11%,12%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,78%,68%,74%,87%,67%,94%,69%,73%,36%,73%,80%,73%,67%,66%
,2018,74%,76%,79%,69%,74%,88%,70%,98%,80%,84%,45%,81%,82%,73%,69%,68%
At Meets Grade Level or Above,2019,49%,51%,51%,38%,43%,64%,50%,74%,44%,58%,23%,43%,54%,42%,36%,32%
,2018,48%,50%,53%,37%,46%,65%,40%,77%,40%,60%,25%,48%,55%,47%,39%,36%
At Masters Grade Level,2019,29%,31%,31%,19%,24%,44%,17%,55%,19%,34%,6%,22%,34%,23%,18%,15%
