Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
LA PORTE ISD (101916) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,89%,91%,89%,89%,*,100%,-,86%,62%,93%,89%,89%,87%,91%
,2018,77%,78%,87%,73%,85%,93%,100%,100%,*,*,76%,92%,91%,75%,82%,83%
At Meets Grade Level or Above,2019,47%,48%,57%,50%,56%,61%,*,60%,-,29%,23%,67%,59%,51%,52%,50%
,2018,44%,46%,53%,32%,49%,61%,60%,100%,*,*,35%,33%,56%,42%,44%,40%
At Masters Grade Level,2019,21%,22%,29%,24%,27%,32%,*,20%,-,0%,15%,40%,30%,24%,24%,26%
,2018,18%,20%,22%,9%,19%,27%,20%,100%,*,*,18%,8%,24%,18%,14%,16%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,74%,60%,72%,80%,100%,100%,*,*,46%,89%,76%,69%,69%,58%
,2018,74%,76%,69%,70%,69%,70%,*,100%,*,40%,39%,43%,72%,62%,69%,71%
At Meets Grade Level or Above,2019,49%,51%,48%,27%,46%,52%,80%,100%,*,*,27%,56%,48%,46%,42%,31%
,2018,48%,50%,42%,40%,39%,47%,*,50%,*,40%,20%,14%,44%,38%,39%,37%
At Masters Grade Level,2019,29%,31%,28%,18%,27%,29%,40%,88%,*,*,13%,0%,28%,29%,26%,21%
,2018,29%,30%,23%,25%,20%,26%,*,17%,*,20%,9%,14%,24%,20%,21%,16%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,67%,49%,70%,69%,*,*,*,*,49%,83%,69%,64%,67%,62%
,2018,72%,75%,58%,49%,56%,64%,*,*,*,60%,44%,50%,60%,53%,56%,54%
At Meets Grade Level or Above,2019,43%,46%,20%,10%,17%,28%,*,*,*,*,23%,50%,20%,21%,18%,11%
,2018,40%,43%,12%,12%,7%,17%,*,*,*,0%,14%,17%,12%,10%,11%,7%
At Masters Grade Level,2019,17%,18%,3%,5%,2%,3%,*,*,*,*,10%,0%,2%,4%,2%,2%
,2018,18%,20%,2%,2%,2%,2%,*,*,*,0%,5%,0%,1%,3%,1%,0%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,72%,51%,71%,78%,100%,100%,*,*,35%,100%,73%,69%,68%,53%
,2018,69%,69%,69%,67%,66%,72%,*,83%,*,60%,31%,43%,71%,62%,67%,60%
At Meets Grade Level or Above,2019,42%,43%,42%,22%,39%,47%,80%,100%,*,*,22%,33%,43%,39%,34%,23%
,2018,43%,44%,37%,32%,35%,41%,*,50%,*,20%,17%,29%,40%,27%,33%,37%
