Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,17%,18%,6%,5%,6%,4%,-,*,-,0%,7%,0%,6%,6%,6%,5%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,40%,33%,43%,42%,-,*,-,33%,15%,0%,41%,39%,39%,36%
,2019,70%,72%,57%,58%,57%,46%,-,*,-,60%,18%,20%,58%,54%,57%,55%
At Meets Grade Level or Above,2021,33%,34%,11%,9%,12%,15%,-,*,-,11%,9%,0%,13%,8%,10%,7%
,2019,42%,43%,24%,22%,24%,13%,-,*,-,40%,16%,0%,24%,22%,23%,20%
At Masters Grade Level,2021,10%,10%,1%,1%,1%,3%,-,*,-,0%,0%,0%,2%,0%,1%,1%
,2019,18%,19%,7%,6%,7%,0%,-,*,-,0%,8%,0%,8%,4%,7%,5%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,57%,42%,61%,73%,*,-,-,69%,21%,63%,60%,50%,54%,47%
,2019,86%,86%,79%,72%,80%,93%,-,*,-,*,37%,71%,81%,75%,78%,77%
At Meets Grade Level or Above,2021,46%,48%,29%,18%,32%,50%,*,-,-,31%,11%,38%,32%,22%,27%,22%
,2019,55%,56%,40%,33%,41%,67%,-,*,-,*,5%,14%,44%,33%,38%,36%
At Masters Grade Level,2021,21%,22%,9%,5%,11%,19%,*,-,-,15%,0%,0%,11%,7%,8%,7%
,2019,28%,30%,17%,13%,17%,26%,-,*,-,*,0%,0%,19%,14%,16%,12%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,24%,18%,26%,25%,*,-,-,63%,13%,43%,24%,24%,23%,19%
,2019,88%,88%,75%,63%,79%,88%,-,*,-,*,37%,*,75%,76%,75%,78%
At Meets Grade Level or Above,2021,36%,37%,6%,2%,8%,5%,*,-,-,13%,10%,0%,7%,5%,6%,5%
,2019,57%,58%,31%,20%,33%,53%,-,*,-,*,12%,*,30%,33%,30%,32%
At Masters Grade Level,2021,11%,11%,1%,0%,1%,0%,*,-,-,0%,4%,0%,1%,0%,0%,1%
,2019,17%,18%,3%,2%,3%,18%,-,*,-,*,2%,*,2%,5%,3%,3%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,42%,31%,44%,62%,*,-,-,75%,15%,13%,46%,33%,40%,31%
,2019,81%,81%,71%,63%,72%,96%,-,*,-,*,26%,71%,74%,64%,69%,68%
At Meets Grade Level or Above,2021,43%,45%,17%,7%,19%,35%,*,-,-,50%,10%,13%,20%,11%,17%,12%
,2019,51%,52%,28%,23%,28%,46%,-,*,-,*,10%,29%,31%,20%,27%,22%
At Masters Grade Level,2021,24%,25%,5%,2%,6%,8%,*,-,-,8%,6%,0%,6%,3%,5%,5%
,2019,25%,27%,8%,4%,8%,15%,-,*,-,*,5%,0%,9%,6%,7%,5%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,34%,24%,36%,50%,*,-,-,62%,12%,14%,38%,27%,32%,25%
,2019,69%,70%,60%,53%,61%,89%,-,*,-,*,22%,71%,63%,54%,60%,55%
At Meets Grade Level or Above,2021,28%,29%,10%,4%,13%,4%,*,-,-,31%,9%,14%,12%,8%,10%,9%
,2019,37%,38%,23%,16%,24%,30%,-,*,-,*,7%,0%,24%,20%,22%,19%
At Masters Grade Level,2021,14%,15%,3%,1%,5%,0%,*,-,-,0%,2%,14%,4%,1%,3%,3%
,2019,21%,23%,10%,7%,10%,22%,-,*,-,*,2%,0%,11%,8%,9%,8%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,51%,48%,53%,60%,-,*,-,45%,22%,0%,50%,54%,50%,35%
,2019,68%,67%,58%,56%,58%,58%,*,*,*,58%,14%,25%,61%,51%,57%,48%
At Meets Grade Level or Above,2021,50%,51%,30%,25%,32%,40%,-,*,-,27%,8%,0%,29%,32%,29%,12%
,2019,50%,50%,38%,35%,38%,45%,*,*,*,58%,10%,25%,40%,33%,37%,28%
At Masters Grade Level,2021,12%,14%,3%,2%,3%,0%,-,*,-,9%,2%,0%,3%,2%,2%,0%
,2019,11%,11%,1%,1%,1%,0%,*,*,*,17%,4%,0%,1%,0%,1%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,53%,45%,56%,52%,-,*,-,67%,11%,*,56%,45%,52%,34%
,2019,68%,69%,57%,54%,58%,70%,*,100%,-,38%,17%,29%,59%,53%,56%,42%
At Meets Grade Level or Above,2021,57%,58%,36%,27%,39%,44%,-,*,-,56%,5%,*,38%,32%,35%,18%
,2019,49%,50%,35%,34%,33%,48%,*,80%,-,38%,11%,0%,36%,31%,34%,17%
At Masters Grade Level,2021,11%,12%,3%,1%,3%,4%,-,*,-,11%,2%,*,3%,3%,2%,1%
,2019,8%,9%,2%,2%,2%,2%,*,40%,-,0%,6%,0%,2%,2%,2%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,61%,59%,61%,74%,-,*,-,64%,35%,40%,63%,57%,60%,57%
,2019,85%,84%,87%,83%,88%,81%,*,*,-,88%,53%,89%,88%,82%,86%,88%
At Meets Grade Level or Above,2021,41%,44%,24%,17%,27%,17%,-,*,-,45%,16%,10%,25%,24%,24%,23%
,2019,61%,61%,56%,49%,59%,47%,*,*,-,63%,22%,44%,57%,51%,55%,53%
At Masters Grade Level,2021,23%,26%,11%,7%,12%,4%,-,*,-,18%,6%,0%,11%,10%,10%,9%
,2019,37%,38%,19%,17%,20%,8%,*,*,-,25%,6%,22%,19%,18%,19%,19%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,69%,68%,69%,87%,*,*,-,75%,35%,33%,69%,70%,68%,59%
,2019,88%,88%,82%,77%,84%,85%,*,*,*,73%,52%,83%,86%,75%,81%,81%
At Meets Grade Level or Above,2021,55%,57%,33%,27%,34%,53%,*,*,-,38%,14%,11%,30%,39%,32%,18%
,2019,62%,63%,45%,36%,47%,65%,*,*,*,55%,12%,17%,48%,38%,44%,38%
At Masters Grade Level,2021,22%,26%,7%,6%,8%,7%,*,*,-,13%,0%,0%,9%,4%,6%,3%
,2019,25%,28%,11%,4%,13%,15%,*,*,*,18%,6%,17%,14%,5%,11%,7%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,81%,79%,81%,82%,*,*,-,100%,63%,*,82%,78%,79%,56%
,2019,93%,93%,78%,77%,77%,87%,*,*,*,*,33%,60%,82%,70%,77%,68%
At Meets Grade Level or Above,2021,69%,70%,52%,42%,55%,64%,*,*,-,82%,34%,*,53%,50%,50%,30%
,2019,73%,75%,40%,36%,38%,80%,*,*,*,*,6%,20%,43%,34%,38%,21%
At Masters Grade Level,2021,43%,45%,21%,14%,22%,32%,*,*,-,73%,13%,*,24%,15%,21%,10%
,2019,45%,49%,18%,13%,17%,53%,*,*,*,*,3%,0%,21%,14%,18%,4%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,83%,73%,85%,*,-,*,-,*,*,-,84%,73%,83%,*
At Meets Grade Level or Above,2021,69%,75%,30%,23%,30%,*,-,*,-,*,*,-,32%,13%,28%,*
At Masters Grade Level,2021,14%,18%,0%,0%,0%,*,-,*,-,*,*,-,0%,0%,0%,*
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,50%,43%,52%,55%,34%,75%,-,61%,23%,39%,52%,45%,48%,45%
,2019,78%,78%,69%,62%,70%,71%,47%,94%,*,72%,31%,64%,71%,64%,68%,67%
At Meets Grade Level or Above,2021,41%,43%,23%,16%,25%,26%,13%,55%,-,29%,12%,13%,25%,19%,21%,18%
,2019,50%,51%,35%,27%,36%,39%,22%,72%,*,44%,15%,23%,37%,30%,34%,32%
At Masters Grade Level,2021,18%,20%,7%,4%,8%,9%,0%,23%,-,10%,3%,4%,8%,5%,6%,6%
,2019,24%,25%,12%,7%,13%,14%,6%,44%,*,16%,5%,5%,13%,10%,12%,12%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,52%,44%,54%,57%,30%,71%,-,59%,23%,43%,53%,48%,50%,46%
,2019,75%,75%,65%,60%,67%,69%,43%,96%,*,66%,26%,56%,68%,60%,65%,62%
At Meets Grade Level or Above,2021,45%,46%,27%,20%,29%,31%,10%,52%,-,28%,11%,16%,29%,23%,25%,20%
,2019,48%,49%,35%,29%,36%,40%,21%,73%,*,43%,13%,15%,37%,31%,34%,30%
At Masters Grade Level,2021,18%,20%,8%,4%,9%,11%,0%,24%,-,8%,3%,2%,8%,6%,7%,7%
,2019,21%,22%,11%,7%,12%,14%,0%,42%,*,11%,4%,0%,12%,9%,11%,11%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,48%,39%,50%,52%,20%,78%,-,62%,24%,49%,50%,43%,47%,47%
,2019,82%,82%,75%,66%,78%,74%,40%,100%,-,77%,40%,77%,77%,71%,74%,77%
At Meets Grade Level or Above,2021,37%,39%,19%,12%,22%,19%,10%,61%,-,23%,13%,13%,21%,15%,18%,19%
,2019,52%,53%,38%,28%,41%,40%,20%,72%,-,44%,19%,38%,40%,33%,37%,39%
At Masters Grade Level,2021,18%,19%,7%,4%,8%,7%,0%,22%,-,8%,4%,5%,8%,6%,7%,8%
,2019,26%,28%,15%,9%,17%,16%,0%,44%,-,21%,6%,13%,16%,13%,15%,17%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,38%,30%,40%,35%,*,57%,-,41%,13%,18%,39%,35%,36%,36%
,2019,68%,69%,55%,50%,56%,51%,*,100%,-,54%,17%,38%,57%,49%,54%,54%
At Meets Grade Level or Above,2021,30%,31%,12%,9%,13%,17%,*,0%,-,18%,8%,0%,14%,9%,11%,10%
,2019,38%,39%,22%,17%,23%,14%,*,71%,-,23%,13%,6%,23%,19%,21%,19%
At Masters Grade Level,2021,9%,9%,2%,1%,2%,4%,*,0%,-,0%,1%,0%,2%,1%,2%,2%
,2019,14%,15%,5%,5%,6%,1%,*,29%,-,0%,5%,0%,6%,4%,5%,5%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,54%,49%,56%,71%,33%,*,-,67%,25%,24%,57%,49%,53%,46%
,2019,81%,82%,74%,66%,76%,85%,*,83%,*,80%,40%,75%,77%,67%,72%,72%
At Meets Grade Level or Above,2021,44%,45%,23%,17%,24%,31%,17%,*,-,33%,12%,10%,23%,22%,22%,16%
,2019,54%,55%,37%,28%,38%,50%,*,67%,*,56%,13%,29%,40%,30%,36%,33%
At Masters Grade Level,2021,20%,22%,6%,4%,6%,5%,0%,*,-,7%,3%,0%,7%,4%,5%,4%
,2019,25%,27%,11%,5%,13%,17%,*,42%,*,24%,5%,4%,13%,8%,11%,10%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,56%,49%,57%,64%,80%,*,-,79%,31%,36%,60%,47%,52%,35%
,2019,81%,81%,66%,61%,66%,88%,*,80%,*,100%,27%,67%,69%,60%,65%,58%
At Meets Grade Level or Above,2021,49%,51%,30%,22%,32%,30%,20%,*,-,54%,18%,27%,32%,25%,28%,16%
,2019,55%,57%,28%,23%,28%,48%,*,80%,*,43%,7%,8%,30%,25%,27%,20%
At Masters Grade Level,2021,29%,31%,12%,7%,13%,14%,0%,*,-,33%,6%,18%,14%,7%,11%,5%
,2019,33%,36%,13%,9%,12%,33%,*,80%,*,29%,3%,0%,14%,10%,12%,7%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,13%,7%,13%,23%,*,*,-,8%,13%,0%,14%,9%,12%,9%
,2019,35%,36%,26%,17%,28%,42%,*,*,-,8%,15%,29%,27%,24%,24%,28%
Reading and Mathematics Including EOC,2021,24%,25%,13%,7%,13%,23%,*,*,-,8%,13%,0%,14%,9%,12%,9%
,2019,35%,36%,26%,17%,28%,42%,*,*,-,8%,15%,29%,27%,24%,24%,28%
Reading Including EOC,2021,38%,39%,22%,17%,22%,46%,*,*,-,23%,15%,20%,23%,18%,21%,17%
,2019,45%,45%,33%,24%,35%,42%,*,*,-,15%,16%,29%,33%,33%,30%,34%
Math Including EOC,2021,31%,31%,20%,11%,21%,27%,*,*,-,31%,19%,20%,21%,17%,19%,19%
,2019,49%,48%,38%,24%,41%,58%,*,*,-,15%,18%,29%,40%,34%,36%,42%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,15%,8%,17%,16%,*,*,-,21%,9%,7%,17%,11%,13%,15%
,2019,35%,36%,24%,9%,28%,14%,*,80%,-,13%,14%,18%,28%,16%,23%,24%
Reading and Mathematics Including EOC,2021,26%,27%,15%,8%,17%,16%,*,*,-,21%,9%,7%,17%,11%,13%,15%
,2019,35%,36%,24%,9%,28%,14%,*,80%,-,13%,14%,18%,28%,16%,23%,24%
Reading Including EOC,2021,36%,37%,22%,14%,24%,21%,*,*,-,36%,10%,7%,25%,17%,20%,21%
,2019,44%,45%,32%,21%,36%,19%,*,80%,-,25%,15%,18%,36%,25%,31%,30%
Math Including EOC,2021,36%,36%,24%,12%,27%,21%,*,*,-,29%,13%,14%,27%,18%,22%,25%
,2019,48%,49%,40%,21%,44%,37%,*,80%,-,50%,21%,64%,46%,29%,39%,42%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,18%,12%,21%,21%,*,-,-,10%,10%,*,21%,13%,17%,20%
,2019,44%,44%,30%,16%,34%,28%,*,40%,-,60%,14%,9%,31%,28%,30%,33%
Reading and Mathematics Including EOC,2021,34%,35%,18%,12%,21%,21%,*,-,-,10%,10%,*,21%,13%,17%,20%
,2019,44%,44%,30%,16%,34%,28%,*,40%,-,60%,14%,9%,31%,28%,30%,33%
Reading Including EOC,2021,46%,47%,30%,23%,32%,29%,*,-,-,20%,12%,*,33%,25%,28%,30%
,2019,54%,54%,44%,35%,45%,52%,*,60%,-,70%,17%,9%,44%,43%,42%,42%
Math Including EOC,2021,44%,45%,31%,19%,34%,42%,*,-,-,20%,13%,*,35%,24%,29%,34%
,2019,58%,59%,45%,23%,51%,39%,*,60%,-,70%,19%,45%,47%,41%,45%,52%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,10%,6%,11%,0%,*,60%,-,0%,7%,0%,11%,8%,8%,10%
,2019,31%,32%,17%,11%,17%,28%,*,-,-,40%,14%,0%,18%,15%,17%,16%
Reading and Mathematics Including EOC,2021,24%,26%,10%,6%,11%,0%,*,60%,-,0%,7%,0%,11%,8%,8%,10%
,2019,31%,32%,17%,11%,17%,28%,*,-,-,40%,14%,0%,18%,15%,17%,16%
Reading Including EOC,2021,32%,34%,17%,12%,20%,0%,*,43%,-,11%,12%,14%,18%,14%,15%,17%
,2019,37%,38%,27%,18%,29%,39%,*,-,-,60%,14%,20%,29%,23%,27%,24%
Math Including EOC,2021,36%,38%,15%,11%,16%,9%,*,80%,-,11%,10%,29%,17%,11%,14%,15%
,2019,48%,49%,25%,17%,27%,31%,*,-,-,40%,16%,20%,27%,21%,25%,25%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,8%,5%,9%,16%,-,*,-,0%,11%,0%,10%,6%,8%,8%
,2019,36%,39%,18%,16%,18%,13%,-,*,-,20%,18%,0%,20%,13%,17%,16%
Reading and Mathematics Including EOC,2021,27%,29%,8%,5%,9%,16%,-,*,-,0%,11%,0%,10%,6%,8%,8%
,2019,37%,40%,18%,16%,18%,13%,-,*,-,20%,18%,0%,20%,13%,17%,16%
Reading Including EOC,2021,45%,47%,25%,18%,28%,27%,-,*,-,22%,17%,0%,28%,20%,24%,22%
,2019,49%,51%,31%,27%,33%,21%,-,*,-,40%,18%,0%,34%,26%,31%,30%
Math Including EOC,2021,32%,34%,10%,6%,11%,16%,-,*,-,11%,12%,0%,11%,7%,9%,9%
,2019,48%,50%,25%,22%,27%,17%,-,*,-,20%,23%,0%,27%,21%,25%,23%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,4%,1%,5%,7%,*,-,-,0%,10%,0%,5%,3%,4%,4%
,2019,34%,35%,16%,11%,16%,41%,-,*,-,*,5%,*,14%,19%,15%,15%
Reading and Mathematics Including EOC,2021,33%,34%,15%,8%,18%,16%,*,-,-,31%,10%,13%,18%,11%,15%,13%
,2019,47%,48%,19%,14%,19%,38%,-,*,-,*,5%,17%,18%,20%,18%,17%
Reading Including EOC,2021,47%,48%,29%,18%,32%,50%,*,-,-,31%,11%,38%,32%,22%,27%,22%
,2019,55%,56%,40%,33%,41%,67%,-,*,-,*,5%,14%,44%,33%,38%,36%
Math Including EOC,2021,43%,44%,18%,10%,21%,13%,*,-,-,38%,10%,13%,21%,13%,18%,15%
,2019,62%,64%,33%,24%,35%,48%,-,*,-,*,12%,33%,33%,34%,32%,33%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,12%,7%,13%,13%,10%,31%,-,8%,10%,4%,13%,9%,11%,11%
,2019,36%,37%,22%,13%,24%,26%,11%,56%,-,27%,14%,12%,23%,19%,21%,22%
Reading and Mathematics Including EOC,2021,28%,29%,13%,8%,15%,14%,10%,31%,-,13%,10%,7%,15%,10%,12%,12%
,2019,38%,39%,22%,14%,24%,26%,11%,56%,-,27%,14%,13%,24%,19%,21%,22%
Reading Including EOC,2021,41%,42%,24%,17%,26%,27%,10%,40%,-,25%,13%,15%,27%,20%,23%,22%
