Primary_Key_2018_2019,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2019,YOY_Region_2019,YOY_District_2019,YOY_African_American_2019,YoY_Hispanic_2019,YoY_White_2019,YoY_Econ_Disadv_2019,YoY_ELL_2019
Aldine_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.07,-0.11,-0.07,-0.05,-0.08,-0.07
Aldine_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.05,-0.1,-0.04,-0.09,-0.06,-0.05
Aldine_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Aldine_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,-0.01,-0.07,0.001,-0.02,-0.02,-0.01
Aldine_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.04,0.001,0.04,-0.03,0.04,0.03
Aldine_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.01,-0.07,0.001,-0.08,-0.01,-0.02
Aldine_ISD_Grade 4 Reading_At Masters Grade Level_2019,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.01,-0.03,0.001,-0.06,-0.01,-0.02
Aldine_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.02,0.001,0.03,0.02,0.03,0.04
Aldine_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,0.04,0.04,0.04,-0.06,0.04,0.01
Aldine_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Aldine_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.08,0.06,0.08,0.1,0.07,0.04
Aldine_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.06,0.07,0.06,-0.03,0.06,0.05
Aldine_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0,0.02,0.03,0.02,-0.01,0.02,-0.03
Aldine_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Aldine_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.04,0.04,0.03,0.1,0.04,-0.01
Aldine_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.04,-0.03,-0.04,0.001,-0.04,-0.07
Aldine_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.06,0.06,0.05,0.12,0.06,0.02
Aldine_ISD_Grade 5 Science_At Masters Grade Level_2019,Aldine_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.03,0.01,0.04,0.07,0.03,0.01
Aldine_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,-0.04,-0.05,-0.04,-0.01,-0.04,-0.12
Aldine_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,-0.07,-0.05,-0.08,-0.14,-0.09,-0.17
Aldine_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Aldine_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,-0.03,-0.01,-0.03,-0.04,-0.03,-0.08
Aldine_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,-0.07,-0.06,-0.08,0.04,-0.07,-0.2
Aldine_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,-0.07,-0.04,-0.08,-0.12,-0.07,-0.15
Aldine_ISD_Grade 6 Reading_At Masters Grade Level_2019,Aldine_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.04,-0.02,-0.04,-0.04,-0.04,-0.06
