Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Promise_Community_School_Grade 3 Reading,Promise_Community_School,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.58,0.86,0.54,*,*,0.70,-,-,0.38,0.55,0.64,0.57,0.57
Promise_Community_School_Grade 3 Reading,Promise_Community_School,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.44,0.29,0.40,*,-,0.60,-,-,*,0.45,0.41,0.44,0.47
Promise_Community_School_Grade 3 Reading,Promise_Community_School,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.29,0.43,0.28,*,*,0.40,-,-,0.13,0.31,0.24,0.29,0.32
Promise_Community_School_Grade 3 Reading,Promise_Community_School,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.15,0.14,0.16,*,-,0.07,-,-,*,0.10,0.27,0.14,0.13
Promise_Community_School_Grade 3 Reading,Promise_Community_School,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.15,0.29,0.14,*,*,0.20,-,-,0.00,0.18,0.08,0.14,0.16
Promise_Community_School_Grade 3 Reading,Promise_Community_School,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.02,0.14,0.02,*,-,0.00,-,-,*,0.01,0.05,0.02,0.02
Promise_Community_School_Grade 3 Mathematics,Promise_Community_School,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.57,0.71,0.54,*,*,0.70,-,-,0.38,0.54,0.64,0.56,0.57
Promise_Community_School_Grade 3 Mathematics,Promise_Community_School,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.37,0.43,0.32,*,-,0.53,-,-,*,0.30,0.59,0.37,0.34
Promise_Community_School_Grade 3 Mathematics,Promise_Community_School,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.32,0.43,0.28,*,*,0.40,-,-,0.13,0.34,0.24,0.31,0.37
Promise_Community_School_Grade 3 Mathematics,Promise_Community_School,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.11,0.00,0.13,*,-,0.00,-,-,*,0.07,0.23,0.11,0.11
Promise_Community_School_Grade 3 Mathematics,Promise_Community_School,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.09,0.43,0.07,*,*,0.00,-,-,0.00,0.12,0.00,0.08,0.08
Promise_Community_School_Grade 3 Mathematics,Promise_Community_School,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.00,0.00,0.00,*,-,0.00,-,-,*,0.00,0.00,0.00,0.00
Promise_Community_School_Grade 4 Reading,Promise_Community_School,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.51,0.33,0.52,*,-,0.50,-,-,*,0.58,0.40,0.50,0.54
Promise_Community_School_Grade 4 Reading,Promise_Community_School,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.30,0.00,0.32,*,*,0.38,-,-,0.00,0.36,0.22,0.28,0.31
Promise_Community_School_Grade 4 Reading,Promise_Community_School,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.34,0.17,0.38,*,-,0.28,-,-,*,0.38,0.29,0.33,0.36
Promise_Community_School_Grade 4 Reading,Promise_Community_School,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.11,0.00,0.14,*,*,0.06,-,-,0.00,0.11,0.11,0.11,0.11
