Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Accelerated_Intermediate_Academy_Grade 3 Reading,Accelerated_Intermediate_Academy,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.89,-,0.88,-,-,-,-,-,-,0.92,0.80,0.80,0.90
Accelerated_Intermediate_Academy_Grade 3 Reading,Accelerated_Intermediate_Academy,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.39,0.38,0.40,-,-,-,-,-,-,0.41,0.33,0.37,0.45
Accelerated_Intermediate_Academy_Grade 3 Reading,Accelerated_Intermediate_Academy,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.50,-,0.50,-,-,-,-,-,-,0.46,0.60,0.40,0.60
Accelerated_Intermediate_Academy_Grade 3 Reading,Accelerated_Intermediate_Academy,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.32,0.38,0.27,-,-,-,-,-,-,0.32,0.33,0.30,0.27
Accelerated_Intermediate_Academy_Grade 3 Reading,Accelerated_Intermediate_Academy,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.17,-,0.13,-,-,-,-,-,-,0.15,0.20,0.00,0.20
Accelerated_Intermediate_Academy_Grade 3 Reading,Accelerated_Intermediate_Academy,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.11,0.23,0.00,-,-,-,-,-,-,0.09,0.17,0.07,0.00
Accelerated_Intermediate_Academy_Grade 3 Mathematics,Accelerated_Intermediate_Academy,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.67,-,0.63,-,-,-,-,-,-,0.62,0.80,0.60,0.70
Accelerated_Intermediate_Academy_Grade 3 Mathematics,Accelerated_Intermediate_Academy,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.43,0.38,0.47,-,-,-,-,-,-,0.45,0.33,0.41,0.55
Accelerated_Intermediate_Academy_Grade 3 Mathematics,Accelerated_Intermediate_Academy,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.28,-,0.25,-,-,-,-,-,-,0.23,0.40,0.40,0.30
Accelerated_Intermediate_Academy_Grade 3 Mathematics,Accelerated_Intermediate_Academy,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.04,0.08,0.00,-,-,-,-,-,-,0.05,0.00,0.00,0.00
