Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.82,0.87,0.77,0.89,-,0.90,-,0.76,0.56,0.84,0.73,0.74,0.70
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.72,0.44,0.66,0.83,*,1.00,-,0.67,0.40,0.73,0.66,0.64,0.64
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.56,0.60,0.49,0.67,-,0.60,-,0.52,0.31,0.59,0.42,0.44,0.37
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.42,0.00,0.35,0.52,*,0.67,-,0.52,0.19,0.43,0.34,0.31,0.30
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.34,0.27,0.28,0.45,-,0.30,-,0.24,0.08,0.37,0.21,0.23,0.18
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.23,0.00,0.19,0.31,*,0.44,-,0.33,0.09,0.25,0.16,0.15,0.15
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.72,0.53,0.66,0.81,-,0.90,-,0.71,0.43,0.74,0.64,0.62,0.65
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.70,0.33,0.68,0.75,*,0.89,-,0.52,0.41,0.72,0.62,0.62,0.72
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.48,0.47,0.41,0.60,-,0.60,-,0.33,0.30,0.51,0.36,0.37,0.40
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.35,0.00,0.32,0.39,*,0.67,-,0.38,0.19,0.37,0.25,0.26,0.32
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.23,0.27,0.19,0.32,-,0.20,-,0.05,0.10,0.26,0.14,0.15,0.19
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.15,0.00,0.12,0.20,*,0.44,-,0.10,0.05,0.17,0.09,0.09,0.12
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.78,0.36,0.75,0.86,*,1.00,*,0.87,0.44,0.79,0.77,0.71,0.67
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.65,0.43,0.60,0.74,-,-,-,0.69,0.34,0.68,0.57,0.56,0.43
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.52,0.14,0.46,0.65,*,0.90,*,0.67,0.20,0.56,0.45,0.43,0.38
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.37,0.17,0.30,0.48,-,-,-,0.62,0.18,0.39,0.30,0.28,0.13
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.26,0.00,0.21,0.37,*,0.60,*,0.20,0.10,0.28,0.22,0.17,0.19
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.17,0.09,0.12,0.26,-,-,-,0.38,0.05,0.19,0.11,0.11,0.04
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.70,0.70,0.76,0.50,0.72,0.84,*,1.00,*,0.87,0.42,0.79,0.69,0.70,0.71
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.60,0.67,0.43,0.62,0.77,-,-,-,0.75,0.32,0.69,0.60,0.56,0.49
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.49,0.14,0.43,0.60,*,0.90,*,0.60,0.23,0.53,0.39,0.37,0.41
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.42,0.17,0.34,0.57,-,-,-,0.67,0.18,0.44,0.37,0.31,0.23
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.24,0.07,0.17,0.36,*,0.60,*,0.27,0.08,0.27,0.15,0.13,0.09
Deer_Park_ISD_Grade 4 Mathematics,Deer_Park_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.26,0.09,0.21,0.37,-,-,-,0.42,0.08,0.28,0.21,0.17,0.12
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.84,0.63,0.80,0.92,-,*,*,0.94,0.51,0.84,0.84,0.76,0.73
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.77,0.57,0.74,0.83,-,1.00,-,0.74,0.50,0.79,0.73,0.69,0.66
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.63,0.29,0.60,0.71,-,*,*,0.69,0.24,0.63,0.62,0.52,0.46
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.48,0.26,0.42,0.58,-,0.86,-,0.57,0.26,0.49,0.44,0.36,0.39
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.39,0.13,0.34,0.49,-,*,*,0.56,0.08,0.41,0.35,0.28,0.20
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.29,0.09,0.24,0.38,-,0.57,-,0.35,0.08,0.30,0.25,0.19,0.17
Deer_Park_ISD_Grade 5 Mathematics,Deer_Park_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.78,0.74,0.78,0.79,-,*,*,0.85,0.50,0.76,0.82,0.74,0.72
Deer_Park_ISD_Grade 5 Mathematics,Deer_Park_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.74,0.50,0.75,0.75,-,*,-,0.63,0.50,0.76,0.68,0.68,0.77
Deer_Park_ISD_Grade 5 Mathematics,Deer_Park_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.42,0.48,0.41,0.41,-,*,*,0.62,0.20,0.40,0.47,0.38,0.36
Deer_Park_ISD_Grade 5 Mathematics,Deer_Park_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.39,0.05,0.35,0.47,-,*,-,0.42,0.25,0.40,0.35,0.31,0.31
