Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ALDINE ISD (101902) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,27%,29%,8%,6%,8%,9%,*,42%,*,8%,11%,8%,8%,7%,8%,7%
,2019,43%,46%,33%,25%,34%,45%,60%,81%,33%,13%,18%,20%,34%,28%,31%,23%
At Masters Grade Level,2021,12%,13%,2%,1%,2%,4%,*,31%,*,0%,5%,3%,2%,2%,2%,2%
,2019,17%,18%,8%,4%,9%,12%,0%,30%,17%,4%,5%,3%,8%,6%,7%,4%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,38%,38%,38%,38%,*,75%,*,35%,17%,20%,41%,29%,37%,31%
,2019,70%,72%,58%,51%,60%,68%,50%,89%,67%,37%,20%,27%,61%,50%,57%,38%
At Meets Grade Level or Above,2021,33%,34%,11%,11%,11%,15%,*,38%,*,10%,10%,8%,12%,8%,11%,7%
,2019,42%,43%,26%,22%,26%,40%,17%,70%,33%,22%,15%,7%,27%,21%,24%,10%
At Masters Grade Level,2021,10%,10%,2%,2%,2%,3%,*,23%,*,0%,4%,3%,2%,1%,2%,1%
,2019,18%,19%,7%,5%,7%,19%,17%,34%,0%,11%,3%,3%,8%,6%,6%,1%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,58%,53%,59%,56%,*,90%,83%,52%,24%,47%,62%,45%,57%,48%
,2019,86%,86%,80%,74%,82%,87%,*,96%,50%,95%,36%,61%,84%,71%,80%,63%
At Meets Grade Level or Above,2021,46%,48%,28%,22%,29%,26%,*,64%,67%,22%,16%,29%,30%,22%,27%,19%
,2019,55%,56%,42%,35%,44%,58%,*,72%,25%,73%,20%,12%,45%,34%,41%,16%
At Masters Grade Level,2021,21%,22%,9%,7%,10%,6%,*,33%,17%,4%,5%,7%,10%,7%,9%,5%
,2019,28%,30%,16%,13%,17%,32%,*,47%,0%,32%,8%,3%,18%,12%,16%,3%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,42%,35%,44%,53%,*,70%,60%,38%,21%,39%,44%,35%,41%,37%
,2019,88%,88%,85%,76%,87%,85%,*,96%,71%,96%,46%,70%,88%,76%,84%,77%
At Meets Grade Level or Above,2021,36%,37%,18%,12%,19%,24%,*,61%,40%,14%,16%,16%,19%,13%,17%,14%
,2019,57%,58%,49%,37%,52%,58%,*,83%,57%,61%,22%,24%,53%,39%,48%,34%
At Masters Grade Level,2021,11%,11%,3%,2%,4%,2%,*,21%,0%,0%,7%,4%,4%,3%,3%,2%
,2019,17%,18%,11%,5%,13%,12%,*,46%,0%,13%,7%,3%,12%,8%,11%,4%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,45%,39%,45%,55%,*,81%,83%,43%,21%,42%,47%,36%,43%,34%
,2019,81%,81%,69%,59%,71%,79%,*,91%,50%,90%,36%,45%,72%,59%,68%,48%
At Meets Grade Level or Above,2021,43%,45%,18%,12%,19%,25%,*,58%,67%,7%,16%,24%,20%,12%,18%,11%
,2019,51%,52%,32%,22%,34%,50%,*,65%,13%,57%,19%,16%,35%,24%,31%,14%
At Masters Grade Level,2021,24%,25%,6%,4%,6%,10%,*,33%,17%,4%,7%,11%,7%,4%,6%,3%
,2019,25%,27%,9%,6%,9%,21%,*,35%,0%,19%,6%,3%,10%,6%,9%,2%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,34%,30%,34%,43%,*,81%,83%,33%,20%,33%,36%,27%,33%,25%
,2019,69%,70%,55%,48%,56%,73%,*,91%,50%,86%,27%,40%,58%,45%,53%,31%
At Meets Grade Level or Above,2021,28%,29%,10%,6%,10%,18%,*,33%,33%,17%,15%,11%,10%,7%,9%,5%
,2019,37%,38%,21%,18%,21%,43%,*,50%,13%,45%,19%,6%,22%,16%,20%,7%
At Masters Grade Level,2021,14%,15%,3%,2%,3%,6%,*,21%,17%,4%,5%,9%,3%,2%,3%,1%
,2019,21%,23%,10%,8%,10%,20%,*,39%,0%,18%,7%,5%,11%,7%,9%,2%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,48%,44%,49%,60%,50%,85%,57%,41%,21%,29%,51%,39%,48%,31%
,2019,68%,67%,57%,51%,59%,57%,40%,82%,73%,59%,19%,47%,61%,46%,57%,33%
At Meets Grade Level or Above,2021,50%,51%,29%,24%,29%,44%,33%,68%,43%,27%,13%,13%,31%,22%,28%,13%
,2019,50%,50%,34%,28%,36%,33%,20%,67%,33%,43%,12%,17%,38%,25%,33%,12%
At Masters Grade Level,2021,12%,14%,3%,2%,3%,7%,0%,15%,0%,0%,1%,0%,3%,2%,2%,0%
,2019,11%,11%,4%,3%,4%,2%,0%,34%,7%,3%,1%,0%,5%,1%,3%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,55%,45%,57%,68%,*,78%,67%,65%,26%,21%,59%,39%,54%,31%
,2019,68%,69%,58%,56%,58%,63%,*,76%,73%,77%,22%,43%,63%,44%,57%,31%
At Meets Grade Level or Above,2021,57%,58%,37%,29%,38%,52%,*,67%,67%,57%,15%,8%,41%,23%,36%,13%
,2019,49%,50%,35%,31%,35%,43%,*,60%,55%,57%,15%,24%,39%,23%,34%,10%
At Masters Grade Level,2021,11%,12%,3%,1%,3%,4%,*,11%,0%,9%,3%,0%,3%,2%,3%,0%
,2019,8%,9%,2%,2%,2%,3%,*,14%,9%,0%,4%,0%,3%,1%,2%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,53%,45%,55%,61%,71%,92%,75%,50%,33%,51%,56%,44%,53%,44%
,2019,85%,84%,78%,67%,81%,70%,*,98%,71%,82%,39%,73%,81%,68%,77%,68%
At Meets Grade Level or Above,2021,41%,44%,19%,16%,20%,20%,43%,67%,25%,12%,13%,19%,21%,13%,19%,13%
,2019,61%,61%,46%,30%,50%,51%,*,75%,43%,56%,19%,33%,51%,31%,45%,29%
At Masters Grade Level,2021,23%,26%,8%,6%,8%,6%,29%,48%,25%,4%,4%,3%,9%,4%,8%,4%
,2019,37%,38%,24%,12%,27%,33%,*,58%,29%,24%,7%,14%,27%,14%,23%,12%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,66%,64%,66%,83%,83%,92%,78%,73%,38%,53%,71%,55%,66%,50%
,2019,88%,88%,82%,80%,82%,85%,*,95%,100%,97%,46%,71%,85%,74%,82%,66%
At Meets Grade Level or Above,2021,55%,57%,32%,27%,32%,57%,33%,79%,22%,32%,16%,24%,36%,22%,31%,17%
,2019,62%,63%,49%,45%,50%,54%,*,83%,78%,70%,21%,38%,54%,35%,48%,22%
At Masters Grade Level,2021,22%,26%,8%,5%,8%,17%,17%,47%,0%,5%,3%,11%,10%,4%,8%,3%
,2019,25%,28%,13%,9%,14%,20%,*,47%,11%,12%,3%,7%,15%,7%,12%,3%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,79%,74%,80%,83%,*,93%,100%,89%,42%,80%,81%,68%,78%,58%
,2019,93%,93%,90%,90%,91%,83%,80%,95%,100%,91%,64%,95%,92%,83%,90%,75%
At Meets Grade Level or Above,2021,69%,70%,50%,41%,51%,46%,*,83%,100%,63%,23%,30%,52%,38%,48%,24%
,2019,73%,75%,65%,61%,66%,73%,80%,81%,80%,83%,37%,47%,69%,50%,64%,30%
At Masters Grade Level,2021,43%,45%,22%,16%,23%,22%,*,58%,20%,32%,8%,20%,23%,16%,21%,7%
,2019,45%,49%,34%,29%,34%,47%,60%,56%,40%,52%,10%,32%,37%,22%,33%,8%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,94%,88%,96%,*,-,100%,-,*,-,-,95%,84%,94%,*
At Meets Grade Level or Above,2021,69%,75%,66%,51%,69%,*,-,85%,-,*,-,-,70%,32%,64%,*
At Masters Grade Level,2021,14%,18%,2%,2%,1%,*,-,15%,-,*,-,-,3%,0%,2%,*
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,47%,41%,48%,52%,52%,81%,57%,45%,24%,36%,50%,38%,46%,40%
,2019,78%,78%,70%,62%,72%,72%,72%,90%,71%,72%,34%,58%,72%,62%,69%,62%
At Meets Grade Level or Above,2021,41%,43%,20%,16%,21%,27%,27%,56%,26%,21%,15%,13%,22%,15%,19%,14%
,2019,50%,51%,36%,29%,38%,43%,37%,69%,39%,41%,19%,22%,39%,29%,35%,27%
At Masters Grade Level,2021,18%,20%,6%,4%,6%,7%,11%,29%,6%,5%,4%,4%,6%,4%,6%,4%
,2019,24%,25%,13%,9%,14%,19%,15%,39%,13%,14%,5%,8%,14%,9%,12%,9%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,49%,44%,50%,55%,52%,80%,51%,51%,23%,36%,52%,41%,49%,42%
,2019,75%,75%,65%,60%,67%,70%,68%,86%,71%,71%,29%,53%,68%,57%,65%,56%
At Meets Grade Level or Above,2021,45%,46%,24%,20%,24%,31%,32%,57%,32%,27%,14%,14%,26%,19%,23%,16%
,2019,48%,49%,34%,29%,34%,41%,41%,64%,39%,41%,17%,19%,36%,27%,32%,22%
At Masters Grade Level,2021,18%,20%,6%,5%,6%,8%,10%,22%,6%,7%,3%,4%,7%,5%,6%,5%
,2019,21%,22%,10%,8%,11%,17%,12%,30%,11%,12%,4%,6%,11%,8%,10%,7%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,44%,34%,46%,47%,46%,82%,51%,37%,25%,37%,47%,36%,43%,42%
,2019,82%,82%,77%,67%,79%,76%,80%,95%,76%,69%,41%,70%,79%,69%,76%,75%
At Meets Grade Level or Above,2021,37%,39%,16%,11%,17%,21%,23%,58%,15%,16%,15%,12%,18%,12%,16%,15%
,2019,52%,53%,41%,29%,44%,44%,40%,78%,45%,37%,21%,30%,44%,32%,40%,38%
At Masters Grade Level,2021,18%,19%,5%,3%,6%,6%,12%,35%,5%,2%,4%,3%,6%,4%,5%,5%
,2019,26%,28%,17%,9%,18%,20%,17%,49%,20%,15%,7%,11%,18%,12%,16%,16%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,32%,31%,31%,39%,40%,71%,20%,32%,17%,20%,34%,26%,31%,28%
,2019,68%,69%,58%,49%,60%,60%,64%,85%,55%,52%,22%,35%,61%,51%,57%,52%
At Meets Grade Level or Above,2021,30%,31%,9%,9%,9%,18%,0%,35%,0%,9%,11%,4%,10%,7%,9%,7%
,2019,38%,39%,24%,19%,25%,34%,14%,66%,15%,24%,15%,10%,25%,20%,23%,18%
At Masters Grade Level,2021,9%,9%,1%,1%,1%,3%,0%,13%,0%,0%,2%,1%,1%,1%,1%,1%
,2019,14%,15%,6%,4%,6%,13%,7%,32%,0%,9%,3%,2%,6%,6%,5%,4%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,50%,46%,51%,63%,60%,84%,80%,47%,28%,38%,53%,41%,49%,40%
,2019,81%,82%,72%,66%,73%,76%,83%,90%,76%,87%,38%,57%,75%,64%,71%,60%
At Meets Grade Level or Above,2021,44%,45%,21%,17%,21%,32%,20%,60%,30%,19%,16%,15%,23%,14%,20%,12%
,2019,54%,55%,38%,31%,40%,48%,33%,69%,43%,53%,19%,24%,42%,29%,37%,23%
At Masters Grade Level,2021,20%,22%,6%,4%,6%,10%,13%,32%,5%,4%,4%,6%,6%,3%,5%,3%
,2019,25%,27%,11%,8%,11%,19%,17%,39%,10%,12%,5%,5%,12%,7%,10%,5%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,56%,51%,56%,61%,*,88%,91%,58%,30%,47%,59%,44%,54%,36%
,2019,81%,81%,72%,68%,73%,78%,50%,93%,69%,89%,46%,52%,75%,62%,71%,50%
At Meets Grade Level or Above,2021,49%,51%,29%,23%,30%,31%,*,62%,64%,37%,18%,17%,31%,19%,27%,11%
,2019,55%,57%,43%,39%,43%,59%,50%,67%,38%,64%,28%,15%,46%,32%,41%,17%
At Masters Grade Level,2021,29%,31%,12%,8%,13%,13%,*,42%,18%,16%,6%,12%,14%,8%,11%,3%
,2019,33%,36%,22%,19%,22%,34%,38%,49%,15%,36%,9%,11%,24%,14%,21%,5%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,6%,4%,6%,5%,*,29%,*,14%,11%,7%,6%,5%,6%,6%
,2019,35%,36%,22%,16%,23%,28%,*,47%,11%,28%,16%,14%,23%,19%,21%,23%
Reading and Mathematics Including EOC,2021,24%,25%,6%,4%,6%,5%,*,29%,*,14%,11%,7%,6%,5%,6%,6%
,2019,35%,36%,22%,16%,23%,28%,*,47%,11%,28%,16%,14%,23%,19%,21%,23%
Reading Including EOC,2021,38%,39%,14%,14%,13%,17%,*,38%,*,31%,13%,12%,14%,13%,13%,12%
,2019,45%,45%,30%,26%,30%,28%,*,49%,11%,38%,20%,17%,30%,29%,28%,30%
Math Including EOC,2021,31%,31%,11%,7%,12%,8%,*,47%,*,19%,13%,13%,12%,9%,11%,12%
,2019,49%,48%,39%,27%,42%,41%,*,72%,33%,43%,23%,34%,41%,30%,38%,43%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,8%,6%,8%,20%,*,29%,0%,8%,14%,4%,9%,7%,8%,8%
,2019,35%,36%,23%,14%,24%,24%,13%,68%,29%,19%,16%,17%,24%,19%,22%,22%
Reading and Mathematics Including EOC,2021,26%,27%,8%,6%,8%,20%,*,29%,0%,8%,14%,4%,9%,7%,8%,8%
,2019,35%,36%,23%,14%,24%,24%,13%,68%,29%,19%,16%,17%,24%,19%,22%,22%
Reading Including EOC,2021,36%,37%,14%,13%,14%,29%,*,34%,11%,15%,15%,7%,14%,13%,13%,13%
,2019,44%,45%,31%,22%,32%,34%,38%,70%,43%,35%,18%,21%,32%,27%,30%,29%
Math Including EOC,2021,36%,36%,16%,9%,17%,27%,*,51%,0%,12%,16%,13%,17%,12%,15%,17%
,2019,48%,49%,39%,23%,43%,36%,13%,80%,57%,26%,24%,36%,41%,32%,38%,43%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,13%,8%,14%,15%,17%,33%,0%,11%,16%,8%,15%,9%,13%,13%
,2019,44%,44%,29%,23%,31%,29%,60%,55%,*,29%,17%,17%,32%,23%,29%,26%
Reading and Mathematics Including EOC,2021,34%,35%,13%,8%,14%,15%,17%,33%,0%,11%,16%,8%,15%,9%,13%,13%
,2019,44%,44%,29%,23%,31%,29%,60%,55%,*,29%,17%,17%,32%,23%,29%,26%
Reading Including EOC,2021,46%,47%,25%,21%,25%,35%,33%,49%,20%,25%,18%,16%,26%,21%,24%,23%
,2019,54%,54%,38%,34%,39%,42%,60%,62%,*,32%,21%,24%,39%,35%,37%,33%
Math Including EOC,2021,44%,45%,23%,14%,25%,25%,33%,59%,0%,13%,20%,15%,26%,16%,23%,25%
,2019,58%,59%,51%,38%,54%,46%,100%,76%,*,32%,24%,43%,54%,41%,50%,53%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,7%,5%,7%,13%,*,43%,0%,9%,10%,2%,8%,5%,7%,5%
,2019,31%,32%,15%,13%,15%,18%,50%,45%,50%,23%,14%,9%,16%,13%,14%,8%
Reading and Mathematics Including EOC,2021,24%,26%,7%,5%,7%,13%,*,43%,0%,9%,10%,2%,8%,5%,7%,5%
,2019,31%,32%,15%,13%,15%,18%,50%,45%,50%,23%,14%,9%,16%,13%,14%,8%
Reading Including EOC,2021,32%,34%,14%,13%,14%,16%,*,52%,0%,22%,12%,11%,15%,11%,14%,12%
,2019,37%,38%,22%,21%,21%,33%,67%,50%,63%,23%,16%,14%,22%,19%,20%,12%
Math Including EOC,2021,36%,38%,13%,8%,14%,29%,*,60%,13%,27%,12%,4%,14%,10%,13%,13%
,2019,48%,49%,30%,22%,32%,32%,50%,73%,50%,27%,18%,16%,32%,23%,28%,22%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,9%,7%,9%,13%,*,44%,*,3%,10%,9%,10%,7%,9%,7%
,2019,36%,39%,25%,20%,26%,40%,20%,69%,17%,22%,15%,12%,27%,20%,24%,12%
Reading and Mathematics Including EOC,2021,27%,29%,9%,7%,9%,13%,*,44%,*,3%,10%,9%,10%,7%,9%,7%
,2019,37%,40%,25%,20%,26%,40%,20%,69%,17%,22%,15%,12%,27%,20%,24%,12%
Reading Including EOC,2021,45%,47%,27%,23%,27%,25%,*,63%,*,21%,12%,20%,28%,23%,26%,23%
,2019,49%,51%,37%,32%,38%,54%,17%,74%,33%,30%,17%,21%,39%,31%,35%,19%
Math Including EOC,2021,32%,34%,11%,9%,11%,16%,*,54%,*,10%,11%,12%,12%,8%,11%,9%
,2019,48%,50%,37%,29%,38%,49%,60%,87%,33%,22%,19%,23%,39%,29%,35%,24%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,9%,6%,10%,2%,*,35%,20%,4%,15%,11%,10%,6%,9%,6%
,2019,34%,35%,28%,23%,30%,39%,*,56%,14%,50%,15%,6%,31%,22%,27%,11%
Reading and Mathematics Including EOC,2021,33%,34%,13%,9%,14%,8%,*,55%,33%,7%,15%,13%,14%,9%,13%,8%
,2019,47%,48%,33%,25%,34%,43%,*,66%,25%,55%,15%,8%,36%,24%,31%,11%
Reading Including EOC,2021,47%,48%,28%,22%,29%,26%,*,64%,67%,22%,16%,29%,30%,22%,27%,18%
,2019,55%,56%,42%,35%,44%,58%,*,72%,25%,73%,20%,12%,45%,33%,41%,16%
