Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,12%,13%,13%,10%,8%,18%,-,46%,*,33%,6%,20%,15%,12%,10%,7%
,2019,17%,18%,27%,20%,19%,44%,*,49%,-,30%,7%,*,33%,22%,20%,16%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,66%,70%,59%,70%,-,90%,*,100%,24%,*,68%,64%,60%,53%
,2019,70%,72%,79%,74%,76%,94%,*,86%,-,100%,29%,*,84%,76%,74%,71%
At Meets Grade Level or Above,2021,33%,34%,31%,30%,25%,33%,-,62%,*,67%,8%,*,35%,28%,25%,21%
,2019,42%,43%,52%,48%,46%,75%,*,63%,-,80%,20%,*,62%,45%,45%,37%
At Masters Grade Level,2021,10%,10%,8%,5%,7%,13%,-,17%,*,22%,2%,*,11%,6%,5%,4%
,2019,18%,19%,25%,18%,16%,46%,*,48%,-,40%,5%,*,33%,18%,17%,14%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,80%,80%,76%,83%,-,96%,*,100%,39%,*,83%,76%,77%,70%
,2019,86%,86%,91%,90%,89%,93%,*,99%,*,100%,58%,*,93%,90%,89%,86%
At Meets Grade Level or Above,2021,46%,48%,53%,43%,47%,60%,-,80%,*,80%,21%,*,58%,45%,48%,38%
,2019,55%,56%,65%,66%,57%,81%,*,86%,*,80%,23%,*,72%,58%,59%,51%
At Masters Grade Level,2021,21%,22%,24%,22%,18%,31%,-,51%,*,20%,12%,*,29%,17%,19%,14%
,2019,28%,30%,39%,37%,30%,40%,*,73%,*,70%,8%,*,47%,31%,32%,24%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,47%,38%,44%,48%,-,76%,*,*,31%,*,49%,43%,45%,46%
,2019,88%,88%,95%,95%,94%,100%,*,100%,-,100%,73%,*,97%,94%,94%,96%
At Meets Grade Level or Above,2021,36%,37%,21%,18%,17%,20%,-,56%,*,*,17%,*,20%,23%,19%,15%
,2019,57%,58%,63%,60%,62%,67%,*,86%,-,67%,31%,*,57%,68%,60%,63%
At Masters Grade Level,2021,11%,11%,5%,5%,4%,4%,-,8%,*,*,3%,*,2%,7%,3%,3%
,2019,17%,18%,20%,20%,19%,19%,*,36%,-,33%,12%,*,20%,20%,18%,17%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,58%,57%,53%,83%,-,86%,*,60%,33%,*,61%,56%,58%,47%
,2019,81%,81%,81%,79%,78%,92%,*,100%,-,100%,42%,*,80%,81%,77%,76%
At Meets Grade Level or Above,2021,43%,45%,25%,25%,20%,30%,-,46%,*,60%,13%,*,27%,22%,24%,13%
,2019,51%,52%,38%,38%,36%,52%,*,41%,-,67%,27%,*,36%,40%,36%,31%
At Masters Grade Level,2021,24%,25%,10%,14%,7%,4%,-,25%,*,40%,7%,*,10%,10%,9%,5%
,2019,25%,27%,10%,14%,9%,12%,*,9%,-,17%,12%,*,13%,8%,11%,6%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,59%,57%,51%,63%,-,86%,*,60%,33%,*,63%,52%,53%,41%
,2019,69%,70%,78%,74%,73%,88%,*,95%,*,90%,38%,*,85%,71%,73%,71%
At Meets Grade Level or Above,2021,28%,29%,28%,23%,20%,37%,-,61%,*,0%,18%,*,32%,22%,21%,13%
,2019,37%,38%,43%,39%,33%,52%,*,77%,*,80%,19%,*,55%,30%,36%,27%
At Masters Grade Level,2021,14%,15%,12%,11%,7%,22%,-,31%,*,0%,15%,*,15%,8%,8%,4%
,2019,21%,23%,26%,22%,17%,31%,*,63%,*,50%,19%,*,36%,17%,21%,11%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,78%,78%,74%,82%,-,86%,*,*,31%,*,80%,71%,71%,62%
,2019,68%,67%,80%,83%,77%,71%,-,96%,*,78%,33%,80%,84%,75%,77%,65%
At Meets Grade Level or Above,2021,50%,51%,64%,60%,58%,71%,-,77%,*,*,19%,*,68%,51%,54%,42%
,2019,50%,50%,65%,69%,60%,58%,-,84%,*,67%,17%,20%,70%,57%,61%,40%
At Masters Grade Level,2021,12%,14%,17%,13%,10%,26%,-,35%,*,*,0%,*,19%,9%,10%,4%
,2019,11%,11%,15%,19%,7%,33%,-,27%,*,33%,7%,0%,16%,12%,10%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,79%,83%,73%,89%,*,100%,-,*,19%,*,79%,76%,74%,58%
,2019,68%,69%,84%,91%,78%,100%,-,93%,-,*,39%,*,85%,82%,82%,63%
At Meets Grade Level or Above,2021,57%,58%,67%,68%,60%,79%,*,93%,-,*,6%,*,67%,64%,60%,43%
,2019,49%,50%,65%,68%,57%,94%,-,83%,-,*,18%,*,69%,56%,60%,31%
At Masters Grade Level,2021,11%,12%,11%,7%,8%,21%,*,26%,-,*,0%,*,10%,17%,8%,1%
,2019,8%,9%,15%,9%,11%,33%,-,26%,-,*,6%,*,15%,12%,11%,2%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,80%,72%,75%,91%,-,96%,*,*,50%,*,82%,74%,76%,71%
,2019,85%,84%,94%,98%,93%,80%,-,100%,*,100%,61%,*,97%,91%,93%,93%
At Meets Grade Level or Above,2021,41%,44%,47%,42%,35%,63%,-,79%,*,*,24%,*,50%,39%,40%,32%
,2019,61%,61%,83%,83%,81%,72%,-,94%,*,89%,30%,*,88%,76%,78%,80%
At Masters Grade Level,2021,23%,26%,30%,22%,20%,56%,-,54%,*,*,18%,*,30%,29%,23%,17%
,2019,37%,38%,63%,61%,56%,64%,-,89%,*,56%,17%,*,69%,55%,57%,55%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,87%,80%,86%,97%,*,90%,*,*,56%,*,89%,82%,83%,78%
,2019,88%,88%,95%,96%,94%,88%,-,98%,*,100%,67%,*,96%,94%,96%,92%
At Meets Grade Level or Above,2021,55%,57%,62%,60%,55%,68%,*,81%,*,*,31%,*,63%,59%,56%,43%
,2019,62%,63%,75%,81%,68%,77%,-,88%,*,89%,25%,*,81%,68%,69%,60%
At Masters Grade Level,2021,22%,26%,28%,25%,19%,38%,*,52%,*,*,9%,*,29%,27%,22%,12%
,2019,25%,28%,42%,42%,26%,58%,-,80%,*,67%,13%,*,49%,34%,33%,22%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,93%,100%,92%,83%,-,95%,-,100%,63%,*,94%,89%,92%,79%
,2019,93%,93%,97%,100%,95%,100%,-,100%,-,*,84%,*,97%,96%,95%,90%
At Meets Grade Level or Above,2021,69%,70%,81%,84%,78%,78%,-,93%,-,83%,50%,*,82%,78%,77%,57%
,2019,73%,75%,86%,83%,80%,100%,-,97%,-,*,37%,*,87%,82%,81%,80%
At Masters Grade Level,2021,43%,45%,57%,65%,48%,56%,-,78%,-,67%,25%,*,56%,67%,50%,36%
,2019,45%,49%,54%,57%,45%,69%,-,67%,-,*,11%,*,55%,46%,44%,30%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,100%,100%,100%,100%,-,100%,-,-,*,-,100%,-,100%,*
At Meets Grade Level or Above,2021,69%,75%,93%,100%,86%,89%,-,100%,-,-,*,-,93%,-,94%,*
At Masters Grade Level,2021,14%,18%,19%,29%,7%,11%,-,36%,-,-,*,-,19%,-,6%,*
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,65%,60%,59%,76%,*,87%,68%,74%,31%,67%,68%,60%,59%,56%
,2019,78%,78%,82%,80%,78%,90%,62%,95%,78%,91%,47%,66%,85%,78%,78%,77%
At Meets Grade Level or Above,2021,41%,43%,37%,32%,31%,46%,*,64%,32%,48%,15%,26%,42%,30%,30%,26%
,2019,50%,51%,54%,50%,47%,67%,33%,79%,33%,64%,22%,35%,60%,47%,47%,44%
At Masters Grade Level,2021,18%,20%,16%,13%,11%,22%,*,36%,6%,21%,5%,10%,18%,13%,11%,10%
,2019,24%,25%,28%,24%,20%,41%,5%,55%,11%,33%,11%,14%,33%,23%,21%,20%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,69%,68%,64%,79%,*,88%,68%,77%,30%,66%,72%,66%,63%,61%
,2019,75%,75%,82%,81%,77%,90%,67%,94%,*,90%,43%,67%,85%,79%,78%,75%
At Meets Grade Level or Above,2021,45%,46%,43%,39%,37%,54%,*,65%,44%,53%,15%,29%,48%,36%,36%,32%
,2019,48%,49%,55%,52%,48%,70%,33%,77%,*,63%,21%,29%,62%,48%,48%,43%
At Masters Grade Level,2021,18%,20%,18%,14%,14%,25%,*,36%,12%,23%,3%,18%,20%,15%,13%,12%
,2019,21%,22%,28%,26%,20%,43%,17%,50%,*,34%,11%,10%,31%,24%,22%,20%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,60%,52%,55%,74%,*,86%,68%,68%,32%,62%,64%,56%,55%,54%
,2019,82%,82%,86%,82%,83%,90%,67%,98%,*,91%,56%,78%,88%,83%,82%,84%
At Meets Grade Level or Above,2021,37%,39%,32%,27%,25%,41%,*,65%,24%,42%,14%,26%,36%,27%,26%,24%
,2019,52%,53%,57%,51%,50%,71%,50%,86%,*,60%,24%,44%,62%,53%,50%,51%
At Masters Grade Level,2021,18%,19%,14%,12%,9%,21%,*,39%,4%,18%,6%,6%,16%,13%,10%,10%
,2019,26%,28%,33%,27%,25%,46%,0%,65%,*,32%,13%,19%,38%,28%,25%,26%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,57%,57%,48%,70%,-,82%,50%,74%,20%,67%,56%,57%,50%,50%
,2019,68%,69%,74%,70%,69%,92%,*,87%,*,88%,27%,50%,77%,71%,68%,69%
At Meets Grade Level or Above,2021,30%,31%,25%,23%,20%,27%,-,44%,13%,47%,7%,8%,25%,24%,19%,19%
,2019,38%,39%,44%,41%,37%,57%,*,65%,*,58%,15%,40%,50%,39%,36%,34%
At Masters Grade Level,2021,9%,9%,6%,5%,4%,8%,-,12%,0%,11%,1%,0%,7%,4%,4%,3%
,2019,14%,15%,17%,14%,10%,33%,*,35%,*,21%,3%,20%,20%,14%,11%,9%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,66%,58%,62%,81%,*,85%,83%,77%,38%,89%,70%,61%,62%,56%
,2019,81%,82%,78%,75%,75%,84%,*,94%,*,97%,49%,36%,83%,74%,74%,71%
At Meets Grade Level or Above,2021,44%,45%,37%,31%,31%,45%,*,67%,50%,54%,21%,33%,42%,31%,31%,23%
,2019,54%,55%,48%,44%,43%,58%,*,70%,*,72%,25%,27%,55%,42%,42%,38%
At Masters Grade Level,2021,20%,22%,16%,14%,11%,22%,*,39%,0%,31%,8%,11%,18%,14%,12%,7%
,2019,25%,27%,22%,18%,15%,29%,*,53%,*,31%,11%,9%,27%,17%,17%,14%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,69%,69%,64%,69%,-,89%,*,82%,39%,80%,76%,55%,65%,48%
,2019,81%,81%,83%,81%,79%,91%,*,96%,*,92%,58%,*,90%,74%,79%,74%
At Meets Grade Level or Above,2021,49%,51%,44%,39%,38%,49%,-,72%,*,45%,24%,20%,53%,26%,37%,22%
,2019,55%,57%,54%,50%,45%,66%,*,84%,*,83%,27%,*,67%,35%,47%,35%
At Masters Grade Level,2021,29%,31%,26%,25%,20%,32%,-,48%,*,36%,17%,0%,32%,13%,20%,10%
,2019,33%,36%,34%,31%,24%,41%,*,64%,*,50%,16%,*,43%,20%,26%,14%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,14%,11%,7%,22%,*,47%,*,25%,5%,*,18%,10%,10%,16%
,2019,35%,36%,41%,33%,33%,67%,-,73%,-,38%,30%,29%,44%,38%,32%,34%
Reading and Mathematics Including EOC,2021,24%,25%,14%,11%,7%,22%,*,47%,*,25%,5%,*,18%,10%,10%,16%
,2019,35%,36%,41%,33%,33%,67%,-,73%,-,38%,30%,29%,44%,38%,32%,34%
Reading Including EOC,2021,38%,39%,31%,30%,22%,47%,*,58%,*,38%,13%,*,34%,28%,23%,31%
,2019,45%,45%,56%,51%,48%,76%,-,78%,-,63%,35%,29%,60%,49%,47%,48%
Math Including EOC,2021,31%,31%,19%,14%,9%,33%,*,63%,*,25%,5%,*,22%,16%,14%,20%
,2019,49%,48%,51%,45%,43%,70%,-,82%,-,38%,30%,29%,53%,48%,41%,46%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,15%,15%,8%,31%,-,26%,*,33%,5%,0%,16%,13%,8%,13%
,2019,35%,36%,34%,27%,27%,43%,-,67%,*,43%,7%,17%,37%,30%,27%,37%
Reading and Mathematics Including EOC,2021,26%,27%,15%,15%,8%,31%,-,26%,*,33%,5%,0%,16%,13%,8%,13%
,2019,35%,36%,34%,27%,27%,43%,-,67%,*,43%,7%,17%,37%,30%,27%,37%
Reading Including EOC,2021,36%,37%,25%,29%,17%,38%,-,37%,*,50%,11%,0%,26%,25%,18%,21%
,2019,44%,45%,45%,42%,39%,59%,-,69%,*,50%,7%,17%,50%,41%,38%,46%
Math Including EOC,2021,36%,36%,23%,25%,14%,34%,-,46%,*,29%,8%,33%,24%,22%,16%,22%
,2019,48%,49%,44%,41%,36%,59%,-,79%,*,43%,17%,17%,45%,44%,39%,46%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,31%,21%,29%,47%,-,49%,*,29%,19%,*,32%,30%,23%,23%
,2019,44%,44%,43%,37%,35%,57%,-,74%,-,50%,11%,29%,54%,33%,36%,38%
Reading and Mathematics Including EOC,2021,34%,35%,31%,21%,29%,47%,-,49%,*,29%,19%,*,32%,30%,23%,23%
,2019,44%,44%,43%,37%,35%,57%,-,74%,-,50%,11%,29%,54%,33%,36%,38%
Reading Including EOC,2021,46%,47%,45%,40%,41%,55%,-,64%,*,43%,21%,*,45%,45%,38%,35%
,2019,54%,54%,51%,49%,43%,64%,-,77%,-,64%,24%,57%,60%,43%,45%,45%
Math Including EOC,2021,44%,45%,41%,33%,40%,51%,-,60%,*,43%,20%,*,43%,40%,35%,36%
,2019,58%,59%,55%,48%,45%,70%,-,93%,-,71%,22%,29%,65%,46%,46%,50%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,22%,22%,15%,31%,-,47%,14%,42%,14%,0%,25%,19%,16%,17%
,2019,31%,32%,34%,32%,24%,56%,-,64%,-,43%,23%,0%,39%,31%,25%,23%
Reading and Mathematics Including EOC,2021,24%,26%,22%,22%,15%,31%,-,47%,14%,42%,14%,0%,25%,19%,16%,17%
,2019,31%,32%,34%,32%,24%,56%,-,64%,-,43%,23%,0%,39%,31%,25%,23%
Reading Including EOC,2021,32%,34%,34%,34%,28%,48%,-,53%,14%,50%,14%,14%,37%,31%,29%,30%
,2019,37%,38%,41%,38%,33%,58%,-,68%,-,43%,28%,0%,48%,36%,33%,31%
Math Including EOC,2021,36%,38%,32%,34%,24%,38%,-,65%,29%,67%,21%,14%,37%,29%,26%,27%
,2019,48%,49%,56%,53%,47%,71%,-,88%,-,43%,31%,63%,62%,51%,48%,48%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,23%,13%,18%,37%,-,60%,*,33%,6%,40%,30%,17%,18%,13%
,2019,36%,39%,46%,38%,36%,75%,*,68%,-,60%,12%,*,53%,40%,38%,31%
Reading and Mathematics Including EOC,2021,27%,29%,23%,13%,18%,37%,-,60%,*,33%,6%,40%,30%,17%,18%,13%
,2019,37%,40%,46%,38%,36%,75%,*,68%,-,60%,12%,*,53%,40%,38%,31%
Reading Including EOC,2021,45%,47%,39%,35%,33%,51%,-,69%,*,44%,12%,40%,43%,35%,34%,28%
,2019,49%,51%,61%,53%,55%,81%,*,76%,-,80%,17%,*,67%,56%,53%,48%
Math Including EOC,2021,32%,34%,28%,18%,24%,39%,-,65%,*,33%,8%,40%,35%,23%,22%,18%
,2019,48%,50%,55%,45%,46%,85%,*,78%,-,70%,15%,*,64%,48%,47%,41%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,15%,14%,12%,17%,-,36%,*,*,10%,*,14%,16%,14%,11%
,2019,34%,35%,40%,38%,37%,56%,*,50%,-,50%,15%,*,40%,39%,37%,33%
Reading and Mathematics Including EOC,2021,33%,34%,34%,32%,25%,45%,-,69%,*,40%,19%,*,40%,27%,30%,20%
,2019,47%,48%,58%,54%,51%,72%,*,84%,*,70%,15%,*,65%,51%,52%,44%
Reading Including EOC,2021,47%,48%,53%,43%,47%,60%,-,80%,*,80%,21%,*,58%,45%,48%,38%
,2019,55%,56%,65%,66%,57%,81%,*,86%,*,80%,23%,*,72%,58%,59%,51%
Math Including EOC,2021,43%,44%,41%,36%,32%,50%,-,76%,*,40%,25%,*,46%,33%,36%,26%
,2019,62%,64%,76%,70%,72%,79%,*,95%,*,80%,31%,*,76%,76%,71%,71%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,20%,16%,15%,31%,*,45%,17%,35%,10%,12%,23%,18%,15%,16%
,2019,36%,37%,40%,34%,32%,60%,33%,67%,*,47%,16%,24%,45%,35%,32%,32%
Reading and Mathematics Including EOC,2021,28%,29%,24%,19%,18%,35%,*,50%,17%,34%,11%,12%,28%,19%,18%,17%
