Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.67,0.69,0.63,0.74,1.00,0.80,0.80,*,0.43,0.69,0.60,0.67,0.66
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.53,0.57,0.48,0.51,0.40,0.71,*,0.71,0.29,0.55,0.44,0.51,0.50
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.41,0.47,0.35,0.47,0.46,0.58,0.80,*,0.29,0.44,0.33,0.41,0.38
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.24,0.29,0.19,0.24,0.25,0.40,*,0.43,0.17,0.26,0.18,0.22,0.21
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.22,0.26,0.17,0.29,0.15,0.37,0.20,*,0.12,0.23,0.17,0.21,0.19
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.11,0.14,0.08,0.10,0.15,0.18,*,0.14,0.04,0.12,0.06,0.10,0.09
Alief_ISD_Grade 3 Mathematics,Alief_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.60,0.56,0.58,0.68,0.69,0.79,0.80,*,0.39,0.63,0.49,0.59,0.61
Alief_ISD_Grade 3 Mathematics,Alief_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.45,0.43,0.41,0.45,0.35,0.74,*,0.57,0.30,0.48,0.34,0.44,0.46
Alief_ISD_Grade 3 Mathematics,Alief_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.32,0.28,0.29,0.41,0.38,0.58,0.60,*,0.22,0.34,0.25,0.32,0.33
Alief_ISD_Grade 3 Mathematics,Alief_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.16,0.14,0.13,0.14,0.15,0.40,*,0.29,0.16,0.18,0.11,0.15,0.17
Alief_ISD_Grade 3 Mathematics,Alief_ISD,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.14,0.11,0.12,0.19,0.15,0.31,0.20,*,0.09,0.15,0.09,0.13,0.15
Alief_ISD_Grade 3 Mathematics,Alief_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.05,0.05,0.04,0.06,0.10,0.15,*,0.14,0.03,0.06,0.03,0.05,0.05
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.71,0.72,0.68,0.72,0.47,0.85,*,0.90,0.41,0.74,0.63,0.70,0.70
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.49,0.54,0.45,0.56,0.63,0.60,*,0.56,0.25,0.52,0.44,0.48,0.47
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.45,0.47,0.42,0.53,0.24,0.61,*,0.70,0.23,0.50,0.36,0.45,0.43
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.25,0.30,0.21,0.26,0.31,0.39,*,0.22,0.17,0.27,0.21,0.24,0.23
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.23,0.27,0.20,0.22,0.12,0.38,*,0.50,0.09,0.26,0.17,0.22,0.21
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.10,0.13,0.07,0.14,0.09,0.17,*,0.11,0.04,0.11,0.07,0.09,0.08
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.70,0.70,0.63,0.57,0.61,0.69,0.53,0.85,*,0.90,0.36,0.66,0.53,0.61,0.64
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.60,0.45,0.41,0.43,0.45,0.59,0.69,*,0.44,0.26,0.47,0.39,0.44,0.46
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.34,0.29,0.31,0.34,0.12,0.64,*,0.60,0.19,0.38,0.24,0.33,0.35
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.21,0.20,0.18,0.22,0.26,0.44,*,0.11,0.18,0.23,0.17,0.20,0.21
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.17,0.14,0.15,0.19,0.12,0.40,*,0.30,0.08,0.20,0.10,0.17,0.18
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.11,0.10,0.08,0.14,0.06,0.29,*,0.00,0.05,0.12,0.08,0.10,0.11
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.67,0.68,0.65,0.70,0.73,0.82,0.60,0.75,0.37,0.70,0.61,0.68,0.66
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.56,0.59,0.52,0.53,0.59,0.72,*,0.91,0.32,0.59,0.51,0.55,0.54
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.43,0.46,0.38,0.49,0.48,0.60,0.60,0.38,0.21,0.45,0.38,0.43,0.40
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.29,0.34,0.25,0.24,0.21,0.44,*,0.36,0.20,0.31,0.24,0.27,0.26
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.25,0.26,0.21,0.33,0.27,0.41,0.40,0.13,0.09,0.27,0.20,0.25,0.24
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.17,0.21,0.12,0.13,0.10,0.33,*,0.27,0.07,0.18,0.14,0.15,0.15
Alief_ISD_Grade 5 Mathematics,Alief_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.56,0.51,0.54,0.62,0.67,0.84,0.40,0.50,0.34,0.60,0.46,0.56,0.58
Alief_ISD_Grade 5 Mathematics,Alief_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.49,0.45,0.45,0.49,0.34,0.77,*,0.82,0.34,0.52,0.41,0.47,0.49
Alief_ISD_Grade 5 Mathematics,Alief_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.27,0.24,0.24,0.31,0.36,0.57,0.20,0.38,0.16,0.31,0.19,0.27,0.29
Alief_ISD_Grade 5 Mathematics,Alief_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.23,0.23,0.19,0.22,0.17,0.49,*,0.45,0.22,0.25,0.17,0.22,0.22
Alief_ISD_Grade 5 Mathematics,Alief_ISD,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.12,0.10,0.10,0.13,0.15,0.38,0.20,0.13,0.06,0.14,0.08,0.12,0.13
Alief_ISD_Grade 5 Mathematics,Alief_ISD,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.10,0.09,0.08,0.08,0.07,0.27,*,0.18,0.09,0.11,0.08,0.09,0.11
Alief_ISD_Grade 5 Science,Alief_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.47,0.43,0.46,0.52,0.55,0.70,0.60,0.38,0.26,0.51,0.38,0.47,0.48
Alief_ISD_Grade 5 Science,Alief_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.41,0.42,0.37,0.37,0.31,0.62,*,0.64,0.29,0.43,0.35,0.39,0.39
Alief_ISD_Grade 5 Science,Alief_ISD,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.21,0.19,0.18,0.27,0.27,0.48,0.40,0.13,0.15,0.24,0.15,0.21,0.22
Alief_ISD_Grade 5 Science,Alief_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.14,0.17,0.10,0.13,0.10,0.35,*,0.09,0.18,0.16,0.11,0.13,0.13
Alief_ISD_Grade 5 Science,Alief_ISD,Grade 5 Science,At Masters Grade Level,2022,0.18,0.19,0.08,0.06,0.07,0.11,0.09,0.22,0.20,0.00,0.06,0.10,0.05,0.08,0.08
Alief_ISD_Grade 5 Science,Alief_ISD,Grade 5 Science,At Masters Grade Level,2021,0.13,0.14,0.04,0.05,0.03,0.04,0.00,0.13,*,0.09,0.07,0.05,0.04,0.04,0.04
Alief_ISD_Grade 6 Reading,Alief_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.70,0.70,0.62,0.64,0.57,0.64,0.58,0.78,*,0.73,0.36,0.65,0.54,0.60,0.59
Alief_ISD_Grade 6 Reading,Alief_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2021,0.62,0.64,0.50,0.54,0.46,0.54,0.64,0.70,*,0.67,0.29,0.55,0.39,0.49,0.49
Alief_ISD_Grade 6 Reading,Alief_ISD,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.34,0.36,0.29,0.33,0.39,0.51,*,0.55,0.23,0.36,0.28,0.33,0.31
Alief_ISD_Grade 6 Reading,Alief_ISD,Grade 6 Reading,At Meets Grade Level or Above,2021,0.32,0.34,0.22,0.25,0.17,0.28,0.20,0.41,*,0.33,0.17,0.24,0.16,0.20,0.19
Alief_ISD_Grade 6 Reading,Alief_ISD,Grade 6 Reading,At Masters Grade Level,2022,0.23,0.24,0.15,0.17,0.11,0.16,0.06,0.29,*,0.36,0.08,0.16,0.11,0.14,0.13
Alief_ISD_Grade 6 Reading,Alief_ISD,Grade 6 Reading,At Masters Grade Level,2021,0.15,0.16,0.08,0.09,0.05,0.10,0.04,0.23,*,0.17,0.04,0.09,0.05,0.07,0.07
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.65,0.63,0.62,0.63,0.70,0.87,*,0.73,0.43,0.68,0.58,0.65,0.65
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.57,0.55,0.53,0.60,0.69,0.83,*,0.83,0.38,0.61,0.45,0.55,0.56
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2022,0.39,0.40,0.30,0.28,0.25,0.34,0.27,0.61,*,0.27,0.22,0.33,0.24,0.29,0.30
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.25,0.24,0.22,0.32,0.23,0.57,*,0.17,0.20,0.29,0.17,0.24,0.26
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Masters Grade Level,2022,0.16,0.18,0.12,0.09,0.09,0.12,0.06,0.35,*,0.18,0.08,0.13,0.09,0.11,0.12
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Masters Grade Level,2021,0.15,0.17,0.09,0.08,0.06,0.15,0.12,0.29,*,0.00,0.08,0.10,0.06,0.08,0.09
Alief_ISD_Grade 7 Reading,Alief_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.80,0.81,0.71,0.73,0.68,0.79,0.79,0.85,*,0.80,0.46,0.75,0.61,0.72,0.69
Alief_ISD_Grade 7 Reading,Alief_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.60,0.63,0.56,0.64,0.50,0.76,*,0.78,0.32,0.64,0.50,0.59,0.58
Alief_ISD_Grade 7 Reading,Alief_ISD,Grade 7 Reading,At Meets Grade Level or Above,2022,0.56,0.58,0.46,0.47,0.41,0.63,0.45,0.70,*,0.60,0.29,0.49,0.36,0.45,0.42
Alief_ISD_Grade 7 Reading,Alief_ISD,Grade 7 Reading,At Meets Grade Level or Above,2021,0.45,0.47,0.33,0.36,0.29,0.34,0.19,0.54,*,0.44,0.23,0.36,0.26,0.32,0.32
Alief_ISD_Grade 7 Reading,Alief_ISD,Grade 7 Reading,At Masters Grade Level,2022,0.37,0.39,0.27,0.29,0.22,0.38,0.31,0.53,*,0.50,0.12,0.30,0.20,0.27,0.26
Alief_ISD_Grade 7 Reading,Alief_ISD,Grade 7 Reading,At Masters Grade Level,2021,0.25,0.27,0.18,0.18,0.14,0.21,0.19,0.36,*,0.11,0.08,0.19,0.14,0.17,0.16
Alief_ISD_Grade 7 Mathematics,Alief_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.60,0.56,0.58,0.63,0.64,0.89,*,0.90,0.41,0.63,0.52,0.60,0.60
Alief_ISD_Grade 7 Mathematics,Alief_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.50,0.45,0.48,0.55,0.50,0.78,*,0.67,0.32,0.53,0.42,0.49,0.51
Alief_ISD_Grade 7 Mathematics,Alief_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2022,0.31,0.34,0.32,0.29,0.28,0.40,0.32,0.66,*,0.50,0.25,0.34,0.24,0.31,0.31
Alief_ISD_Grade 7 Mathematics,Alief_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2021,0.27,0.29,0.20,0.19,0.16,0.24,0.19,0.51,*,0.33,0.21,0.23,0.14,0.19,0.20
Alief_ISD_Grade 7 Mathematics,Alief_ISD,Grade 7 Mathematics,At Masters Grade Level,2022,0.13,0.15,0.13,0.13,0.09,0.19,0.11,0.39,*,0.10,0.13,0.14,0.09,0.12,0.12
Alief_ISD_Grade 7 Mathematics,Alief_ISD,Grade 7 Mathematics,At Masters Grade Level,2021,0.12,0.13,0.07,0.07,0.04,0.05,0.06,0.25,*,0.11,0.08,0.07,0.06,0.07,0.07
