Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,19%,20%,13%,9%,11%,20%,*,52%,*,17%,2%,16%,13%,12%,10%,7%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,80%,75%,80%,82%,*,93%,*,86%,40%,76%,82%,74%,77%,78%
,2018,77%,78%,74%,66%,74%,81%,*,85%,*,79%,38%,96%,76%,67%,72%,75%
At Meets Grade Level or Above,2019,47%,48%,48%,35%,46%,57%,*,90%,*,54%,19%,38%,50%,39%,43%,43%
,2018,44%,46%,37%,26%,37%,42%,*,73%,*,52%,14%,40%,39%,29%,33%,36%
At Masters Grade Level,2019,21%,22%,20%,11%,19%,24%,*,80%,*,31%,4%,12%,21%,16%,17%,18%
,2018,18%,20%,12%,7%,11%,18%,*,46%,*,14%,5%,12%,13%,11%,10%,9%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,70%,63%,68%,80%,*,96%,*,80%,30%,70%,72%,65%,65%,58%
,2018,74%,76%,72%,65%,72%,76%,*,93%,*,70%,30%,63%,73%,69%,68%,62%
At Meets Grade Level or Above,2019,49%,51%,42%,34%,40%,53%,*,77%,*,57%,13%,43%,45%,34%,37%,30%
,2018,48%,50%,41%,31%,39%,51%,*,75%,*,52%,17%,25%,42%,37%,36%,23%
At Masters Grade Level,2019,29%,31%,21%,18%,19%,26%,*,54%,*,31%,3%,37%,22%,17%,17%,12%
,2018,29%,30%,21%,14%,19%,33%,*,50%,*,22%,7%,25%,22%,19%,17%,10%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,78%,66%,78%,86%,*,88%,*,86%,47%,87%,80%,70%,74%,73%
