Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Academy_Accelerated_Learning_Grade 3 Reading,Academy_Accelerated_Learning,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,*,-,*,-,-,-,-,-,-,-,*,-,*
Academy_Accelerated_Learning_Grade 3 Reading,Academy_Accelerated_Learning,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.48,0.50,0.46,*,-,-,-,-,-,0.51,0.37,0.47,0.49
Academy_Accelerated_Learning_Grade 3 Reading,Academy_Accelerated_Learning,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,*,-,*,-,-,-,-,-,-,-,*,-,*
Academy_Accelerated_Learning_Grade 3 Reading,Academy_Accelerated_Learning,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.25,0.31,0.20,*,-,-,-,-,-,0.26,0.21,0.24,0.28
Academy_Accelerated_Learning_Grade 3 Reading,Academy_Accelerated_Learning,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,*,-,*,-,-,-,-,-,-,-,*,-,*
Academy_Accelerated_Learning_Grade 3 Reading,Academy_Accelerated_Learning,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.08,0.09,0.07,*,-,-,-,-,-,0.08,0.05,0.08,0.09
Academy_Accelerated_Learning_Grade 3 Mathematics,Academy_Accelerated_Learning,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,*,-,*,-,-,-,-,-,-,-,*,-,*
Academy_Accelerated_Learning_Grade 3 Mathematics,Academy_Accelerated_Learning,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.45,0.22,0.56,*,-,-,-,-,-,0.44,0.47,0.44,0.56
Academy_Accelerated_Learning_Grade 3 Mathematics,Academy_Accelerated_Learning,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,*,-,*,-,-,-,-,-,-,-,*,-,*
Academy_Accelerated_Learning_Grade 3 Mathematics,Academy_Accelerated_Learning,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.13,0.06,0.15,*,-,-,-,-,-,0.15,0.05,0.13,0.19
Academy_Accelerated_Learning_Grade 3 Mathematics,Academy_Accelerated_Learning,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,*,-,*,-,-,-,-,-,-,-,*,-,*
Academy_Accelerated_Learning_Grade 3 Mathematics,Academy_Accelerated_Learning,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.04,0.00,0.05,*,-,-,-,-,-,0.04,0.05,0.04,0.07
