Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.73,0.70,0.72,0.80,*,0.91,*,0.81,0.45,0.73,0.68,0.70,0.67
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.59,0.49,0.59,0.66,*,0.75,*,0.55,0.32,0.60,0.57,0.57,0.58
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.42,0.37,0.40,0.57,*,0.58,*,0.58,0.23,0.42,0.39,0.39,0.34
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.27,0.17,0.27,0.33,*,0.47,*,0.35,0.19,0.28,0.23,0.25,0.28
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.21,0.16,0.20,0.34,*,0.35,*,0.26,0.05,0.21,0.19,0.19,0.17
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.12,0.06,0.12,0.18,*,0.15,*,0.16,0.04,0.13,0.10,0.11,0.15
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.67,0.54,0.67,0.75,*,0.90,*,0.71,0.41,0.68,0.60,0.65,0.70
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.51,0.29,0.51,0.58,*,0.80,*,0.55,0.30,0.52,0.44,0.48,0.55
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.33,0.22,0.32,0.45,*,0.61,*,0.42,0.20,0.34,0.27,0.31,0.33
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.18,0.09,0.18,0.21,*,0.42,*,0.23,0.18,0.19,0.14,0.16,0.21
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.13,0.07,0.12,0.20,*,0.28,*,0.19,0.05,0.13,0.09,0.12,0.14
Pasadena_ISD_Grade 3 Mathematics,Pasadena_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.06,0.04,0.05,0.08,*,0.16,*,0.06,0.05,0.06,0.04,0.05,0.07
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.76,0.72,0.75,0.84,*,0.88,-,0.77,0.43,0.76,0.73,0.74,0.74
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.54,0.43,0.53,0.67,*,0.74,*,0.64,0.28,0.55,0.50,0.52,0.50
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.48,0.47,0.47,0.59,*,0.67,-,0.47,0.24,0.50,0.41,0.45,0.45
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.25,0.21,0.23,0.39,*,0.49,*,0.25,0.17,0.25,0.22,0.23,0.20
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.21,0.15,0.21,0.27,*,0.40,-,0.33,0.06,0.23,0.16,0.19,0.21
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.08,0.06,0.08,0.17,*,0.22,*,0.07,0.04,0.09,0.07,0.07,0.06
Pasadena_ISD_Grade 4 Mathematics,Pasadena_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.70,0.70,0.67,0.53,0.67,0.72,*,0.94,-,0.67,0.39,0.69,0.60,0.65,0.69
Pasadena_ISD_Grade 4 Mathematics,Pasadena_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.60,0.50,0.37,0.50,0.55,*,0.76,*,0.39,0.30,0.51,0.45,0.48,0.50
Pasadena_ISD_Grade 4 Mathematics,Pasadena_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.35,0.23,0.34,0.42,*,0.71,-,0.40,0.21,0.37,0.28,0.32,0.36
Pasadena_ISD_Grade 4 Mathematics,Pasadena_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.21,0.12,0.21,0.30,*,0.51,*,0.18,0.16,0.22,0.17,0.20,0.20
Pasadena_ISD_Grade 4 Mathematics,Pasadena_ISD,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.15,0.09,0.15,0.19,*,0.47,-,0.17,0.05,0.17,0.10,0.13,0.17
Pasadena_ISD_Grade 4 Mathematics,Pasadena_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.10,0.04,0.09,0.18,*,0.32,*,0.11,0.05,0.10,0.08,0.09,0.09
Pasadena_ISD_Grade 5 Reading,Pasadena_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.75,0.72,0.74,0.86,*,0.90,*,0.88,0.46,0.78,0.63,0.73,0.72
Pasadena_ISD_Grade 5 Reading,Pasadena_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.62,0.54,0.61,0.68,*,0.87,*,0.71,0.30,0.64,0.54,0.60,0.56
Pasadena_ISD_Grade 5 Reading,Pasadena_ISD,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.47,0.40,0.45,0.62,*,0.70,*,0.65,0.25,0.50,0.36,0.44,0.42
Pasadena_ISD_Grade 5 Reading,Pasadena_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.31,0.24,0.29,0.46,*,0.63,*,0.26,0.15,0.32,0.26,0.28,0.22
Pasadena_ISD_Grade 5 Reading,Pasadena_ISD,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.26,0.20,0.24,0.44,*,0.48,*,0.42,0.06,0.28,0.18,0.23,0.22
Pasadena_ISD_Grade 5 Reading,Pasadena_ISD,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.17,0.13,0.16,0.32,*,0.46,*,0.13,0.04,0.18,0.16,0.15,0.11
Pasadena_ISD_Grade 5 Mathematics,Pasadena_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.69,0.55,0.69,0.74,*,0.94,*,0.81,0.45,0.72,0.58,0.67,0.70
