Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-13%,59%,-11%,49%,-17%,54%,0%,90%,-16%,51%,-18%,54%
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,72%,na,60%,na,71%,na,90%,na,67%,na,72%
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-10%,32%,-7%,22%,-13%,26%,2%,71%,-12%,23%,-15%,25%
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,42%,na,29%,na,39%,na,69%,na,35%,na,40%
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-9%,17%,-8%,8%,-10%,12%,-6%,48%,-9%,10%,-11%,12%
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,26%,na,16%,na,22%,na,54%,na,19%,na,23%
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-25%,51%,-29%,34%,-29%,48%,-6%,85%,-29%,43%,-30%,48%
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,76%,na,63%,na,77%,na,91%,na,72%,na,78%
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-22%,24%,-19%,12%,-26%,19%,-13%,59%,-24%,16%,-27%,19%
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,46%,na,31%,na,45%,na,72%,na,40%,na,46%
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-12%,12%,-8%,5%,-14%,7%,-9%,38%,-12%,6%,-14%,8%
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,24%,na,13%,na,21%,na,47%,na,18%,na,22%
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-13%,56%,-11%,48%,-17%,51%,-5%,84%,-15%,49%,-17%,49%
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,69%,na,59%,na,68%,na,89%,na,64%,na,66%
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-8%,31%,-6%,23%,-11%,25%,-2%,66%,-9%,23%,-10%,24%
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,39%,na,29%,na,36%,na,68%,na,32%,na,34%
