Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-15%,63%,-18%,63%,-16%,54%,-12%,76%,-17%,55%,-12%,59%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,78%,na,81%,na,70%,na,88%,na,72%,na,71%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-25%,31%,-21%,30%,-26%,22%,-29%,47%,-24%,23%,-17%,31%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,56%,na,51%,na,48%,na,76%,na,47%,na,48%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-23%,14%,-24%,12%,-20%,9%,-31%,21%,-18%,11%,-15%,15%
Harmony_Schools_Grade 3 Reading,Harmony_Schools,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,37%,na,36%,na,29%,na,52%,na,29%,na,30%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-31%,49%,-33%,42%,-37%,39%,-19%,69%,-35%,40%,-32%,44%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,80%,na,75%,na,76%,na,88%,na,75%,na,76%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-32%,19%,-31%,14%,-34%,9%,-37%,33%,-27%,14%,-26%,20%
Harmony_Schools_Grade 3 Mathematics,Harmony_Schools,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,51%,na,45%,na,43%,na,70%,na,41%,na,46%
