Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Cypress_Fairbanks_ISD_Grade 3 Reading,Cypress_Fairbanks_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-4%,75%,-5%,66%,-6%,69%,-1%,86%,-5%,67%,-7%,69%
Cypress_Fairbanks_ISD_Grade 3 Reading,Cypress_Fairbanks_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,79%,na,71%,na,75%,na,87%,na,72%,na,76%
Cypress_Fairbanks_ISD_Grade 3 Reading,Cypress_Fairbanks_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-2%,46%,-3%,35%,-3%,37%,0%,61%,-3%,34%,-5%,37%
Cypress_Fairbanks_ISD_Grade 3 Reading,Cypress_Fairbanks_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,48%,na,38%,na,40%,na,61%,na,37%,na,42%
Cypress_Fairbanks_ISD_Grade 3 Reading,Cypress_Fairbanks_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-7%,23%,-8%,14%,-7%,16%,-7%,35%,-8%,13%,-9%,15%
Cypress_Fairbanks_ISD_Grade 3 Reading,Cypress_Fairbanks_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,30%,na,22%,na,23%,na,42%,na,21%,na,24%
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-14%,68%,-20%,51%,-16%,62%,-6%,84%,-18%,57%,-15%,65%
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,82%,na,71%,na,78%,na,90%,na,75%,na,80%
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-15%,34%,-14%,20%,-15%,25%,-14%,51%,-14%,23%,-13%,30%
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,49%,na,34%,na,40%,na,65%,na,37%,na,43%
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-8%,15%,-6%,6%,-6%,9%,-13%,24%,-6%,8%,-7%,12%
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,23%,na,12%,na,15%,na,37%,na,14%,na,19%
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-10%,69%,-10%,58%,-12%,63%,-8%,81%,-13%,59%,-13%,64%
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,79%,na,68%,na,75%,na,89%,na,72%,na,77%
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-7%,41%,-5%,30%,-8%,32%,-9%,56%,-8%,29%,-9%,32%
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,48%,na,35%,na,40%,na,65%,na,37%,na,41%
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-4%,20%,-1%,13%,-4%,13%,-4%,32%,-4%,11%,-6%,13%
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,24%,na,14%,na,17%,na,36%,na,15%,na,19%
Cypress_Fairbanks_ISD_Grade 4 Mathematics,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,-17%,60%,-22%,41%,-22%,52%,-10%,79%,-22%,47%,-21%,55%
Cypress_Fairbanks_ISD_Grade 4 Mathematics,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,77%,na,63%,na,74%,na,89%,na,69%,na,76%
Cypress_Fairbanks_ISD_Grade 4 Mathematics,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,36%,-12%,37%,-15%,36%,-15%,19%,-17%,26%,-11%,56%,-17%,22%,-18%,29%
Cypress_Fairbanks_ISD_Grade 4 Mathematics,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,na,48%,na,49%,na,51%,na,34%,na,43%,na,67%,na,39%,na,47%
Cypress_Fairbanks_ISD_Grade 4 Mathematics,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,21%,-8%,22%,-9%,22%,-8%,9%,-9%,13%,-9%,37%,-9%,11%,-11%,16%
Cypress_Fairbanks_ISD_Grade 4 Mathematics,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,na,28%,na,30%,na,31%,na,17%,na,22%,na,46%,na,20%,na,27%
Cypress_Fairbanks_ISD_Grade 5 Reading+,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,73%,-13%,73%,-11%,79%,-16%,69%,-13%,75%,-7%,89%,-14%,72%,-13%,75%
Cypress_Fairbanks_ISD_Grade 5 Reading+,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,na,86%,na,86%,na,90%,na,85%,na,88%,na,96%,na,86%,na,88%
Cypress_Fairbanks_ISD_Grade 5 Reading+,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,46%,-7%,47%,-7%,54%,-11%,41%,-7%,47%,-6%,71%,-7%,43%,-6%,47%
Cypress_Fairbanks_ISD_Grade 5 Reading+,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,na,54%,na,54%,na,61%,na,52%,na,54%,na,77%,na,50%,na,53%
Cypress_Fairbanks_ISD_Grade 5 Reading+,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,30%,1%,31%,2%,38%,1%,28%,1%,29%,4%,54%,2%,27%,2%,31%
Cypress_Fairbanks_ISD_Grade 5 Reading+,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Masters Grade Level,2019,na,29%,na,30%,na,36%,na,27%,na,28%,na,50%,na,25%,na,29%
Cypress_Fairbanks_ISD_Grade 5 Mathematics+,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.2,70%,-19%,70%,-17%,75%,-25%,61%,-22%,70%,-8%,88%,-22%,67%,-20%,72%
Cypress_Fairbanks_ISD_Grade 5 Mathematics+,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,na,90%,na,89%,na,92%,na,86%,na,92%,na,96%,na,89%,na,92%
